candidate,reference,frame,n,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
R9_HALF,R9_BASE,all,90,-0.000327835720839436,0.003866588625720099,0.003538752904880663
R9_HALF,R9_BASE,2024+,31,0.0030054955331715594,-0.0032731565805170872,-0.00026766104734552955
R9_HALF,R9_BASE,post_warmup,50,0.0007763103303319903,0.0033490547695422274,0.004125365099874219
R9_FULL,R9_BASE,all,90,-0.00438842738009044,0.0077331772514401915,0.0033447498713497486
R9_FULL,R9_BASE,2024+,31,0.0037300118720891445,-0.006546313161034177,-0.0028163012889450326
R9_FULL,R9_BASE,post_warmup,50,-0.002105827171275996,0.0066981095390844505,0.004592282367808456
CATEGORY_RAW,R9_BASE,all,90,0.008596855234366528,-0.0011510019075850286,0.007445853326781496
CATEGORY_RAW,R9_BASE,2024+,31,0.00439294587366291,0.0044344227476684536,0.008827368621331363
CATEGORY_RAW,R9_BASE,post_warmup,50,0.012389378307801067,0.00047599853989390426,0.012865376847694968
CATEGORY_HALF_CORRECTION,R9_BASE,all,90,0.007840514803043855,-0.0007950385978915094,0.007045476205152347
CATEGORY_HALF_CORRECTION,R9_BASE,2024+,31,0.004168854404265302,0.003549961805190726,0.007718816209456028
CATEGORY_HALF_CORRECTION,R9_BASE,post_warmup,50,0.011027965531420252,0.0011167324973422382,0.0121446980287625
CATEGORY_FULL_CORRECTION,R9_BASE,all,90,0.006220581652911528,-0.0004390752881979966,0.005781506364713529
CATEGORY_FULL_CORRECTION,R9_BASE,2024+,31,0.003402877644197125,0.0026655008627129856,0.006068378506910112
CATEGORY_FULL_CORRECTION,R9_BASE,post_warmup,50,0.008112085861182065,0.0017574664547905618,0.009869552315972627
BASE_MATCHED_HALF,R9_BASE,all,90,0.0007478808834673823,0.0023701345180888117,0.0031180154015561963
BASE_MATCHED_HALF,R9_BASE,2024+,31,0.0012815008254194727,-0.0033121423568009006,-0.002030641531381428
BASE_MATCHED_HALF,R9_BASE,post_warmup,50,0.001346185590241288,0.0042662421325598615,0.005612427722801153
BASE_MATCHED_FULL,R9_BASE,all,90,1.771806016915939e-05,0.0047402690361775975,0.00475798709634676
BASE_MATCHED_FULL,R9_BASE,2024+,31,0.0012165331273590319,-0.006624284713601802,-0.005407751586242771
BASE_MATCHED_FULL,R9_BASE,post_warmup,50,3.18925083044869e-05,0.008532484265119676,0.008564376773424169
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,all,90,-0.0007563404313226752,0.0003559633096935194,-0.00040037712162914615
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024+,31,-0.00022409146939760845,-0.0008844609424777282,-0.0011085524118753373
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,post_warmup,50,-0.0013614127763808153,0.0006407339574483349,-0.0007206788189324631
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,all,90,-0.0023762735814550013,0.0007119266193870312,-0.0016643469620679664
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2024+,31,-0.0009900682294657855,-0.0017689218849554682,-0.002758990114421253
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,post_warmup,50,-0.0042772924466190024,0.0012814679148966562,-0.0029958245317223396
CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,all,90,0.007092633919576473,-0.003165173115980323,0.003927460803596154
CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,2024+,31,0.002887353578845829,0.006862104161991626,0.009749457740837455
CATEGORY_HALF_CORRECTION,BASE_MATCHED_HALF,post_warmup,50,0.009681779941178964,-0.0031495096352176268,0.0065322703059613515
CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,all,90,0.006202863592742368,-0.0051793443243756,0.0010235192683667675
CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,2024+,31,0.002186344516838093,0.009289785576314786,0.01147613009315288
CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,post_warmup,50,0.008080193352877579,-0.00677501781032912,0.0013051755425484526
BASE_MATCHED_HALF,R9_HALF,all,90,0.0010757166043068183,-0.0014964541076312868,-0.00042073750332446703
BASE_MATCHED_HALF,R9_HALF,2024+,31,-0.001723994707752086,-3.898577628381285e-05,-0.0017629804840358987
BASE_MATCHED_HALF,R9_HALF,post_warmup,50,0.0005698752599092978,0.0009171873630176335,0.0014870626229269328
BASE_MATCHED_FULL,R9_FULL,all,90,0.004406145440259599,-0.0029929082152625897,0.0014132372249970127
BASE_MATCHED_FULL,R9_FULL,2024+,31,-0.0025134787447301135,-7.797155256762503e-05,-0.0025914502972977367
BASE_MATCHED_FULL,R9_FULL,post_warmup,50,0.0021377196795804823,0.0018343747260352278,0.003972094405615715
