candidate,reference,omitted_period,delta_rmse,delta_mae
R9_HALF,R9_BASE,2019-02,-0.0043804162908051,0.0015641113664055517
R9_HALF,R9_BASE,2019-03,-0.004293251385383556,0.0018261268360416638
R9_HALF,R9_BASE,2019-04,-0.004677227583849752,0.001360970858235
R9_HALF,R9_BASE,2019-05,-0.004105614982554517,0.0020595423576000305
R9_HALF,R9_BASE,2019-06,-0.0044177004576210765,0.001311068952051353
R9_HALF,R9_BASE,2019-07,-0.0042841268682992095,0.0018230510728666216
R9_HALF,R9_BASE,2019-08,-0.0042710816849577116,0.0020379775867451766
R9_HALF,R9_BASE,2019-09,-0.004245344408578322,0.0019438524262080925
R9_HALF,R9_BASE,2019-10,-0.003922762762537058,0.0025049491929517442
R9_HALF,R9_BASE,2019-11,-0.0041865138712806615,0.00219292470215654
R9_HALF,R9_BASE,2019-12,-0.004284117832737133,0.001877292959301835
R9_HALF,R9_BASE,2020-01,-0.003922990543093752,0.0021595283267528687
R9_HALF,R9_BASE,2020-02,-0.004284687606085469,0.001664237346501063
R9_HALF,R9_BASE,2020-03,-0.004271314641992707,0.0019074185076630723
R9_HALF,R9_BASE,2020-04,-0.004275582405843692,0.0018970961154902155
R9_HALF,R9_BASE,2020-05,-0.00430794715391869,0.001837849563694982
R9_HALF,R9_BASE,2020-06,-0.004052020761346031,0.0022904265152990377
R9_HALF,R9_BASE,2020-07,-0.004323905480717427,0.0016870063758825937
R9_HALF,R9_BASE,2020-08,-0.004288695286266797,0.0017728038747113484
R9_HALF,R9_BASE,2020-09,-0.00415318662113251,0.0021416782224302766
R9_HALF,R9_BASE,2020-10,-0.00434328534087236,0.0012661451006636404
R9_HALF,R9_BASE,2020-11,-0.004350404475726488,0.0016765223495360249
R9_HALF,R9_BASE,2020-12,-0.0044604445346208554,0.0017027456842280686
R9_HALF,R9_BASE,2021-01,-0.0035599101272031364,0.0025827650289904636
R9_HALF,R9_BASE,2021-02,-0.00487711452248063,0.0009676334526267927
R9_HALF,R9_BASE,2021-03,-0.004284413422302569,0.0018355029396706635
R9_HALF,R9_BASE,2021-04,-0.00410153108771194,0.0022149833618940185
R9_HALF,R9_BASE,2021-05,-0.004502081031536154,0.0016544232916034796
R9_HALF,R9_BASE,2021-06,-0.00420917752270511,0.002067711280393736
R9_HALF,R9_BASE,2021-07,-0.004062448870405022,0.0021611437575800307
R9_HALF,R9_BASE,2021-08,-0.00510845511473379,0.0012257599508879724
R9_HALF,R9_BASE,2021-09,-0.004240396916581235,0.0019468771908114912
R9_HALF,R9_BASE,2021-10,-0.0038378107170924936,0.0026539949436557575
R9_HALF,R9_BASE,2021-11,-0.004523638234845029,0.0016995804476660492
R9_HALF,R9_BASE,2021-12,-0.005473729459840759,0.0007266207278230907
R9_HALF,R9_BASE,2022-01,-0.004278018831890662,0.0018980464216850623
R9_HALF,R9_BASE,2022-02,-0.0034423352648500494,0.0027865375655521385
R9_HALF,R9_BASE,2022-03,-0.004638170820087328,0.001719497306072515
R9_HALF,R9_BASE,2022-04,-0.0024824459473434257,0.0026467575093466755
R9_HALF,R9_BASE,2022-05,-0.004493215080721313,0.0007378134354564247
R9_HALF,R9_BASE,2022-06,-0.0038231379991985337,0.0031604409393973243
R9_HALF,R9_BASE,2022-07,-0.004761595232660787,0.000613458862146421
R9_HALF,R9_BASE,2022-08,-0.004566895118127023,0.0014150835680277196
R9_HALF,R9_BASE,2022-09,-0.005190293194098972,0.0013487595646082817
R9_HALF,R9_BASE,2022-10,-0.0012321442879274502,0.002426090564294048
R9_HALF,R9_BASE,2022-11,-0.003961316104306112,0.0022124589097581304
R9_HALF,R9_BASE,2022-12,-0.0043605192811336235,0.0013899497478596645
R9_HALF,R9_BASE,2023-01,-0.005023518422786921,0.0016824731501562384
R9_HALF,R9_BASE,2023-02,-0.0043404344335109535,0.0015710906762674282
R9_HALF,R9_BASE,2023-03,-0.004005929198350799,0.0025981591014349603
R9_HALF,R9_BASE,2023-04,-0.003123150135107111,0.002568424167708472
R9_HALF,R9_BASE,2023-05,-0.004446806336358078,0.0011934085033676323
R9_HALF,R9_BASE,2023-06,-0.004969980132955076,0.0009550289273129176
R9_HALF,R9_BASE,2023-07,-0.004361709026831084,0.001610555043110251
R9_HALF,R9_BASE,2023-08,-0.004269154858391022,0.0019090129375499698
R9_HALF,R9_BASE,2023-09,-0.00399012278137767,0.002177770361087683
R9_HALF,R9_BASE,2023-10,-0.004243903697582152,0.0019675030890610734
R9_HALF,R9_BASE,2023-11,-0.004306313261996042,0.0016583427529173744
R9_HALF,R9_BASE,2023-12,-0.0041863105674784795,0.002042155509507204
R9_HALF,R9_BASE,2024-01,-0.005069037026909307,0.0013600283263030533
R9_HALF,R9_BASE,2024-02,-0.004291188365788012,0.0017369654765817533
R9_HALF,R9_BASE,2024-03,-0.0042791119048506965,0.0018819469840090086
R9_HALF,R9_BASE,2024-04,-0.004369938718973676,0.0016696249773550664
R9_HALF,R9_BASE,2024-05,-0.004349998064025751,0.001751758439450024
R9_HALF,R9_BASE,2024-06,-0.0046100156214651244,0.0015222197395682313
R9_HALF,R9_BASE,2024-07,-0.0038394253574485226,0.002292501239728406
R9_HALF,R9_BASE,2024-08,-0.004434792791086273,0.0016196005218668819
R9_HALF,R9_BASE,2024-09,-0.00449779603078565,0.0010056638768548565
R9_HALF,R9_BASE,2024-10,-0.004200586269664408,0.0025807986463807775
R9_HALF,R9_BASE,2024-11,-0.0042682089963619885,0.0020856530873971657
R9_HALF,R9_BASE,2024-12,-0.0040260285143284835,0.0022622345022966783
R9_HALF,R9_BASE,2025-01,-0.004203430139411324,0.0020768232707372714
R9_HALF,R9_BASE,2025-02,-0.004345875210824968,0.0016807389399732253
R9_HALF,R9_BASE,2025-03,-0.004308366992463397,0.0017304465858590246
R9_HALF,R9_BASE,2025-04,-0.004157754874275388,0.0020749836320882453
R9_HALF,R9_BASE,2025-05,-0.00414714738270483,0.002133773958336471
R9_HALF,R9_BASE,2025-06,-0.004269269872975101,0.0019315430935648026
R9_HALF,R9_BASE,2025-07,-0.00432109617442239,0.0014159029858237249
R9_HALF,R9_BASE,2025-08,-0.00427225329429165,0.0021091763826155407
R9_HALF,R9_BASE,2025-09,-0.004167158618989253,0.0023560641238528635
R9_HALF,R9_BASE,2025-10,-0.003993400308103134,0.0023953748088053617
R9_HALF,R9_BASE,2025-11,-0.0044166823894403184,0.0017180362721571085
R9_HALF,R9_BASE,2025-12,-0.0042797796236795915,0.0018605153083100512
R9_HALF,R9_BASE,2026-01,-0.004276908240130273,0.0018989760161364777
R9_HALF,R9_BASE,2026-02,-0.004374775871756609,0.0016726531096128427
R9_HALF,R9_BASE,2026-03,-0.004283865453470648,0.001782266232305374
R9_HALF,R9_BASE,2026-04,-0.004288884217781397,0.0015948704378486167
R9_HALF,R9_BASE,2026-05,-0.00442048337096157,0.0016807069309703881
R9_HALF,R9_BASE,2026-06,-0.004135423112652914,0.0021527470466631837
R9_HALF,R9_BASE,2026-07,-0.004072202535829683,0.0026061477703565594
