period,as_of,block,weight,prediction,n_train,train_start,train_end,training_last_release,dropped_columns,fit_status
2019-02,2019-03-10 23:59:00,actual_rent,0.033660201,0.23458927986042552,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,imputed_rent,0.10385733600000001,0.01891539515681473,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,catering,0.051351304,0.18228079713529766,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,accommodation,0.007778524,0.27763633548496636,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,package_holidays,0.019182249,4.788215901419669,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,remaining_core_tax_reconciliation,1.0,0.07208495233636834,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,actual_rent,0.033660201,0.3373598924245394,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,imputed_rent,0.10385733600000001,0.03882986703072436,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,catering,0.051351304,0.20639328131663895,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,accommodation,0.007778524,0.3717514138927407,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,package_holidays,0.019182249,-6.825255754042785,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,remaining_core_tax_reconciliation,1.0,0.04589513184436606,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,actual_rent,0.033660201,0.2153689166779003,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,imputed_rent,0.10385733600000001,0.33085166595045545,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,catering,0.051351304,0.15961184749284218,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,accommodation,0.007778524,1.0273562732330732,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,package_holidays,0.019182249,-1.9602859921500255,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,remaining_core_tax_reconciliation,1.0,0.1759020900826493,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,actual_rent,0.033660201,0.0002789679145338564,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
