sample,h,model,metric,n,rmse,mae,bias
full,1,FUEL_CONSTANT_PUMP_R14,mm,89,3.747177835847708,2.1443490846226116,-0.38797840524296284
full,1,FUEL_ECM_R14,mm,89,3.4048345208016806,1.9322680947065973,-0.6298996765559775
full,1,FUEL_ZERO_R14,mm,89,4.577176011406243,2.8890175569127527,-0.4159420496788199
full,1,INDEPENDENT_BRIDGE,mm,89,4.753540302695752,3.0302982127488405,-0.07544155311716123
full,1,FUEL_CONSTANT_PUMP_R14,cumulative,89,3.7471778358477077,2.1443490846226116,-0.3879784052429626
full,1,FUEL_ECM_R14,cumulative,89,3.40483452080168,1.9322680947065973,-0.6298996765559775
full,1,FUEL_ZERO_R14,cumulative,89,4.577176011406243,2.8890175569127527,-0.4159420496788197
full,1,INDEPENDENT_BRIDGE,cumulative,89,4.753540302695752,3.03029821274884,-0.07544155311716094
full,2,FUEL_CONSTANT_PUMP_R14,mm,88,4.601563306417546,2.909131126903102,-0.407952488905147
full,2,FUEL_ECM_R14,mm,88,4.68928443689943,2.9750044153181894,-0.9794984847931726
full,2,FUEL_ZERO_R14,mm,88,4.601563306417546,2.9091311269031026,-0.407952488905148
full,2,INDEPENDENT_BRIDGE,mm,88,4.777191221390897,3.0458546728621387,-0.05742009664373617
full,2,FUEL_CONSTANT_PUMP_R14,cumulative,88,6.69802478677094,4.362257694493723,-0.7679440979025585
full,2,FUEL_ECM_R14,cumulative,88,6.465936621611638,4.09033395620829,-1.5360899158354806
full,2,FUEL_ZERO_R14,cumulative,88,7.308402649259533,4.913987699298425,-0.8406078623146798
full,2,INDEPENDENT_BRIDGE,cumulative,88,7.591170055352192,5.204966648486371,-0.15741309001373524
full,3,FUEL_CONSTANT_PUMP_R14,mm,87,4.608776849253244,2.8974712404596334,-0.36754342271457635
full,3,FUEL_ECM_R14,mm,87,4.778933678082688,2.9728963774184662,-0.7638148730704593
full,3,FUEL_ZERO_R14,mm,87,4.608776849253244,2.897471240459634,-0.367543422714576
full,3,INDEPENDENT_BRIDGE,mm,87,4.7976226545345835,3.0531779163317863,-0.03039351739822949
full,3,FUEL_CONSTANT_PUMP_R14,cumulative,87,8.790496621520719,6.088650203378041,-1.2198124007606306
full,3,FUEL_ECM_R14,cumulative,87,8.962220038430285,6.037268724954091,-2.3522328238046186
full,3,FUEL_ZERO_R14,cumulative,87,8.955995423380001,6.359375851584776,-1.2958584598925826
full,3,INDEPENDENT_BRIDGE,cumulative,87,9.153403804511097,6.582989833899375,-0.2955943408414503
full,4,FUEL_CONSTANT_PUMP_R14,mm,86,4.626918234427745,2.9007703668626905,-0.3414247837950153
full,4,FUEL_ECM_R14,mm,86,4.748480566064198,2.9245636986030035,-0.6023902852474907
full,4,FUEL_ZERO_R14,mm,86,4.626918234427745,2.9007703668626914,-0.3414247837950163
full,4,INDEPENDENT_BRIDGE,mm,86,4.825431468921466,3.088033542176792,-0.03139337334078305
full,4,FUEL_CONSTANT_PUMP_R14,cumulative,86,9.852954570601105,7.306994074779615,-1.5988180767688132
full,4,FUEL_ECM_R14,cumulative,86,10.456652640913823,7.3876482096303375,-2.9724860875418586
full,4,FUEL_ZERO_R14,cumulative,86,10.042442787248918,7.510440795055104,-1.7096955294585054
full,4,INDEPENDENT_BRIDGE,cumulative,86,10.078811283257,7.705008293356395,-0.4157183082264527
full,5,FUEL_CONSTANT_PUMP_R14,mm,85,4.654044568621092,2.9337871991476465,-0.3465514238707395
full,5,FUEL_ECM_R14,mm,85,4.723759539920895,2.911282323919571,-0.5161328101242152
full,5,FUEL_ZERO_R14,mm,85,4.654044568621092,2.9337871991476465,-0.34655142387074
full,5,INDEPENDENT_BRIDGE,mm,85,4.8479709365090375,3.098717490615123,-0.057408565085011534
full,5,FUEL_CONSTANT_PUMP_R14,cumulative,85,11.05312608282189,8.457180420264338,-2.1111566829552113
full,5,FUEL_ECM_R14,cumulative,85,12.012749701995094,8.51194374500089,-3.5940568874119343
full,5,FUEL_ZERO_R14,cumulative,85,11.42069162316746,8.7757296008524,-2.0905608000020233
full,5,INDEPENDENT_BRIDGE,cumulative,85,11.357560759239535,8.853602269977003,-0.5255036248875848
full,6,FUEL_CONSTANT_PUMP_R14,mm,84,4.679442672575192,2.952975119511617,-0.36641515378079753
full,6,FUEL_ECM_R14,mm,84,4.67541504979341,2.9326772315758083,-0.4804843636130891
full,6,FUEL_ZERO_R14,mm,84,4.679442672575191,2.952975119511617,-0.36641515378079786
full,6,INDEPENDENT_BRIDGE,mm,84,4.875481936175132,3.123509368856193,-0.07018961607846615
full,6,FUEL_CONSTANT_PUMP_R14,cumulative,84,12.18719953535596,9.33178947588578,-2.2845767754462987
full,6,FUEL_ECM_R14,cumulative,84,13.314445424611304,9.60606770232927,-3.8874734893635936
full,6,FUEL_ZERO_R14,cumulative,84,12.490781957889066,9.571046557079958,-2.262119970742885
full,6,INDEPENDENT_BRIDGE,cumulative,84,12.417279645245763,9.596704276430424,-0.41694706342026794
full,7,FUEL_CONSTANT_PUMP_R14,mm,83,4.707254719456625,2.982788447463304,-0.3765944797241989
full,7,FUEL_ECM_R14,mm,83,4.701850900164053,2.964164985047686,-0.4562701668096736
full,7,FUEL_ZERO_R14,mm,83,4.707254719456625,2.982788447463304,-0.37659447972419957
full,7,INDEPENDENT_BRIDGE,mm,83,4.904589009544405,3.1565895009170526,-0.06648276316610047
full,7,FUEL_CONSTANT_PUMP_R14,cumulative,83,13.121546530635543,10.132497648826563,-2.4403933630364194
full,7,FUEL_ECM_R14,cumulative,83,14.263835367917547,10.494572162140406,-4.103606404536696
full,7,FUEL_ZERO_R14,cumulative,83,13.370211686131727,10.481041372570926,-2.4154090621169733
full,7,INDEPENDENT_BRIDGE,cumulative,83,13.320048833766926,10.482223797843512,-0.28523275477761945
full,8,FUEL_CONSTANT_PUMP_R14,mm,82,4.735572906124426,3.0133008769351823,-0.3870501347302167
full,8,FUEL_ECM_R14,mm,82,4.727688893973918,3.0129336741425456,-0.44258094757047933
full,8,FUEL_ZERO_R14,mm,82,4.735572906124426,3.0133008769351832,-0.38705013473021693
full,8,INDEPENDENT_BRIDGE,mm,82,4.933099256958599,3.1825522675899265,-0.07982575581131492
full,8,FUEL_CONSTANT_PUMP_R14,cumulative,82,14.068876970805979,11.252884833564966,-2.636966906217198
full,8,FUEL_ECM_R14,cumulative,82,14.962940583678376,11.545127848968955,-4.304970442434844
full,8,FUEL_ZERO_R14,cumulative,82,14.469710204318686,11.576669505647871,-2.6377400277816676
full,8,INDEPENDENT_BRIDGE,cumulative,82,14.451278534523317,11.884567347675688,-0.22252291851597786
full,9,FUEL_CONSTANT_PUMP_R14,mm,81,4.764703074356047,3.049309303101199,-0.3906357122270344
full,9,FUEL_ECM_R14,mm,81,4.749287220397445,3.0353747562688724,-0.4288502557633799
full,9,FUEL_ZERO_R14,mm,81,4.764703074356047,3.049309303101199,-0.3906357122270357
full,9,INDEPENDENT_BRIDGE,mm,81,4.9625957032943075,3.211568986167907,-0.09108530912717608
full,9,FUEL_CONSTANT_PUMP_R14,cumulative,81,15.393176955271906,12.346422138567887,-2.937215837144931
full,9,FUEL_ECM_R14,cumulative,81,15.860850379534067,12.618682207345447,-4.525020943768786
full,9,FUEL_ZERO_R14,cumulative,81,15.816215180131266,12.748683914944579,-2.9219758969544243
full,9,INDEPENDENT_BRIDGE,cumulative,81,15.818579053331609,13.221880663123628,-0.21244296009142138
full,10,FUEL_CONSTANT_PUMP_R14,mm,80,4.793952715317086,3.0801862871505827,-0.4027580408692554
full,10,FUEL_ECM_R14,mm,80,4.782003459526606,3.070915162629167,-0.4303441879894746
full,10,FUEL_ZERO_R14,mm,80,4.7939527153170856,3.080186287150582,-0.40275804086925576
full,10,INDEPENDENT_BRIDGE,mm,80,4.993065181319851,3.244215131255017,-0.09972234273125488
full,10,FUEL_CONSTANT_PUMP_R14,cumulative,80,16.59006795409903,13.34923196297583,-3.1915697926991395
full,10,FUEL_ECM_R14,cumulative,80,16.828851297477385,13.383255193287184,-4.710774400953826
full,10,FUEL_ZERO_R14,cumulative,80,16.96726903853065,13.683154599810411,-3.1801549037423795
full,10,INDEPENDENT_BRIDGE,cumulative,80,16.916152559387125,14.292134663691687,-0.16713393242061264
full,11,FUEL_CONSTANT_PUMP_R14,mm,79,4.823889603926051,3.1130312161878817,-0.41400101471828227
full,11,FUEL_ECM_R14,mm,79,4.818594690565431,3.103701567134674,-0.43464020296600037
full,11,FUEL_ZERO_R14,mm,79,4.823889603926052,3.1130312161878817,-0.4140010147182828
full,11,INDEPENDENT_BRIDGE,mm,79,5.023989518926346,3.2767070467839345,-0.09241055207632742
full,11,FUEL_CONSTANT_PUMP_R14,cumulative,79,17.65798317360313,14.183104440823868,-3.4419720776161773
full,11,FUEL_ECM_R14,cumulative,79,17.772087501304565,14.135524437484664,-4.9167505597528205
full,11,FUEL_ZERO_R14,cumulative,79,17.918162035173168,14.353211282119052,-3.428386412155123
full,11,INDEPENDENT_BRIDGE,cumulative,79,17.757746045020042,15.053968072180771,-0.09706412471043349
full,12,FUEL_CONSTANT_PUMP_R14,mm,78,4.8539090785554,3.1429356188969826,-0.4093024661264909
full,12,FUEL_ECM_R14,mm,78,4.851146126003702,3.1409736443764853,-0.424832372654706
full,12,FUEL_ZERO_R14,mm,78,4.8539090785554,3.142935618896982,-0.4093024661264909
full,12,INDEPENDENT_BRIDGE,mm,78,5.03957078676122,3.342959151323684,-0.08507521811111797
full,12,FUEL_CONSTANT_PUMP_R14,cumulative,78,18.599658727435983,14.874765659212775,-3.6728876749940897
full,12,FUEL_ECM_R14,cumulative,78,18.5476375440222,14.800303038085698,-5.112599528989781
full,12,FUEL_ZERO_R14,cumulative,78,18.83408031615896,14.905586065134521,-3.6717293410506633
full,12,INDEPENDENT_BRIDGE,cumulative,78,18.565144816802896,15.522657740864789,-0.010598371701083428
recent_targets,1,FUEL_CONSTANT_PUMP_R14,mm,31,4.312979750641231,2.3622826821582943,-0.29009717128722073
recent_targets,1,FUEL_ECM_R14,mm,31,4.393061173251771,2.4621237759031027,-0.6637437044389134
recent_targets,1,FUEL_ZERO_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,1,INDEPENDENT_BRIDGE,mm,31,4.673952540247925,2.876569652739155,-0.0573804883707183
recent_targets,1,FUEL_CONSTANT_PUMP_R14,cumulative,31,4.312979750641231,2.3622826821582947,-0.29009717128722073
recent_targets,1,FUEL_ECM_R14,cumulative,31,4.39306117325177,2.4621237759031023,-0.6637437044389134
recent_targets,1,FUEL_ZERO_R14,cumulative,31,4.5216526207968775,2.7584735720063187,-0.4157237691004846
recent_targets,1,INDEPENDENT_BRIDGE,cumulative,31,4.673952540247925,2.876569652739155,-0.0573804883707185
recent_targets,2,FUEL_CONSTANT_PUMP_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,2,FUEL_ECM_R14,mm,31,4.73954526815968,2.997537205384968,-0.907970445909294
recent_targets,2,FUEL_ZERO_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,2,INDEPENDENT_BRIDGE,mm,31,4.673952540247925,2.876569652739155,-0.0573804883707183
recent_targets,2,FUEL_CONSTANT_PUMP_R14,cumulative,31,7.084151659848653,4.16925160709715,-0.43047157382740064
recent_targets,2,FUEL_ECM_R14,cumulative,31,7.2391790852158495,4.315078366741793,-1.2591085780364126
recent_targets,2,FUEL_ZERO_R14,cumulative,31,7.378615156374596,4.656875071178343,-0.6200100424650151
recent_targets,2,INDEPENDENT_BRIDGE,cumulative,31,7.613098961752711,5.112249948218365,0.012526128266622987
recent_targets,3,FUEL_CONSTANT_PUMP_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,3,FUEL_ECM_R14,mm,31,4.717251714561819,2.782406741026213,-0.7075383924763977
recent_targets,3,FUEL_ZERO_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,3,INDEPENDENT_BRIDGE,mm,31,4.673952540247925,2.876569652739155,-0.0573804883707183
recent_targets,3,FUEL_CONSTANT_PUMP_R14,cumulative,31,9.192971055583488,5.865447911819285,-0.8005616679163561
recent_targets,3,FUEL_ECM_R14,cumulative,31,9.73685318808903,6.278517248395198,-1.8762662566153006
recent_targets,3,FUEL_ZERO_R14,cumulative,31,8.886265406435278,5.606491245303649,-0.9440538012949159
recent_targets,3,INDEPENDENT_BRIDGE,cumulative,31,9.104738735784403,6.1699867371860995,-0.09023112276597851
recent_targets,4,FUEL_CONSTANT_PUMP_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,4,FUEL_ECM_R14,mm,31,4.771647711097019,2.839771051714298,-0.5837737658623915
recent_targets,4,FUEL_ZERO_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,4,INDEPENDENT_BRIDGE,mm,31,4.673952540247925,2.876569652739155,-0.0573804883707183
recent_targets,4,FUEL_CONSTANT_PUMP_R14,cumulative,31,9.49532363808303,6.396733902821188,-0.9215074427474446
recent_targets,4,FUEL_ECM_R14,cumulative,31,10.865544596776413,7.236359121931943,-2.095372682297215
recent_targets,4,FUEL_ZERO_R14,cumulative,31,9.180945275892098,5.983501138604568,-1.207711343482339
recent_targets,4,INDEPENDENT_BRIDGE,cumulative,31,9.39014967142715,6.72208454595854,-0.09452209849919245
recent_targets,5,FUEL_CONSTANT_PUMP_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,5,FUEL_ECM_R14,mm,31,4.646421153460961,2.753906126943843,-0.5114643028049106
recent_targets,5,FUEL_ZERO_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,5,INDEPENDENT_BRIDGE,mm,31,4.673952540247925,2.876569652739155,-0.0573804883707183
recent_targets,5,FUEL_CONSTANT_PUMP_R14,cumulative,31,9.765993608394558,6.731479415355855,-1.394774857911714
recent_targets,5,FUEL_ECM_R14,cumulative,31,11.950276556113813,7.932262252758973,-2.549929546106653
recent_targets,5,FUEL_ZERO_R14,cumulative,31,9.581825740358829,6.6718698730475126,-1.3447962872262964
recent_targets,5,INDEPENDENT_BRIDGE,cumulative,31,9.83161005915661,7.2352745994190615,0.01723924114809831
recent_targets,6,FUEL_CONSTANT_PUMP_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,6,FUEL_ECM_R14,mm,31,4.5578094334966,2.75459714296741,-0.47350066577761313
recent_targets,6,FUEL_ZERO_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,6,INDEPENDENT_BRIDGE,mm,31,4.673952540247925,2.876569652739155,-0.0573804883707183
recent_targets,6,FUEL_CONSTANT_PUMP_R14,cumulative,31,9.515198002853305,6.593116810490503,-1.0955327655970488
recent_targets,6,FUEL_ECM_R14,cumulative,31,12.27499563031268,8.081239425202702,-2.331643269305587
recent_targets,6,FUEL_ZERO_R14,cumulative,31,9.398354312480743,6.350565395237385,-1.0919972581996447
recent_targets,6,INDEPENDENT_BRIDGE,cumulative,31,9.921029896688895,7.0461459832247355,0.5060095717212084
recent_targets,7,FUEL_CONSTANT_PUMP_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,7,FUEL_ECM_R14,mm,31,4.528263978484337,2.7579755191164153,-0.4548531465879382
recent_targets,7,FUEL_ZERO_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,7,INDEPENDENT_BRIDGE,mm,31,4.673952540247925,2.876569652739155,-0.0573804883707183
recent_targets,7,FUEL_CONSTANT_PUMP_R14,cumulative,31,9.491699211173502,6.547628603000859,-0.8348193772377553
recent_targets,7,FUEL_ECM_R14,cumulative,31,12.44038780015877,8.630063717515112,-2.2425566393342966
recent_targets,7,FUEL_ZERO_R14,cumulative,31,9.284083041870511,6.547819249956846,-0.8700355780044654
recent_targets,7,INDEPENDENT_BRIDGE,cumulative,31,10.142430233452858,7.697548757981684,0.9271593913621834
recent_targets,8,FUEL_CONSTANT_PUMP_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,8,FUEL_ECM_R14,mm,31,4.534121086955715,2.773586544381066,-0.43649169214960615
recent_targets,8,FUEL_ZERO_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,8,INDEPENDENT_BRIDGE,mm,31,4.673952540247925,2.876569652739155,-0.0573804883707183
recent_targets,8,FUEL_CONSTANT_PUMP_R14,cumulative,31,9.31391184330397,6.912965986502558,-0.6909106317068169
recent_targets,8,FUEL_ECM_R14,cumulative,31,12.331578608547819,9.092511706473651,-2.0035515152786774
recent_targets,8,FUEL_ZERO_R14,cumulative,31,9.29440456064461,6.913554974911948,-0.7609590764680196
recent_targets,8,INDEPENDENT_BRIDGE,cumulative,31,10.429806509807182,8.684133513097962,1.3120183081398284
recent_targets,9,FUEL_CONSTANT_PUMP_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048464
recent_targets,9,FUEL_ECM_R14,mm,31,4.5232459834646175,2.7616829826243485,-0.4245606682354438
recent_targets,9,FUEL_ZERO_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,9,INDEPENDENT_BRIDGE,mm,31,4.673952540247925,2.876569652739155,-0.0573804883707183
recent_targets,9,FUEL_CONSTANT_PUMP_R14,cumulative,31,9.646212650075002,7.39455929340558,-0.6477338711889697
recent_targets,9,FUEL_ECM_R14,cumulative,31,12.027759973583226,9.244446799604678,-1.7641810807020486
recent_targets,9,FUEL_ZERO_R14,cumulative,31,9.698008069872108,7.547640046113422,-0.618171312087733
recent_targets,9,INDEPENDENT_BRIDGE,cumulative,31,10.932754217337436,9.653544186245727,1.84986151643205
recent_targets,10,FUEL_CONSTANT_PUMP_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,10,FUEL_ECM_R14,mm,31,4.52150433527347,2.7573161600650984,-0.42144069683630886
recent_targets,10,FUEL_ZERO_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
recent_targets,10,INDEPENDENT_BRIDGE,mm,31,4.673952540247925,2.876569652739155,-0.0573804883707183
recent_targets,10,FUEL_CONSTANT_PUMP_R14,cumulative,31,10.010791847328457,8.107215851949123,-0.4618355764583479
recent_targets,10,FUEL_ECM_R14,cumulative,31,11.837129880686483,9.599360805901206,-1.5218233423112242
recent_targets,10,FUEL_ZERO_R14,cumulative,31,10.192407104277164,8.225883816338266,-0.41154882508531976
recent_targets,10,INDEPENDENT_BRIDGE,cumulative,31,11.376394954886457,10.295227069513635,2.5133721200214443
recent_targets,11,FUEL_CONSTANT_PUMP_R14,mm,31,4.5216526207968775,2.7584735720063187,-0.41572376910048486
