policy,band,config,reason,n
short,0,a300_wexpanding,minimum_prior_mse,14
short,0,a30_wexpanding,insufficient_validation,43
short,0,a30_wexpanding,minimum_prior_mse,16
short,0,a3_wexpanding,minimum_prior_mse,17
short,1,a300_wexpanding,minimum_prior_mse,36
short,1,a30_wexpanding,insufficient_validation,49
short,1,a30_wexpanding,minimum_prior_mse,1
short,1,a3_wexpanding,minimum_prior_mse,4
short,2,a300_wexpanding,minimum_prior_mse,35
short,2,a30_wexpanding,insufficient_validation,55
short,3,a300_wexpanding,minimum_prior_mse,29
short,3,a30_wexpanding,insufficient_validation,61
extended,0,a300_w60,minimum_prior_mse,22
extended,0,a300_wexpanding,minimum_prior_mse,19
extended,0,a30_w60,minimum_prior_mse,6
extended,0,a3_w60,minimum_prior_mse,6
extended,0,a3_wexpanding,minimum_prior_mse,37
extended,1,a300_w60,minimum_prior_mse,7
extended,1,a300_wexpanding,minimum_prior_mse,51
extended,1,a30_w60,minimum_prior_mse,13
extended,1,a3_w60,minimum_prior_mse,7
extended,1,a3_wexpanding,minimum_prior_mse,12
extended,2,a300_w60,minimum_prior_mse,30
extended,2,a300_wexpanding,minimum_prior_mse,45
extended,2,a30_w60,minimum_prior_mse,11
extended,2,a3_w60,minimum_prior_mse,2
extended,2,a3_wexpanding,minimum_prior_mse,2
extended,3,a300_w60,minimum_prior_mse,20
extended,3,a300_wexpanding,minimum_prior_mse,66
extended,3,a30_w60,minimum_prior_mse,4
