family,band,measure,source_group,n,mean,mean_abs
both,0,coefficients,constant,90,0.006317241293854097,0.006317241293854097
both,0,coefficients,domestic,540,-0.0030665523336506663,0.004648347272581655
both,0,coefficients,imported_cost,1440,0.0019232612950244414,0.002463158016092288
both,0,coefficients,own_core_state,630,-0.00267330201346074,0.003175246540519997
both,1,coefficients,constant,90,0.010905986395704548,0.010905986395704548
both,1,coefficients,domestic,540,-0.0010161962625356773,0.004647546529178598
both,1,coefficients,imported_cost,1440,0.0008587246890876832,0.004372083314612662
both,1,coefficients,own_core_state,630,-0.0025201691870361405,0.006928087080519821
both,2,coefficients,constant,90,0.022013668324937227,0.022013668324937227
both,2,coefficients,domestic,540,0.00025135989063990817,0.005537586464415725
both,2,coefficients,imported_cost,1440,0.0017710122787099282,0.0040402193573098495
both,2,coefficients,own_core_state,630,-0.0025857520348846787,0.007969555081608728
both,3,coefficients,constant,90,0.030390840647259415,0.030390840647259415
both,3,coefficients,domestic,540,0.003694222526086817,0.006337496439716031
both,3,coefficients,imported_cost,1440,0.002492278445414023,0.004202459836001965
both,3,coefficients,own_core_state,630,-0.0005330153969911852,0.0031615690358176543
domestic,0,coefficients,constant,90,0.007088222186447028,0.007088222186447028
domestic,0,coefficients,domestic,540,-0.004308871829624367,0.0107330889749112
domestic,0,coefficients,own_core_state,630,-0.0025494759320629067,0.0032852185170945663
domestic,1,coefficients,constant,90,0.007963185309988801,0.007963185309988801
domestic,1,coefficients,domestic,540,-0.0022051898650929393,0.0056924219170721374
domestic,1,coefficients,own_core_state,630,-0.0007037010587398485,0.0038905338090658606
domestic,2,coefficients,constant,90,0.022986126317629585,0.022986126317629585
domestic,2,coefficients,domestic,540,-0.002397715882509672,0.01030140797914118
domestic,2,coefficients,own_core_state,630,-0.0005413779423425535,0.013354840604145487
domestic,3,coefficients,constant,90,0.04134668405971497,0.04134668405971497
domestic,3,coefficients,domestic,540,0.001384105206644777,0.015331717976617028
domestic,3,coefficients,own_core_state,630,0.005402732779302003,0.014373053643468862
forest,0,feature_importances,domestic,540,0.029982665382417676,0.029982665382417676
forest,0,feature_importances,imported_cost,1440,0.031075937575986576,0.031075937575986576
forest,0,feature_importances,own_core_state,630,0.04612700092710125,0.04612700092710125
forest,1,feature_importances,domestic,540,0.03094781459075936,0.03094781459075936
forest,1,feature_importances,imported_cost,1440,0.03176735888500387,0.03176735888500387
forest,1,feature_importances,own_core_state,630,0.04371933861362599,0.04371933861362599
forest,2,feature_importances,domestic,540,0.030262481619367416,0.030262481619367416
forest,2,feature_importances,imported_cost,1440,0.026690972702643572,0.026690972702643572
forest,2,feature_importances,own_core_state,630,0.055909935291642635,0.055909935291642635
forest,3,feature_importances,domestic,540,0.03537251210514789,0.03537251210514789
forest,3,feature_importances,imported_cost,1440,0.030999675163284994,0.030999675163284994
forest,3,feature_importances,own_core_state,630,0.04168144639379325,0.04168144639379325
imported,0,coefficients,constant,90,0.00832228466465659,0.00832228466465659
imported,0,coefficients,imported_cost,1440,0.0028872929437939085,0.0040880033708239815
imported,0,coefficients,own_core_state,630,-0.004860083870692855,0.006557297745308262
imported,1,coefficients,constant,90,0.017692086842810213,0.017692086842810213
imported,1,coefficients,imported_cost,1440,0.001209516807314532,0.007477525305420628
imported,1,coefficients,own_core_state,630,-0.0049668525973573,0.012768964685038464
imported,2,coefficients,constant,90,0.030892733260701844,0.030892733260701844
imported,2,coefficients,imported_cost,1440,0.003886314261710839,0.008837400789293553
imported,2,coefficients,own_core_state,630,-0.00776620193065712,0.009397539487995472
imported,3,coefficients,constant,90,0.033957172658864304,0.033957172658864304
imported,3,coefficients,imported_cost,1440,0.004091591197836492,0.0073388956652386894
imported,3,coefficients,own_core_state,630,-0.0038399439538155766,0.0061935156195569
wide,0,coefficients,constant,90,0.0065824128701155804,0.0065824128701155804
wide,0,coefficients,domestic,450,-0.0010193223109433759,0.005116349098726492
wide,0,coefficients,imported_cost,1080,0.001040598323027075,0.00236430913265536
wide,0,coefficients,other_hard_a6,1890,0.0003351472803079425,0.001873729835645333
wide,0,coefficients,own_core_state,630,-0.002305436398252477,0.002890972772353889
wide,1,coefficients,constant,90,0.013462450289545003,0.013462450289545003
wide,1,coefficients,domestic,450,0.000534801400500737,0.00798370247696523
wide,1,coefficients,imported_cost,1080,0.0008064492071710573,0.007458092509791448
wide,1,coefficients,other_hard_a6,1890,0.00016881490787425376,0.0022636519997466585
wide,1,coefficients,own_core_state,630,-0.004031953713511159,0.006201572784895477
wide,2,coefficients,constant,90,0.022536808346872227,0.022536808346872227
wide,2,coefficients,domestic,450,0.0025121137037360567,0.006752217007851211
wide,2,coefficients,imported_cost,1080,0.0026721325202541547,0.004276353854446584
wide,2,coefficients,other_hard_a6,1890,0.0005623810297354688,0.0017612994709369873
wide,2,coefficients,own_core_state,630,-0.0038762017396547542,0.00394360702690688
wide,3,coefficients,constant,90,0.01602008578624609,0.01602008578624609
wide,3,coefficients,domestic,450,0.0016236721961421106,0.002001100749071972
wide,3,coefficients,imported_cost,1080,0.0011220043431432664,0.0012845735582015481
wide,3,coefficients,other_hard_a6,1890,0.00026062566809356865,0.0006471832787579114
wide,3,coefficients,own_core_state,630,-0.00019861189661044804,0.00019861189661044804
