origin,model,band,target,predicted_sa_annualized,actual_sa_annualized
2019-02,BLEND_LINEAR_RF_R15,1,2019-05,2.779994811484998,1.362999937586649
2019-02,BLEND_LINEAR_RF_R15,2,2019-08,1.7181346288310932,4.845287260371656
2019-02,BLEND_LINEAR_RF_R15,3,2019-11,3.5196756667979434,0.9977971120537532
2019-02,BLEND_LINEAR_RF_R15,4,2020-02,3.9787610610988695,5.52170549349239
2019-02,BLEND_WIDE_STATE_R15,1,2019-05,2.15025967646875,1.362999937586649
2019-02,BLEND_WIDE_STATE_R15,2,2019-08,3.0711610477058304,4.845287260371656
2019-02,BLEND_WIDE_STATE_R15,3,2019-11,3.129367308095948,0.9977971120537532
2019-02,BLEND_WIDE_STATE_R15,4,2020-02,2.9360809974118594,5.52170549349239
2019-02,ENET_BOTH_R15,1,2019-05,2.1537861129248688,1.362999937586649
2019-02,ENET_BOTH_R15,2,2019-08,0.6375977170452956,4.845287260371656
2019-02,ENET_BOTH_R15,3,2019-11,3.3099883796601173,0.9977971120537532
2019-02,ENET_BOTH_R15,4,2020-02,3.9048597222409347,5.52170549349239
2019-02,ENET_DOMESTIC_R15,1,2019-05,3.2027063074822024,1.362999937586649
2019-02,ENET_DOMESTIC_R15,2,2019-08,2.380963268825467,4.845287260371656
2019-02,ENET_DOMESTIC_R15,3,2019-11,3.216702554303655,0.9977971120537532
2019-02,ENET_DOMESTIC_R15,4,2020-02,3.2922777532748775,5.52170549349239
2019-02,ENET_IMPORTED_R15,1,2019-05,1.7420011703370906,1.362999937586649
2019-02,ENET_IMPORTED_R15,2,2019-08,2.253690259934891,4.845287260371656
2019-02,ENET_IMPORTED_R15,3,2019-11,4.054179375667237,0.9977971120537532
2019-02,ENET_IMPORTED_R15,4,2020-02,4.028133579444981,5.52170549349239
2019-02,ENET_WIDE_R15,1,2019-05,1.0266040235828666,1.362999937586649
2019-02,ENET_WIDE_R15,2,2019-08,3.013133465362774,4.845287260371656
2019-02,ENET_WIDE_R15,3,2019-11,3.203646056187554,0.9977971120537532
2019-02,ENET_WIDE_R15,4,2020-02,2.8550126706821817,5.52170549349239
2019-02,INDEPENDENT_BRIDGE,1,2019-05,2.6448790538717564,1.362999937586649
2019-02,INDEPENDENT_BRIDGE,2,2019-08,2.387472997807881,4.845287260371656
2019-02,INDEPENDENT_BRIDGE,3,2019-11,3.864268263946607,0.9977971120537532
2019-02,INDEPENDENT_BRIDGE,4,2020-02,4.242214053582432,5.52170549349239
2019-02,RF_RESIDUAL_R15,1,2019-05,3.4062035100451276,1.362999937586649
2019-02,RF_RESIDUAL_R15,2,2019-08,2.7986715406168905,4.845287260371656
2019-02,RF_RESIDUAL_R15,3,2019-11,3.7293629539357678,0.9977971120537532
2019-02,RF_RESIDUAL_R15,4,2020-02,4.052662399956803,5.52170549349239
2019-02,STABLE_LOCAL_CORE_R14B,1,2019-05,3.186740087263646,1.362999937586649
2019-02,STABLE_LOCAL_CORE_R14B,2,2019-08,3.1867400872636464,4.845287260371656
2019-02,STABLE_LOCAL_CORE_R14B,3,2019-11,3.1867400872636455,0.9977971120537532
2019-02,STABLE_LOCAL_CORE_R14B,4,2020-02,3.1867400872636447,5.52170549349239
2019-02,STABLE_PIPELINE_R14B,1,2019-05,2.6448790538717564,1.362999937586649
2019-02,STABLE_PIPELINE_R14B,2,2019-08,2.387472997807881,4.845287260371656
2019-02,STABLE_PIPELINE_R14B,3,2019-11,3.864268263946607,0.9977971120537532
2019-02,STABLE_PIPELINE_R14B,4,2020-02,4.242214053582432,5.52170549349239
2019-02,STATE_ADAPT_R15,1,2019-05,3.273915329354633,1.362999937586649
2019-02,STATE_ADAPT_R15,2,2019-08,3.129188630048886,4.845287260371656
2019-02,STATE_ADAPT_R15,3,2019-11,3.055088560004342,0.9977971120537532
2019-02,STATE_ADAPT_R15,4,2020-02,3.0171493241415366,5.52170549349239
2019-02,STATE_FAST_R15,1,2019-05,3.69874766317084,1.362999937586649
2019-02,STATE_FAST_R15,2,2019-08,3.611330010840952,4.845287260371656
2019-02,STATE_FAST_R15,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,STATE_FAST_R15,4,2020-02,3.543656159795683,5.52170549349239
2019-02,STATE_MID_R15,1,2019-05,3.273915329354633,1.362999937586649
2019-02,STATE_MID_R15,2,2019-08,3.129188630048886,4.845287260371656
2019-02,STATE_MID_R15,3,2019-11,3.055088560004342,0.9977971120537532
2019-02,STATE_MID_R15,4,2020-02,3.0171493241415366,5.52170549349239
2019-02,STATE_SLOW_R15,1,2019-05,2.7808519037994603,1.362999937586649
2019-02,STATE_SLOW_R15,2,2019-08,2.530434465830893,4.845287260371656
2019-02,STATE_SLOW_R15,3,2019-11,2.4022207375909863,0.9977971120537532
2019-02,STATE_SLOW_R15,4,2020-02,2.336575308732154,5.52170549349239
2019-03,BLEND_LINEAR_RF_R15,1,2019-06,2.4525471974860644,2.3747809566404987
2019-03,BLEND_LINEAR_RF_R15,2,2019-09,2.5764708775077128,2.3657706382498187
2019-03,BLEND_LINEAR_RF_R15,3,2019-12,3.486181993052275,2.7693409942751335
2019-03,BLEND_LINEAR_RF_R15,4,2020-03,3.723400593629412,4.416293739652922
2019-03,BLEND_WIDE_STATE_R15,1,2019-06,2.1034161721159084,2.3747809566404987
2019-03,BLEND_WIDE_STATE_R15,2,2019-09,3.021371888443972,2.3657706382498187
2019-03,BLEND_WIDE_STATE_R15,3,2019-12,2.9097552842111543,2.7693409942751335
2019-03,BLEND_WIDE_STATE_R15,4,2020-03,2.7030719584224236,4.416293739652922
2019-03,ENET_BOTH_R15,1,2019-06,2.001881527172123,2.3747809566404987
2019-03,ENET_BOTH_R15,2,2019-09,2.165805223430895,2.3657706382498187
2019-03,ENET_BOTH_R15,3,2019-12,3.5407066534439045,2.7693409942751335
2019-03,ENET_BOTH_R15,4,2020-03,3.5907225216310845,4.416293739652922
2019-03,ENET_DOMESTIC_R15,1,2019-06,2.873200766025594,2.3747809566404987
2019-03,ENET_DOMESTIC_R15,2,2019-09,2.712259798015152,2.3657706382498187
2019-03,ENET_DOMESTIC_R15,3,2019-12,2.9476237398184213,2.7693409942751335
2019-03,ENET_DOMESTIC_R15,4,2020-03,3.263954189576303,4.416293739652922
2019-03,ENET_IMPORTED_R15,1,2019-06,1.3605667891149344,2.3747809566404987
2019-03,ENET_IMPORTED_R15,2,2019-09,2.9403276106198692,2.3657706382498187
2019-03,ENET_IMPORTED_R15,3,2019-12,3.759117110785815,2.7693409942751335
2019-03,ENET_IMPORTED_R15,4,2020-03,3.6894644210364183,4.416293739652922
2019-03,ENET_WIDE_R15,1,2019-06,1.3133584366339974,2.3747809566404987
2019-03,ENET_WIDE_R15,2,2019-09,3.212226768869466,2.3657706382498187
2019-03,ENET_WIDE_R15,3,2019-12,3.021227492988454,2.7693409942751335
2019-03,ENET_WIDE_R15,4,2020-03,2.6243646148943194,4.416293739652922
2019-03,INDEPENDENT_BRIDGE,1,2019-06,2.1029934227901683,2.3747809566404987
2019-03,INDEPENDENT_BRIDGE,2,2019-09,2.2331974506255143,2.3657706382498187
2019-03,INDEPENDENT_BRIDGE,3,2019-12,2.3141338655375616,2.7693409942751335
2019-03,INDEPENDENT_BRIDGE,4,2020-03,3.5922001467299625,4.416293739652922
2019-03,RF_RESIDUAL_R15,1,2019-06,2.903212867800006,2.3747809566404987
2019-03,RF_RESIDUAL_R15,2,2019-09,2.987136531584529,2.3657706382498187
2019-03,RF_RESIDUAL_R15,3,2019-12,3.4316573326606443,2.7693409942751335
2019-03,RF_RESIDUAL_R15,4,2020-03,3.856078665627739,4.416293739652922
2019-03,STABLE_LOCAL_CORE_R14B,1,2019-06,3.0870888582897487,2.3747809566404987
2019-03,STABLE_LOCAL_CORE_R14B,2,2019-09,3.087088858289748,2.3657706382498187
2019-03,STABLE_LOCAL_CORE_R14B,3,2019-12,3.087088858289748,2.7693409942751335
2019-03,STABLE_LOCAL_CORE_R14B,4,2020-03,3.087088858289748,4.416293739652922
2019-03,STABLE_PIPELINE_R14B,1,2019-06,2.1029934227901683,2.3747809566404987
2019-03,STABLE_PIPELINE_R14B,2,2019-09,2.2331974506255143,2.3657706382498187
2019-03,STABLE_PIPELINE_R14B,3,2019-12,2.3141338655375616,2.7693409942751335
