origin,band,family,feature,log_core_pp,absolute_contribution
2026-07,0,both,cost_47_mean3,0.02060492860482896,0.02060492860482896
2026-07,0,both,ulc_growth12,-0.015279162533479081,0.015279162533479081
2026-07,0,both,services_yoy,0.014348434018537581,0.014348434018537581
2026-07,0,both,destination_season,-0.00818640698250995,0.00818640698250995
2026-07,0,both,cost_62_mean3,-0.002285275193090035,0.002285275193090035
2026-07,0,both,services_change3,-0.002269649502404646,0.002269649502404646
2026-07,0,both,core1,0.0022481951122878267,0.0022481951122878267
2026-07,0,both,cost_45_mean3,-0.00191277096336097,0.00191277096336097
2026-07,0,both,fx1,-0.0013363452639232418,0.0013363452639232418
2026-07,0,both,ip_growth3,-0.0007726680136130367,0.0007726680136130367
2026-07,0,both,goods_change3,-0.0006026493473275001,0.0006026493473275001
2026-07,0,both,cost_62_now,-0.0005165693272807681,0.0005165693272807681
2026-07,0,both,intercept,0.0,0.0
2026-07,0,both,core3,0.0,0.0
2026-07,0,both,core12,0.0,0.0
2026-07,0,both,core_acceleration,-0.0,0.0
2026-07,0,both,midtrend,0.0,0.0
2026-07,0,both,midcycle,-0.0,0.0
2026-07,0,both,unemployment,-0.0,0.0
2026-07,0,both,unemployment_change3,-0.0,0.0
2026-07,0,both,goods_yoy,0.0,0.0
2026-07,0,both,fx3,0.0,0.0
2026-07,0,both,cost_23_now,0.0,0.0
2026-07,0,both,cost_23_mean3,-0.0,0.0
2026-07,0,both,cost_26_now,0.0,0.0
2026-07,0,both,cost_26_mean3,0.0,0.0
2026-07,0,both,cost_45_now,-0.0,0.0
2026-07,0,both,cost_47_now,-0.0,0.0
2026-07,0,both,cost_56_now,0.0,0.0
2026-07,0,both,cost_56_mean3,-0.0,0.0
2026-07,1,both,fx3,0.031012165942298102,0.031012165942298102
2026-07,1,both,cost_45_now,-0.022982081575207185,0.022982081575207185
2026-07,1,both,cost_47_mean3,0.021048439305042195,0.021048439305042195
2026-07,1,both,services_yoy,0.0209255461799308,0.0209255461799308
2026-07,1,both,cost_26_now,0.01858024138163108,0.01858024138163108
2026-07,1,both,cost_62_now,-0.016907224620910127,0.016907224620910127
2026-07,1,both,intercept,0.012233773143688283,0.012233773143688283
