scope,sample,h,model,n_intended_origins,n_available_targets,n_own_forecasts,n_common,yy_n,yy_rmse,yy_mae,yy_bias,mm_n,mm_rmse,mm_mae,mm_bias,cumulative_log_n,cumulative_log_rmse,cumulative_log_mae,cumulative_log_bias
primary_common,full,1,INDEPENDENT_BRIDGE,90,89,88,88,88,0.9107373045382808,0.5483448281111425,-0.11911212254514587,88,0.6910300803237961,0.38118172563908637,-0.09545380836145988,88,0.6770361652105001,0.37794204548607496,-0.0925861716590338
primary_common,full,1,STABLE_PIPELINE_R14B,90,89,89,88,88,0.9049670289361448,0.5320909382768627,-0.13793311030323288,88,0.686491796900017,0.36386064530681106,-0.11195660768771801,88,0.6721848087343675,0.3607168347472767,-0.1087945151891314
primary_common,full,1,STABLE_LOCAL_CORE_R14B,90,89,89,88,88,0.8691519032986068,0.508322006501021,-0.10604580144084,88,0.6648327150989936,0.36810418490535285,-0.08179875675443922,88,0.651189821060581,0.3648863837549079,-0.07855941926136514
primary_common,full,1,STATE_SLOW_R15,90,89,89,88,88,0.8762078055157364,0.5100660649359615,-0.12090767144089326,88,0.6739346492025772,0.36309877252575506,-0.09351179654061767,88,0.6597901008802269,0.35992730461167216,-0.0901626119255473
primary_common,full,1,STATE_MID_R15,90,89,89,88,88,0.8661954064567418,0.5052175280640333,-0.1085070300997222,88,0.6640135986982437,0.3549698262050259,-0.08304114532840488,88,0.6500281160959588,0.35187890951202555,-0.07980355193197917
primary_common,full,1,STATE_FAST_R15,90,89,89,88,88,0.8615359706774576,0.5064345073174391,-0.10641349196496055,88,0.6601739442915463,0.35130461081410086,-0.08164704850738777,88,0.6461903826765562,0.34825277412312844,-0.07848275056962695
primary_common,full,1,STATE_ADAPT_R15,90,89,89,88,88,0.8633958187367946,0.5065458137861613,-0.11499268806331585,88,0.6614574099778855,0.3547255727161712,-0.08975275709238964,88,0.6474767327752209,0.3516480788975142,-0.08652420733009286
primary_common,full,1,ENET_DOMESTIC_R15,90,89,89,88,88,0.8693462570782587,0.5086686489944673,-0.11486147758393285,88,0.6659341090170027,0.35830992562596314,-0.08899916614322571,88,0.6519705456746661,0.3552115784632971,-0.08575024461862212
primary_common,full,1,ENET_IMPORTED_R15,90,89,89,88,88,0.8719711601361624,0.5097937615154341,-0.10524449967423757,88,0.6672779138759367,0.3574759947690158,-0.07986240894323839,88,0.6533443060514403,0.35438005566340425,-0.0766394889997612
primary_common,full,1,ENET_BOTH_R15,90,89,89,88,88,0.8715050528221749,0.5096232625216448,-0.10664226050383184,88,0.6669894014210711,0.3570758934159113,-0.08126875906003575,88,0.6530548645698272,0.3539815056962342,-0.07804215102459632
primary_common,full,1,ENET_WIDE_R15,90,89,89,88,88,0.8750301616659851,0.5140303122108424,-0.11080294404997523,88,0.6711214529425875,0.35704466631303783,-0.08532049906404252,88,0.6572471875055941,0.3539363225322804,-0.08209591929423427
primary_common,full,1,RF_RESIDUAL_R15,90,89,89,88,88,0.8593399279998546,0.5057688328083323,-0.0892314224071333,88,0.6575147144581264,0.3536262551542331,-0.06601962020309983,88,0.6435957310201095,0.3505802224056297,-0.06293455156613768
primary_common,full,1,BLEND_LINEAR_RF_R15,90,89,89,88,88,0.8648623645493488,0.5071582364586391,-0.09794494225651347,88,0.6616528418532707,0.354830266525523,-0.07365149069880501,88,0.6477198417700113,0.35176752760281477,-0.07049156801138609
primary_common,full,1,BLEND_WIDE_STATE_R15,90,89,89,88,88,0.8703037961475518,0.5095586766173824,-0.10965981883995547,88,0.6671913555000792,0.3559516435612709,-0.08418546386457387,88,0.6532566999774314,0.3528528276004329,-0.08095181389846133
primary_common,full,2,INDEPENDENT_BRIDGE,90,88,86,86,86,1.294585199790152,0.8416168863837291,-0.1997538878580161,86,0.6899196711885608,0.38702985158228354,-0.0737865487892192,86,0.9843887944532229,0.629681481982177,-0.1658759548369502
