family,band,measure,source_group,n,mean,mean_abs
both,0,coefficients,constant,2,0.019934589501224093,0.019934589501224093
both,0,coefficients,domestic,12,-0.00909700520534068,0.00909700520534068
both,0,coefficients,imported_cost,32,0.00018928610918734072,0.001521766615528279
both,0,coefficients,own_core_state,14,-0.006493686500008882,0.006493686500008882
both,1,coefficients,constant,2,0.03564835330277198,0.03564835330277198
both,1,coefficients,domestic,12,-0.012219518943951312,0.021894204375867646
both,1,coefficients,imported_cost,32,0.0033986002031676614,0.008903106399876392
both,1,coefficients,own_core_state,14,-0.011007332189626667,0.011007332189626667
both,2,coefficients,constant,2,0.03989344987221141,0.03989344987221141
both,2,coefficients,domestic,12,-0.005692746680927303,0.005696713719989289
both,2,coefficients,imported_cost,32,0.0026992227643765844,0.00532242182040754
both,2,coefficients,own_core_state,14,-0.006246713355605542,0.006246713355605542
both,3,coefficients,constant,2,0.043974104635741654,0.043974104635741654
both,3,coefficients,domestic,12,-0.00020864094720443688,0.001521559543378944
both,3,coefficients,imported_cost,32,-0.002291763699770825,0.0030047283933284726
both,3,coefficients,own_core_state,14,-0.0011373299955453522,0.0011373299955453522
domestic,0,coefficients,constant,2,0.004416442930717155,0.004416442930717155
domestic,0,coefficients,domestic,12,-9.67805533352759e-06,9.67805533352759e-06
domestic,0,coefficients,own_core_state,14,-0.0018562147725727923,0.0018562147725727923
domestic,1,coefficients,constant,2,0.03367722108126216,0.03367722108126216
domestic,1,coefficients,domestic,12,-0.012272613754915883,0.022456061532220798
domestic,1,coefficients,own_core_state,14,-0.008140242210780095,0.008157074018669755
domestic,2,coefficients,constant,2,0.04182960063744284,0.04182960063744284
domestic,2,coefficients,domestic,12,-0.011784781880786431,0.011798205209356552
domestic,2,coefficients,own_core_state,14,-0.0067931369054362745,0.008493346095387728
domestic,3,coefficients,constant,2,0.043974104635741654,0.043974104635741654
domestic,3,coefficients,domestic,12,-0.002188861071265701,0.00332417368008181
domestic,3,coefficients,own_core_state,14,-0.002619486089612725,0.002619486089612725
forest,0,feature_importances,domestic,12,0.029475174304518844,0.029475174304518844
forest,0,feature_importances,imported_cost,32,0.028177173513539527,0.028177173513539527
forest,0,feature_importances,own_core_state,14,0.05318773970803636,0.05318773970803636
forest,1,feature_importances,domestic,12,0.040207046012808806,0.040207046012808806
forest,1,feature_importances,imported_cost,32,0.021296543692765207,0.021296543692765207
forest,1,feature_importances,own_core_state,14,0.05971614640555771,0.05971614640555771
forest,2,feature_importances,domestic,12,0.025227438745841827,0.025227438745841827
forest,2,feature_importances,imported_cost,32,0.03196054611675924,0.03196054611675924
forest,2,feature_importances,own_core_state,14,0.04818094709382871,0.04818094709382871
forest,3,feature_importances,domestic,12,0.020968943858719984,0.020968943858719984
forest,3,feature_importances,imported_cost,32,0.04206694118643963,0.04206694118643963
forest,3,feature_importances,own_core_state,14,0.028730753980663725,0.028730753980663725
imported,0,coefficients,constant,2,0.028157416569068536,0.028157416569068536
imported,0,coefficients,imported_cost,32,0.009939259001749955,0.019511411267231177
imported,0,coefficients,own_core_state,14,-0.018823982335972468,0.03191164579146193
imported,1,coefficients,constant,2,0.033677221081262136,0.033677221081262136
imported,1,coefficients,imported_cost,32,0.005363041002426381,0.00698066559837645
imported,1,coefficients,own_core_state,14,-0.012008193797320441,0.012008193797320441
imported,2,coefficients,constant,2,0.04182960063744282,0.04182960063744282
imported,2,coefficients,imported_cost,32,0.0038071037886520786,0.007507974003784361
imported,2,coefficients,own_core_state,14,-0.00984326679772139,0.00984326679772139
imported,3,coefficients,constant,2,0.04397410463574165,0.04397410463574165
imported,3,coefficients,imported_cost,32,-0.0023090003003861446,0.0030999692049646682
imported,3,coefficients,own_core_state,14,-0.0013641848676761326,0.0013641848676761326
wide,0,coefficients,constant,2,0.02456029935113648,0.02456029935113648
wide,0,coefficients,domestic,10,-0.011985657733632023,0.01820305121334605
wide,0,coefficients,imported_cost,24,0.0012181475249621937,0.00537679835810857
wide,0,coefficients,other_hard_a6,42,0.00111150042911402,0.004028708010882269
wide,0,coefficients,own_core_state,14,-0.008382622962796092,0.008382622962796092
wide,1,coefficients,constant,2,0.029314064392714653,0.029314064392714653
wide,1,coefficients,domestic,10,-0.002816539960453178,0.012917619159113871
wide,1,coefficients,imported_cost,24,0.002378675717039761,0.002378675717039761
wide,1,coefficients,other_hard_a6,42,-0.00043212933706453124,0.0013711041412066663
wide,1,coefficients,own_core_state,14,-0.004456733824339301,0.004456733824339301
wide,2,coefficients,constant,2,0.01430522622606443,0.01430522622606443
wide,2,coefficients,domestic,10,-0.0010810702024119285,0.0010810702024119285
wide,2,coefficients,imported_cost,24,0.0,0.0
wide,2,coefficients,other_hard_a6,42,-0.0003675463286863737,0.0003675463286863737
wide,2,coefficients,own_core_state,14,-0.000637246432436081,0.000637246432436081
wide,3,coefficients,constant,2,0.01758433746059341,0.01758433746059341
wide,3,coefficients,domestic,10,0.0,0.0
wide,3,coefficients,imported_cost,24,-0.0004537857756852229,0.0004537857756852229
wide,3,coefficients,other_hard_a6,42,-0.00044780922699459637,0.00044780922699459637
wide,3,coefficients,own_core_state,14,-0.00023249554732691528,0.00023249554732691528
