scope,sample,metric,h,model,n,mae,rmse,bias
all_models_common,full,headline_yy,1,INDEPENDENT_BRIDGE,1,0.16727569189836,0.16727569189836,0.16727569189836
all_models_common,full,headline_yy,1,STABLE_PIPELINE_R14B,1,0.12213966750067318,0.12213966750067318,0.12213966750067318
all_models_common,full,headline_yy,1,STABLE_LOCAL_CORE_R14B,1,0.16957598184376188,0.16957598184376188,0.16957598184376188
all_models_common,full,headline_yy,1,STATE_SLOW_R15,1,0.14602052123763576,0.14602052123763576,0.14602052123763576
all_models_common,full,headline_yy,1,STATE_MID_R15,1,0.16180187123695244,0.16180187123695244,0.16180187123695244
all_models_common,full,headline_yy,1,STATE_FAST_R15,1,0.1685570750946117,0.1685570750946117,0.1685570750946117
all_models_common,full,headline_yy,1,STATE_ADAPT_R15,1,0.16180187123695244,0.16180187123695244,0.16180187123695244
all_models_common,full,headline_yy,1,ENET_DOMESTIC_R15,1,0.16084097067054826,0.16084097067054826,0.16084097067054826
all_models_common,full,headline_yy,1,ENET_IMPORTED_R15,1,0.08919135131881317,0.08919135131881317,0.08919135131881317
all_models_common,full,headline_yy,1,ENET_BOTH_R15,1,0.11955776909322458,0.11955776909322458,0.11955776909322458
all_models_common,full,headline_yy,1,ENET_WIDE_R15,1,0.08695666490382425,0.08695666490382425,0.08695666490382425
all_models_common,full,headline_yy,1,RF_RESIDUAL_R15,1,0.1622634814598234,0.1622634814598234,0.1622634814598234
all_models_common,full,headline_yy,1,BLEND_LINEAR_RF_R15,1,0.14090661569355234,0.14090661569355234,0.14090661569355234
all_models_common,full,headline_yy,1,BLEND_WIDE_STATE_R15,1,0.12436694889703581,0.12436694889703581,0.12436694889703581
all_models_common,origins_2019_2021,headline_yy,1,INDEPENDENT_BRIDGE,1,0.16727569189836,0.16727569189836,0.16727569189836
all_models_common,origins_2019_2021,headline_yy,1,STABLE_PIPELINE_R14B,1,0.12213966750067318,0.12213966750067318,0.12213966750067318
all_models_common,origins_2019_2021,headline_yy,1,STABLE_LOCAL_CORE_R14B,1,0.16957598184376188,0.16957598184376188,0.16957598184376188
all_models_common,origins_2019_2021,headline_yy,1,STATE_SLOW_R15,1,0.14602052123763576,0.14602052123763576,0.14602052123763576
all_models_common,origins_2019_2021,headline_yy,1,STATE_MID_R15,1,0.16180187123695244,0.16180187123695244,0.16180187123695244
all_models_common,origins_2019_2021,headline_yy,1,STATE_FAST_R15,1,0.1685570750946117,0.1685570750946117,0.1685570750946117
all_models_common,origins_2019_2021,headline_yy,1,STATE_ADAPT_R15,1,0.16180187123695244,0.16180187123695244,0.16180187123695244
all_models_common,origins_2019_2021,headline_yy,1,ENET_DOMESTIC_R15,1,0.16084097067054826,0.16084097067054826,0.16084097067054826
all_models_common,origins_2019_2021,headline_yy,1,ENET_IMPORTED_R15,1,0.08919135131881317,0.08919135131881317,0.08919135131881317
all_models_common,origins_2019_2021,headline_yy,1,ENET_BOTH_R15,1,0.11955776909322458,0.11955776909322458,0.11955776909322458
all_models_common,origins_2019_2021,headline_yy,1,ENET_WIDE_R15,1,0.08695666490382425,0.08695666490382425,0.08695666490382425
all_models_common,origins_2019_2021,headline_yy,1,RF_RESIDUAL_R15,1,0.1622634814598234,0.1622634814598234,0.1622634814598234
all_models_common,origins_2019_2021,headline_yy,1,BLEND_LINEAR_RF_R15,1,0.14090661569355234,0.14090661569355234,0.14090661569355234
all_models_common,origins_2019_2021,headline_yy,1,BLEND_WIDE_STATE_R15,1,0.12436694889703581,0.12436694889703581,0.12436694889703581
all_models_common,origins_2022_2023,headline_yy,1,INDEPENDENT_BRIDGE,0,,,
all_models_common,origins_2022_2023,headline_yy,1,STABLE_PIPELINE_R14B,0,,,
all_models_common,origins_2022_2023,headline_yy,1,STABLE_LOCAL_CORE_R14B,0,,,
all_models_common,origins_2022_2023,headline_yy,1,STATE_SLOW_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,1,STATE_MID_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,1,STATE_FAST_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,1,STATE_ADAPT_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,1,ENET_DOMESTIC_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,1,ENET_IMPORTED_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,1,ENET_BOTH_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,1,ENET_WIDE_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,1,RF_RESIDUAL_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,1,BLEND_LINEAR_RF_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,1,BLEND_WIDE_STATE_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,INDEPENDENT_BRIDGE,0,,,
all_models_common,origins_2024plus,headline_yy,1,STABLE_PIPELINE_R14B,0,,,
all_models_common,origins_2024plus,headline_yy,1,STABLE_LOCAL_CORE_R14B,0,,,
all_models_common,origins_2024plus,headline_yy,1,STATE_SLOW_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,STATE_MID_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,STATE_FAST_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,STATE_ADAPT_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,ENET_DOMESTIC_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,ENET_IMPORTED_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,ENET_BOTH_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,ENET_WIDE_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,RF_RESIDUAL_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,BLEND_LINEAR_RF_R15,0,,,
all_models_common,origins_2024plus,headline_yy,1,BLEND_WIDE_STATE_R15,0,,,
all_models_common,recent_targets,headline_yy,1,INDEPENDENT_BRIDGE,0,,,
all_models_common,recent_targets,headline_yy,1,STABLE_PIPELINE_R14B,0,,,
all_models_common,recent_targets,headline_yy,1,STABLE_LOCAL_CORE_R14B,0,,,
all_models_common,recent_targets,headline_yy,1,STATE_SLOW_R15,0,,,
all_models_common,recent_targets,headline_yy,1,STATE_MID_R15,0,,,
all_models_common,recent_targets,headline_yy,1,STATE_FAST_R15,0,,,
all_models_common,recent_targets,headline_yy,1,STATE_ADAPT_R15,0,,,
all_models_common,recent_targets,headline_yy,1,ENET_DOMESTIC_R15,0,,,
all_models_common,recent_targets,headline_yy,1,ENET_IMPORTED_R15,0,,,
all_models_common,recent_targets,headline_yy,1,ENET_BOTH_R15,0,,,
all_models_common,recent_targets,headline_yy,1,ENET_WIDE_R15,0,,,
all_models_common,recent_targets,headline_yy,1,RF_RESIDUAL_R15,0,,,
all_models_common,recent_targets,headline_yy,1,BLEND_LINEAR_RF_R15,0,,,
all_models_common,recent_targets,headline_yy,1,BLEND_WIDE_STATE_R15,0,,,
all_models_common,full,headline_yy,2,INDEPENDENT_BRIDGE,0,,,
all_models_common,full,headline_yy,2,STABLE_PIPELINE_R14B,0,,,
all_models_common,full,headline_yy,2,STABLE_LOCAL_CORE_R14B,0,,,
all_models_common,full,headline_yy,2,STATE_SLOW_R15,0,,,
all_models_common,full,headline_yy,2,STATE_MID_R15,0,,,
all_models_common,full,headline_yy,2,STATE_FAST_R15,0,,,
all_models_common,full,headline_yy,2,STATE_ADAPT_R15,0,,,
all_models_common,full,headline_yy,2,ENET_DOMESTIC_R15,0,,,
all_models_common,full,headline_yy,2,ENET_IMPORTED_R15,0,,,
all_models_common,full,headline_yy,2,ENET_BOTH_R15,0,,,
all_models_common,full,headline_yy,2,ENET_WIDE_R15,0,,,
all_models_common,full,headline_yy,2,RF_RESIDUAL_R15,0,,,
all_models_common,full,headline_yy,2,BLEND_LINEAR_RF_R15,0,,,
all_models_common,full,headline_yy,2,BLEND_WIDE_STATE_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,INDEPENDENT_BRIDGE,0,,,
all_models_common,origins_2019_2021,headline_yy,2,STABLE_PIPELINE_R14B,0,,,
all_models_common,origins_2019_2021,headline_yy,2,STABLE_LOCAL_CORE_R14B,0,,,
all_models_common,origins_2019_2021,headline_yy,2,STATE_SLOW_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,STATE_MID_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,STATE_FAST_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,STATE_ADAPT_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,ENET_DOMESTIC_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,ENET_IMPORTED_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,ENET_BOTH_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,ENET_WIDE_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,RF_RESIDUAL_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,BLEND_LINEAR_RF_R15,0,,,
all_models_common,origins_2019_2021,headline_yy,2,BLEND_WIDE_STATE_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,INDEPENDENT_BRIDGE,0,,,
all_models_common,origins_2022_2023,headline_yy,2,STABLE_PIPELINE_R14B,0,,,
all_models_common,origins_2022_2023,headline_yy,2,STABLE_LOCAL_CORE_R14B,0,,,
all_models_common,origins_2022_2023,headline_yy,2,STATE_SLOW_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,STATE_MID_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,STATE_FAST_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,STATE_ADAPT_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,ENET_DOMESTIC_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,ENET_IMPORTED_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,ENET_BOTH_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,ENET_WIDE_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,RF_RESIDUAL_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,BLEND_LINEAR_RF_R15,0,,,
all_models_common,origins_2022_2023,headline_yy,2,BLEND_WIDE_STATE_R15,0,,,
all_models_common,origins_2024plus,headline_yy,2,INDEPENDENT_BRIDGE,0,,,
all_models_common,origins_2024plus,headline_yy,2,STABLE_PIPELINE_R14B,0,,,
all_models_common,origins_2024plus,headline_yy,2,STABLE_LOCAL_CORE_R14B,0,,,
all_models_common,origins_2024plus,headline_yy,2,STATE_SLOW_R15,0,,,
all_models_common,origins_2024plus,headline_yy,2,STATE_MID_R15,0,,,
all_models_common,origins_2024plus,headline_yy,2,STATE_FAST_R15,0,,,
all_models_common,origins_2024plus,headline_yy,2,STATE_ADAPT_R15,0,,,
