origin,config,prediction,n_train,last_training_target,status,converged,n_iter,dual_gap,family,band
2010-01,a0.01_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-01,a0.01_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-01,a0.1_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-01,a0.1_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-01,a1_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-01,a1_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-02,a0.01_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-02,a0.01_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-02,a0.1_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-02,a0.1_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-02,a1_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-02,a1_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-03,a0.01_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-03,a0.01_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-03,a0.1_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-03,a0.1_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-03,a1_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-03,a1_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-04,a0.01_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-04,a0.01_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-04,a0.1_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-04,a0.1_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-04,a1_l0.2,,0,,insufficient_history,False,,,domestic,0
2010-04,a1_l0.8,,0,,insufficient_history,False,,,domestic,0
2010-05,a0.01_l0.2,,1,2010-04,insufficient_history,False,,,domestic,0
2010-05,a0.01_l0.8,,1,2010-04,insufficient_history,False,,,domestic,0
2010-05,a0.1_l0.2,,1,2010-04,insufficient_history,False,,,domestic,0
2010-05,a0.1_l0.8,,1,2010-04,insufficient_history,False,,,domestic,0
2010-05,a1_l0.2,,1,2010-04,insufficient_history,False,,,domestic,0
2010-05,a1_l0.8,,1,2010-04,insufficient_history,False,,,domestic,0
2010-06,a0.01_l0.2,,2,2010-05,insufficient_history,False,,,domestic,0
2010-06,a0.01_l0.8,,2,2010-05,insufficient_history,False,,,domestic,0
2010-06,a0.1_l0.2,,2,2010-05,insufficient_history,False,,,domestic,0
2010-06,a0.1_l0.8,,2,2010-05,insufficient_history,False,,,domestic,0
2010-06,a1_l0.2,,2,2010-05,insufficient_history,False,,,domestic,0
2010-06,a1_l0.8,,2,2010-05,insufficient_history,False,,,domestic,0
2010-07,a0.01_l0.2,,3,2010-06,insufficient_history,False,,,domestic,0
2010-07,a0.01_l0.8,,3,2010-06,insufficient_history,False,,,domestic,0
2010-07,a0.1_l0.2,,3,2010-06,insufficient_history,False,,,domestic,0
2010-07,a0.1_l0.8,,3,2010-06,insufficient_history,False,,,domestic,0
2010-07,a1_l0.2,,3,2010-06,insufficient_history,False,,,domestic,0
2010-07,a1_l0.8,,3,2010-06,insufficient_history,False,,,domestic,0
2010-08,a0.01_l0.2,,4,2010-07,insufficient_history,False,,,domestic,0
2010-08,a0.01_l0.8,,4,2010-07,insufficient_history,False,,,domestic,0
2010-08,a0.1_l0.2,,4,2010-07,insufficient_history,False,,,domestic,0
2010-08,a0.1_l0.8,,4,2010-07,insufficient_history,False,,,domestic,0
2010-08,a1_l0.2,,4,2010-07,insufficient_history,False,,,domestic,0
2010-08,a1_l0.8,,4,2010-07,insufficient_history,False,,,domestic,0
2010-09,a0.01_l0.2,,5,2010-08,insufficient_history,False,,,domestic,0
2010-09,a0.01_l0.8,,5,2010-08,insufficient_history,False,,,domestic,0
2010-09,a0.1_l0.2,,5,2010-08,insufficient_history,False,,,domestic,0
2010-09,a0.1_l0.8,,5,2010-08,insufficient_history,False,,,domestic,0
2010-09,a1_l0.2,,5,2010-08,insufficient_history,False,,,domestic,0
2010-09,a1_l0.8,,5,2010-08,insufficient_history,False,,,domestic,0
2010-10,a0.01_l0.2,,6,2010-09,insufficient_history,False,,,domestic,0
2010-10,a0.01_l0.8,,6,2010-09,insufficient_history,False,,,domestic,0
2010-10,a0.1_l0.2,,6,2010-09,insufficient_history,False,,,domestic,0
2010-10,a0.1_l0.8,,6,2010-09,insufficient_history,False,,,domestic,0
2010-10,a1_l0.2,,6,2010-09,insufficient_history,False,,,domestic,0
2010-10,a1_l0.8,,6,2010-09,insufficient_history,False,,,domestic,0
2010-11,a0.01_l0.2,,7,2010-10,insufficient_history,False,,,domestic,0
2010-11,a0.01_l0.8,,7,2010-10,insufficient_history,False,,,domestic,0
2010-11,a0.1_l0.2,,7,2010-10,insufficient_history,False,,,domestic,0
2010-11,a0.1_l0.8,,7,2010-10,insufficient_history,False,,,domestic,0
2010-11,a1_l0.2,,7,2010-10,insufficient_history,False,,,domestic,0
2010-11,a1_l0.8,,7,2010-10,insufficient_history,False,,,domestic,0
2010-12,a0.01_l0.2,,8,2010-11,insufficient_history,False,,,domestic,0
2010-12,a0.01_l0.8,,8,2010-11,insufficient_history,False,,,domestic,0
2010-12,a0.1_l0.2,,8,2010-11,insufficient_history,False,,,domestic,0
2010-12,a0.1_l0.8,,8,2010-11,insufficient_history,False,,,domestic,0
2010-12,a1_l0.2,,8,2010-11,insufficient_history,False,,,domestic,0
2010-12,a1_l0.8,,8,2010-11,insufficient_history,False,,,domestic,0
2011-01,a0.01_l0.2,,9,2010-12,insufficient_history,False,,,domestic,0
2011-01,a0.01_l0.8,,9,2010-12,insufficient_history,False,,,domestic,0
2011-01,a0.1_l0.2,,9,2010-12,insufficient_history,False,,,domestic,0
2011-01,a0.1_l0.8,,9,2010-12,insufficient_history,False,,,domestic,0
2011-01,a1_l0.2,,9,2010-12,insufficient_history,False,,,domestic,0
2011-01,a1_l0.8,,9,2010-12,insufficient_history,False,,,domestic,0
2011-02,a0.01_l0.2,,10,2011-01,insufficient_history,False,,,domestic,0
2011-02,a0.01_l0.8,,10,2011-01,insufficient_history,False,,,domestic,0
2011-02,a0.1_l0.2,,10,2011-01,insufficient_history,False,,,domestic,0
2011-02,a0.1_l0.8,,10,2011-01,insufficient_history,False,,,domestic,0
2011-02,a1_l0.2,,10,2011-01,insufficient_history,False,,,domestic,0
2011-02,a1_l0.8,,10,2011-01,insufficient_history,False,,,domestic,0
2011-03,a0.01_l0.2,,11,2011-02,insufficient_history,False,,,domestic,0
2011-03,a0.01_l0.8,,11,2011-02,insufficient_history,False,,,domestic,0
2011-03,a0.1_l0.2,,11,2011-02,insufficient_history,False,,,domestic,0
2011-03,a0.1_l0.8,,11,2011-02,insufficient_history,False,,,domestic,0
