origin,h,model,core_log,core_mm,fast_core_log,correction_log,band
2019-02,1,DAMPED_P80_Q001_R16,0.1585839495865646,0.15870976042837445,0.1865135254611521,-0.027929575874587498,1
2019-02,1,DAMPED_P80_Q010_R16,0.180384429572408,0.1805472201528065,0.1865135254611521,-0.006129095888744107,1
2019-02,1,DAMPED_P95_Q001_R16,0.18113152506003186,0.1812956672963691,0.1865135254611521,-0.005382000401120246,1
2019-02,1,DAMPED_P95_Q010_R16,0.2145251013435828,0.2147553710717968,0.1865135254611521,0.028011575882430695,1
2019-02,1,DAMPED_ADAPT_R16,0.1585839495865646,0.15870976042837445,0.1865135254611521,-0.027929575874587498,1
2019-02,2,DAMPED_P80_Q001_R16,0.5104844757131817,0.5117896677019477,0.5399527698005971,-0.02946829408741547,1
2019-02,2,DAMPED_P80_Q010_R16,0.5361108789765437,0.537550524899011,0.5399527698005971,-0.0038418908240533955,1
2019-02,2,DAMPED_P95_Q001_R16,0.5379315917244151,0.5393810415619901,0.5399527698005971,-0.002021178076182073,1
2019-02,2,DAMPED_P95_Q010_R16,0.5796842663360458,0.5813676868485583,0.5399527698005971,0.03973149653544861,1
2019-02,2,DAMPED_ADAPT_R16,0.5104844757131817,0.5117896677019477,0.5399527698005971,-0.02946829408741547,1
2019-02,3,DAMPED_P80_Q001_R16,0.22587349438036577,0.22612878072956524,0.2565727630380436,-0.03069926865767783,1
2019-02,3,DAMPED_P80_Q010_R16,0.25456063626574277,0.2548849169587065,0.2565727630380436,-0.0020121267723008374,1
2019-02,3,DAMPED_P95_Q001_R16,0.2577516782352525,0.2580841434569491,0.2565727630380436,0.0011789151972089185,1
2019-02,3,DAMPED_P95_Q010_R16,0.3072052369104276,0.30767759577822423,0.2565727630380436,0.05063247387238401,1
2019-02,3,DAMPED_ADAPT_R16,0.22587349438036577,0.22612878072956524,0.2565727630380436,-0.03069926865767783,1
2019-02,4,DAMPED_P80_Q001_R16,0.2917025273944749,0.2921283932033476,0.32338657570836254,-0.03168404831388766,2
2019-02,4,DAMPED_P80_Q010_R16,0.32283826017746386,0.3233599441360412,0.32338657570836254,-0.0005483155308986798,2
2019-02,4,DAMPED_P95_Q001_R16,0.32761142916705305,0.3281486619280957,0.32338657570836254,0.004224853458690503,2
2019-02,4,DAMPED_P95_Q010_R16,0.38418862022409,0.3849275707218298,0.32338657570836254,0.06080204451572746,2
2019-02,4,DAMPED_ADAPT_R16,0.2917025273944749,0.2921283932033476,0.32338657570836254,-0.03168404831388766,2
2019-02,5,DAMPED_P80_Q001_R16,0.5541186843236146,0.5556567615172415,0.5865905563624703,-0.03247187203885571,2
2019-02,5,DAMPED_P80_Q010_R16,0.5872132898246931,0.5889407667328082,0.5865905563624703,0.0006227334622228575,2
2019-02,5,DAMPED_P95_Q001_R16,0.5937137308909761,0.5954797040741293,0.5865905563624703,0.00712317452850586,2
2019-02,5,DAMPED_P95_Q010_R16,0.6569046067279776,0.6590669573067743,0.5865905563624703,0.07031405036550731,2
2019-02,5,DAMPED_ADAPT_R16,0.5541186843236146,0.5556567615172415,0.5865905563624703,-0.03247187203885571,2
2019-02,6,DAMPED_P80_Q001_R16,0.24281567409162313,0.2431107100991084,0.27591780511045294,-0.033102131018829806,2
2019-02,6,DAMPED_P80_Q010_R16,0.27747737776717335,0.2778627025569851,0.27591780511045294,0.0015595726567204093,2
2019-02,6,DAMPED_P95_Q001_R16,0.2857981284324101,0.28620692063086955,0.27591780511045294,0.009880323321957152,2
2019-02,6,DAMPED_P95_Q010_R16,0.35514899202413447,0.35578039330730526,0.27591780511045294,0.07923118691368153,2
2019-02,6,DAMPED_ADAPT_R16,0.24281567409162313,0.2431107100991084,0.27591780511045294,-0.033102131018829806,2
2019-02,7,DAMPED_P80_Q001_R16,-0.2993777138697759,-0.29893002566297533,-0.2657713756669666,-0.03360633820280928,3
2019-02,7,DAMPED_P80_Q010_R16,-0.2634623316546484,-0.26311557424554294,-0.2657713756669666,0.00230904401231824,3
2019-02,7,DAMPED_P95_Q001_R16,-0.2532687659695299,-0.25294831122479966,-0.2657713756669666,0.012502609697436717,3
2019-02,7,DAMPED_P95_Q010_R16,-0.1781643242398135,-0.178005705822116,-0.2657713756669666,0.08760705142715314,3
2019-02,7,DAMPED_ADAPT_R16,-0.2993777138697759,-0.29893002566297533,-0.2657713756669666,-0.03360633820280928,3
2019-02,8,DAMPED_P80_Q001_R16,0.4434979705566239,0.444482878283047,0.4775076745066169,-0.03400970394999303,3
2019-02,8,DAMPED_P80_Q010_R16,0.48041629560341337,0.48157214491036304,0.4775076745066169,0.00290862109679646,3
2019-02,8,DAMPED_P95_Q001_R16,0.49250385227812,0.4937186459838267,0.4775076745066169,0.014996177771503083,3
2019-02,8,DAMPED_P95_Q010_R16,0.5729954650557332,0.5746402240347821,0.4775076745066169,0.09548779054911627,3
2019-02,8,DAMPED_ADAPT_R16,0.4434979705566239,0.444482878283047,0.4775076745066169,-0.03400970394999303,3
2019-02,9,DAMPED_P80_Q001_R16,0.09025777235102389,0.09029851693583554,0.12459016889876362,-0.03433239654773973,3
2019-02,9,DAMPED_P80_Q010_R16,0.1279784516631428,0.12806037902965736,0.12459016889876362,0.0033882827643791913,3
2019-02,9,DAMPED_P95_Q001_R16,0.1419571531545188,0.1420579600163845,0.12459016889876362,0.01736698425575517,3
2019-02,9,DAMPED_P95_Q010_R16,0.22750359588107727,0.22776258167519567,0.12459016889876362,0.10291342698231365,3
2019-02,9,DAMPED_ADAPT_R16,0.09025777235102389,0.09029851693583554,0.12459016889876362,-0.03433239654773973,3
2019-02,10,DAMPED_P80_Q001_R16,0.2576027498636219,0.2579348308359906,0.29219330048955916,-0.034590550625937244,4
2019-02,10,DAMPED_P80_Q010_R16,0.29596531258800446,0.29640372232616985,0.29219330048955916,0.0037720120984452987,4
2019-02,10,DAMPED_P95_Q001_R16,0.31181408435646457,0.3123007301510632,0.29219330048955916,0.01962078386690541,4
2019-02,10,DAMPED_P95_Q010_R16,0.4021122294972758,0.40292178546697505,0.29219330048955916,0.10991892900771666,4
2019-02,10,DAMPED_ADAPT_R16,0.2576027498636219,0.2579348308359906,0.29219330048955916,-0.034590550625937244,4
2019-02,11,DAMPED_P80_Q001_R16,0.3632688758844524,0.3639294969667566,0.3980659497729477,-0.03479707388849529,4
2019-02,11,DAMPED_P80_Q010_R16,0.40214494533864575,0.4029546331329704,0.3980659497729477,0.004078995565698074,4
2019-02,11,DAMPED_P95_Q001_R16,0.4198290700313345,0.42071158686008087,0.3980659497729477,0.021763120258386837,4
2019-02,11,DAMPED_P95_Q010_R16,0.5146010236358898,0.5159273688562315,0.3980659497729477,0.1165350738629421,4
2019-02,11,DAMPED_ADAPT_R16,0.3632688758844524,0.3639294969667566,0.3980659497729477,-0.03479707388849529,4
2019-02,12,DAMPED_P80_Q001_R16,0.3745944956833396,0.3752969777434821,0.4095567881818812,-0.0349622924985416,4
2019-02,12,DAMPED_P80_Q010_R16,0.41388137052138174,0.41473904230540043,0.4095567881818812,0.00432458233950056,4
2019-02,12,DAMPED_P95_Q001_R16,0.43335610942088665,0.4342964548662122,0.4095567881818812,0.023799321239005466,4
2019-02,12,DAMPED_P95_Q010_R16,0.5323459340021616,0.5337654126972999,0.4095567881818812,0.12278914582028039,4
2019-02,12,DAMPED_ADAPT_R16,0.3745944956833396,0.3752969777434821,0.4095567881818812,-0.0349622924985416,4
2019-03,1,DAMPED_P80_Q001_R16,0.4793048154419567,0.48045531837671684,0.48771005251734584,-0.00840523707538915,1
2019-03,1,DAMPED_P80_Q010_R16,0.4902872788418586,0.4914911535983021,0.48771005251734584,0.002577226324512738,1
2019-03,1,DAMPED_P95_Q001_R16,0.49445377915170136,0.4956782191150255,0.48771005251734584,0.006743726634355518,1
2019-03,1,DAMPED_P95_Q010_R16,0.5034766998910176,0.504746273602707,0.48771005251734584,0.015766647373671783,1
2019-03,1,DAMPED_ADAPT_R16,0.4793048154419567,0.48045531837671684,0.48771005251734584,-0.00840523707538915,1
2019-03,2,DAMPED_P80_Q001_R16,0.19676237047377315,0.19695607465075463,0.20630248881823282,-0.00954011834445967,1
2019-03,2,DAMPED_P80_Q010_R16,0.20946700672524993,0.20968654211776008,0.20630248881823282,0.003164517907017106,1
2019-03,2,DAMPED_P95_Q001_R16,0.2150376086571752,0.2152689803385136,0.20630248881823282,0.008735119838942373,1
2019-03,2,DAMPED_P95_Q010_R16,0.225894831933719,0.22615016653554929,0.20630248881823282,0.019592343115486188,1
2019-03,2,DAMPED_ADAPT_R16,0.19676237047377315,0.19695607465075463,0.20630248881823282,-0.00954011834445967,1
2019-03,3,DAMPED_P80_Q001_R16,0.26424623257958824,0.26459567066128337,0.27469425593930424,-0.010448023359716008,1
2019-03,3,DAMPED_P80_Q010_R16,0.2783286071123249,0.2787163007840342,0.27469425593930424,0.0036343511730206335,1
2019-03,3,DAMPED_P95_Q001_R16,0.2853074024777467,0.28571479139206646,0.27469425593930424,0.010613146538442475,1
2019-03,3,DAMPED_P95_Q010_R16,0.2977958539604631,0.2982397062955669,0.27469425593930424,0.023101598021158853,1
2019-03,3,DAMPED_ADAPT_R16,0.26424623257958824,0.26459567066128337,0.27469425593930424,-0.010448023359716008,1
2019-03,4,DAMPED_P80_Q001_R16,0.5279862527820927,0.5293825565467467,0.5391606001540139,-0.011174347371921245,2
2019-03,4,DAMPED_P80_Q010_R16,0.5431708179398372,0.5446486651604959,0.5391606001540139,0.0040102177858233334,2
2019-03,4,DAMPED_P95_Q001_R16,0.5515468345810953,0.5530706543732695,0.5391606001540139,0.012386234427081422,2
2019-03,4,DAMPED_P95_Q010_R16,0.5654958654963208,0.5670978115885602,0.5391606001540139,0.0263352653423069,2
2019-03,4,DAMPED_ADAPT_R16,0.5279862527820927,0.5293825565467467,0.5391606001540139,-0.011174347371921245,2
2019-03,5,DAMPED_P80_Q001_R16,0.21774233316879302,0.21797956393975287,0.22949773975047835,-0.011755406581685335,2
2019-03,5,DAMPED_P80_Q010_R16,0.2338086508265439,0.234082196402079,0.22949773975047835,0.004310911076065543,2
2019-03,5,DAMPED_P95_Q001_R16,0.24355957769105802,0.24385642498156285,0.22949773975047835,0.014061837940579663,2
2019-03,5,DAMPED_P95_Q010_R16,0.2588248891764833,0.25916012995923704,0.22949773975047835,0.029327149426004923,2
2019-03,5,DAMPED_ADAPT_R16,0.21774233316879302,0.21797956393975287,0.22949773975047835,-0.011755406581685335,2
2019-03,6,DAMPED_P80_Q001_R16,-0.3236037822976525,-0.32308074959471295,-0.31138352834815586,-0.012220253949496662,2
2019-03,6,DAMPED_P80_Q010_R16,-0.30683206263989665,-0.3063618141472464,-0.31138352834815586,0.004551465708259206,2
2019-03,6,DAMPED_P95_Q001_R16,-0.29573693105432,-0.2953000601613448,-0.31138352834815586,0.015646597293835884,2
2019-03,6,DAMPED_P95_Q010_R16,-0.279278168939752,-0.27888855025256304,-0.31138352834815586,0.032105359408403866,2
2019-03,6,DAMPED_ADAPT_R16,-0.3236037822976525,-0.32308074959471295,-0.31138352834815586,-0.012220253949496662,2
2019-03,7,DAMPED_P80_Q001_R16,0.41994972012471,0.42083274461546716,0.43254185196845557,-0.01259213184374558,3
2019-03,7,DAMPED_P80_Q010_R16,0.43728576138246994,0.4382432507141156,0.43254185196845557,0.004743909414014369,3
2019-03,7,DAMPED_P95_Q001_R16,0.4496883194602314,0.4507009346853447,0.43254185196845557,0.01714646749177584,3
2019-03,7,DAMPED_P95_Q010_R16,0.4672352469424473,0.4683284928359256,0.43254185196845557,0.03469339497399171,3
2019-03,7,DAMPED_ADAPT_R16,0.41994972012471,0.42083274461546716,0.43254185196845557,-0.01259213184374558,3
2019-03,8,DAMPED_P80_Q001_R16,0.0672517763158802,0.06727439539326133,0.08014141047502504,-0.012889634159144847,3
2019-03,8,DAMPED_P80_Q010_R16,0.08503927485364338,0.08507544349677224,0.08014141047502504,0.004897864378618333,3
2019-03,8,DAMPED_P95_Q001_R16,0.09870823370472082,0.0987569663147735,0.08014141047502504,0.018566823229695772,3
2019-03,8,DAMPED_P95_Q010_R16,0.11725242810217207,0.1173211956362261,0.08014141047502504,0.037111017627147025,3
2019-03,8,DAMPED_ADAPT_R16,0.0672517763158802,0.06727439539326133,0.08014141047502504,-0.012889634159144847,3
