signal,band,sample,unit,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
goods,0,full,annual_log_pp_squared,87,12,2000,1509,76,87,-1.0193058513152071,-2.8819464785671376,0.00860435551962163,0.974,ok
goods,0,origins_2019_2021,annual_log_pp_squared,35,12,2000,1509,24,35,-0.004266939004566238,-0.012991895484714678,0.1133779527031908,0.3075,ok
goods,0,origins_2022_2023,annual_log_pp_squared,24,12,2000,1509,13,24,-3.6981872011466606,-6.497254346371544,0.2890664415073942,0.931,ok
goods,0,origins_2024plus,annual_log_pp_squared,28,12,2000,1509,17,28,0.008079522437738032,-0.03222622830929033,0.15944343236828207,0.0845,ok
goods,0,recent_targets,annual_log_pp_squared,31,12,2000,1509,20,31,-0.2950529988663446,-0.5188091348865106,0.1538349843173767,0.41,ok
goods,1,full,annual_log_pp_squared,84,12,2000,1509,73,84,2.9499143154097944,-0.7947188885253049,10.373962977021817,0.168,ok
goods,1,origins_2019_2021,annual_log_pp_squared,35,12,2000,1509,24,35,-0.23294189406238622,-0.3701484357110323,0.013922605061997648,0.5525,ok
goods,1,origins_2022_2023,annual_log_pp_squared,24,12,2000,1509,13,24,10.713555195939222,-0.8766227013325572,25.172324623324613,0.0435,ok
goods,1,origins_2024plus,annual_log_pp_squared,25,12,2000,1509,14,25,-0.04718223663740221,-0.07055361372754282,0.012247804098692432,0.4185,ok
goods,1,recent_targets,annual_log_pp_squared,31,12,2000,1509,20,31,-0.5626432280124053,-0.8957823796835557,0.010025130450064437,0.799,ok
goods,2,full,annual_log_pp_squared,81,12,2000,1509,70,81,6.33398315526137,-0.1760460700175284,20.121902350661955,0.069,ok
goods,2,origins_2019_2021,annual_log_pp_squared,35,12,2000,1509,24,35,0.013428646226566116,0.027743792570225887,0.47669932783541197,0.002,ok
goods,2,origins_2022_2023,annual_log_pp_squared,24,12,2000,1509,13,24,21.284355832591178,16.36140253359649,44.20972278977562,0.0,ok
goods,2,origins_2024plus,annual_log_pp_squared,22,12,2000,1509,11,22,0.07991331709331186,-0.007033527444697601,0.1167535934768134,0.284,ok
goods,2,recent_targets,annual_log_pp_squared,31,12,2000,1509,20,31,-0.25529235812980644,-0.6525425458096815,0.2719527922330741,0.484,ok
goods,3,full,annual_log_pp_squared,78,12,2000,1509,67,78,6.062458550796543,0.4281039701745324,17.056924219321004,0.0,ok
goods,3,origins_2019_2021,annual_log_pp_squared,35,12,2000,1509,24,35,0.33324491126089595,0.014611854115047857,1.1260218296901452,0.0175,ok
goods,3,origins_2022_2023,annual_log_pp_squared,24,12,2000,1509,13,24,18.848461273108935,18.848461273108935,37.31702647459037,0.0,ok
goods,3,origins_2024plus,annual_log_pp_squared,19,12,2000,1509,8,19,0.46553286912550473,-0.01124819948768123,0.791127899756585,0.075,ok
goods,3,recent_targets,annual_log_pp_squared,31,12,2000,1509,20,31,8.122507147903763,0.19540497360879538,14.821508740028078,0.003,ok
services,0,full,annual_log_pp_squared,87,12,2000,1509,76,87,0.08515724704177667,-0.22943495541598158,0.5409205657590781,0.337,ok
services,0,origins_2019_2021,annual_log_pp_squared,35,12,2000,1509,24,35,-0.028928591248984604,-0.03391775172031146,0.04288301777621917,0.081,ok
services,0,origins_2022_2023,annual_log_pp_squared,24,12,2000,1509,13,24,0.2711891471190659,-0.47400251852082625,1.6934671047454255,0.1255,ok
services,0,origins_2024plus,annual_log_pp_squared,28,12,2000,1509,17,28,0.06830863055326612,0.05077838008954411,0.09104032771451472,0.0,ok
services,0,recent_targets,annual_log_pp_squared,31,12,2000,1509,20,31,0.04532686239012887,0.04749035638345298,0.10029174737319778,0.0,ok
services,1,full,annual_log_pp_squared,84,12,2000,1509,73,84,1.285135440363018,0.016486374212032695,3.6621672388605546,0.019,ok
services,1,origins_2019_2021,annual_log_pp_squared,35,12,2000,1509,24,35,0.7794966735989448,-0.045277926646083155,0.792111431037973,0.5385,ok
services,1,origins_2022_2023,annual_log_pp_squared,24,12,2000,1509,13,24,3.108485860640778,-0.15116395883935277,5.377354928164998,0.058,ok
services,1,origins_2024plus,annual_log_pp_squared,25,12,2000,1509,14,25,0.24261331036606998,0.01799060503871722,0.44243277244036067,0.0,ok
services,1,recent_targets,annual_log_pp_squared,31,12,2000,1509,20,31,0.11646925749530392,0.011685310707220812,0.5089459210197058,0.021,ok
services,2,full,annual_log_pp_squared,81,12,2000,1509,70,81,2.6550949908869956,-0.8181529641256292,8.654516289108411,0.0795,ok
services,2,origins_2019_2021,annual_log_pp_squared,35,12,2000,1509,24,35,1.1374005417084954,-0.09861713379310998,1.1683317788433185,0.656,ok
services,2,origins_2022_2023,annual_log_pp_squared,24,12,2000,1509,13,24,5.746516538651758,-5.553908196791755,8.17112308346008,0.549,ok
services,2,origins_2024plus,annual_log_pp_squared,22,12,2000,1509,11,22,1.6971490170185062,0.07176281241001968,2.9163481285163075,0.0,ok
services,2,recent_targets,annual_log_pp_squared,31,12,2000,1509,20,31,1.1836541611822182,0.14039695489551485,3.4256652357681334,0.0,ok
services,3,full,annual_log_pp_squared,78,12,2000,1509,67,78,0.5229185584386288,-5.659530910492719,6.566531179041155,0.4075,ok
services,3,origins_2019_2021,annual_log_pp_squared,35,12,2000,1509,24,35,1.1007980979177179,-0.27681874684137586,1.2591291321871276,0.5665,ok
