scope,sample,model,band,n,actual_material_n,sign_match_rate_on_material_actual,material_direction_hit_rate,material_calls_n,wrong_way_n
all_models_common,full,BLEND_DAMPED_TRANSMISSION_R16,2,84,69,0.42028985507246375,0.014492753623188406,11,10
all_models_common,full,DAMPED_ADAPT_R16,2,84,69,0.43478260869565216,0.07246376811594203,9,3
all_models_common,full,DAMPED_P80_Q001_R16,2,84,69,0.4927536231884058,0.07246376811594203,11,5
all_models_common,full,DAMPED_P80_Q010_R16,2,84,69,0.463768115942029,0.0,0,0
all_models_common,full,DAMPED_P95_Q001_R16,2,84,69,0.42028985507246375,0.0,0,0
all_models_common,full,DAMPED_P95_Q010_R16,2,84,69,0.5217391304347826,0.17391304347826086,34,15
all_models_common,full,INDEPENDENT_BRIDGE,2,84,69,0.463768115942029,0.2753623188405797,45,19
all_models_common,full,RF_RESIDUAL_R15,2,84,69,0.4927536231884058,0.2608695652173913,48,21
all_models_common,full,STABLE_LOCAL_CORE_R14B,2,84,69,0.3333333333333333,0.0,0,0
all_models_common,full,STABLE_PIPELINE_R14B,2,84,69,0.463768115942029,0.2753623188405797,45,19
all_models_common,full,STATE_FAST_R15,2,84,69,0.4492753623188406,0.0,0,0
all_models_common,full,TRANSMISSION_BOTH_R16,2,84,69,0.4057971014492754,0.028985507246376812,24,18
all_models_common,full,TRANSMISSION_GOODS_R16,2,84,69,0.43478260869565216,0.043478260869565216,21,15
all_models_common,full,TRANSMISSION_OWN_R16,2,84,69,0.4927536231884058,0.057971014492753624,12,6
all_models_common,full,TRANSMISSION_SERVICES_R16,2,84,69,0.5072463768115942,0.11594202898550725,20,10
all_models_common,full,BLEND_DAMPED_TRANSMISSION_R16,3,81,67,0.7014925373134329,0.23880597014925373,23,4
all_models_common,full,DAMPED_ADAPT_R16,3,81,67,0.6716417910447762,0.0,0,0
all_models_common,full,DAMPED_P80_Q001_R16,3,81,67,0.6865671641791045,0.0,0,0
all_models_common,full,DAMPED_P80_Q010_R16,3,81,67,0.7014925373134329,0.0,0,0
all_models_common,full,DAMPED_P95_Q001_R16,3,81,67,0.40298507462686567,0.0,0,0
all_models_common,full,DAMPED_P95_Q010_R16,3,81,67,0.3283582089552239,0.13432835820895522,32,18
all_models_common,full,INDEPENDENT_BRIDGE,3,81,67,0.4925373134328358,0.3283582089552239,52,24
