scope,sample,model,n,actual_turns,predicted_turns,exact_band_hits,missed_turns,false_turns,exact_turn_recall,exact_turn_precision
all_models_common,full,BLEND_DAMPED_TRANSMISSION_R16,159,77,17,0,77,17,0.0,0.0
all_models_common,full,DAMPED_ADAPT_R16,159,77,0,0,77,0,0.0,
all_models_common,full,DAMPED_P80_Q001_R16,159,77,0,0,77,0,0.0,
all_models_common,full,DAMPED_P80_Q010_R16,159,77,0,0,77,0,0.0,
all_models_common,full,DAMPED_P95_Q001_R16,159,77,0,0,77,0,0.0,
all_models_common,full,DAMPED_P95_Q010_R16,159,77,0,0,77,0,0.0,
all_models_common,full,INDEPENDENT_BRIDGE,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
all_models_common,full,RF_RESIDUAL_R15,159,77,20,3,74,17,0.03896103896103896,0.15
all_models_common,full,STABLE_LOCAL_CORE_R14B,159,77,0,0,77,0,0.0,
all_models_common,full,STABLE_PIPELINE_R14B,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
all_models_common,full,STATE_FAST_R15,159,77,0,0,77,0,0.0,
all_models_common,full,TRANSMISSION_BOTH_R16,159,77,29,0,77,29,0.0,0.0
all_models_common,full,TRANSMISSION_GOODS_R16,159,77,25,2,75,23,0.025974025974025976,0.08
all_models_common,full,TRANSMISSION_OWN_R16,159,77,17,1,76,16,0.012987012987012988,0.058823529411764705
all_models_common,full,TRANSMISSION_SERVICES_R16,159,77,20,1,76,19,0.012987012987012988,0.05
all_models_common,origins_2019_2021,BLEND_DAMPED_TRANSMISSION_R16,70,38,5,0,38,5,0.0,0.0
all_models_common,origins_2019_2021,DAMPED_ADAPT_R16,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,DAMPED_P80_Q001_R16,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,DAMPED_P80_Q010_R16,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,DAMPED_P95_Q001_R16,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,DAMPED_P95_Q010_R16,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,INDEPENDENT_BRIDGE,70,38,16,9,29,7,0.23684210526315788,0.5625
all_models_common,origins_2019_2021,RF_RESIDUAL_R15,70,38,12,2,36,10,0.05263157894736842,0.16666666666666666
all_models_common,origins_2019_2021,STABLE_LOCAL_CORE_R14B,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,STABLE_PIPELINE_R14B,70,38,16,9,29,7,0.23684210526315788,0.5625
all_models_common,origins_2019_2021,STATE_FAST_R15,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,TRANSMISSION_BOTH_R16,70,38,14,0,38,14,0.0,0.0
all_models_common,origins_2019_2021,TRANSMISSION_GOODS_R16,70,38,16,2,36,14,0.05263157894736842,0.125
all_models_common,origins_2019_2021,TRANSMISSION_OWN_R16,70,38,13,1,37,12,0.02631578947368421,0.07692307692307693
all_models_common,origins_2019_2021,TRANSMISSION_SERVICES_R16,70,38,14,1,37,13,0.02631578947368421,0.07142857142857142
all_models_common,origins_2022_2023,BLEND_DAMPED_TRANSMISSION_R16,48,17,12,0,17,12,0.0,0.0
all_models_common,origins_2022_2023,DAMPED_ADAPT_R16,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,DAMPED_P80_Q001_R16,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,DAMPED_P80_Q010_R16,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,DAMPED_P95_Q001_R16,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,DAMPED_P95_Q010_R16,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,INDEPENDENT_BRIDGE,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
all_models_common,origins_2022_2023,RF_RESIDUAL_R15,48,17,5,1,16,4,0.058823529411764705,0.2
all_models_common,origins_2022_2023,STABLE_LOCAL_CORE_R14B,48,17,0,0,17,0,0.0,
