origin,as_of,panel_edge,panel_cutoff,rule
2006-01,2006-02-09 00:00:00,2005-12,2006-02-09 00:00:00,A6_warmup_clock
2006-02,2006-03-09 00:00:00,2006-01,2006-03-09 00:00:00,A6_warmup_clock
2006-03,2006-04-09 00:00:00,2006-02,2006-04-09 00:00:00,A6_warmup_clock
2006-04,2006-05-09 00:00:00,2006-03,2006-05-09 00:00:00,A6_warmup_clock
2006-05,2006-06-09 00:00:00,2006-04,2006-06-09 00:00:00,A6_warmup_clock
2006-06,2006-07-09 00:00:00,2006-05,2006-07-09 00:00:00,A6_warmup_clock
2006-07,2006-08-09 00:00:00,2006-06,2006-08-09 00:00:00,A6_warmup_clock
2006-08,2006-09-09 00:00:00,2006-07,2006-09-09 00:00:00,A6_warmup_clock
2006-09,2006-10-09 00:00:00,2006-08,2006-10-09 00:00:00,A6_warmup_clock
2006-10,2006-11-09 00:00:00,2006-09,2006-11-09 00:00:00,A6_warmup_clock
2006-11,2006-12-09 00:00:00,2006-10,2006-12-09 00:00:00,A6_warmup_clock
2006-12,2007-01-09 00:00:00,2006-11,2007-01-09 00:00:00,A6_warmup_clock
2007-01,2007-02-09 00:00:00,2006-12,2007-02-09 00:00:00,A6_warmup_clock
2007-02,2007-03-09 00:00:00,2007-01,2007-03-09 00:00:00,A6_warmup_clock
2007-03,2007-04-09 00:00:00,2007-02,2007-04-09 00:00:00,A6_warmup_clock
2007-04,2007-05-09 00:00:00,2007-03,2007-05-09 00:00:00,A6_warmup_clock
2007-05,2007-06-09 00:00:00,2007-04,2007-06-09 00:00:00,A6_warmup_clock
2007-06,2007-07-09 00:00:00,2007-05,2007-07-09 00:00:00,A6_warmup_clock
2007-07,2007-08-09 00:00:00,2007-06,2007-08-09 00:00:00,A6_warmup_clock
2007-08,2007-09-09 00:00:00,2007-07,2007-09-09 00:00:00,A6_warmup_clock
2007-09,2007-10-09 00:00:00,2007-08,2007-10-09 00:00:00,A6_warmup_clock
2007-10,2007-11-09 00:00:00,2007-09,2007-11-09 00:00:00,A6_warmup_clock
2007-11,2007-12-09 00:00:00,2007-10,2007-12-09 00:00:00,A6_warmup_clock
2007-12,2008-01-09 00:00:00,2007-11,2008-01-09 00:00:00,A6_warmup_clock
2008-01,2008-02-09 00:00:00,2007-12,2008-02-09 00:00:00,A6_warmup_clock
2008-02,2008-03-09 00:00:00,2008-01,2008-03-09 00:00:00,A6_warmup_clock
2008-03,2008-04-09 00:00:00,2008-02,2008-04-09 00:00:00,A6_warmup_clock
2008-04,2008-05-09 00:00:00,2008-03,2008-05-09 00:00:00,A6_warmup_clock
2008-05,2008-06-09 00:00:00,2008-04,2008-06-09 00:00:00,A6_warmup_clock
2008-06,2008-07-09 00:00:00,2008-05,2008-07-09 00:00:00,A6_warmup_clock
2008-07,2008-08-09 00:00:00,2008-06,2008-08-09 00:00:00,A6_warmup_clock
2008-08,2008-09-09 00:00:00,2008-07,2008-09-09 00:00:00,A6_warmup_clock
2008-09,2008-10-09 00:00:00,2008-08,2008-10-09 00:00:00,A6_warmup_clock
2008-10,2008-11-09 00:00:00,2008-09,2008-11-09 00:00:00,A6_warmup_clock
2008-11,2008-12-09 00:00:00,2008-10,2008-12-09 00:00:00,A6_warmup_clock
2008-12,2009-01-09 00:00:00,2008-11,2009-01-09 00:00:00,A6_warmup_clock
2009-01,2009-02-09 00:00:00,2008-12,2009-02-09 00:00:00,A6_warmup_clock
2009-02,2009-03-09 00:00:00,2009-01,2009-03-09 00:00:00,A6_warmup_clock
2009-03,2009-04-09 00:00:00,2009-02,2009-04-09 00:00:00,A6_warmup_clock
2009-04,2009-05-09 00:00:00,2009-03,2009-05-09 00:00:00,A6_warmup_clock
2009-05,2009-06-09 00:00:00,2009-04,2009-06-09 00:00:00,A6_warmup_clock
2009-06,2009-07-09 00:00:00,2009-05,2009-07-09 00:00:00,A6_warmup_clock
2009-07,2009-08-09 00:00:00,2009-06,2009-08-09 00:00:00,A6_warmup_clock
2009-08,2009-09-09 00:00:00,2009-07,2009-09-09 00:00:00,A6_warmup_clock
2009-09,2009-10-09 00:00:00,2009-08,2009-10-09 00:00:00,A6_warmup_clock
2009-10,2009-11-09 00:00:00,2009-09,2009-11-09 00:00:00,A6_warmup_clock
2009-11,2009-12-09 00:00:00,2009-10,2009-12-09 00:00:00,A6_warmup_clock
2009-12,2010-01-09 00:00:00,2009-11,2010-01-09 00:00:00,A6_warmup_clock
2010-01,2010-02-08 23:59:00,2009-12,2010-02-08 00:00:00,frozen_R15_clock
2010-02,2010-03-08 23:59:00,2010-01,2010-03-08 00:00:00,frozen_R15_clock
2010-03,2010-04-08 23:59:00,2010-02,2010-04-08 00:00:00,frozen_R15_clock
2010-04,2010-05-09 23:59:00,2010-03,2010-05-09 00:00:00,frozen_R15_clock
2010-05,2010-06-08 23:59:00,2010-04,2010-06-08 00:00:00,frozen_R15_clock
2010-06,2010-07-11 23:59:00,2010-05,2010-07-11 00:00:00,frozen_R15_clock
2010-07,2010-08-08 23:59:00,2010-06,2010-08-08 00:00:00,frozen_R15_clock
2010-08,2010-09-08 23:59:00,2010-07,2010-09-08 00:00:00,frozen_R15_clock
2010-09,2010-10-10 23:59:00,2010-08,2010-10-10 00:00:00,frozen_R15_clock
2010-10,2010-11-08 23:59:00,2010-09,2010-11-08 00:00:00,frozen_R15_clock
2010-11,2010-12-08 23:59:00,2010-10,2010-12-08 00:00:00,frozen_R15_clock
2010-12,2011-01-09 23:59:00,2010-11,2011-01-09 00:00:00,frozen_R15_clock
2011-01,2011-02-08 23:59:00,2010-12,2011-02-08 00:00:00,frozen_R15_clock
2011-02,2011-03-08 23:59:00,2011-01,2011-03-08 00:00:00,frozen_R15_clock
2011-03,2011-04-10 23:59:00,2011-02,2011-04-10 00:00:00,frozen_R15_clock
2011-04,2011-05-09 23:59:00,2011-03,2011-05-09 00:00:00,frozen_R15_clock
2011-05,2011-06-08 23:59:00,2011-04,2011-06-08 00:00:00,frozen_R15_clock
2011-06,2011-07-11 23:59:00,2011-05,2011-07-11 00:00:00,frozen_R15_clock
2011-07,2011-08-08 23:59:00,2011-06,2011-08-08 00:00:00,frozen_R15_clock
2011-08,2011-09-08 23:59:00,2011-07,2011-09-08 00:00:00,frozen_R15_clock
2011-09,2011-10-09 23:59:00,2011-08,2011-10-09 00:00:00,frozen_R15_clock
2011-10,2011-11-08 23:59:00,2011-09,2011-11-08 00:00:00,frozen_R15_clock
2011-11,2011-12-08 23:59:00,2011-10,2011-12-08 00:00:00,frozen_R15_clock
2011-12,2012-01-08 23:59:00,2011-11,2012-01-08 00:00:00,frozen_R15_clock
2012-01,2012-02-15 23:59:00,2011-12,2012-02-15 00:00:00,frozen_R15_clock
2012-02,2012-03-08 23:59:00,2012-01,2012-03-08 00:00:00,frozen_R15_clock
2012-03,2012-04-09 23:59:00,2012-02,2012-04-09 00:00:00,frozen_R15_clock
2012-04,2012-05-09 23:59:00,2012-03,2012-05-09 00:00:00,frozen_R15_clock
2012-05,2012-06-10 23:59:00,2012-04,2012-06-10 00:00:00,frozen_R15_clock
2012-06,2012-07-10 23:59:00,2012-05,2012-07-10 00:00:00,frozen_R15_clock
2012-07,2012-08-08 23:59:00,2012-06,2012-08-08 00:00:00,frozen_R15_clock
2012-08,2012-09-09 23:59:00,2012-07,2012-09-09 00:00:00,frozen_R15_clock
2012-09,2012-10-08 23:59:00,2012-08,2012-10-08 00:00:00,frozen_R15_clock
