origin,config,prediction,status,n_train,stage,family,band
2006-01,l0.1,,insufficient_history,0,signal,services,0
2006-01,l1,,insufficient_history,0,signal,services,0
2006-01,l10,,insufficient_history,0,signal,services,0
2006-02,l0.1,,insufficient_history,0,signal,services,0
2006-02,l1,,insufficient_history,0,signal,services,0
2006-02,l10,,insufficient_history,0,signal,services,0
2006-03,l0.1,,insufficient_history,0,signal,services,0
2006-03,l1,,insufficient_history,0,signal,services,0
2006-03,l10,,insufficient_history,0,signal,services,0
2006-04,l0.1,,insufficient_history,0,signal,services,0
2006-04,l1,,insufficient_history,0,signal,services,0
2006-04,l10,,insufficient_history,0,signal,services,0
2006-05,l0.1,,insufficient_history,1,signal,services,0
2006-05,l1,,insufficient_history,1,signal,services,0
2006-05,l10,,insufficient_history,1,signal,services,0
2006-06,l0.1,,insufficient_history,2,signal,services,0
2006-06,l1,,insufficient_history,2,signal,services,0
2006-06,l10,,insufficient_history,2,signal,services,0
2006-07,l0.1,,insufficient_history,3,signal,services,0
2006-07,l1,,insufficient_history,3,signal,services,0
2006-07,l10,,insufficient_history,3,signal,services,0
2006-08,l0.1,,insufficient_history,4,signal,services,0
2006-08,l1,,insufficient_history,4,signal,services,0
2006-08,l10,,insufficient_history,4,signal,services,0
2006-09,l0.1,,insufficient_history,5,signal,services,0
2006-09,l1,,insufficient_history,5,signal,services,0
2006-09,l10,,insufficient_history,5,signal,services,0
2006-10,l0.1,,insufficient_history,6,signal,services,0
2006-10,l1,,insufficient_history,6,signal,services,0
2006-10,l10,,insufficient_history,6,signal,services,0
2006-11,l0.1,,insufficient_history,7,signal,services,0
2006-11,l1,,insufficient_history,7,signal,services,0
2006-11,l10,,insufficient_history,7,signal,services,0
2006-12,l0.1,,insufficient_history,8,signal,services,0
2006-12,l1,,insufficient_history,8,signal,services,0
2006-12,l10,,insufficient_history,8,signal,services,0
2007-01,l0.1,,insufficient_history,9,signal,services,0
2007-01,l1,,insufficient_history,9,signal,services,0
2007-01,l10,,insufficient_history,9,signal,services,0
2007-02,l0.1,,insufficient_history,10,signal,services,0
2007-02,l1,,insufficient_history,10,signal,services,0
2007-02,l10,,insufficient_history,10,signal,services,0
2007-03,l0.1,,insufficient_history,11,signal,services,0
2007-03,l1,,insufficient_history,11,signal,services,0
2007-03,l10,,insufficient_history,11,signal,services,0
2007-04,l0.1,,insufficient_history,12,signal,services,0
2007-04,l1,,insufficient_history,12,signal,services,0
2007-04,l10,,insufficient_history,12,signal,services,0
2007-05,l0.1,,insufficient_history,13,signal,services,0
2007-05,l1,,insufficient_history,13,signal,services,0
2007-05,l10,,insufficient_history,13,signal,services,0
2007-06,l0.1,,insufficient_history,14,signal,services,0
2007-06,l1,,insufficient_history,14,signal,services,0
2007-06,l10,,insufficient_history,14,signal,services,0
2007-07,l0.1,,insufficient_history,15,signal,services,0
2007-07,l1,,insufficient_history,15,signal,services,0
2007-07,l10,,insufficient_history,15,signal,services,0
2007-08,l0.1,,insufficient_history,16,signal,services,0
2007-08,l1,,insufficient_history,16,signal,services,0
2007-08,l10,,insufficient_history,16,signal,services,0
2007-09,l0.1,,insufficient_history,17,signal,services,0
2007-09,l1,,insufficient_history,17,signal,services,0
2007-09,l10,,insufficient_history,17,signal,services,0
2007-10,l0.1,,insufficient_history,18,signal,services,0
2007-10,l1,,insufficient_history,18,signal,services,0
2007-10,l10,,insufficient_history,18,signal,services,0
2007-11,l0.1,,insufficient_history,19,signal,services,0
2007-11,l1,,insufficient_history,19,signal,services,0
2007-11,l10,,insufficient_history,19,signal,services,0
2007-12,l0.1,,insufficient_history,20,signal,services,0
2007-12,l1,,insufficient_history,20,signal,services,0
2007-12,l10,,insufficient_history,20,signal,services,0
2008-01,l0.1,,insufficient_history,21,signal,services,0
2008-01,l1,,insufficient_history,21,signal,services,0
2008-01,l10,,insufficient_history,21,signal,services,0
2008-02,l0.1,,insufficient_history,22,signal,services,0
2008-02,l1,,insufficient_history,22,signal,services,0
2008-02,l10,,insufficient_history,22,signal,services,0
2008-03,l0.1,,insufficient_history,23,signal,services,0
2008-03,l1,,insufficient_history,23,signal,services,0
2008-03,l10,,insufficient_history,23,signal,services,0
2008-04,l0.1,,insufficient_history,24,signal,services,0
2008-04,l1,,insufficient_history,24,signal,services,0
2008-04,l10,,insufficient_history,24,signal,services,0
2008-05,l0.1,,insufficient_history,25,signal,services,0
2008-05,l1,,insufficient_history,25,signal,services,0
2008-05,l10,,insufficient_history,25,signal,services,0
2008-06,l0.1,,insufficient_history,26,signal,services,0
2008-06,l1,,insufficient_history,26,signal,services,0
2008-06,l10,,insufficient_history,26,signal,services,0
2008-07,l0.1,,insufficient_history,27,signal,services,0
2008-07,l1,,insufficient_history,27,signal,services,0
2008-07,l10,,insufficient_history,27,signal,services,0
2008-08,l0.1,,insufficient_history,28,signal,services,0
2008-08,l1,,insufficient_history,28,signal,services,0
2008-08,l10,,insufficient_history,28,signal,services,0
2008-09,l0.1,,insufficient_history,29,signal,services,0
2008-09,l1,,insufficient_history,29,signal,services,0
2008-09,l10,,insufficient_history,29,signal,services,0
2008-10,l0.1,,insufficient_history,30,signal,services,0
2008-10,l1,,insufficient_history,30,signal,services,0
2008-10,l10,,insufficient_history,30,signal,services,0
2008-11,l0.1,,insufficient_history,31,signal,services,0
2008-11,l1,,insufficient_history,31,signal,services,0
2008-11,l10,,insufficient_history,31,signal,services,0
2008-12,l0.1,,insufficient_history,32,signal,services,0
2008-12,l1,,insufficient_history,32,signal,services,0
2008-12,l10,,insufficient_history,32,signal,services,0
2009-01,l0.1,,insufficient_history,33,signal,services,0
2009-01,l1,,insufficient_history,33,signal,services,0
2009-01,l10,,insufficient_history,33,signal,services,0
2009-02,l0.1,,insufficient_history,34,signal,services,0
2009-02,l1,,insufficient_history,34,signal,services,0
2009-02,l10,,insufficient_history,34,signal,services,0
2009-03,l0.1,,insufficient_history,35,signal,services,0
2009-03,l1,,insufficient_history,35,signal,services,0
2009-03,l10,,insufficient_history,35,signal,services,0
2009-04,l0.1,,insufficient_history,36,signal,services,0
2009-04,l1,,insufficient_history,36,signal,services,0
2009-04,l10,,insufficient_history,36,signal,services,0
2009-05,l0.1,,insufficient_history,37,signal,services,0
2009-05,l1,,insufficient_history,37,signal,services,0
2009-05,l10,,insufficient_history,37,signal,services,0
2009-06,l0.1,,insufficient_history,38,signal,services,0
2009-06,l1,,insufficient_history,38,signal,services,0
2009-06,l10,,insufficient_history,38,signal,services,0
2009-07,l0.1,,insufficient_history,39,signal,services,0
2009-07,l1,,insufficient_history,39,signal,services,0
2009-07,l10,,insufficient_history,39,signal,services,0
2009-08,l0.1,,insufficient_history,40,signal,services,0
2009-08,l1,,insufficient_history,40,signal,services,0
2009-08,l10,,insufficient_history,40,signal,services,0
2009-09,l0.1,,insufficient_history,41,signal,services,0
2009-09,l1,,insufficient_history,41,signal,services,0
2009-09,l10,,insufficient_history,41,signal,services,0
2009-10,l0.1,,insufficient_history,42,signal,services,0
2009-10,l1,,insufficient_history,42,signal,services,0
2009-10,l10,,insufficient_history,42,signal,services,0
