origin,model,band,target,predicted_sa_annualized,actual_sa_annualized
2019-02,COMBO_ALL_R17,1,2019-05,3.56942407947306,1.362999937586649
2019-02,COMBO_ALL_R17,2,2019-08,3.486282708478364,4.845287260371656
2019-02,COMBO_ALL_R17,3,2019-11,3.570118134710494,0.9977971120537532
2019-02,COMBO_ALL_R17,4,2020-02,3.3311506903865027,5.52170549349239
2019-02,COMBO_CORE_R17,1,2019-05,3.56942407947306,1.362999937586649
2019-02,COMBO_CORE_R17,2,2019-08,3.486282708478364,4.845287260371656
2019-02,COMBO_CORE_R17,3,2019-11,3.570118134710494,0.9977971120537532
2019-02,COMBO_CORE_R17,4,2020-02,3.3311506903865027,5.52170549349239
2019-02,COMBO_FOOD_FUEL_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,COMBO_FOOD_FUEL_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,COMBO_FOOD_FUEL_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,COMBO_FOOD_FUEL_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,CORE_FAST_H0_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,CORE_FAST_H0_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,CORE_FAST_H0_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,CORE_FAST_H0_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,CORE_NEWS_H0_R17,1,2019-05,3.6784296245129626,1.362999937586649
2019-02,CORE_NEWS_H0_R17,2,2019-08,3.697285323136559,4.845287260371656
2019-02,CORE_NEWS_H0_R17,3,2019-11,3.748081790076231,0.9977971120537532
2019-02,CORE_NEWS_H0_R17,4,2020-02,3.8093640028327522,5.52170549349239
2019-02,CORE_NEWS_R17,1,2019-05,3.6784296245129626,1.362999937586649
2019-02,CORE_NEWS_R17,2,2019-08,3.697285323136559,4.845287260371656
2019-02,CORE_NEWS_R17,3,2019-11,3.748081790076231,0.9977971120537532
2019-02,CORE_NEWS_R17,4,2020-02,3.8093640028327522,5.52170549349239
2019-02,CORE_ROBUST_R17,1,2019-05,3.679375734264946,1.362999937586649
2019-02,CORE_ROBUST_R17,2,2019-08,3.6983600921733775,4.845287260371656
2019-02,CORE_ROBUST_R17,3,2019-11,3.7492639357533903,0.9977971120537532
2019-02,CORE_ROBUST_R17,4,2020-02,3.8106367090585564,5.52170549349239
2019-02,DAMPED_P95_Q001_R16,1,2019-05,3.673850610050466,1.362999937586649
2019-02,DAMPED_P95_Q001_R16,2,2019-08,3.6962434160775652,4.845287260371656
2019-02,DAMPED_P95_Q001_R16,3,2019-11,3.7460352597468285,0.9977971120537532
2019-02,DAMPED_P95_Q001_R16,4,2020-02,3.804389061252874,5.52170549349239
2019-02,FOOD_ASYMMETRIC_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FOOD_ASYMMETRIC_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FOOD_ASYMMETRIC_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FOOD_ASYMMETRIC_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,FOOD_HALF_CORRECTION_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FOOD_HALF_CORRECTION_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FOOD_HALF_CORRECTION_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FOOD_HALF_CORRECTION_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,FOOD_OWN_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FOOD_OWN_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FOOD_OWN_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FOOD_OWN_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,FOOD_PERSISTENCE_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FOOD_PERSISTENCE_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FOOD_PERSISTENCE_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FOOD_PERSISTENCE_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,FOOD_SEASONAL_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FOOD_SEASONAL_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FOOD_SEASONAL_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FOOD_SEASONAL_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,FOOD_SYMMETRIC_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FOOD_SYMMETRIC_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FOOD_SYMMETRIC_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FOOD_SYMMETRIC_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,FUEL_ANNUAL_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FUEL_ANNUAL_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FUEL_ANNUAL_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FUEL_ANNUAL_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,FUEL_SPOT_ECM_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FUEL_SPOT_ECM_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FUEL_SPOT_ECM_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FUEL_SPOT_ECM_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,INDEPENDENT_BRIDGE,1,2019-05,2.6448790538717564,1.362999937586649
2019-02,INDEPENDENT_BRIDGE,2,2019-08,2.387472997807881,4.845287260371656
2019-02,INDEPENDENT_BRIDGE,3,2019-11,3.864268263946607,0.9977971120537532
2019-02,INDEPENDENT_BRIDGE,4,2020-02,4.242214053582432,5.52170549349239
2019-02,MONTHLY_AR_CORE_R17,1,2019-05,3.4914015773829616,1.362999937586649
2019-02,MONTHLY_AR_CORE_R17,2,2019-08,3.3910624641335003,4.845287260371656
2019-02,MONTHLY_AR_CORE_R17,3,2019-11,3.392061836328759,0.9977971120537532
