scope,sample,model,n,actual_turns,predicted_turns,exact_band_hits,missed_turns,false_turns,exact_turn_recall,exact_turn_precision
all_models_common,full,COMBO_ALL_R17,159,77,4,0,77,4,0.0,0.0
all_models_common,full,COMBO_CORE_R17,159,77,4,0,77,4,0.0,0.0
all_models_common,full,COMBO_FOOD_FUEL_R17,159,77,0,0,77,0,0.0,
all_models_common,full,CORE_FAST_H0_R17,159,77,0,0,77,0,0.0,
all_models_common,full,CORE_NEWS_H0_R17,159,77,0,0,77,0,0.0,
all_models_common,full,CORE_NEWS_R17,159,77,0,0,77,0,0.0,
all_models_common,full,CORE_ROBUST_R17,159,77,0,0,77,0,0.0,
all_models_common,full,DAMPED_P95_Q001_R16,159,77,0,0,77,0,0.0,
all_models_common,full,FOOD_ASYMMETRIC_R17,159,77,0,0,77,0,0.0,
all_models_common,full,FOOD_HALF_CORRECTION_R17,159,77,0,0,77,0,0.0,
all_models_common,full,FOOD_OWN_R17,159,77,0,0,77,0,0.0,
all_models_common,full,FOOD_PERSISTENCE_R17,159,77,0,0,77,0,0.0,
all_models_common,full,FOOD_SEASONAL_R17,159,77,0,0,77,0,0.0,
all_models_common,full,FOOD_SYMMETRIC_R17,159,77,0,0,77,0,0.0,
all_models_common,full,FUEL_ANNUAL_R17,159,77,0,0,77,0,0.0,
all_models_common,full,FUEL_SPOT_ECM_R17,159,77,0,0,77,0,0.0,
all_models_common,full,INDEPENDENT_BRIDGE,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
all_models_common,full,MONTHLY_AR_CORE_R17,159,77,17,5,72,12,0.06493506493506493,0.29411764705882354
all_models_common,full,MONTHLY_BOTH_CORE_R17,159,77,11,2,75,9,0.025974025974025976,0.18181818181818182
all_models_common,full,MONTHLY_DOMESTIC_CORE_R17,159,77,11,3,74,8,0.03896103896103896,0.2727272727272727
all_models_common,full,MONTHLY_IMPORTED_CORE_R17,159,77,15,3,74,12,0.03896103896103896,0.2
all_models_common,full,MONTHLY_OWN_CORE_R17,159,77,16,3,74,13,0.03896103896103896,0.1875
all_models_common,full,PATH_COMPONENT_HALF_R17,159,77,0,0,77,0,0.0,
all_models_common,full,PATH_COMPONENT_SELECT_R17,159,77,0,0,77,0,0.0,
all_models_common,full,PATH_FAST_CURRENT_HALF_R17,159,77,0,0,77,0,0.0,
all_models_common,full,PATH_POOL_R17,159,77,0,0,77,0,0.0,
all_models_common,full,RF_RESIDUAL_R15,159,77,20,3,74,17,0.03896103896103896,0.15
all_models_common,full,STABLE_LOCAL_CORE_R14B,159,77,0,0,77,0,0.0,
all_models_common,full,STABLE_PIPELINE_R14B,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
all_models_common,full,STATE_FAST_R15,159,77,0,0,77,0,0.0,
all_models_common,origins_2019_2021,COMBO_ALL_R17,70,38,3,0,38,3,0.0,0.0
all_models_common,origins_2019_2021,COMBO_CORE_R17,70,38,3,0,38,3,0.0,0.0
all_models_common,origins_2019_2021,COMBO_FOOD_FUEL_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,CORE_FAST_H0_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,CORE_NEWS_H0_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,CORE_NEWS_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,CORE_ROBUST_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,DAMPED_P95_Q001_R16,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,FOOD_ASYMMETRIC_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,FOOD_HALF_CORRECTION_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,FOOD_OWN_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,FOOD_PERSISTENCE_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,FOOD_SEASONAL_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,FOOD_SYMMETRIC_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,FUEL_ANNUAL_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,FUEL_SPOT_ECM_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,INDEPENDENT_BRIDGE,70,38,16,9,29,7,0.23684210526315788,0.5625
all_models_common,origins_2019_2021,MONTHLY_AR_CORE_R17,70,38,16,5,33,11,0.13157894736842105,0.3125
all_models_common,origins_2019_2021,MONTHLY_BOTH_CORE_R17,70,38,10,2,36,8,0.05263157894736842,0.2
all_models_common,origins_2019_2021,MONTHLY_DOMESTIC_CORE_R17,70,38,9,3,35,6,0.07894736842105263,0.3333333333333333
all_models_common,origins_2019_2021,MONTHLY_IMPORTED_CORE_R17,70,38,13,3,35,10,0.07894736842105263,0.23076923076923078
all_models_common,origins_2019_2021,MONTHLY_OWN_CORE_R17,70,38,14,3,35,11,0.07894736842105263,0.21428571428571427
all_models_common,origins_2019_2021,PATH_COMPONENT_HALF_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,PATH_COMPONENT_SELECT_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,PATH_FAST_CURRENT_HALF_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,PATH_POOL_R17,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,RF_RESIDUAL_R15,70,38,12,2,36,10,0.05263157894736842,0.16666666666666666
all_models_common,origins_2019_2021,STABLE_LOCAL_CORE_R14B,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,STABLE_PIPELINE_R14B,70,38,16,9,29,7,0.23684210526315788,0.5625
all_models_common,origins_2019_2021,STATE_FAST_R15,70,38,0,0,38,0,0.0,
all_models_common,origins_2022_2023,COMBO_ALL_R17,48,17,1,0,17,1,0.0,0.0
all_models_common,origins_2022_2023,COMBO_CORE_R17,48,17,1,0,17,1,0.0,0.0
all_models_common,origins_2022_2023,COMBO_FOOD_FUEL_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,CORE_FAST_H0_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,CORE_NEWS_H0_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,CORE_NEWS_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,CORE_ROBUST_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,DAMPED_P95_Q001_R16,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,FOOD_ASYMMETRIC_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,FOOD_HALF_CORRECTION_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,FOOD_OWN_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,FOOD_PERSISTENCE_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,FOOD_SEASONAL_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,FOOD_SYMMETRIC_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,FUEL_ANNUAL_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,FUEL_SPOT_ECM_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,INDEPENDENT_BRIDGE,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
all_models_common,origins_2022_2023,MONTHLY_AR_CORE_R17,48,17,1,0,17,1,0.0,0.0
all_models_common,origins_2022_2023,MONTHLY_BOTH_CORE_R17,48,17,1,0,17,1,0.0,0.0
all_models_common,origins_2022_2023,MONTHLY_DOMESTIC_CORE_R17,48,17,2,0,17,2,0.0,0.0
all_models_common,origins_2022_2023,MONTHLY_IMPORTED_CORE_R17,48,17,2,0,17,2,0.0,0.0
all_models_common,origins_2022_2023,MONTHLY_OWN_CORE_R17,48,17,2,0,17,2,0.0,0.0
all_models_common,origins_2022_2023,PATH_COMPONENT_HALF_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,PATH_COMPONENT_SELECT_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,PATH_FAST_CURRENT_HALF_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,PATH_POOL_R17,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,RF_RESIDUAL_R15,48,17,5,1,16,4,0.058823529411764705,0.2
all_models_common,origins_2022_2023,STABLE_LOCAL_CORE_R14B,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,STABLE_PIPELINE_R14B,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
all_models_common,origins_2022_2023,STATE_FAST_R15,48,17,0,0,17,0,0.0,
all_models_common,origins_2024plus,COMBO_ALL_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,COMBO_CORE_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,COMBO_FOOD_FUEL_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,CORE_FAST_H0_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,CORE_NEWS_H0_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,CORE_NEWS_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,CORE_ROBUST_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,DAMPED_P95_Q001_R16,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,FOOD_ASYMMETRIC_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,FOOD_HALF_CORRECTION_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,FOOD_OWN_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,FOOD_PERSISTENCE_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,FOOD_SEASONAL_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,FOOD_SYMMETRIC_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,FUEL_ANNUAL_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,FUEL_SPOT_ECM_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,INDEPENDENT_BRIDGE,41,22,7,1,21,6,0.045454545454545456,0.14285714285714285
all_models_common,origins_2024plus,MONTHLY_AR_CORE_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,MONTHLY_BOTH_CORE_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,MONTHLY_DOMESTIC_CORE_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,MONTHLY_IMPORTED_CORE_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,MONTHLY_OWN_CORE_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,PATH_COMPONENT_HALF_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,PATH_COMPONENT_SELECT_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,PATH_FAST_CURRENT_HALF_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,PATH_POOL_R17,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,RF_RESIDUAL_R15,41,22,3,0,22,3,0.0,0.0
all_models_common,origins_2024plus,STABLE_LOCAL_CORE_R14B,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,STABLE_PIPELINE_R14B,41,22,7,1,21,6,0.045454545454545456,0.14285714285714285
all_models_common,origins_2024plus,STATE_FAST_R15,41,22,0,0,22,0,0.0,
all_models_common,recent_targets,COMBO_ALL_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,COMBO_CORE_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,COMBO_FOOD_FUEL_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,CORE_FAST_H0_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,CORE_NEWS_H0_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,CORE_NEWS_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,CORE_ROBUST_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,DAMPED_P95_Q001_R16,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,FOOD_ASYMMETRIC_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,FOOD_HALF_CORRECTION_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,FOOD_OWN_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,FOOD_PERSISTENCE_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,FOOD_SEASONAL_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,FOOD_SYMMETRIC_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,FUEL_ANNUAL_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,FUEL_SPOT_ECM_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,INDEPENDENT_BRIDGE,56,28,8,2,26,6,0.07142857142857142,0.25
all_models_common,recent_targets,MONTHLY_AR_CORE_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,MONTHLY_BOTH_CORE_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,MONTHLY_DOMESTIC_CORE_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,MONTHLY_IMPORTED_CORE_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,MONTHLY_OWN_CORE_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,PATH_COMPONENT_HALF_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,PATH_COMPONENT_SELECT_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,PATH_FAST_CURRENT_HALF_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,PATH_POOL_R17,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,RF_RESIDUAL_R15,56,28,3,0,28,3,0.0,0.0
all_models_common,recent_targets,STABLE_LOCAL_CORE_R14B,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,STABLE_PIPELINE_R14B,56,28,8,2,26,6,0.07142857142857142,0.25
all_models_common,recent_targets,STATE_FAST_R15,56,28,0,0,28,0,0.0,
paired_INDEPENDENT_BRIDGE,full,INDEPENDENT_BRIDGE,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
paired_INDEPENDENT_BRIDGE,full,STABLE_PIPELINE_R14B,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
paired_INDEPENDENT_BRIDGE,origins_2019_2021,INDEPENDENT_BRIDGE,70,38,16,9,29,7,0.23684210526315788,0.5625
paired_INDEPENDENT_BRIDGE,origins_2019_2021,STABLE_PIPELINE_R14B,70,38,16,9,29,7,0.23684210526315788,0.5625
paired_INDEPENDENT_BRIDGE,origins_2022_2023,INDEPENDENT_BRIDGE,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
paired_INDEPENDENT_BRIDGE,origins_2022_2023,STABLE_PIPELINE_R14B,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
paired_INDEPENDENT_BRIDGE,origins_2024plus,INDEPENDENT_BRIDGE,41,22,7,1,21,6,0.045454545454545456,0.14285714285714285
paired_INDEPENDENT_BRIDGE,origins_2024plus,STABLE_PIPELINE_R14B,41,22,7,1,21,6,0.045454545454545456,0.14285714285714285
paired_INDEPENDENT_BRIDGE,recent_targets,INDEPENDENT_BRIDGE,56,28,8,2,26,6,0.07142857142857142,0.25
paired_INDEPENDENT_BRIDGE,recent_targets,STABLE_PIPELINE_R14B,56,28,8,2,26,6,0.07142857142857142,0.25
paired_STABLE_LOCAL_CORE_R14B,full,STABLE_LOCAL_CORE_R14B,159,77,0,0,77,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,full,STABLE_PIPELINE_R14B,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_LOCAL_CORE_R14B,70,38,0,0,38,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_PIPELINE_R14B,70,38,16,9,29,7,0.23684210526315788,0.5625
paired_STABLE_LOCAL_CORE_R14B,origins_2022_2023,STABLE_LOCAL_CORE_R14B,48,17,0,0,17,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,origins_2022_2023,STABLE_PIPELINE_R14B,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
paired_STABLE_LOCAL_CORE_R14B,origins_2024plus,STABLE_LOCAL_CORE_R14B,41,22,0,0,22,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,origins_2024plus,STABLE_PIPELINE_R14B,41,22,7,1,21,6,0.045454545454545456,0.14285714285714285
paired_STABLE_LOCAL_CORE_R14B,recent_targets,STABLE_LOCAL_CORE_R14B,56,28,0,0,28,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,recent_targets,STABLE_PIPELINE_R14B,56,28,8,2,26,6,0.07142857142857142,0.25
paired_STATE_FAST_R15,full,STABLE_PIPELINE_R14B,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
paired_STATE_FAST_R15,full,STATE_FAST_R15,159,77,0,0,77,0,0.0,
paired_STATE_FAST_R15,origins_2019_2021,STABLE_PIPELINE_R14B,70,38,16,9,29,7,0.23684210526315788,0.5625
paired_STATE_FAST_R15,origins_2019_2021,STATE_FAST_R15,70,38,0,0,38,0,0.0,
paired_STATE_FAST_R15,origins_2022_2023,STABLE_PIPELINE_R14B,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
paired_STATE_FAST_R15,origins_2022_2023,STATE_FAST_R15,48,17,0,0,17,0,0.0,
paired_STATE_FAST_R15,origins_2024plus,STABLE_PIPELINE_R14B,41,22,7,1,21,6,0.045454545454545456,0.14285714285714285
paired_STATE_FAST_R15,origins_2024plus,STATE_FAST_R15,41,22,0,0,22,0,0.0,
paired_STATE_FAST_R15,recent_targets,STABLE_PIPELINE_R14B,56,28,8,2,26,6,0.07142857142857142,0.25
paired_STATE_FAST_R15,recent_targets,STATE_FAST_R15,56,28,0,0,28,0,0.0,
paired_RF_RESIDUAL_R15,full,RF_RESIDUAL_R15,159,77,20,3,74,17,0.03896103896103896,0.15
paired_RF_RESIDUAL_R15,full,STABLE_PIPELINE_R14B,159,77,38,11,66,27,0.14285714285714285,0.2894736842105263
paired_RF_RESIDUAL_R15,origins_2019_2021,RF_RESIDUAL_R15,70,38,12,2,36,10,0.05263157894736842,0.16666666666666666
paired_RF_RESIDUAL_R15,origins_2019_2021,STABLE_PIPELINE_R14B,70,38,16,9,29,7,0.23684210526315788,0.5625
paired_RF_RESIDUAL_R15,origins_2022_2023,RF_RESIDUAL_R15,48,17,5,1,16,4,0.058823529411764705,0.2
paired_RF_RESIDUAL_R15,origins_2022_2023,STABLE_PIPELINE_R14B,48,17,15,1,16,14,0.058823529411764705,0.06666666666666667
paired_RF_RESIDUAL_R15,origins_2024plus,RF_RESIDUAL_R15,41,22,3,0,22,3,0.0,0.0
paired_RF_RESIDUAL_R15,origins_2024plus,STABLE_PIPELINE_R14B,41,22,7,1,21,6,0.045454545454545456,0.14285714285714285
paired_RF_RESIDUAL_R15,recent_targets,RF_RESIDUAL_R15,56,28,3,0,28,3,0.0,0.0
paired_RF_RESIDUAL_R15,recent_targets,STABLE_PIPELINE_R14B,56,28,8,2,26,6,0.07142857142857142,0.25
paired_DAMPED_P95_Q001_R16,full,DAMPED_P95_Q001_R16,159,77,0,0,77,0,0.0,
