scope,metric,origin,target,h,model,benchmark,forecast,baseline,actual,loss_difference,absolute_loss_difference
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2019-03,2019-04,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.937094221029207,2.9383756042254587,2.769818529130847,-0.00043033046437550987,-0.0012813831962517064
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2019-04,2019-05,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.8138474735438552,2.824539189608261,2.9467680608364977,0.002727985564492063,0.010691716064405554
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2019-05,2019-06,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.267058190357526,2.2859173485581037,2.7462121212121224,0.017717211720796378,0.018859158200577486
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2019-06,2019-07,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.7101741910709922,2.742571930308312,2.9300567107750517,0.013197779564744536,0.03239773923731981
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2019-07,2019-08,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.03052672447182,2.927660256316292,2.9272898961284195,0.010657705559735964,0.1028664681555278
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2019-08,2019-09,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.0964867372693905,3.165469266703939,2.6515151515151705,-0.06614912039084456,-0.0689825294345483
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2019-09,2019-10,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.747268646724521,2.8580404206188597,2.735849056603792,-0.014800322401337352,-0.11077177389433857
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2019-10,2019-11,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.628293608176836,2.5567300109087925,3.116147308781873,-0.07494647996559006,-0.07156359726804373
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2019-11,2019-12,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.993817756756524,3.007710093087798,3.207547169811327,0.0057454047713448725,0.013892336331273736
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2019-12,2020-01,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,2.7910947728128668,2.801914262667741,3.6414565826330487,0.01828390058792395,0.010819489854874131
paired_fast_INDEPENDENT_BRIDGE,headline_yy,2020-01,2020-02,1,INDEPENDENT_BRIDGE,STATE_FAST_R15,3.1634607558976713,3.1240910708667537,3.7278657968313063,-0.04599086948227232,-0.039369685030917534
