scope,sample,metric,h,model,n,mae,rmse,bias
all_models_common,full,headline_yy,1,INDEPENDENT_BRIDGE,88,0.5483448281111425,0.9107373045382808,-0.11911212254514587
all_models_common,full,headline_yy,1,STATE_FAST_R15,88,0.5064345073174391,0.8615359706774576,-0.10641349196496055
all_models_common,full,headline_yy,1,STABLE_LOCAL_CORE_R14B,88,0.508322006501021,0.8691519032986068,-0.10604580144084
all_models_common,full,headline_yy,1,DAMPED_P95_Q001_R16,88,0.5056151623007832,0.8581019950175653,-0.10475544511473195
all_models_common,full,headline_yy,1,FUEL_ANNUAL_R17,88,0.4956139218007303,0.8529825380128371,-0.11668316687010448
all_models_common,full,headline_yy,1,MCT_FAST_R18,88,0.5015219115367704,0.8645896467349135,-0.11643970799607511
all_models_common,full,headline_yy,1,MCT_SIGNALS_R18,88,0.4889956297721784,0.8413368913046634,-0.10254510976028323
all_models_common,full,headline_yy,1,MCT_SLOW_R18,88,0.503446515565252,0.8697293283794716,-0.11759174578026808
all_models_common,full,headline_yy,1,FOOD_H0_FAST_R18,88,0.508793148959926,0.8598592473595555,-0.10507702195284793
all_models_common,full,headline_yy,1,FOOD_H0_SELECT_R18,88,0.5079373934940914,0.8616776207985205,-0.10657553412695867
all_models_common,full,headline_yy,1,FOOD_H0_SLOW_R18,88,0.5090199222705188,0.8609644971615324,-0.1064854355815794
all_models_common,origins_2019_2021,headline_yy,1,INDEPENDENT_BRIDGE,34,0.3925893499751775,0.49077297228607314,-0.1665239687236786
all_models_common,origins_2019_2021,headline_yy,1,STATE_FAST_R15,34,0.36944339620428684,0.45470774910006734,-0.12759537452366132
all_models_common,origins_2019_2021,headline_yy,1,STABLE_LOCAL_CORE_R14B,34,0.3566243431745048,0.4567959798125192,-0.158968550316584
all_models_common,origins_2019_2021,headline_yy,1,DAMPED_P95_Q001_R16,34,0.3692343876027311,0.45554483404168833,-0.12651008629359992
all_models_common,origins_2019_2021,headline_yy,1,FUEL_ANNUAL_R17,34,0.3696329333079158,0.45508719786156926,-0.12731917099376996
all_models_common,origins_2019_2021,headline_yy,1,MCT_FAST_R18,34,0.35200630639841374,0.44613583951206365,-0.14835768547199063
all_models_common,origins_2019_2021,headline_yy,1,MCT_SIGNALS_R18,34,0.35200630639841374,0.44613583951206365,-0.14835768547199063
all_models_common,origins_2019_2021,headline_yy,1,MCT_SLOW_R18,34,0.35171562004248225,0.4481813893547739,-0.15715543234798207
all_models_common,origins_2019_2021,headline_yy,1,FOOD_H0_FAST_R18,34,0.37168279066269777,0.4575527024168326,-0.12647945188027046
all_models_common,origins_2019_2021,headline_yy,1,FOOD_H0_SELECT_R18,34,0.3694433962042869,0.4547077491000674,-0.12759537452366126
all_models_common,origins_2019_2021,headline_yy,1,FOOD_H0_SLOW_R18,34,0.37143766308290693,0.4572252058140128,-0.12680310380717713
all_models_common,origins_2022_2023,headline_yy,1,INDEPENDENT_BRIDGE,24,1.0915666986300085,1.5900675495071086,-0.21645239899363997
all_models_common,origins_2022_2023,headline_yy,1,STATE_FAST_R15,24,1.026947126068153,1.5134867436221016,-0.24185296061662945
all_models_common,origins_2022_2023,headline_yy,1,STABLE_LOCAL_CORE_R14B,24,1.0616794529997478,1.531097012548573,-0.1906479143870982
all_models_common,origins_2022_2023,headline_yy,1,DAMPED_P95_Q001_R16,24,1.0228069099652728,1.505951037167381,-0.21738184505329725
all_models_common,origins_2022_2023,headline_yy,1,FUEL_ANNUAL_R17,24,1.0000161450421292,1.4987527979404902,-0.2602620918542548
