origin,target,model,predicted,actual,eligible,predicted_change,actual_change
2019-02,2019-11,DAMPED_P95_Q001_R16,0,0.0,True,0.07218464969636251,-0.36520282553289585
2019-02,2019-11,FOOD_H0_FAST_R18,0,0.0,True,-0.1321754903227914,-0.36520282553289585
2019-02,2019-11,FOOD_H0_SELECT_R18,0,0.0,True,-0.1321754903227914,-0.36520282553289585
2019-02,2019-11,FOOD_H0_SLOW_R18,0,0.0,True,-0.1321754903227914,-0.36520282553289585
2019-02,2019-11,FUEL_ANNUAL_R17,0,0.0,True,-0.1321754903227914,-0.36520282553289585
2019-02,2019-11,INDEPENDENT_BRIDGE,1,0.0,True,1.2193892100748505,-0.36520282553289585
2019-02,2019-11,MCT_FAST_R18,0,0.0,True,0.3848177008921261,-0.36520282553289585
2019-02,2019-11,MCT_SIGNALS_R18,0,0.0,True,0.3848177008921261,-0.36520282553289585
2019-02,2019-11,MCT_SLOW_R18,0,0.0,True,0.3825969614607829,-0.36520282553289585
2019-02,2019-11,STABLE_LOCAL_CORE_R14B,0,0.0,True,-4.440892098500626e-16,-0.36520282553289585
2019-02,2019-11,STATE_FAST_R15,0,0.0,True,-0.1321754903227914,-0.36520282553289585
2019-03,2019-12,DAMPED_P95_Q001_R16,0,0.0,True,0.08341746897525937,0.39456003763463476
2019-03,2019-12,FOOD_H0_FAST_R18,0,0.0,True,-0.0347178995461519,0.39456003763463476
2019-03,2019-12,FOOD_H0_SELECT_R18,0,0.0,True,-0.0347178995461519,0.39456003763463476
2019-03,2019-12,FOOD_H0_SLOW_R18,0,0.0,True,-0.0347178995461519,0.39456003763463476
2019-03,2019-12,FUEL_ANNUAL_R17,0,0.0,True,-0.0347178995461519,0.39456003763463476
2019-03,2019-12,INDEPENDENT_BRIDGE,0,0.0,True,0.2111404427473933,0.39456003763463476
2019-03,2019-12,MCT_FAST_R18,1,0.0,True,0.7723949269943469,0.39456003763463476
2019-03,2019-12,MCT_SIGNALS_R18,1,0.0,True,0.7723949269943469,0.39456003763463476
2019-03,2019-12,MCT_SLOW_R18,1,0.0,True,0.7760632048485578,0.39456003763463476
2019-03,2019-12,STABLE_LOCAL_CORE_R14B,0,0.0,True,-4.440892098500626e-16,0.39456003763463476
2019-03,2019-12,STATE_FAST_R15,0,0.0,True,-0.0347178995461519,0.39456003763463476
2019-04,2020-01,DAMPED_P95_Q001_R16,0,0.0,True,0.07304005759328547,-0.6688584835320368
2019-04,2020-01,FOOD_H0_FAST_R18,0,0.0,True,0.0840288916061569,-0.6688584835320368
2019-04,2020-01,FOOD_H0_SELECT_R18,0,0.0,True,0.0840288916061569,-0.6688584835320368
2019-04,2020-01,FOOD_H0_SLOW_R18,0,0.0,True,0.0840288916061569,-0.6688584835320368
2019-04,2020-01,FUEL_ANNUAL_R17,0,0.0,True,0.0840288916061569,-0.6688584835320368
2019-04,2020-01,INDEPENDENT_BRIDGE,0,0.0,True,-0.3109552968401039,-0.6688584835320368
2019-04,2020-01,MCT_FAST_R18,0,0.0,True,0.32427410877499785,-0.6688584835320368
2019-04,2020-01,MCT_SIGNALS_R18,0,0.0,True,0.32427410877499785,-0.6688584835320368
2019-04,2020-01,MCT_SLOW_R18,0,0.0,True,0.32990016651342735,-0.6688584835320368
2019-04,2020-01,STABLE_LOCAL_CORE_R14B,0,0.0,True,4.440892098500626e-16,-0.6688584835320368
2019-04,2020-01,STATE_FAST_R15,0,0.0,True,0.0840288916061569,-0.6688584835320368
2019-05,2020-02,DAMPED_P95_Q001_R16,0,0.0,True,0.05291568563360505,0.6896326275908802
2019-05,2020-02,FOOD_H0_FAST_R18,0,0.0,True,0.07295588574393452,0.6896326275908802
2019-05,2020-02,FOOD_H0_SELECT_R18,0,0.0,True,0.07295588574393452,0.6896326275908802
2019-05,2020-02,FOOD_H0_SLOW_R18,0,0.0,True,0.07295588574393452,0.6896326275908802
2019-05,2020-02,FUEL_ANNUAL_R17,0,0.0,True,0.07295588574393452,0.6896326275908802
2019-05,2020-02,INDEPENDENT_BRIDGE,1,0.0,True,0.5911852630824117,0.6896326275908802
2019-05,2020-02,MCT_FAST_R18,1,0.0,True,0.7788650721802561,0.6896326275908802
2019-05,2020-02,MCT_SIGNALS_R18,1,0.0,True,0.7788650721802561,0.6896326275908802
2019-05,2020-02,MCT_SLOW_R18,1,0.0,True,0.7798198508510579,0.6896326275908802
2019-05,2020-02,STABLE_LOCAL_CORE_R14B,0,0.0,True,-4.440892098500626e-16,0.6896326275908802
2019-05,2020-02,STATE_FAST_R15,0,0.0,True,0.07295588574393452,0.6896326275908802
2019-06,2020-03,DAMPED_P95_Q001_R16,0,1.0,True,0.03343626180690862,2.180262853973243
2019-06,2020-03,FOOD_H0_FAST_R18,0,1.0,True,0.0633609889102118,2.180262853973243
2019-06,2020-03,FOOD_H0_SELECT_R18,0,1.0,True,0.0633609889102118,2.180262853973243
