origin,model,band,target,predicted_sa_annualized,actual_sa_annualized
2019-02,DAMPED_P95_Q001_R16,1,2019-05,3.673850610050466,1.362999937586649
2019-02,DAMPED_P95_Q001_R16,2,2019-08,3.6962434160775652,4.845287260371656
2019-02,DAMPED_P95_Q001_R16,3,2019-11,3.7460352597468285,0.9977971120537532
2019-02,DAMPED_P95_Q001_R16,4,2020-02,3.804389061252874,5.52170549349239
2019-02,FOOD_H0_FAST_R18,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FOOD_H0_FAST_R18,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FOOD_H0_FAST_R18,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FOOD_H0_FAST_R18,4,2020-02,3.543656159795683,5.52170549349239
2019-02,FOOD_H0_SELECT_R18,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FOOD_H0_SELECT_R18,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FOOD_H0_SELECT_R18,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FOOD_H0_SELECT_R18,4,2020-02,3.543656159795683,5.52170549349239
2019-02,FOOD_H0_SLOW_R18,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FOOD_H0_SLOW_R18,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FOOD_H0_SLOW_R18,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FOOD_H0_SLOW_R18,4,2020-02,3.543656159795683,5.52170549349239
2019-02,FUEL_ANNUAL_R17,1,2019-05,3.69874766317084,1.362999937586649
2019-02,FUEL_ANNUAL_R17,2,2019-08,3.611330010840952,4.845287260371656
2019-02,FUEL_ANNUAL_R17,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,FUEL_ANNUAL_R17,4,2020-02,3.543656159795683,5.52170549349239
2019-02,INDEPENDENT_BRIDGE,1,2019-05,2.6448790538717564,1.362999937586649
2019-02,INDEPENDENT_BRIDGE,2,2019-08,2.387472997807881,4.845287260371656
2019-02,INDEPENDENT_BRIDGE,3,2019-11,3.864268263946607,0.9977971120537532
2019-02,INDEPENDENT_BRIDGE,4,2020-02,4.242214053582432,5.52170549349239
2019-02,MCT_FAST_R18,1,2019-05,2.445342841004412,1.362999937586649
2019-02,MCT_FAST_R18,2,2019-08,2.699295141551786,4.845287260371656
2019-02,MCT_FAST_R18,3,2019-11,2.830160541896538,0.9977971120537532
2019-02,MCT_FAST_R18,4,2020-02,3.435838829156352,5.52170549349239
2019-02,MCT_SIGNALS_R18,1,2019-05,2.445342841004412,1.362999937586649
2019-02,MCT_SIGNALS_R18,2,2019-08,2.699295141551786,4.845287260371656
2019-02,MCT_SIGNALS_R18,3,2019-11,2.830160541896538,0.9977971120537532
2019-02,MCT_SIGNALS_R18,4,2020-02,3.435838829156352,5.52170549349239
2019-02,MCT_SLOW_R18,1,2019-05,2.4304939582598553,1.362999937586649
2019-02,MCT_SLOW_R18,2,2019-08,2.683058770492007,4.845287260371656
2019-02,MCT_SLOW_R18,3,2019-11,2.813090919720638,0.9977971120537532
2019-02,MCT_SLOW_R18,4,2020-02,3.4180644196650825,5.52170549349239
2019-02,STABLE_LOCAL_CORE_R14B,1,2019-05,3.186740087263646,1.362999937586649
2019-02,STABLE_LOCAL_CORE_R14B,2,2019-08,3.1867400872636464,4.845287260371656
2019-02,STABLE_LOCAL_CORE_R14B,3,2019-11,3.1867400872636455,0.9977971120537532
2019-02,STABLE_LOCAL_CORE_R14B,4,2020-02,3.1867400872636447,5.52170549349239
2019-02,STATE_FAST_R15,1,2019-05,3.69874766317084,1.362999937586649
2019-02,STATE_FAST_R15,2,2019-08,3.611330010840952,4.845287260371656
2019-02,STATE_FAST_R15,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,STATE_FAST_R15,4,2020-02,3.543656159795683,5.52170549349239
2019-03,DAMPED_P95_Q001_R16,1,2019-06,3.159163884819205,2.3747809566404987
2019-03,DAMPED_P95_Q001_R16,2,2019-09,3.200213017644323,2.3657706382498187
2019-03,DAMPED_P95_Q001_R16,3,2019-12,3.2425813537944643,2.7693409942751335
2019-03,DAMPED_P95_Q001_R16,4,2020-03,3.2825799099790274,4.416293739652922
2019-03,FOOD_H0_FAST_R18,1,2019-06,3.054795912772244,2.3747809566404987
2019-03,FOOD_H0_FAST_R18,2,2019-09,3.031834338998334,2.3657706382498187
2019-03,FOOD_H0_FAST_R18,3,2019-12,3.020078013226092,2.7693409942751335
2019-03,FOOD_H0_FAST_R18,4,2020-03,3.014058774430704,4.416293739652922
2019-03,FOOD_H0_SELECT_R18,1,2019-06,3.054795912772244,2.3747809566404987
2019-03,FOOD_H0_SELECT_R18,2,2019-09,3.031834338998334,2.3657706382498187
2019-03,FOOD_H0_SELECT_R18,3,2019-12,3.020078013226092,2.7693409942751335
2019-03,FOOD_H0_SELECT_R18,4,2020-03,3.014058774430704,4.416293739652922
2019-03,FOOD_H0_SLOW_R18,1,2019-06,3.054795912772244,2.3747809566404987
2019-03,FOOD_H0_SLOW_R18,2,2019-09,3.031834338998334,2.3657706382498187
2019-03,FOOD_H0_SLOW_R18,3,2019-12,3.020078013226092,2.7693409942751335
2019-03,FOOD_H0_SLOW_R18,4,2020-03,3.014058774430704,4.416293739652922
2019-03,FUEL_ANNUAL_R17,1,2019-06,3.054795912772244,2.3747809566404987
2019-03,FUEL_ANNUAL_R17,2,2019-09,3.031834338998334,2.3657706382498187
2019-03,FUEL_ANNUAL_R17,3,2019-12,3.020078013226092,2.7693409942751335
