sample,model,h,n,n_common,n_intended,n_estimated,n_missing_distributions,n_noncommon_distributions,crps,coverage80,coverage90,width80,width90,point_mae,median_mae
full,DAMPED_P95_Q001_R16,1,50,50,89,53,36,3,0.44770377456184407,0.8,0.84,1.492782646030726,2.2518308647171428,0.5089792933454681,0.5361326205998477
full,DAMPED_P95_Q001_R16,2,49,49,88,52,36,3,0.6868274452491322,0.7755102040816326,0.7755102040816326,2.480743835076575,3.646940970621415,0.7622729265886317,0.8148587908885986
full,DAMPED_P95_Q001_R16,3,48,48,87,51,36,3,0.7761934501908844,0.75,0.7916666666666666,3.890888452326751,4.840384863040008,0.8314548405778158,0.9360220803601024
full,DAMPED_P95_Q001_R16,4,47,47,86,50,36,3,0.898978816959015,0.7446808510638298,0.8297872340425532,4.549893570815198,5.665891104206039,0.8874641906568734,1.0612431084713405
full,DAMPED_P95_Q001_R16,5,46,46,85,49,36,3,0.9524377503817298,0.782608695652174,0.8913043478260869,5.261039113932191,6.37284872233581,0.8958172669033999,1.0288031186476925
full,DAMPED_P95_Q001_R16,6,45,45,84,48,36,3,1.0058205953498833,0.7555555555555555,0.8888888888888888,5.942382707115356,7.497653969255388,0.8686375859783761,1.1311986492785293
full,DAMPED_P95_Q001_R16,7,44,44,83,47,36,3,1.0898450174548866,0.7954545454545454,0.8636363636363636,6.966565490559852,8.916372973293406,0.9025754201239746,1.2822876815517217
full,DAMPED_P95_Q001_R16,8,43,43,82,46,36,3,1.2625322106856296,0.7906976744186046,0.813953488372093,8.356517266376533,10.488457120760895,0.9850347923236408,1.4467109598041101
full,DAMPED_P95_Q001_R16,9,42,42,81,45,36,3,1.4648426053494186,0.8095238095238095,0.8095238095238095,10.02090059254865,11.952955118202025,1.0544000530192121,1.5766641593117439
full,DAMPED_P95_Q001_R16,10,41,41,80,44,36,3,1.7095139871037988,0.7073170731707317,0.8048780487804879,11.207181865405996,13.47265004708932,1.1437636031943161,1.7157919253937335
full,DAMPED_P95_Q001_R16,11,40,40,79,43,36,3,1.9958309141267918,0.65,0.65,12.521196672382377,14.697942991311027,1.2898263290431726,1.8355797276619696
full,DAMPED_P95_Q001_R16,12,39,39,78,42,36,3,2.239667705543325,0.6153846153846154,0.6153846153846154,13.068638560741226,16.299146205954056,1.430136098475485,1.9934768952767206
full,FOOD_H0_FAST_R18,1,50,50,89,53,36,3,0.44792063991791736,0.8,0.84,1.4909073202986989,2.255376972501158,0.5117525808109105,0.5414688929316476
full,FOOD_H0_FAST_R18,2,49,49,88,52,36,3,0.6830534069689889,0.7755102040816326,0.7959183673469388,2.475338050626154,3.637821055248545,0.7570620627312216,0.809667804486647
full,FOOD_H0_FAST_R18,3,48,48,87,51,36,3,0.7764665086915722,0.75,0.7916666666666666,3.9453229311175355,4.807452026551134,0.8277501867028781,0.934344520093104
full,FOOD_H0_FAST_R18,4,47,47,86,50,36,3,0.912065527402665,0.7659574468085106,0.8085106382978723,4.570577479872266,5.696323498743683,0.8923159903421788,1.0928550577777494
full,FOOD_H0_FAST_R18,5,46,46,85,49,36,3,0.9868631541608132,0.782608695652174,0.8695652173913043,5.347045447932698,6.417806931862699,0.9011330425108461,1.1102628588931633
full,FOOD_H0_FAST_R18,6,45,45,84,48,36,3,1.0532282739813132,0.7555555555555555,0.8888888888888888,6.004001869572668,7.514801320423352,0.8879098193546112,1.229993994546097
full,FOOD_H0_FAST_R18,7,44,44,83,47,36,3,1.1565106538979792,0.8181818181818182,0.8636363636363636,7.058950667857454,8.753527240435004,0.9456036004479269,1.462486373033238
full,FOOD_H0_FAST_R18,8,43,43,82,46,36,3,1.3355844709737372,0.7674418604651163,0.8372093023255814,8.410001879049386,10.27783743394545,1.0379431465130478,1.6427492781360478
full,FOOD_H0_FAST_R18,9,42,42,81,45,36,3,1.5144009944176444,0.8095238095238095,0.8095238095238095,9.952456838182226,11.85627605225873,1.055070197742761,1.7488185741454472
full,FOOD_H0_FAST_R18,10,41,41,80,44,36,3,1.7235819458095292,0.7560975609756098,0.8292682926829268,11.132583519983694,13.402083680820835,1.0702506551033157,1.8012362382049016
full,FOOD_H0_FAST_R18,11,40,40,79,43,36,3,1.982696116866041,0.725,0.75,12.47828256323928,14.386087042172994,1.1928069727080797,1.967955979458337
full,FOOD_H0_FAST_R18,12,39,39,78,42,36,3,2.195526270483164,0.5641025641025641,0.6666666666666666,12.755978737849025,15.964935236320617,1.3101045871893031,2.080901360310675
full,FOOD_H0_SELECT_R18,1,50,50,89,53,36,3,0.4480587405526456,0.8,0.84,1.4818649835744622,2.265854730282182,0.5106869689553535,0.5409364966658339
full,FOOD_H0_SELECT_R18,2,49,49,88,52,36,3,0.6847995036801643,0.7551020408163265,0.7959183673469388,2.4545721339115993,3.6735265430692046,0.7586948925790806,0.8145133217836692
full,FOOD_H0_SELECT_R18,3,48,48,87,51,36,3,0.7764474302776779,0.75,0.7916666666666666,3.926286356265043,4.84183455742909,0.8289934986419788,0.932227416653799
full,FOOD_H0_SELECT_R18,4,47,47,86,50,36,3,0.9085002613482486,0.7659574468085106,0.8085106382978723,4.581868838078018,5.644743941423271,0.8884394077209329,1.0888043446406284
full,FOOD_H0_SELECT_R18,5,46,46,85,49,36,3,0.985221631233913,0.8043478260869565,0.8695652173913043,5.385938483818478,6.420544269732832,0.8980909147681743,1.1091124427828611
full,FOOD_H0_SELECT_R18,6,45,45,84,48,36,3,1.052379965396041,0.7777777777777778,0.8888888888888888,6.031716332504123,7.518104024815378,0.8865776671016808,1.2229412454524418
full,FOOD_H0_SELECT_R18,7,44,44,83,47,36,3,1.1533040554025897,0.7954545454545454,0.8636363636363636,7.04938505121792,8.731009095801705,0.945081563675616,1.4511971514529542
full,FOOD_H0_SELECT_R18,8,43,43,82,46,36,3,1.3297012013568585,0.7674418604651163,0.8837209302325582,8.382125041135227,10.268176796767154,1.0319625456678723,1.637717714998141
full,FOOD_H0_SELECT_R18,9,42,42,81,45,36,3,1.505384956427705,0.7857142857142857,0.8095238095238095,9.905225743279292,11.85507391027416,1.0425778503380998,1.7220946157134926
full,FOOD_H0_SELECT_R18,10,41,41,80,44,36,3,1.7154070712754683,0.7317073170731707,0.8536585365853658,11.120433599326738,13.435010907725475,1.0685084224689998,1.7913666681264435
full,FOOD_H0_SELECT_R18,11,40,40,79,43,36,3,1.9769578589536334,0.7,0.725,12.432583308822139,14.425590157711394,1.191061499521604,1.9635132718317625
full,FOOD_H0_SELECT_R18,12,39,39,78,42,36,3,2.190270154499105,0.5897435897435898,0.6666666666666666,12.752338176356306,15.909412207821207,1.311731232176703,2.0786289363144363
full,FOOD_H0_SLOW_R18,1,50,50,89,53,36,3,0.4489127804462339,0.8,0.84,1.4907655987376558,2.260686605223619,0.511790170099031,0.5424318490472623
full,FOOD_H0_SLOW_R18,2,49,49,88,52,36,3,0.6844772073328819,0.7346938775510204,0.7959183673469388,2.478754745825871,3.6449967195149617,0.7584624129902379,0.8097863276612983
full,FOOD_H0_SLOW_R18,3,48,48,87,51,36,3,0.775652446936992,0.75,0.7916666666666666,3.9528594342952563,4.806920671931349,0.8289186690856368,0.930996008943973
full,FOOD_H0_SLOW_R18,4,47,47,86,50,36,3,0.9094164146466137,0.7659574468085106,0.8085106382978723,4.569579706779704,5.701225045223674,0.8901984826535684,1.0895623658616596
full,FOOD_H0_SLOW_R18,5,46,46,85,49,36,3,0.986504906858387,0.782608695652174,0.8695652173913043,5.33378328921201,6.426925273990188,0.9001922692111599,1.1112209098879768
full,FOOD_H0_SLOW_R18,6,45,45,84,48,36,3,1.050953397059983,0.8,0.8888888888888888,5.997870928182456,7.570513093007851,0.8874166888974601,1.2237824029202153
full,FOOD_H0_SLOW_R18,7,44,44,83,47,36,3,1.152467296573931,0.8181818181818182,0.8636363636363636,7.097291112583876,8.764273035688179,0.9466167549832473,1.4606138519953336
full,FOOD_H0_SLOW_R18,8,43,43,82,46,36,3,1.3233202272656135,0.7674418604651163,0.8837209302325582,8.437814262321922,10.251718368638269,1.0279868286237945,1.6333085393285758
full,FOOD_H0_SLOW_R18,9,42,42,81,45,36,3,1.499082885411484,0.7857142857142857,0.8095238095238095,9.884021025672931,11.930594082834263,1.0423180979739266,1.7138958076678552
full,FOOD_H0_SLOW_R18,10,41,41,80,44,36,3,1.7102090194124884,0.7317073170731707,0.8536585365853658,11.127224737556954,13.414312518148208,1.062323303873222,1.7882630381481746
full,FOOD_H0_SLOW_R18,11,40,40,79,43,36,3,1.9715439194789557,0.7,0.725,12.438355063096314,14.391757633160202,1.187482351875468,1.9504938828781184
full,FOOD_H0_SLOW_R18,12,39,39,78,42,36,3,2.18357470380573,0.5897435897435898,0.6666666666666666,12.774664944649572,15.93352651945931,1.3076672811557624,2.066359606856717
full,FUEL_ANNUAL_R17,1,50,50,89,53,36,3,0.4368637741976745,0.82,0.84,1.5028694385918848,2.154404747587761,0.4918480411027622,0.5207230746553203
full,FUEL_ANNUAL_R17,2,49,49,88,52,36,3,0.6755602577039214,0.7755102040816326,0.7755102040816326,2.449269176962283,3.641900088271167,0.7479416904950483,0.8045831469826771
full,FUEL_ANNUAL_R17,3,48,48,87,51,36,3,0.76730842255167,0.75,0.7916666666666666,3.932466395779342,4.905708815898396,0.8172260158497756,0.964409561495164
full,FUEL_ANNUAL_R17,4,47,47,86,50,36,3,0.8877887158699306,0.7446808510638298,0.8085106382978723,4.719294491571963,5.691968138067096,0.8569014170918408,1.0264859073328139
full,FUEL_ANNUAL_R17,5,46,46,85,49,36,3,0.9450464788236298,0.7608695652173914,0.8913043478260869,5.515840664906871,6.40219013843926,0.8647725853818671,1.061349676419313
full,FUEL_ANNUAL_R17,6,45,45,84,48,36,3,1.019800856669176,0.8222222222222222,0.8888888888888888,6.268571252280187,7.3942338555313905,0.8725943550677381,1.1837352408546329
full,FUEL_ANNUAL_R17,7,44,44,83,47,36,3,1.132428947668476,0.8181818181818182,0.8863636363636364,7.085334318055967,8.743954239002331,0.9030755881361053,1.4377393097879987
full,FUEL_ANNUAL_R17,8,43,43,82,46,36,3,1.3210482729760635,0.7906976744186046,0.8604651162790697,8.46571859979279,10.425379687583595,1.0110942391181936,1.619090462198523
full,FUEL_ANNUAL_R17,9,42,42,81,45,36,3,1.4785429859031078,0.8333333333333334,0.8571428571428571,10.032279756309574,11.883188814563365,1.0062266944516218,1.7575235241148088
full,FUEL_ANNUAL_R17,10,41,41,80,44,36,3,1.6515096965068636,0.7804878048780488,0.8536585365853658,11.256290710540286,13.414366096577876,1.006457831970716,1.705871126335225
full,FUEL_ANNUAL_R17,11,40,40,79,43,36,3,1.8804486523939274,0.8,0.8,12.596589066737355,14.428748540657745,1.0639350872550402,1.7968100281984405
full,FUEL_ANNUAL_R17,12,39,39,78,42,36,3,2.067489606443746,0.6153846153846154,0.717948717948718,12.815939842403255,15.926725951716994,1.147854271607206,1.946061813775572
full,INDEPENDENT_BRIDGE,1,50,50,89,50,39,0,0.4932526215186586,0.8,0.82,1.6550024332530884,2.5232020839966385,0.556956469416008,0.5892537644919066
full,INDEPENDENT_BRIDGE,2,49,49,88,49,39,0,0.7747623901915085,0.6938775510204082,0.7142857142857143,2.6224120382261544,3.6784433022640517,0.8725965151170116,0.9599135314682384
full,INDEPENDENT_BRIDGE,3,48,48,87,48,39,0,0.9002298162731339,0.75,0.7916666666666666,3.9610382599347442,5.13172077271957,0.9707716082708812,1.135427872545676
full,INDEPENDENT_BRIDGE,4,47,47,86,47,39,0,1.0426185997060928,0.7446808510638298,0.8297872340425532,4.6312184777128005,6.802814771124619,1.0289605526509968,1.2615307805709983
full,INDEPENDENT_BRIDGE,5,46,46,85,46,39,0,1.1318101071882667,0.8478260869565217,0.8695652173913043,5.503421893975902,7.384109310505965,1.0074213533589242,1.2668956202787431
full,INDEPENDENT_BRIDGE,6,45,45,84,45,39,0,1.2270039480251327,0.7333333333333333,0.8666666666666667,6.468990789954115,8.252982980078176,0.972675397980126,1.3928628565742018
full,INDEPENDENT_BRIDGE,7,44,44,83,44,39,0,1.4851576221187899,0.7045454545454546,0.8181818181818182,7.455863100959511,9.444079159829773,1.1567787397725586,1.7380653323295918
full,INDEPENDENT_BRIDGE,8,43,43,82,43,39,0,1.676109269649862,0.7441860465116279,0.7906976744186046,9.093015141884713,11.176604716531438,1.2817539337681305,2.0625115338719326
full,INDEPENDENT_BRIDGE,9,42,42,81,42,39,0,2.0418011281620885,0.7380952380952381,0.7857142857142857,10.794540638010826,13.402470911949969,1.4628883911134642,2.3464973902655126
full,INDEPENDENT_BRIDGE,10,41,41,80,41,39,0,2.3806434211145375,0.7317073170731707,0.7804878048780488,12.679737394410832,14.85670278830316,1.626521290487847,2.6657073471458146
full,INDEPENDENT_BRIDGE,11,40,40,79,40,39,0,2.8041677567032854,0.675,0.725,14.296936827194589,16.247167686891693,1.8736365538289756,2.992797964840813
full,INDEPENDENT_BRIDGE,12,39,39,78,39,39,0,3.1817115333023724,0.6153846153846154,0.6923076923076923,15.222835203426461,17.06620592463239,2.035480108982471,3.312366610362685
full,MCT_FAST_R18,1,50,50,89,53,36,3,0.4538240429152392,0.78,0.84,1.4312291895501668,2.31653358152446,0.5038734639974798,0.5330323493148043
full,MCT_FAST_R18,2,49,49,88,52,36,3,0.7025405362680538,0.7551020408163265,0.7755102040816326,2.4218914000836653,3.716391947539631,0.7654922325290242,0.8520511303473423
full,MCT_FAST_R18,3,48,48,87,51,36,3,0.8081416005148708,0.75,0.7708333333333334,4.049698907612685,4.831345182646301,0.8293047613965032,1.036360154153248
full,MCT_FAST_R18,4,47,47,86,50,36,3,0.9639523479244513,0.6808510638297872,0.7872340425531915,4.57837473892332,5.725175459931372,0.9158403755896327,1.1757625418514386
full,MCT_FAST_R18,5,46,46,85,49,36,3,1.0533529621890347,0.6739130434782609,0.782608695652174,5.3651431268970216,6.57035730008738,0.9280563531829158,1.2201222366083335
full,MCT_FAST_R18,6,45,45,84,48,36,3,1.1678387666644767,0.7333333333333333,0.8,6.154171659936392,7.564410817970256,0.9695274835231874,1.310952356654821
full,MCT_FAST_R18,7,44,44,83,47,36,3,1.3130983771034344,0.7272727272727273,0.8409090909090909,7.044030157301737,8.86202555786717,1.0484501816548106,1.5976020682891636
full,MCT_FAST_R18,8,43,43,82,46,36,3,1.5167564478058468,0.6744186046511628,0.7441860465116279,8.219892557824497,10.49800824306713,1.1827610809150477,1.884260797428479
full,MCT_FAST_R18,9,42,42,81,45,36,3,1.694078745850946,0.7142857142857143,0.7380952380952381,9.523628638912092,12.175527925447106,1.1824619688812386,1.8899905504917345
full,MCT_FAST_R18,10,41,41,80,44,36,3,1.9091796655954372,0.7317073170731707,0.7560975609756098,10.876359532235462,13.538183650926324,1.1825384286170129,1.9072638468259635
full,MCT_FAST_R18,11,40,40,79,43,36,3,2.185724990636062,0.625,0.725,12.321683436307984,14.525096716499027,1.2472628599858027,2.1284684353702312
full,MCT_FAST_R18,12,39,39,78,42,36,3,2.4253677203552932,0.5384615384615384,0.5897435897435898,12.939619187904352,15.522896444330058,1.3589925806534982,2.244886168750751
full,MCT_SIGNALS_R18,1,50,50,89,53,36,3,0.44531376452140464,0.8,0.84,1.431556880043882,2.07240476144541,0.5008054544045717,0.5332158637531349
full,MCT_SIGNALS_R18,2,49,49,88,52,36,3,0.6812781625103574,0.7755102040816326,0.7959183673469388,2.312099818331698,3.260319570448145,0.7581730920227494,0.8327842476480977
full,MCT_SIGNALS_R18,3,48,48,87,51,36,3,0.7759154715736477,0.75,0.7916666666666666,3.2665959281144032,4.513773674961929,0.8134481426639398,0.9598979933088364
full,MCT_SIGNALS_R18,4,47,47,86,50,36,3,0.9308198516868139,0.7446808510638298,0.8297872340425532,3.9016113428057966,5.541012600648414,0.8995071422886312,1.1319278410615088
full,MCT_SIGNALS_R18,5,46,46,85,49,36,3,1.0635759367466355,0.7391304347826086,0.8695652173913043,4.507917725395622,6.945979747533666,0.971233383893954,1.2581361258325254
full,MCT_SIGNALS_R18,6,45,45,84,48,36,3,1.1138510337011975,0.7333333333333333,0.8444444444444444,5.886041633464455,7.877323106359128,0.9677743814019731,1.2769785186716522
full,MCT_SIGNALS_R18,7,44,44,83,47,36,3,1.1537330175374094,0.7272727272727273,0.8409090909090909,6.998483492947965,8.925176374289732,0.9440648204818873,1.3145766526521847
full,MCT_SIGNALS_R18,8,43,43,82,46,36,3,1.2419389138888752,0.7209302325581395,0.813953488372093,8.34766516488683,10.500537049257382,0.9495218223589613,1.3720465663863797
full,MCT_SIGNALS_R18,9,42,42,81,45,36,3,1.5536242513945213,0.6666666666666666,0.7380952380952381,9.60895460351591,12.168712623087643,1.1211141278142316,1.7173396708994837
full,MCT_SIGNALS_R18,10,41,41,80,44,36,3,1.943341697925993,0.6097560975609756,0.7317073170731707,11.459580482062572,13.662926103849308,1.3494571483450688,2.0630042048911625
full,MCT_SIGNALS_R18,11,40,40,79,43,36,3,2.4137133787958374,0.6,0.65,13.234321490289767,15.101584885179033,1.6396605152935404,2.510215556763204
full,MCT_SIGNALS_R18,12,39,39,78,42,36,3,2.7442155737269527,0.5641025641025641,0.6153846153846154,13.82833123590091,16.3337218316426,1.8819496152429376,2.683381973218563
full,MCT_SLOW_R18,1,50,50,89,53,36,3,0.45864139892470057,0.78,0.82,1.4472208297205413,2.3770329939862056,0.5033050525404736,0.5334058835049098
full,MCT_SLOW_R18,2,49,49,88,52,36,3,0.7180996731795621,0.7346938775510204,0.7551020408163265,2.4851064996908194,3.8265699436495706,0.7722143947276968,0.8679219953776492
full,MCT_SLOW_R18,3,48,48,87,51,36,3,0.8370353321412322,0.7291666666666666,0.7708333333333334,4.206845623736477,5.0097370000673775,0.8474100833727416,1.0753510808053226
full,MCT_SLOW_R18,4,47,47,86,50,36,3,1.0005426004745492,0.6595744680851063,0.7872340425531915,4.703935408237618,5.891329908546114,0.9456815040587319,1.2082218512889547
full,MCT_SLOW_R18,5,46,46,85,49,36,3,1.093673402186169,0.6739130434782609,0.7608695652173914,5.579614297125093,6.859905321190814,0.9517353995997695,1.2659810103775815
full,MCT_SLOW_R18,6,45,45,84,48,36,3,1.2426636826239448,0.7555555555555555,0.7777777777777778,6.600086519851393,7.875935517813018,1.0182680221775822,1.3678360886322607
full,MCT_SLOW_R18,7,44,44,83,47,36,3,1.4210061571671806,0.6590909090909091,0.7954545454545454,7.4042412884695175,9.30886665914165,1.1459967670222018,1.660147385115465
