scope,sample,h,horizon_label,metric,model,n_intended,n_scored,n_missing_forecast,n_fallback,rmse,mae,bias
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_H0_FAST_R18,1002,1002,0,288,1.1354592158546808,0.8946082840218209,-0.0600464250588103
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_H0_SELECT_R18,1002,1002,0,288,1.1344172352458355,0.8921178524782619,-0.06481509144394261
primary_control_calendar,full,0,pooled_h1_12,mm,FOOD_H0_SLOW_R18,1002,1002,0,288,1.131322531876145,0.8903965910516765,-0.06145044164342376
primary_control_calendar,full,0,pooled_h1_12,mm,STATE_FAST_R15,1002,1002,0,0,1.1381147004868686,0.8962249666807633,-0.06100903095486401
common,full,0,pooled_h1_12,mm,FOOD_H0_FAST_R18,1002,1002,0,288,1.1354592158546808,0.8946082840218209,-0.0600464250588103
common,full,0,pooled_h1_12,mm,FOOD_H0_SELECT_R18,1002,1002,0,288,1.1344172352458355,0.8921178524782619,-0.06481509144394261
common,full,0,pooled_h1_12,mm,FOOD_H0_SLOW_R18,1002,1002,0,288,1.131322531876145,0.8903965910516765,-0.06145044164342376
common,full,0,pooled_h1_12,mm,STATE_FAST_R15,1002,1002,0,0,1.1381147004868686,0.8962249666807633,-0.06100903095486401
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_H0_FAST_R18,1002,1002,0,288,4.830940092300717,3.13679471812872,-0.5006790861792534
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_H0_SELECT_R18,1002,1002,0,288,4.840843345449843,3.1215307429696675,-0.5331810135950356
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,FOOD_H0_SLOW_R18,1002,1002,0,288,4.792421586904716,3.103081782521702,-0.5111864097423733
primary_control_calendar,full,0,pooled_h1_12,cumulative_log,STATE_FAST_R15,1002,1002,0,0,4.8928859468212185,3.1949645078035345,-0.5140462037300201
common,full,0,pooled_h1_12,cumulative_log,FOOD_H0_FAST_R18,1002,1002,0,288,4.830940092300717,3.13679471812872,-0.5006790861792534
common,full,0,pooled_h1_12,cumulative_log,FOOD_H0_SELECT_R18,1002,1002,0,288,4.840843345449843,3.1215307429696675,-0.5331810135950356
common,full,0,pooled_h1_12,cumulative_log,FOOD_H0_SLOW_R18,1002,1002,0,288,4.792421586904716,3.103081782521702,-0.5111864097423733
common,full,0,pooled_h1_12,cumulative_log,STATE_FAST_R15,1002,1002,0,0,4.8928859468212185,3.1949645078035345,-0.5140462037300201
primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,FOOD_H0_FAST_R18,1002,1002,0,288,5.195773810614053,3.2832583493609038,-0.6298407288580165
primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,FOOD_H0_SELECT_R18,1002,1002,0,288,5.208496021249631,3.267959013217054,-0.6625000283445769
primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,FOOD_H0_SLOW_R18,1002,1002,0,288,5.155739591247781,3.248499795070123,-0.6391405675594714
primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,STATE_FAST_R15,1002,1002,0,0,5.259563036527678,3.3437408792680663,-0.6443188221926011
common,full,0,pooled_h1_12,cumulative_pct,FOOD_H0_FAST_R18,1002,1002,0,288,5.195773810614053,3.2832583493609038,-0.6298407288580165
common,full,0,pooled_h1_12,cumulative_pct,FOOD_H0_SELECT_R18,1002,1002,0,288,5.208496021249631,3.267959013217054,-0.6625000283445769
common,full,0,pooled_h1_12,cumulative_pct,FOOD_H0_SLOW_R18,1002,1002,0,288,5.155739591247781,3.248499795070123,-0.6391405675594714
common,full,0,pooled_h1_12,cumulative_pct,STATE_FAST_R15,1002,1002,0,0,5.259563036527678,3.3437408792680663,-0.6443188221926011
primary_control_calendar,full,1,h1,mm,FOOD_H0_FAST_R18,89,89,0,24,1.016738188095188,0.8016431350037324,-0.07280185620290665
primary_control_calendar,full,1,h1,mm,FOOD_H0_SELECT_R18,89,89,0,24,1.022269030882818,0.8007531689446309,-0.08013330781928629
primary_control_calendar,full,1,h1,mm,FOOD_H0_SLOW_R18,89,89,0,24,1.0176394813685077,0.8022393071352233,-0.0796066871199683
