scope,component,model,sample,h,metric,n_intended,n_scored,n_missing_forecast,n_missing_actual,rmse,mae,bias
original_R16_calendar,food,FOOD_H0_FAST_R18,full,0,mm,969,969,0,0,1.1446946298993297,0.9012549988608526,-0.05004719063952379
original_R16_calendar,food,FOOD_H0_FAST_R18,full,0,cumulative_log,969,969,0,0,4.891723087430946,3.1731989106185035,-0.44782590143313755
original_R16_calendar,food,FOOD_H0_FAST_R18,full,0,cumulative_pct,969,969,0,0,5.262839076163055,3.322765527201169,-0.579498576263845
original_R16_calendar,food,FOOD_H0_FAST_R18,full,1,mm,88,88,0,0,1.02229569185107,0.8085803299881271,-0.071456763928201
original_R16_calendar,food,FOOD_H0_FAST_R18,full,1,cumulative_log,88,88,0,0,1.013352727857976,0.8038041793440704,-0.06494449636299078
original_R16_calendar,food,FOOD_H0_FAST_R18,full,1,cumulative_pct,88,88,0,0,1.02229569185107,0.8085803299881271,-0.071456763928201
original_R16_calendar,food,FOOD_H0_FAST_R18,full,2,mm,86,86,0,0,1.0388905745565487,0.8154095786649684,-0.05665844832488362
original_R16_calendar,food,FOOD_H0_FAST_R18,full,2,cumulative_log,86,86,0,0,1.5703224440719596,1.172574880621738,-0.11791238619307769
original_R16_calendar,food,FOOD_H0_FAST_R18,full,2,cumulative_pct,86,86,0,0,1.5976066571300969,1.1854781363991538,-0.13327668697408876
original_R16_calendar,food,FOOD_H0_FAST_R18,full,3,mm,84,84,0,0,1.086987573915706,0.8520247924766143,-0.06126143490571147
original_R16_calendar,food,FOOD_H0_FAST_R18,full,3,cumulative_log,84,84,0,0,2.149484624890675,1.6174098362299034,-0.16408053297285516
original_R16_calendar,food,FOOD_H0_FAST_R18,full,3,cumulative_pct,84,84,0,0,2.209432282227835,1.6462461227987437,-0.19348043650262242
original_R16_calendar,food,FOOD_H0_FAST_R18,full,4,mm,83,83,0,0,1.1162680242304996,0.8855499433575073,-0.05690620799602281
original_R16_calendar,food,FOOD_H0_FAST_R18,full,4,cumulative_log,83,83,0,0,2.796422940141103,2.023326523185161,-0.2297753799210374
original_R16_calendar,food,FOOD_H0_FAST_R18,full,4,cumulative_pct,83,83,0,0,2.901639975428589,2.0729539388937046,-0.27994287287566727
original_R16_calendar,food,FOOD_H0_FAST_R18,full,5,mm,82,82,0,0,1.1425715927917133,0.9049828569994433,-0.06806234851191947
original_R16_calendar,food,FOOD_H0_FAST_R18,full,5,cumulative_log,82,82,0,0,3.4494274570288925,2.5453098264132743,-0.3039663388162013
original_R16_calendar,food,FOOD_H0_FAST_R18,full,5,cumulative_pct,82,82,0,0,3.6067169895572286,2.6224562101789783,-0.377907707261443
original_R16_calendar,food,FOOD_H0_FAST_R18,full,6,mm,81,81,0,0,1.1647375790953245,0.9253250960264848,-0.060389342355859195
original_R16_calendar,food,FOOD_H0_FAST_R18,full,6,cumulative_log,81,81,0,0,4.1685757717609535,3.0691593973406786,-0.37500727884977847
original_R16_calendar,food,FOOD_H0_FAST_R18,full,6,cumulative_pct,81,81,0,0,4.387068870024186,3.177358390625598,-0.477797583056737
original_R16_calendar,food,FOOD_H0_FAST_R18,full,7,mm,80,80,0,0,1.1717081015965287,0.9260401037705673,-0.046488915965866295
original_R16_calendar,food,FOOD_H0_FAST_R18,full,7,cumulative_log,80,80,0,0,4.837303961097856,3.5616429295567213,-0.4702159248758969
original_R16_calendar,food,FOOD_H0_FAST_R18,full,7,cumulative_pct,80,80,0,0,5.129084287482301,3.7074656035304074,-0.6043916969655099
original_R16_calendar,food,FOOD_H0_FAST_R18,full,8,mm,79,79,0,0,1.1868570371093277,0.9370198023133663,-0.042750555670401175
original_R16_calendar,food,FOOD_H0_FAST_R18,full,8,cumulative_log,79,79,0,0,5.499196573690775,4.060301579499098,-0.5461722292049649
original_R16_calendar,food,FOOD_H0_FAST_R18,full,8,cumulative_pct,79,79,0,0,5.866750086788069,4.247349457332701,-0.7151559013295817
original_R16_calendar,food,FOOD_H0_FAST_R18,full,9,mm,78,78,0,0,1.193301379579276,0.9350649354060356,-0.02755852211465468
original_R16_calendar,food,FOOD_H0_FAST_R18,full,9,cumulative_log,78,78,0,0,6.110959275105404,4.433150394041736,-0.6336786214996767
original_R16_calendar,food,FOOD_H0_FAST_R18,full,9,cumulative_pct,78,78,0,0,6.563041117168692,4.664323598696306,-0.8367100455066793
original_R16_calendar,food,FOOD_H0_FAST_R18,full,10,mm,77,77,0,0,1.2065969284965758,0.9493181712809605,-0.03371064108767717
original_R16_calendar,food,FOOD_H0_FAST_R18,full,10,cumulative_log,77,77,0,0,6.747289706432016,4.836778108520769,-0.7543468650589127
original_R16_calendar,food,FOOD_H0_FAST_R18,full,10,cumulative_pct,77,77,0,0,7.300840969153384,5.1207076301252705,-0.99682588624668
original_R16_calendar,food,FOOD_H0_FAST_R18,full,11,mm,76,76,0,0,1.2052911460179814,0.9483813564261837,-0.0206317917725097
original_R16_calendar,food,FOOD_H0_FAST_R18,full,11,cumulative_log,76,76,0,0,7.348304093215725,5.239274526124756,-0.8596236976894499
original_R16_calendar,food,FOOD_H0_FAST_R18,full,11,cumulative_pct,76,76,0,0,8.005914376480167,5.577325299175632,-1.1434841706576113
original_R16_calendar,food,FOOD_H0_FAST_R18,full,12,mm,75,75,0,0,1.2144653031537969,0.9545043500015905,-0.04777831206519054
original_R16_calendar,food,FOOD_H0_FAST_R18,full,12,cumulative_log,75,75,0,0,7.900378433161482,5.600532320448216,-1.0176645962008373
original_R16_calendar,food,FOOD_H0_FAST_R18,full,12,cumulative_pct,75,75,0,0,8.667163220891295,5.997066808040097,-1.3444540404467533
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,0,mm,294,294,0,0,0.8384245570430363,0.7112170279525717,0.2760133640219355
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,0,cumulative_log,294,294,0,0,2.6510257624368716,1.9337741960567991,1.1605547027388465
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,0,cumulative_pct,294,294,0,0,2.6834919714795253,1.959975842869395,1.1701366632912131
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,1,mm,30,30,0,0,0.8721119658377027,0.7451394763004021,0.13536611349725503
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,1,cumulative_log,30,30,0,0,0.8699588545877467,0.7436020026539955,0.1389251379722233
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,1,cumulative_pct,30,30,0,0,0.8721119658377027,0.7451394763004021,0.13536611349725503
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,2,mm,29,29,0,0,0.8321068752721059,0.7166024024991,0.14857435569651853
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,2,cumulative_log,29,29,0,0,1.1212646989416928,0.8399002168101931,0.3085082142918439
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,2,cumulative_pct,29,29,0,0,1.1189248347697311,0.8394573411072059,0.3062726073916593
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,3,mm,28,28,0,0,0.8122586822903011,0.6899769971404937,0.15659452131021775
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,3,cumulative_log,28,28,0,0,1.3106140495971261,1.0657698738822097,0.44433543138935416
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,3,cumulative_pct,28,28,0,0,1.3124153265397236,1.0691848357103353,0.44401758276267617
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,4,mm,27,27,0,0,0.786964927245722,0.6783375574506219,0.2431338990679611
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,4,cumulative_log,27,27,0,0,1.5860253167441682,1.2747155105908325,0.6644359236455066
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,4,cumulative_pct,27,27,0,0,1.590046834434313,1.2800878571114434,0.665948080464014
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,5,mm,26,26,0,0,0.8105464950677016,0.6983431996448094,0.24405380863342596
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,5,cumulative_log,26,26,0,0,1.9555463284312957,1.6259428665084288,0.9045347371546767
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,5,cumulative_pct,26,26,0,0,1.962657448916248,1.6370156824261497,0.9071672544836802
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,6,mm,25,25,0,0,0.8282618879585305,0.7055642636461917,0.2446031169836037
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,6,cumulative_log,25,25,0,0,2.41638821105551,2.0032938848118227,1.1432037864149038
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,6,cumulative_pct,25,25,0,0,2.4319022463135176,2.0210076847984277,1.1470630494272183
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,7,mm,24,24,0,0,0.8437652424781951,0.7187061480675556,0.28919174621411686
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,7,cumulative_log,24,24,0,0,2.7342860358293004,2.2080467059912543,1.3130039209338353
original_R16_calendar,food,FOOD_H0_FAST_R18,recent_origins,7,cumulative_pct,24,24,0,0,2.764117931157349,2.2365050453388955,1.3228146845878592
