origin,raw_h0_source,raw_h0_column,pipeline_source,pipeline_h0_index,as_of_eve,as_of_local,as_of_utc,first_release_date,detail_release_date,first_release_source,detail_release_source,first_release_eve_match,detail_release_eve_match,eligible_history_end,pipeline_fast_max_abs,raw_h0_mm,state_h0_log,signal,headline_archive_serialization_abs,vintage_status,cleanup_replay_h0_abs_difference
2019-02,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2019-03-10T23:59:00,2019-03-10T23:59:00+01:00,2019-03-10T22:59:00+00:00,2019-03-11,2019-03-11,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-01,0.0,0.6289580042592983,0.333389735903218,0.2935985821853497,5.551115123125783e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,8.791730232715622e-09
2019-03,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2019-04-09T23:59:00,2019-04-09T23:59:00+02:00,2019-04-09T21:59:00+00:00,2019-04-10,2019-04-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-02,0.0,0.13793940287435802,-0.12848020029093676,0.26632455416760803,6.938893903907228e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,9.9770025574486e-10
2019-04,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2019-05-12T23:59:00,2019-05-12T23:59:00+02:00,2019-05-12T21:59:00+00:00,2019-05-13,2019-05-13,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-03,0.0,0.07334150892937163,-0.18696592292237602,0.2602805501099345,5.551115123125783e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,6.395685647753169e-10
2019-05,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2019-06-10T23:59:00,2019-06-10T23:59:00+02:00,2019-06-10T21:59:00+00:00,2019-06-11,2019-06-11,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-04,0.0,0.14373062808932474,0.44016393869719755,-0.29653650420642375,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,6.11995898402995e-10
2019-06,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2019-07-10T23:59:00,2019-07-10T23:59:00+02:00,2019-07-10T21:59:00+00:00,2019-07-11,2019-07-11,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-05,0.0,0.185062561815512,0.1172677986201613,0.06762373341197848,5.551115123125783e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.0987762921743638e-09
2019-07,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2019-08-11T23:59:00,2019-08-11T23:59:00+02:00,2019-08-11T21:59:00+00:00,2019-08-12,2019-08-12,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-06,0.0,0.3102283615885567,-0.10768745874069124,0.41743560506720256,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.883831091120669e-09
2019-08,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2019-09-09T23:59:00,2019-09-09T23:59:00+02:00,2019-09-09T21:59:00+00:00,2019-09-10,2019-09-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-07,0.0,-0.3394064941699059,-0.5896081123969322,0.24962432777461985,2.7755575615628914e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,7.963482279160772e-08
2019-09,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2019-10-09T23:59:00,2019-10-09T23:59:00+02:00,2019-10-09T21:59:00+00:00,2019-10-10,2019-10-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-08,0.0,-0.044413442855467306,0.3335979660271708,-0.37802127457340623,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.920139379776089e-09
2019-10,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2019-11-10T23:59:00,2019-11-10T23:59:00+01:00,2019-11-10T22:59:00+00:00,2019-11-11,2019-11-11,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-09,0.0,0.6092833344375574,0.4794060168049866,0.1280286918368413,2.7755575615628914e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,7.561838266667564e-09
2019-11,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2019-12-09T23:59:00,2019-12-09T23:59:00+01:00,2019-12-09T22:59:00+00:00,2019-12-10,2019-12-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-10,0.0,0.6592902773726735,0.023226887736886567,0.6338995766189467,5.551115123125783e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,7.54658492363447e-08
2019-12,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2020-01-12T23:59:00,2020-01-12T23:59:00+01:00,2020-01-12T22:59:00+00:00,2020-01-13,2020-01-13,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2019-11,0.0,0.23923526979312384,0.3885623558049068,-0.1496127979915279,5.204170427930421e-18,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,2.5590640717609858e-14
