period,agri4,food_ppi,food
2015-01,2015-02-26T00:00:00+01:00,2015-02-25T00:00:00+01:00,2015-02-09T09:00:00+01:00
2015-02,2015-03-26T00:00:00+01:00,2015-03-16T00:00:00+01:00,2015-03-09T09:00:00+01:00
2015-03,2015-04-26T00:00:00+02:00,2015-04-20T00:00:00+02:00,2015-04-09T09:00:00+02:00
2015-04,2015-05-26T00:00:00+02:00,2015-05-20T00:00:00+02:00,2015-05-12T09:00:00+02:00
2015-05,2015-06-26T00:00:00+02:00,2015-06-16T00:00:00+02:00,2015-06-09T09:00:00+02:00
2015-06,2015-07-26T00:00:00+02:00,2015-07-17T00:00:00+02:00,2015-07-09T09:00:00+02:00
2015-07,2015-08-26T00:00:00+02:00,2015-08-16T00:00:00+02:00,2015-08-10T09:00:00+02:00
2015-08,2015-09-26T00:00:00+02:00,2015-09-16T00:00:00+02:00,2015-09-09T09:00:00+02:00
2015-09,2015-10-26T00:00:00+01:00,2015-10-16T00:00:00+02:00,2015-10-09T09:00:00+02:00
2015-10,2015-11-26T00:00:00+01:00,2015-11-16T00:00:00+01:00,2015-11-09T09:00:00+01:00
2015-11,2015-12-26T00:00:00+01:00,2015-12-16T00:00:00+01:00,2015-12-09T09:00:00+01:00
2015-12,2016-01-26T00:00:00+01:00,2016-01-17T00:00:00+01:00,2016-01-12T09:00:00+01:00
2016-01,2016-02-26T00:00:00+01:00,2016-02-25T00:00:00+01:00,2016-02-12T09:00:00+01:00
2016-02,2016-03-26T00:00:00+01:00,2016-03-16T00:00:00+01:00,2016-03-09T09:00:00+01:00
2016-03,2016-04-26T00:00:00+02:00,2016-04-20T00:00:00+02:00,2016-04-11T09:00:00+02:00
2016-04,2016-05-26T00:00:00+02:00,2016-05-20T00:00:00+02:00,2016-05-10T09:00:00+02:00
2016-05,2016-06-26T00:00:00+02:00,2016-06-16T00:00:00+02:00,2016-06-09T09:00:00+02:00
2016-06,2016-07-26T00:00:00+02:00,2016-07-17T00:00:00+02:00,2016-07-12T09:00:00+02:00
2016-07,2016-08-26T00:00:00+02:00,2016-08-16T00:00:00+02:00,2016-08-09T09:00:00+02:00
2016-08,2016-09-26T00:00:00+02:00,2016-09-16T00:00:00+02:00,2016-09-09T09:00:00+02:00
2016-09,2016-10-26T00:00:00+02:00,2016-10-16T00:00:00+02:00,2016-10-10T09:00:00+02:00
2016-10,2016-11-26T00:00:00+01:00,2016-11-16T00:00:00+01:00,2016-11-09T09:00:00+01:00
2016-11,2016-12-26T00:00:00+01:00,2016-12-16T00:00:00+01:00,2016-12-09T09:00:00+01:00
2016-12,2017-01-26T00:00:00+01:00,2017-01-17T00:00:00+01:00,2017-01-10T09:00:00+01:00
