period,eurczk_mm,services_l1,import_l2,core_l1,core_l2,core_l12,state,eurczk_mm_x_state,import_l2_x_state,mon_2,mon_3,mon_4,mon_5,mon_6,mon_7,mon_8,mon_9,mon_10,mon_11,mon_12,base_forecast,released_headline_error_last,released_headline_error_last3
2019-02,0.296307848259203,0.5025125628140836,-1.2999999999999972,0.6,0.1,0.4,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31775488058818213,,
2019-03,-0.1904761904762075,0.1249999999999973,-0.5999999999999943,0.3,0.6,0.1,0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09946023954165717,-0.11775488058818212,-0.11775488058818212
2019-04,0.0038946876460554,0.2808988764045006,0.5,-0.1,0.3,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38710754867430486,0.10053976045834284,-0.00860756006491964
2019-05,0.3621918448416972,0.4201680672268892,-0.0999999999999943,0.4,-0.1,0.2,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2254766707170906,-0.2871075486743049,-0.10144088960138138
2019-06,-0.6441598758246014,0.2169533550286928,0.5999999999999943,0.1,0.4,0.2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12410329846284626,0.47452332928290936,0.09598518035564911
2019-07,-0.2069989064208743,0.0463893613731114,0.2999999999999971,0.3,0.1,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.435229027763851,0.07589670153715375,0.0877708273819194
2019-08,0.9823490274353252,0.2936630602782042,-1.4000000000000057,1.0,0.3,0.2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07212027168892293,-0.03522902776385095,0.17173033435207072
2019-09,0.251918455933664,0.0462320850670439,-0.4000000000000057,0.2,1.0,-0.7,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3115374275151629,0.027879728311077073,0.022849134028126623
2019-10,-0.6494761665442383,0.70856438693776,0.5,-0.9,0.2,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22940611674544503,-0.2884625724848371,-0.09860395731253697
2019-11,-0.6576131366979321,0.1682471703885024,0.2999999999999971,0.6,-0.9,0.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16027885730460945,0.27059388325455497,0.0033370130269316602
2019-12,-0.1253427340383917,-0.290120629103674,-0.4000000000000057,0.0,0.6,0.1,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015134052299833604,0.13972114269539054,0.04061748448836947
2020-01,-1.1098909718409322,-0.2297090352220476,-0.2000000000000028,0.1,0.0,0.6,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8910783646002834,0.1848659477001664,0.19839365788337063
2020-02,-0.6543723973825077,0.6907137375287808,-0.2999999999999971,0.8,0.1,0.3,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3016255681785912,0.6089216353997166,0.31116957526509115
