scope,sample,clock,model,quarters_ahead,n,mae,rmse,bias,report_count,unique_target_quarters,cnb_mae,mean_absolute_error_gain_vs_cnb,material_gains,material_losses,immaterial_pairs,mean_model_cnb_deviation,mean_realised_cnb_error,deviation_direction_correct_rate,deviation_error_correlation
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,all,66,1.2813726619677048,2.0432795312027325,-0.2569765914556941,18,18,1.0605492231877776,-0.22082343877992727,15,34,17,0.24209089839522477,0.499067489850919,0.5303030303030303,0.46399220432019045
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,1,18,0.832447791540808,1.4844164482823117,-0.23845752301320614,18,18,0.5554610620931573,-0.2769867294476507,4,8,6,-0.40324105657590664,-0.16478353356270048,0.6111111111111112,0.2337377369179279
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,2,17,1.3897785616320968,2.0026858370609006,-0.44102892699345625,17,17,1.175891176650326,-0.21388738498177093,4,8,5,-0.08990730857302955,0.3511216184204268,0.6470588235294118,0.3690983674578237
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,3,16,1.3628251223193728,2.055469895755567,-0.30138886677354715,16,16,1.1088691841257816,-0.2539559381935912,3,9,4,0.4523541036394103,0.7537429704129572,0.375,0.5258486540748343
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,4,15,1.610339862485225,2.5833376231514222,-0.023233732971506393,15,15,1.4843928442432301,-0.12594701824199472,4,9,2,1.1684731266641395,1.1917068596356455,0.4666666666666667,0.5185041180711102
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,all,66,1.2757683245987168,2.022284213399014,-0.22978522865189382,18,18,1.0605492231877776,-0.2152191014109392,13,31,22,0.26928226119902504,0.499067489850919,0.5454545454545454,0.4798184767226155
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,1,18,0.8295617653255728,1.481179804549803,-0.23180181765101654,18,18,0.5554610620931573,-0.27410070323241553,4,8,6,-0.3965853512137171,-0.16478353356270048,0.6111111111111112,0.22944465355307514
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,2,17,1.3757368852649274,1.9901477897698394,-0.42213231930827577,17,17,1.175891176650326,-0.19984570861460166,4,7,6,-0.07101070088784885,0.3511216184204268,0.7058823529411765,0.3694515483880702
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,3,16,1.2980809637778195,2.031091889539379,-0.2691463454225575,16,16,1.1088691841257816,-0.18921177965203792,3,7,6,0.4845966249903998,0.7537429704129572,0.375,0.539138537333731
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,4,15,1.6741183451804083,2.54412622768417,0.032613238779660755,15,15,1.4843928442432301,-0.18972550093717827,2,9,4,1.2243200984153062,1.1917068596356455,0.4666666666666667,0.5380122383497558
within_clock_common,full,cutoff,DUAL_FEEDBACK_R21,all,66,1.3012129035928237,2.06539144664446,-0.17295046487427113,18,18,1.0605492231877776,-0.24066368040504627,14,33,19,0.3261170249766478,0.499067489850919,0.5,0.44635001241784455
within_clock_common,full,cutoff,DUAL_FEEDBACK_R21,1,18,0.8275411719538562,1.4699175876004482,-0.20891404901940586,18,18,0.5554610620931573,-0.2720801098606991,4,8,6,-0.37369758258210634,-0.16478353356270048,0.5555555555555556,0.21547147000501213
within_clock_common,full,cutoff,DUAL_FEEDBACK_R21,2,17,1.3948429080290923,1.9932860991172217,-0.37073162190198633,17,17,1.175891176650326,-0.21895173137876675,4,7,6,-0.019610003481559533,0.3511216184204268,0.5882352941176471,0.35571368659586583
within_clock_common,full,cutoff,DUAL_FEEDBACK_R21,3,16,1.3215526328702423,2.07284578408066,-0.19380088795847283,16,16,1.1088691841257816,-0.21268344874446057,3,9,4,0.5599420824544845,0.7537429704129572,0.3125,0.5052628565508764
within_clock_common,full,cutoff,DUAL_FEEDBACK_R21,4,15,1.741809265302568,2.662861448746662,0.11659826535444949,15,15,1.4843928442432301,-0.25741642105933804,3,9,3,1.3083051249900954,1.1917068596356455,0.5333333333333333,0.4731761466052144
within_clock_common,full,cutoff,FOOD_FEEDBACK_R21,all,66,1.3543232925356752,2.1445478941024625,-0.1658859541866844,18,18,1.0605492231877776,-0.2937740693478975,13,33,20,0.3331815356642346,0.499067489850919,0.5303030303030303,0.3918421832187483
within_clock_common,full,cutoff,FOOD_FEEDBACK_R21,1,18,0.8324352238169551,1.4866769131850914,-0.20607474300700568,18,18,0.5554610620931573,-0.2769741617237979,4,7,7,-0.3708582765697062,-0.16478353356270048,0.6666666666666666,0.21840702035614096
within_clock_common,full,cutoff,FOOD_FEEDBACK_R21,2,17,1.4320795598949,2.0591268648690355,-0.3641546389090059,17,17,1.175891176650326,-0.25618838324457477,3,7,7,-0.013033020488579272,0.3511216184204268,0.5294117647058824,0.30555716603161276
within_clock_common,full,cutoff,FOOD_FEEDBACK_R21,3,16,1.4429077549623606,2.1956645039864395,-0.18545453890493613,16,16,1.1088691841257816,-0.33403857083657884,3,9,4,0.5682884315080211,0.7537429704129572,0.375,0.4171509857398271
within_clock_common,full,cutoff,FOOD_FEEDBACK_R21,4,15,1.7979751120692196,2.763340556045774,0.1279182587824675,15,15,1.4843928442432301,-0.3135822678259895,3,10,2,1.3196251184181134,1.1917068596356455,0.5333333333333333,0.40762101559600494
within_clock_common,full,cutoff,POOL_COMPLETE_R21,all,66,1.3943036525602552,2.329228750020741,-0.3875750547406336,18,18,1.0605492231877776,-0.3337544293724775,15,33,18,0.11149243511028543,0.499067489850919,0.5606060606060606,0.25870306626100653
within_clock_common,full,cutoff,POOL_COMPLETE_R21,1,18,0.8708773608984486,1.5208080781935285,-0.2725592564982877,18,18,0.5554610620931573,-0.31541629880529154,4,8,6,-0.4373427900609883,-0.16478353356270048,0.6666666666666666,0.20829957791883832
within_clock_common,full,cutoff,POOL_COMPLETE_R21,2,17,1.4593951538947303,2.185715260475487,-0.5350895668084563,17,17,1.175891176650326,-0.2835039772444044,4,8,5,-0.1839679483880296,0.3511216184204268,0.6470588235294118,0.22408991457722233
within_clock_common,full,cutoff,POOL_COMPLETE_R21,3,16,1.5649915931029366,2.4775152902076556,-0.46824899787177254,16,16,1.1088691841257816,-0.456122408977155,3,9,4,0.2854939725411847,0.7537429704129572,0.375,0.21258320565062475
within_clock_common,full,cutoff,POOL_COMPLETE_R21,4,15,1.7665776977964913,3.0223006822956107,-0.2723586929480342,15,15,1.4843928442432301,-0.2821848535532612,4,8,3,0.9193481666876117,1.1917068596356455,0.5333333333333333,0.20843931310119063
within_clock_common,full,cutoff,POOL_PARTIAL_R21,all,66,1.3771494653754777,2.2676177201306,-0.32256548643140914,18,18,1.0605492231877776,-0.3166002421877,15,34,17,0.17650200341950975,0.499067489850919,0.5454545454545454,0.2905089991637664
within_clock_common,full,cutoff,POOL_PARTIAL_R21,1,18,0.8562902293831981,1.504275855074425,-0.2557021580704112,18,18,0.5554610620931573,-0.30082916729004094,4,8,6,-0.4204856916331117,-0.16478353356270048,0.6666666666666666,0.20524429361870816
within_clock_common,full,cutoff,POOL_PARTIAL_R21,2,17,1.4586525317488026,2.158228352151063,-0.48825308390523336,17,17,1.175891176650326,-0.28276135509847716,4,8,5,-0.1371314654848066,0.3511216184204268,0.6470588235294118,0.221785024209684
within_clock_common,full,cutoff,POOL_PARTIAL_R21,3,16,1.4868476085064133,2.3984704062485696,-0.38576662559212616,16,16,1.1088691841257816,-0.3779784243806317,3,9,4,0.36797634482083114,0.7537429704129572,0.375,0.24925767699159768
within_clock_common,full,cutoff,POOL_PARTIAL_R21,4,15,1.7927990540034466,2.9145498770267677,-0.1476076548895081,15,15,1.4843928442432301,-0.30840620976021665,4,9,2,1.044099204746138,1.1917068596356455,0.4666666666666667,0.283997950491949
within_clock_common,full,cutoff,POOL_PRIOR_R21,all,66,1.3606240478495186,2.1908990387628426,-0.23107043129546628,18,18,1.0605492231877776,-0.30007482466174107,16,34,16,0.26799705855545264,0.499067489850919,0.5303030303030303,0.3630343288533251
within_clock_common,full,cutoff,POOL_PRIOR_R21,1,18,0.8387246021332552,1.497683316389788,-0.23011041863103582,18,18,0.5554610620931573,-0.2832635400400979,4,7,7,-0.3948939521937363,-0.16478353356270048,0.6666666666666666,0.2256180012630053
