sample,model,n,actual_events,calls,hits,misses,false_calls,recall,precision
full,CORE_FEEDBACK_R21,81,37,29,12,25,17,0.32432432432432434,0.41379310344827586
full,DAMPED_P95_Q001_R16,81,37,22,1,36,21,0.02702702702702703,0.045454545454545456
full,DUAL_FEEDBACK_R21,81,37,29,12,25,17,0.32432432432432434,0.41379310344827586
full,FOOD_FEEDBACK_R21,81,37,8,1,36,7,0.02702702702702703,0.125
full,POOL_COMPLETE_R21,81,37,0,0,37,0,0.0,
full,POOL_PARTIAL_R21,81,37,0,0,37,0,0.0,
full,POOL_PRIOR_R21,81,37,0,0,37,0,0.0,
full,STABLE_LOCAL_CORE_R14B,81,37,0,0,37,0,0.0,
full,STATE_FAST_R15,81,37,8,1,36,7,0.02702702702702703,0.125
origins_2019_2021,CORE_FEEDBACK_R21,35,13,6,0,13,6,0.0,0.0
origins_2019_2021,DAMPED_P95_Q001_R16,35,13,0,0,13,0,0.0,
origins_2019_2021,DUAL_FEEDBACK_R21,35,13,6,0,13,6,0.0,0.0
origins_2019_2021,FOOD_FEEDBACK_R21,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,POOL_COMPLETE_R21,35,13,0,0,13,0,0.0,
origins_2019_2021,POOL_PARTIAL_R21,35,13,0,0,13,0,0.0,
origins_2019_2021,POOL_PRIOR_R21,35,13,0,0,13,0,0.0,
origins_2019_2021,STABLE_LOCAL_CORE_R14B,35,13,0,0,13,0,0.0,
origins_2019_2021,STATE_FAST_R15,35,13,5,0,13,5,0.0,0.0
origins_2022_2023,CORE_FEEDBACK_R21,24,15,17,11,4,6,0.7333333333333333,0.6470588235294118
origins_2022_2023,DAMPED_P95_Q001_R16,24,15,13,0,15,13,0.0,0.0
origins_2022_2023,DUAL_FEEDBACK_R21,24,15,17,11,4,6,0.7333333333333333,0.6470588235294118
origins_2022_2023,FOOD_FEEDBACK_R21,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,POOL_COMPLETE_R21,24,15,0,0,15,0,0.0,
origins_2022_2023,POOL_PARTIAL_R21,24,15,0,0,15,0,0.0,
origins_2022_2023,POOL_PRIOR_R21,24,15,0,0,15,0,0.0,
origins_2022_2023,STABLE_LOCAL_CORE_R14B,24,15,0,0,15,0,0.0,
origins_2022_2023,STATE_FAST_R15,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2024plus,CORE_FEEDBACK_R21,22,9,6,1,8,5,0.1111111111111111,0.16666666666666666
origins_2024plus,DAMPED_P95_Q001_R16,22,9,9,1,8,8,0.1111111111111111,0.1111111111111111
origins_2024plus,DUAL_FEEDBACK_R21,22,9,6,1,8,5,0.1111111111111111,0.16666666666666666
origins_2024plus,FOOD_FEEDBACK_R21,22,9,0,0,9,0,0.0,
origins_2024plus,POOL_COMPLETE_R21,22,9,0,0,9,0,0.0,
origins_2024plus,POOL_PARTIAL_R21,22,9,0,0,9,0,0.0,
origins_2024plus,POOL_PRIOR_R21,22,9,0,0,9,0,0.0,
origins_2024plus,STABLE_LOCAL_CORE_R14B,22,9,0,0,9,0,0.0,
origins_2024plus,STATE_FAST_R15,22,9,0,0,9,0,0.0,
recent_targets,CORE_FEEDBACK_R21,31,14,14,4,10,10,0.2857142857142857,0.2857142857142857
recent_targets,DAMPED_P95_Q001_R16,31,14,9,1,13,8,0.07142857142857142,0.1111111111111111
recent_targets,DUAL_FEEDBACK_R21,31,14,14,4,10,10,0.2857142857142857,0.2857142857142857
recent_targets,FOOD_FEEDBACK_R21,31,14,2,0,14,2,0.0,0.0
recent_targets,POOL_COMPLETE_R21,31,14,0,0,14,0,0.0,
recent_targets,POOL_PARTIAL_R21,31,14,0,0,14,0,0.0,
recent_targets,POOL_PRIOR_R21,31,14,0,0,14,0,0.0,
recent_targets,STABLE_LOCAL_CORE_R14B,31,14,0,0,14,0,0.0,
recent_targets,STATE_FAST_R15,31,14,2,0,14,2,0.0,0.0
