origin,model,band,target,predicted_turn,actual_turn,eligible,exact_hit,missed_turn,false_turn
2019-02,ANCHOR_HL12_R21,2,2019-08,none,peak,True,False,True,False
2019-02,ANCHOR_HL12_R21,3,2019-11,none,trough,True,False,True,False
2019-02,ANCHOR_HL24_R21,2,2019-08,none,peak,True,False,True,False
2019-02,ANCHOR_HL24_R21,3,2019-11,none,trough,True,False,True,False
2019-02,CORE_FEEDBACK_R21,2,2019-08,none,peak,True,False,True,False
2019-02,CORE_FEEDBACK_R21,3,2019-11,none,trough,True,False,True,False
2019-02,DAMPED_P95_Q001_R16,2,2019-08,none,peak,True,False,True,False
2019-02,DAMPED_P95_Q001_R16,3,2019-11,none,trough,True,False,True,False
2019-02,DUAL_FEEDBACK_R21,2,2019-08,none,peak,True,False,True,False
2019-02,DUAL_FEEDBACK_R21,3,2019-11,none,trough,True,False,True,False
2019-02,FOOD_FEEDBACK_R21,2,2019-08,none,peak,True,False,True,False
2019-02,FOOD_FEEDBACK_R21,3,2019-11,none,trough,True,False,True,False
2019-02,POOL_COMPLETE_R21,2,2019-08,none,peak,True,False,True,False
2019-02,POOL_COMPLETE_R21,3,2019-11,none,trough,True,False,True,False
2019-02,POOL_PARTIAL_R21,2,2019-08,none,peak,True,False,True,False
2019-02,POOL_PARTIAL_R21,3,2019-11,none,trough,True,False,True,False
2019-02,POOL_PRIOR_R21,2,2019-08,none,peak,True,False,True,False
2019-02,POOL_PRIOR_R21,3,2019-11,none,trough,True,False,True,False
2019-02,STABLE_LOCAL_CORE_R14B,2,2019-08,none,peak,True,False,True,False
2019-02,STABLE_LOCAL_CORE_R14B,3,2019-11,none,trough,True,False,True,False
2019-02,STATE_FAST_R15,2,2019-08,none,peak,True,False,True,False
2019-02,STATE_FAST_R15,3,2019-11,none,trough,True,False,True,False
2019-03,ANCHOR_HL12_R21,2,2019-09,none,none,True,False,False,False
2019-03,ANCHOR_HL12_R21,3,2019-12,none,none,True,False,False,False
2019-03,ANCHOR_HL24_R21,2,2019-09,none,none,True,False,False,False
2019-03,ANCHOR_HL24_R21,3,2019-12,none,none,True,False,False,False
2019-03,CORE_FEEDBACK_R21,2,2019-09,none,none,True,False,False,False
2019-03,CORE_FEEDBACK_R21,3,2019-12,none,none,True,False,False,False
2019-03,DAMPED_P95_Q001_R16,2,2019-09,none,none,True,False,False,False
2019-03,DAMPED_P95_Q001_R16,3,2019-12,none,none,True,False,False,False
2019-03,DUAL_FEEDBACK_R21,2,2019-09,none,none,True,False,False,False
2019-03,DUAL_FEEDBACK_R21,3,2019-12,none,none,True,False,False,False
2019-03,FOOD_FEEDBACK_R21,2,2019-09,none,none,True,False,False,False
2019-03,FOOD_FEEDBACK_R21,3,2019-12,none,none,True,False,False,False
2019-03,POOL_COMPLETE_R21,2,2019-09,none,none,True,False,False,False
2019-03,POOL_COMPLETE_R21,3,2019-12,none,none,True,False,False,False
2019-03,POOL_PARTIAL_R21,2,2019-09,none,none,True,False,False,False
2019-03,POOL_PARTIAL_R21,3,2019-12,none,none,True,False,False,False
2019-03,POOL_PRIOR_R21,2,2019-09,none,none,True,False,False,False
2019-03,POOL_PRIOR_R21,3,2019-12,none,none,True,False,False,False
2019-03,STABLE_LOCAL_CORE_R14B,2,2019-09,none,none,True,False,False,False
2019-03,STABLE_LOCAL_CORE_R14B,3,2019-12,none,none,True,False,False,False
2019-03,STATE_FAST_R15,2,2019-09,none,none,True,False,False,False
2019-03,STATE_FAST_R15,3,2019-12,none,none,True,False,False,False
2019-04,ANCHOR_HL12_R21,2,2019-10,none,trough,True,False,True,False
2019-04,ANCHOR_HL12_R21,3,2020-01,none,peak,True,False,True,False
2019-04,ANCHOR_HL24_R21,2,2019-10,none,trough,True,False,True,False
2019-04,ANCHOR_HL24_R21,3,2020-01,none,peak,True,False,True,False
2019-04,CORE_FEEDBACK_R21,2,2019-10,none,trough,True,False,True,False
2019-04,CORE_FEEDBACK_R21,3,2020-01,none,peak,True,False,True,False
2019-04,DAMPED_P95_Q001_R16,2,2019-10,none,trough,True,False,True,False
2019-04,DAMPED_P95_Q001_R16,3,2020-01,none,peak,True,False,True,False
2019-04,DUAL_FEEDBACK_R21,2,2019-10,none,trough,True,False,True,False
2019-04,DUAL_FEEDBACK_R21,3,2020-01,none,peak,True,False,True,False
2019-04,FOOD_FEEDBACK_R21,2,2019-10,none,trough,True,False,True,False
2019-04,FOOD_FEEDBACK_R21,3,2020-01,none,peak,True,False,True,False
2019-04,POOL_COMPLETE_R21,2,2019-10,none,trough,True,False,True,False
2019-04,POOL_COMPLETE_R21,3,2020-01,none,peak,True,False,True,False
2019-04,POOL_PARTIAL_R21,2,2019-10,none,trough,True,False,True,False
2019-04,POOL_PARTIAL_R21,3,2020-01,none,peak,True,False,True,False
2019-04,POOL_PRIOR_R21,2,2019-10,none,trough,True,False,True,False
2019-04,POOL_PRIOR_R21,3,2020-01,none,peak,True,False,True,False
2019-04,STABLE_LOCAL_CORE_R14B,2,2019-10,none,trough,True,False,True,False
2019-04,STABLE_LOCAL_CORE_R14B,3,2020-01,none,peak,True,False,True,False
2019-04,STATE_FAST_R15,2,2019-10,none,trough,True,False,True,False
2019-04,STATE_FAST_R15,3,2020-01,none,peak,True,False,True,False
2019-05,ANCHOR_HL12_R21,2,2019-11,none,trough,True,False,True,False
2019-05,ANCHOR_HL12_R21,3,2020-02,none,peak,True,False,True,False
2019-05,ANCHOR_HL24_R21,2,2019-11,none,trough,True,False,True,False
2019-05,ANCHOR_HL24_R21,3,2020-02,none,peak,True,False,True,False
2019-05,CORE_FEEDBACK_R21,2,2019-11,none,trough,True,False,True,False
2019-05,CORE_FEEDBACK_R21,3,2020-02,none,peak,True,False,True,False
2019-05,DAMPED_P95_Q001_R16,2,2019-11,none,trough,True,False,True,False
2019-05,DAMPED_P95_Q001_R16,3,2020-02,none,peak,True,False,True,False
2019-05,DUAL_FEEDBACK_R21,2,2019-11,none,trough,True,False,True,False
2019-05,DUAL_FEEDBACK_R21,3,2020-02,none,peak,True,False,True,False
2019-05,FOOD_FEEDBACK_R21,2,2019-11,none,trough,True,False,True,False
2019-05,FOOD_FEEDBACK_R21,3,2020-02,none,peak,True,False,True,False
2019-05,POOL_COMPLETE_R21,2,2019-11,none,trough,True,False,True,False
2019-05,POOL_COMPLETE_R21,3,2020-02,none,peak,True,False,True,False
2019-05,POOL_PARTIAL_R21,2,2019-11,none,trough,True,False,True,False
2019-05,POOL_PARTIAL_R21,3,2020-02,none,peak,True,False,True,False
2019-05,POOL_PRIOR_R21,2,2019-11,none,trough,True,False,True,False
2019-05,POOL_PRIOR_R21,3,2020-02,none,peak,True,False,True,False
2019-05,STABLE_LOCAL_CORE_R14B,2,2019-11,none,trough,True,False,True,False
2019-05,STABLE_LOCAL_CORE_R14B,3,2020-02,none,peak,True,False,True,False
2019-05,STATE_FAST_R15,2,2019-11,none,trough,True,False,True,False
2019-05,STATE_FAST_R15,3,2020-02,none,peak,True,False,True,False
2019-06,ANCHOR_HL12_R21,2,2019-12,none,none,True,False,False,False
2019-06,ANCHOR_HL12_R21,3,2020-03,none,none,True,False,False,False
2019-06,ANCHOR_HL24_R21,2,2019-12,none,none,True,False,False,False
2019-06,ANCHOR_HL24_R21,3,2020-03,none,none,True,False,False,False
2019-06,CORE_FEEDBACK_R21,2,2019-12,none,none,True,False,False,False
2019-06,CORE_FEEDBACK_R21,3,2020-03,none,none,True,False,False,False
2019-06,DAMPED_P95_Q001_R16,2,2019-12,none,none,True,False,False,False
2019-06,DAMPED_P95_Q001_R16,3,2020-03,none,none,True,False,False,False
2019-06,DUAL_FEEDBACK_R21,2,2019-12,none,none,True,False,False,False
2019-06,DUAL_FEEDBACK_R21,3,2020-03,none,none,True,False,False,False
2019-06,FOOD_FEEDBACK_R21,2,2019-12,none,none,True,False,False,False
2019-06,FOOD_FEEDBACK_R21,3,2020-03,none,none,True,False,False,False
2019-06,POOL_COMPLETE_R21,2,2019-12,none,none,True,False,False,False
2019-06,POOL_COMPLETE_R21,3,2020-03,none,none,True,False,False,False
2019-06,POOL_PARTIAL_R21,2,2019-12,none,none,True,False,False,False
2019-06,POOL_PARTIAL_R21,3,2020-03,none,none,True,False,False,False
2019-06,POOL_PRIOR_R21,2,2019-12,none,none,True,False,False,False
2019-06,POOL_PRIOR_R21,3,2020-03,none,none,True,False,False,False
2019-06,STABLE_LOCAL_CORE_R14B,2,2019-12,none,none,True,False,False,False
2019-06,STABLE_LOCAL_CORE_R14B,3,2020-03,none,none,True,False,False,False
2019-06,STATE_FAST_R15,2,2019-12,none,none,True,False,False,False
2019-06,STATE_FAST_R15,3,2020-03,none,none,True,False,False,False
2019-07,ANCHOR_HL12_R21,2,2020-01,none,peak,True,False,True,False
2019-07,ANCHOR_HL12_R21,3,2020-04,none,trough,True,False,True,False
2019-07,ANCHOR_HL24_R21,2,2020-01,none,peak,True,False,True,False
2019-07,ANCHOR_HL24_R21,3,2020-04,none,trough,True,False,True,False
2019-07,CORE_FEEDBACK_R21,2,2020-01,none,peak,True,False,True,False
2019-07,CORE_FEEDBACK_R21,3,2020-04,none,trough,True,False,True,False
2019-07,DAMPED_P95_Q001_R16,2,2020-01,none,peak,True,False,True,False
2019-07,DAMPED_P95_Q001_R16,3,2020-04,none,trough,True,False,True,False
2019-07,DUAL_FEEDBACK_R21,2,2020-01,none,peak,True,False,True,False
2019-07,DUAL_FEEDBACK_R21,3,2020-04,none,trough,True,False,True,False
2019-07,FOOD_FEEDBACK_R21,2,2020-01,none,peak,True,False,True,False
2019-07,FOOD_FEEDBACK_R21,3,2020-04,none,trough,True,False,True,False
2019-07,POOL_COMPLETE_R21,2,2020-01,none,peak,True,False,True,False
2019-07,POOL_COMPLETE_R21,3,2020-04,none,trough,True,False,True,False
2019-07,POOL_PARTIAL_R21,2,2020-01,none,peak,True,False,True,False
2019-07,POOL_PARTIAL_R21,3,2020-04,none,trough,True,False,True,False
2019-07,POOL_PRIOR_R21,2,2020-01,none,peak,True,False,True,False
2019-07,POOL_PRIOR_R21,3,2020-04,none,trough,True,False,True,False
2019-07,STABLE_LOCAL_CORE_R14B,2,2020-01,none,peak,True,False,True,False
2019-07,STABLE_LOCAL_CORE_R14B,3,2020-04,none,trough,True,False,True,False
2019-07,STATE_FAST_R15,2,2020-01,none,peak,True,False,True,False
2019-07,STATE_FAST_R15,3,2020-04,none,trough,True,False,True,False
2019-08,ANCHOR_HL12_R21,2,2020-02,none,peak,True,False,True,False
2019-08,ANCHOR_HL12_R21,3,2020-05,none,trough,True,False,True,False
2019-08,ANCHOR_HL24_R21,2,2020-02,none,peak,True,False,True,False
2019-08,ANCHOR_HL24_R21,3,2020-05,none,trough,True,False,True,False
2019-08,CORE_FEEDBACK_R21,2,2020-02,none,peak,True,False,True,False
2019-08,CORE_FEEDBACK_R21,3,2020-05,none,trough,True,False,True,False
2019-08,DAMPED_P95_Q001_R16,2,2020-02,none,peak,True,False,True,False
2019-08,DAMPED_P95_Q001_R16,3,2020-05,none,trough,True,False,True,False
2019-08,DUAL_FEEDBACK_R21,2,2020-02,none,peak,True,False,True,False
2019-08,DUAL_FEEDBACK_R21,3,2020-05,none,trough,True,False,True,False
2019-08,FOOD_FEEDBACK_R21,2,2020-02,none,peak,True,False,True,False
2019-08,FOOD_FEEDBACK_R21,3,2020-05,none,trough,True,False,True,False
2019-08,POOL_COMPLETE_R21,2,2020-02,none,peak,True,False,True,False
2019-08,POOL_COMPLETE_R21,3,2020-05,none,trough,True,False,True,False
2019-08,POOL_PARTIAL_R21,2,2020-02,none,peak,True,False,True,False
2019-08,POOL_PARTIAL_R21,3,2020-05,none,trough,True,False,True,False
2019-08,POOL_PRIOR_R21,2,2020-02,none,peak,True,False,True,False
2019-08,POOL_PRIOR_R21,3,2020-05,none,trough,True,False,True,False
2019-08,STABLE_LOCAL_CORE_R14B,2,2020-02,none,peak,True,False,True,False
2019-08,STABLE_LOCAL_CORE_R14B,3,2020-05,none,trough,True,False,True,False
2019-08,STATE_FAST_R15,2,2020-02,none,peak,True,False,True,False
2019-08,STATE_FAST_R15,3,2020-05,none,trough,True,False,True,False
2019-09,ANCHOR_HL12_R21,2,2020-03,none,none,True,False,False,False
