model,sample,n,rmse,mae,bias,material_wins,material_losses,direction_hits,big,alerts,alerted_big,material_big_alerts,gain
CONSENSUS,full90,90,0.3815174380753199,0.2533333333333333,-0.0244444444444444,0,0,0,23,0,0,0,0.0
CONSENSUS,common_fitted,66,0.4244425934699711,0.2803030303030303,-0.0075757575757575,0,0,0,20,0,0,0,0.0
CONSENSUS,2024+,31,0.2409657986707497,0.1870967741935483,0.0451612903225806,0,0,0,5,0,0,0,0.0
CONSENSUS,ex_january,83,0.3800760862318244,0.244578313253012,-0.008433734939759,0,0,0,19,0,0,0,0.0
CONSENSUS,big,23,0.6950132935857196,0.5782608695652175,-0.0217391304347826,0,0,0,23,0,0,0,0.0
CONSENSUS,big_ex_january,19,0.7287335806582179,0.5947368421052632,0.0263157894736842,0,0,0,19,0,0,0,0.0
CONSENSUS,all_alerts,0,,,,0,0,0,0,0,0,0,
CONSENSUS,common_fitted_alerts,0,,,,0,0,0,0,0,0,0,
CORE_RF_MEAN_R21,full90,90,0.4136561012148391,0.2588745277704886,0.0094631216718534,11,15,52,23,24,8,6,-0.0055411944371553
CORE_RF_MEAN_R21,common_fitted,66,0.4624456591145665,0.2846463675733157,0.0244571183474713,10,14,41,20,19,7,5,-0.0043433372702854
CORE_RF_MEAN_R21,2024+,31,0.223687863150608,0.1679537068557331,0.0222015492647145,3,3,18,5,5,2,1,0.0191430673378152
CORE_RF_MEAN_R21,ex_january,83,0.4035976615261482,0.2481361695292296,0.0418852774943492,10,14,47,19,21,6,5,-0.0035578562762175
CORE_RF_MEAN_R21,big,23,0.6948065621624614,0.4856138773122834,0.0209443484696324,7,2,17,23,8,8,6,0.0926469922529341
CORE_RF_MEAN_R21,big_ex_january,19,0.7379074135680486,0.5079143331688548,0.1019884690582781,6,2,14,19,6,6,5,0.0868225089364084
CORE_RF_MEAN_R21,all_alerts,24,0.6457952001497512,0.3900036075637174,0.0621689633242814,8,10,16,8,24,8,6,-0.0400036075637173
CORE_RF_MEAN_R21,common_fitted_alerts,19,0.7217130275161575,0.456485597004604,0.0800827951553406,7,10,11,7,19,7,5,-0.0722750706888145
CORE_RF_MEDIAN_R21,full90,90,0.4137863329891461,0.2591311811000437,0.005046617234756,13,15,50,23,20,7,5,-0.0057978477667103
CORE_RF_MEDIAN_R21,common_fitted,66,0.4617838409277138,0.2846632332358224,0.0198794322663624,11,14,40,20,16,7,5,-0.004360202932792
CORE_RF_MEDIAN_R21,2024+,31,0.2245568187512774,0.1684954322962348,0.0155355160191023,3,3,18,5,4,2,1,0.0186013418973135
CORE_RF_MEDIAN_R21,ex_january,83,0.4030964081376425,0.2482696724283603,0.0381876050990796,12,14,45,19,17,5,4,-0.0036913591753482
CORE_RF_MEDIAN_R21,big,23,0.6934525161591816,0.487946849676969,0.013115351403632,7,2,17,23,7,7,5,0.0903140198882484
CORE_RF_MEDIAN_R21,big_ex_january,19,0.7362434122318251,0.5120406787078086,0.0945057849500528,6,2,14,19,5,5,4,0.0826961633974546
CORE_RF_MEDIAN_R21,all_alerts,20,0.6935649235689402,0.4205137173404488,0.0437608532894081,7,8,14,7,20,7,5,-0.0455137173404488
CORE_RF_MEDIAN_R21,common_fitted_alerts,16,0.7727495382054514,0.496205022118607,0.0447910998227408,6,8,10,7,16,7,5,-0.0712050221186069
HARD_BASE,full90,90,0.4179515473972404,0.2625157341641442,-0.0252256367685715,12,15,50,23,20,7,5,-0.0091824008308108
HARD_BASE,common_fitted,66,0.4639649201156584,0.2866187525267086,-0.0108762037292446,11,13,41,20,16,7,5,-0.0063157222236783
HARD_BASE,2024+,31,0.2189777613407202,0.1690393240182861,-0.005877997285901,4,2,20,5,4,2,1,0.0180574501752622
HARD_BASE,ex_january,83,0.4033326092057299,0.2482511003055828,0.0090514149426284,11,14,46,19,17,5,4,-0.0036727870525708
HARD_BASE,big,23,0.6985702092561592,0.4845828419489988,-0.0212385236178502,7,3,17,23,7,7,5,0.0936780276162185
HARD_BASE,big_ex_january,19,0.7365562717606702,0.4986903445431689,0.0622001460682215,6,3,15,19,5,5,4,0.0960464975620943
HARD_BASE,all_alerts,20,0.6999864621564055,0.4090825368404247,0.0115373744960966,7,8,14,7,20,7,5,-0.0390825368404246
HARD_BASE,common_fitted_alerts,16,0.7806523988570021,0.4862286942979354,0.0095544191114062,6,8,10,7,16,7,5,-0.0674786942979353
HARD_FULL,full90,90,0.4139308470027306,0.2696268338876436,-0.0057791311415491,13,14,47,23,23,7,6,-0.0162935005543102
HARD_FULL,common_fitted,66,0.4611944181681749,0.29582264915993,0.0035193718435652,11,12,37,20,18,6,5,-0.0155196188568998
HARD_FULL,2024+,31,0.2253165800617843,0.1726397052825604,-0.0023076859570927,4,3,18,5,5,2,1,0.0144570689109879
HARD_FULL,ex_january,83,0.3984481388398994,0.2565294746339001,0.0280745446321181,12,12,42,19,20,5,5,-0.0119511613808881
HARD_FULL,big,23,0.6710742877935716,0.4760611310694146,0.0007855388815016,9,2,17,23,7,7,6,0.1021997384958027
HARD_FULL,big_ex_january,19,0.7065802335235483,0.4906359000242581,0.0800648242284839,8,1,14,19,5,5,5,0.1041009420810049
