scope,sample,model,n,actual_turns,predicted_turns,exact_band_hits,missed_turns,false_turns,exact_turn_recall,exact_turn_precision
all_models_common,full,CORE_FEEDBACK_R21,159,77,0,0,77,0,0.0,
all_models_common,full,DAMPED_P95_Q001_R16,159,77,0,0,77,0,0.0,
all_models_common,full,JOINT_DOMESTIC_R22,159,77,0,0,77,0,0.0,
all_models_common,full,JOINT_ENET_R22,159,77,57,9,68,48,0.11688311688311688,0.15789473684210525
all_models_common,full,JOINT_IMPORTED_R22,159,77,0,0,77,0,0.0,
all_models_common,full,JOINT_LINEAR_R22,159,77,0,0,77,0,0.0,
all_models_common,full,JOINT_OWN_R22,159,77,0,0,77,0,0.0,
all_models_common,full,JOINT_RF_R22,159,77,1,1,76,0,0.012987012987012988,1.0
all_models_common,full,STABLE_LOCAL_CORE_R14B,159,77,0,0,77,0,0.0,
all_models_common,full,STATE_FAST_R15,159,77,0,0,77,0,0.0,
all_models_common,origins_2019_2021,CORE_FEEDBACK_R21,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,DAMPED_P95_Q001_R16,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,JOINT_DOMESTIC_R22,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,JOINT_ENET_R22,70,38,37,5,33,32,0.13157894736842105,0.13513513513513514
all_models_common,origins_2019_2021,JOINT_IMPORTED_R22,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,JOINT_LINEAR_R22,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,JOINT_OWN_R22,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,JOINT_RF_R22,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,STABLE_LOCAL_CORE_R14B,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,STATE_FAST_R15,70,38,0,0,38,0,0.0,
all_models_common,origins_2022_2023,CORE_FEEDBACK_R21,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,DAMPED_P95_Q001_R16,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,JOINT_DOMESTIC_R22,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,JOINT_ENET_R22,48,17,11,2,15,9,0.11764705882352941,0.18181818181818182
all_models_common,origins_2022_2023,JOINT_IMPORTED_R22,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,JOINT_LINEAR_R22,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,JOINT_OWN_R22,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,JOINT_RF_R22,48,17,1,1,16,0,0.058823529411764705,1.0
all_models_common,origins_2022_2023,STABLE_LOCAL_CORE_R14B,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,STATE_FAST_R15,48,17,0,0,17,0,0.0,
all_models_common,origins_2024plus,CORE_FEEDBACK_R21,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,DAMPED_P95_Q001_R16,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,JOINT_DOMESTIC_R22,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,JOINT_ENET_R22,41,22,9,2,20,7,0.09090909090909091,0.2222222222222222
all_models_common,origins_2024plus,JOINT_IMPORTED_R22,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,JOINT_LINEAR_R22,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,JOINT_OWN_R22,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,JOINT_RF_R22,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,STABLE_LOCAL_CORE_R14B,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,STATE_FAST_R15,41,22,0,0,22,0,0.0,
all_models_common,recent_targets,CORE_FEEDBACK_R21,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,DAMPED_P95_Q001_R16,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,JOINT_DOMESTIC_R22,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,JOINT_ENET_R22,56,28,10,2,26,8,0.07142857142857142,0.2
all_models_common,recent_targets,JOINT_IMPORTED_R22,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,JOINT_LINEAR_R22,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,JOINT_OWN_R22,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,JOINT_RF_R22,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,STABLE_LOCAL_CORE_R14B,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,STATE_FAST_R15,56,28,0,0,28,0,0.0,
