scope,sample,metric,h,model,n,mae,rmse,bias
all_models_common,full,headline_yy,1,STATE_FAST_R15,89,0.5011490271524494,0.8566907198286517,-0.10481303955374352
all_models_common,full,headline_yy,1,STABLE_LOCAL_CORE_R14B,89,0.5027231125723661,0.8642558865902373,-0.10474168629149656
all_models_common,full,headline_yy,1,DAMPED_P95_Q001_R16,89,0.500304762472871,0.8532747446104095,-0.10320774823011016
all_models_common,full,headline_yy,1,CORE_FEEDBACK_R21,89,0.5021253099647737,0.852705248608762,-0.10398265595707365
all_models_common,full,headline_yy,1,JOINT_OWN_R22,89,0.4974133997933492,0.8665745385476167,-0.12300690399655062
all_models_common,full,headline_yy,1,JOINT_DOMESTIC_R22,89,0.5006521462826033,0.8716085144183456,-0.12399841571573128
all_models_common,full,headline_yy,1,JOINT_IMPORTED_R22,89,0.49551145136761243,0.8654577833173019,-0.12403508627620949
all_models_common,full,headline_yy,1,JOINT_LINEAR_R22,89,0.4977556040965893,0.8689497369847142,-0.1252932821099548
all_models_common,full,headline_yy,1,JOINT_ENET_R22,89,0.5058496444393349,0.876191020819637,-0.12406368059642768
all_models_common,full,headline_yy,1,JOINT_RF_R22,89,0.49818914216865695,0.8685586506538854,-0.12709676840247575
all_models_common,full,headline_yy,1,JOINT_HALF_R22,89,0.49690885013099667,0.8615589517464437,-0.11505316083184884
all_models_common,origins_2019_2021,headline_yy,1,STATE_FAST_R15,35,0.3599172069594031,0.4482062213331993,-0.12292045603346083
all_models_common,origins_2019_2021,headline_yy,1,STABLE_LOCAL_CORE_R14B,35,0.3467213747081111,0.4502262191144419,-0.1541402932546609
all_models_common,origins_2019_2021,headline_yy,1,DAMPED_P95_Q001_R16,35,0.359627393031699,0.4490245163584113,-0.12195295303902258
all_models_common,origins_2019_2021,headline_yy,1,CORE_FEEDBACK_R21,35,0.36371803453555335,0.4501517499402597,-0.11558970583017561
all_models_common,origins_2019_2021,headline_yy,1,JOINT_OWN_R22,35,0.3470304366700302,0.45422984648461684,-0.15954596195021226
all_models_common,origins_2019_2021,headline_yy,1,JOINT_DOMESTIC_R22,35,0.34535680108112854,0.45479825388849887,-0.15028972811027824
all_models_common,origins_2019_2021,headline_yy,1,JOINT_IMPORTED_R22,35,0.3446428279119255,0.44939045675943706,-0.16011847988597852
all_models_common,origins_2019_2021,headline_yy,1,JOINT_LINEAR_R22,35,0.3416727604457882,0.44865714982447186,-0.15256807025449196
all_models_common,origins_2019_2021,headline_yy,1,JOINT_ENET_R22,35,0.34437336855273193,0.4308290199915394,-0.1438517948120904
