sample,model,n,actual_events,calls,hits,misses,false_calls,recall,precision
full,CORE_FEEDBACK_R21,81,37,29,12,25,17,0.32432432432432434,0.41379310344827586
full,DAMPED_P95_Q001_R16,81,37,22,1,36,21,0.02702702702702703,0.045454545454545456
full,JOINT_DOMESTIC_R22,81,37,37,16,21,21,0.43243243243243246,0.43243243243243246
full,JOINT_ENET_R22,81,37,43,14,23,29,0.3783783783783784,0.32558139534883723
full,JOINT_HALF_R22,81,37,29,14,23,15,0.3783783783783784,0.4827586206896552
full,JOINT_IMPORTED_R22,81,37,36,15,22,21,0.40540540540540543,0.4166666666666667
full,JOINT_LINEAR_R22,81,37,38,16,21,22,0.43243243243243246,0.42105263157894735
full,JOINT_OWN_R22,81,37,42,17,20,25,0.4594594594594595,0.40476190476190477
full,JOINT_RF_R22,81,37,39,16,21,23,0.43243243243243246,0.41025641025641024
full,STABLE_LOCAL_CORE_R14B,81,37,0,0,37,0,0.0,
full,STATE_FAST_R15,81,37,8,1,36,7,0.02702702702702703,0.125
origins_2019_2021,CORE_FEEDBACK_R21,35,13,6,0,13,6,0.0,0.0
origins_2019_2021,DAMPED_P95_Q001_R16,35,13,0,0,13,0,0.0,
origins_2019_2021,JOINT_DOMESTIC_R22,35,13,8,0,13,8,0.0,0.0
origins_2019_2021,JOINT_ENET_R22,35,13,15,2,11,13,0.15384615384615385,0.13333333333333333
origins_2019_2021,JOINT_HALF_R22,35,13,8,0,13,8,0.0,0.0
origins_2019_2021,JOINT_IMPORTED_R22,35,13,8,1,12,7,0.07692307692307693,0.125
origins_2019_2021,JOINT_LINEAR_R22,35,13,13,2,11,11,0.15384615384615385,0.15384615384615385
origins_2019_2021,JOINT_OWN_R22,35,13,9,0,13,9,0.0,0.0
origins_2019_2021,JOINT_RF_R22,35,13,12,2,11,10,0.15384615384615385,0.16666666666666666
origins_2019_2021,STABLE_LOCAL_CORE_R14B,35,13,0,0,13,0,0.0,
origins_2019_2021,STATE_FAST_R15,35,13,5,0,13,5,0.0,0.0
origins_2022_2023,CORE_FEEDBACK_R21,24,15,17,11,4,6,0.7333333333333333,0.6470588235294118
origins_2022_2023,DAMPED_P95_Q001_R16,24,15,13,0,15,13,0.0,0.0
origins_2022_2023,JOINT_DOMESTIC_R22,24,15,14,11,4,3,0.7333333333333333,0.7857142857142857
origins_2022_2023,JOINT_ENET_R22,24,15,19,10,5,9,0.6666666666666666,0.5263157894736842
origins_2022_2023,JOINT_HALF_R22,24,15,11,9,6,2,0.6,0.8181818181818182
origins_2022_2023,JOINT_IMPORTED_R22,24,15,13,9,6,4,0.6,0.6923076923076923
origins_2022_2023,JOINT_LINEAR_R22,24,15,11,9,6,2,0.6,0.8181818181818182
origins_2022_2023,JOINT_OWN_R22,24,15,16,11,4,5,0.7333333333333333,0.6875
origins_2022_2023,JOINT_RF_R22,24,15,13,9,6,4,0.6,0.6923076923076923
origins_2022_2023,STABLE_LOCAL_CORE_R14B,24,15,0,0,15,0,0.0,
origins_2022_2023,STATE_FAST_R15,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2024plus,CORE_FEEDBACK_R21,22,9,6,1,8,5,0.1111111111111111,0.16666666666666666
origins_2024plus,DAMPED_P95_Q001_R16,22,9,9,1,8,8,0.1111111111111111,0.1111111111111111
origins_2024plus,JOINT_DOMESTIC_R22,22,9,15,5,4,10,0.5555555555555556,0.3333333333333333
origins_2024plus,JOINT_ENET_R22,22,9,9,2,7,7,0.2222222222222222,0.2222222222222222
origins_2024plus,JOINT_HALF_R22,22,9,10,5,4,5,0.5555555555555556,0.5
origins_2024plus,JOINT_IMPORTED_R22,22,9,15,5,4,10,0.5555555555555556,0.3333333333333333
origins_2024plus,JOINT_LINEAR_R22,22,9,14,5,4,9,0.5555555555555556,0.35714285714285715
origins_2024plus,JOINT_OWN_R22,22,9,17,6,3,11,0.6666666666666666,0.35294117647058826
origins_2024plus,JOINT_RF_R22,22,9,14,5,4,9,0.5555555555555556,0.35714285714285715
origins_2024plus,STABLE_LOCAL_CORE_R14B,22,9,0,0,9,0,0.0,
origins_2024plus,STATE_FAST_R15,22,9,0,0,9,0,0.0,
recent_targets,CORE_FEEDBACK_R21,31,14,14,4,10,10,0.2857142857142857,0.2857142857142857
recent_targets,DAMPED_P95_Q001_R16,31,14,9,1,13,8,0.07142857142857142,0.1111111111111111
recent_targets,JOINT_DOMESTIC_R22,31,14,20,8,6,12,0.5714285714285714,0.4
recent_targets,JOINT_ENET_R22,31,14,18,7,7,11,0.5,0.3888888888888889
recent_targets,JOINT_HALF_R22,31,14,13,7,7,6,0.5,0.5384615384615384
recent_targets,JOINT_IMPORTED_R22,31,14,21,7,7,14,0.5,0.3333333333333333
recent_targets,JOINT_LINEAR_R22,31,14,18,7,7,11,0.5,0.3888888888888889
recent_targets,JOINT_OWN_R22,31,14,24,9,5,15,0.6428571428571429,0.375
recent_targets,JOINT_RF_R22,31,14,18,7,7,11,0.5,0.3888888888888889
recent_targets,STABLE_LOCAL_CORE_R14B,31,14,0,0,14,0,0.0,
recent_targets,STATE_FAST_R15,31,14,2,0,14,2,0.0,0.0
