origin,model,band,target,predicted_sa_annualized,actual_sa_annualized
2019-02,CORE_FEEDBACK_R21,1,2019-05,3.698747663170841,1.362999937586649
2019-02,CORE_FEEDBACK_R21,2,2019-08,3.611330010840951,4.845287260371656
2019-02,CORE_FEEDBACK_R21,3,2019-11,3.5665721728480495,0.9977971120537532
2019-02,CORE_FEEDBACK_R21,4,2020-02,3.543656159795683,5.52170549349239
2019-02,DAMPED_P95_Q001_R16,1,2019-05,3.673850610050466,1.362999937586649
2019-02,DAMPED_P95_Q001_R16,2,2019-08,3.6962434160775652,4.845287260371656
2019-02,DAMPED_P95_Q001_R16,3,2019-11,3.7460352597468285,0.9977971120537532
2019-02,DAMPED_P95_Q001_R16,4,2020-02,3.804389061252874,5.52170549349239
2019-02,JOINT_DOMESTIC_R22,1,2019-05,3.0817600213615224,1.362999937586649
2019-02,JOINT_DOMESTIC_R22,2,2019-08,2.908777960845631,4.845287260371656
2019-02,JOINT_DOMESTIC_R22,3,2019-11,2.931616742579303,0.9977971120537532
2019-02,JOINT_DOMESTIC_R22,4,2020-02,3.646361480283497,5.52170549349239
2019-02,JOINT_ENET_R22,1,2019-05,3.495644635476923,1.362999937586649
2019-02,JOINT_ENET_R22,2,2019-08,1.1971127357149334,4.845287260371656
2019-02,JOINT_ENET_R22,3,2019-11,4.36872418760105,0.9977971120537532
2019-02,JOINT_ENET_R22,4,2020-02,3.6099888105596483,5.52170549349239
2019-02,JOINT_HALF_R22,1,2019-05,3.33321189870677,1.362999937586649
2019-02,JOINT_HALF_R22,2,2019-08,3.262473986658901,4.845287260371656
2019-02,JOINT_HALF_R22,3,2019-11,3.2700233766660785,0.9977971120537532
2019-02,JOINT_HALF_R22,4,2020-02,3.6077906985400325,5.52170549349239
2019-02,JOINT_IMPORTED_R22,1,2019-05,2.814249303081655,1.362999937586649
2019-02,JOINT_IMPORTED_R22,2,2019-08,2.6093304566406728,4.845287260371656
2019-02,JOINT_IMPORTED_R22,3,2019-11,2.6263749886405034,0.9977971120537532
2019-02,JOINT_IMPORTED_R22,4,2020-02,3.3037886795219134,5.52170549349239
2019-02,JOINT_LINEAR_R22,1,2019-05,2.967540057972442,1.362999937586649
2019-02,JOINT_LINEAR_R22,2,2019-08,2.9130958516678356,4.845287260371656
