scope,sample,model,n,actual_turns,predicted_turns,exact_band_hits,missed_turns,false_turns,exact_turn_recall,exact_turn_precision
all_models_common,full,CORE_FEEDBACK_R21,159,77,0,0,77,0,0.0,
all_models_common,full,DAMPED_P95_Q001_R16,159,77,0,0,77,0,0.0,
all_models_common,full,JOINT_DOMESTIC_R22,159,77,32,14,63,18,0.18181818181818182,0.4375
all_models_common,full,JOINT_ENET_R22,159,77,58,13,64,45,0.16883116883116883,0.22413793103448276
all_models_common,full,JOINT_HALF_R22,159,77,2,0,77,2,0.0,0.0
all_models_common,full,JOINT_IMPORTED_R22,159,77,32,14,63,18,0.18181818181818182,0.4375
all_models_common,full,JOINT_LINEAR_R22,159,77,32,14,63,18,0.18181818181818182,0.4375
all_models_common,full,JOINT_OWN_R22,159,77,27,12,65,15,0.15584415584415584,0.4444444444444444
all_models_common,full,JOINT_RF_R22,159,77,32,15,62,17,0.19480519480519481,0.46875
all_models_common,full,STABLE_LOCAL_CORE_R14B,159,77,0,0,77,0,0.0,
all_models_common,full,STATE_FAST_R15,159,77,0,0,77,0,0.0,
all_models_common,origins_2019_2021,CORE_FEEDBACK_R21,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,DAMPED_P95_Q001_R16,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,JOINT_DOMESTIC_R22,70,38,22,11,27,11,0.2894736842105263,0.5
all_models_common,origins_2019_2021,JOINT_ENET_R22,70,38,36,7,31,29,0.18421052631578946,0.19444444444444445
all_models_common,origins_2019_2021,JOINT_HALF_R22,70,38,2,0,38,2,0.0,0.0
all_models_common,origins_2019_2021,JOINT_IMPORTED_R22,70,38,21,11,27,10,0.2894736842105263,0.5238095238095238
all_models_common,origins_2019_2021,JOINT_LINEAR_R22,70,38,22,11,27,11,0.2894736842105263,0.5
all_models_common,origins_2019_2021,JOINT_OWN_R22,70,38,21,11,27,10,0.2894736842105263,0.5238095238095238
all_models_common,origins_2019_2021,JOINT_RF_R22,70,38,18,9,29,9,0.23684210526315788,0.5
all_models_common,origins_2019_2021,STABLE_LOCAL_CORE_R14B,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,STATE_FAST_R15,70,38,0,0,38,0,0.0,
all_models_common,origins_2022_2023,CORE_FEEDBACK_R21,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,DAMPED_P95_Q001_R16,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,JOINT_DOMESTIC_R22,48,17,8,2,15,6,0.11764705882352941,0.25
all_models_common,origins_2022_2023,JOINT_ENET_R22,48,17,11,2,15,9,0.11764705882352941,0.18181818181818182
all_models_common,origins_2022_2023,JOINT_HALF_R22,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,JOINT_IMPORTED_R22,48,17,9,2,15,7,0.11764705882352941,0.2222222222222222
all_models_common,origins_2022_2023,JOINT_LINEAR_R22,48,17,8,2,15,6,0.11764705882352941,0.25
all_models_common,origins_2022_2023,JOINT_OWN_R22,48,17,6,1,16,5,0.058823529411764705,0.16666666666666666
all_models_common,origins_2022_2023,JOINT_RF_R22,48,17,11,4,13,7,0.23529411764705882,0.36363636363636365
all_models_common,origins_2022_2023,STABLE_LOCAL_CORE_R14B,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,STATE_FAST_R15,48,17,0,0,17,0,0.0,
all_models_common,origins_2024plus,CORE_FEEDBACK_R21,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,DAMPED_P95_Q001_R16,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,JOINT_DOMESTIC_R22,41,22,2,1,21,1,0.045454545454545456,0.5
all_models_common,origins_2024plus,JOINT_ENET_R22,41,22,11,4,18,7,0.18181818181818182,0.36363636363636365
all_models_common,origins_2024plus,JOINT_HALF_R22,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,JOINT_IMPORTED_R22,41,22,2,1,21,1,0.045454545454545456,0.5
all_models_common,origins_2024plus,JOINT_LINEAR_R22,41,22,2,1,21,1,0.045454545454545456,0.5
all_models_common,origins_2024plus,JOINT_OWN_R22,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,JOINT_RF_R22,41,22,3,2,20,1,0.09090909090909091,0.6666666666666666
all_models_common,origins_2024plus,STABLE_LOCAL_CORE_R14B,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,STATE_FAST_R15,41,22,0,0,22,0,0.0,
all_models_common,recent_targets,CORE_FEEDBACK_R21,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,DAMPED_P95_Q001_R16,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,JOINT_DOMESTIC_R22,56,28,2,1,27,1,0.03571428571428571,0.5
all_models_common,recent_targets,JOINT_ENET_R22,56,28,13,4,24,9,0.14285714285714285,0.3076923076923077
all_models_common,recent_targets,JOINT_HALF_R22,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,JOINT_IMPORTED_R22,56,28,2,1,27,1,0.03571428571428571,0.5
all_models_common,recent_targets,JOINT_LINEAR_R22,56,28,2,1,27,1,0.03571428571428571,0.5
all_models_common,recent_targets,JOINT_OWN_R22,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,JOINT_RF_R22,56,28,3,2,26,1,0.07142857142857142,0.6666666666666666
all_models_common,recent_targets,STABLE_LOCAL_CORE_R14B,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,STATE_FAST_R15,56,28,0,0,28,0,0.0,
