origin,as_of,model,status,n_train
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,estimated,40
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,40
2019-02,2019-03-10T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,40
2019-02,2019-03-10T22:59:00+00:00,JOINT_LINEAR_R22,estimated,40
2019-02,2019-03-10T22:59:00+00:00,JOINT_ENET_R22,estimated,40
2019-02,2019-03-10T22:59:00+00:00,JOINT_RF_R22,estimated,40
2019-02,2019-03-10T22:59:00+00:00,JOINT_HALF_R22,estimated,40
2019-03,2019-04-09T21:59:00+00:00,JOINT_OWN_R22,estimated,42
2019-03,2019-04-09T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,42
2019-03,2019-04-09T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,42
2019-03,2019-04-09T21:59:00+00:00,JOINT_LINEAR_R22,estimated,42
2019-03,2019-04-09T21:59:00+00:00,JOINT_ENET_R22,estimated,42
2019-03,2019-04-09T21:59:00+00:00,JOINT_RF_R22,estimated,42
2019-03,2019-04-09T21:59:00+00:00,JOINT_HALF_R22,estimated,42
2019-04,2019-05-12T21:59:00+00:00,JOINT_OWN_R22,estimated,43
2019-04,2019-05-12T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,43
2019-04,2019-05-12T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,43
2019-04,2019-05-12T21:59:00+00:00,JOINT_LINEAR_R22,estimated,43
2019-04,2019-05-12T21:59:00+00:00,JOINT_ENET_R22,estimated,43
2019-04,2019-05-12T21:59:00+00:00,JOINT_RF_R22,estimated,43
2019-04,2019-05-12T21:59:00+00:00,JOINT_HALF_R22,estimated,43
2019-05,2019-06-10T21:59:00+00:00,JOINT_OWN_R22,estimated,43
2019-05,2019-06-10T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,43
2019-05,2019-06-10T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,43
2019-05,2019-06-10T21:59:00+00:00,JOINT_LINEAR_R22,estimated,43
2019-05,2019-06-10T21:59:00+00:00,JOINT_ENET_R22,estimated,43
2019-05,2019-06-10T21:59:00+00:00,JOINT_RF_R22,estimated,43
