scope,sample,clock,model,quarters_ahead,n,mae,rmse,bias,report_count,unique_target_quarters,cnb_mae,mean_absolute_error_gain_vs_cnb,material_gains,material_losses,immaterial_pairs,mean_model_cnb_deviation,mean_realised_cnb_error,deviation_direction_correct_rate,deviation_error_correlation
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,all,66,1.2813726619677048,2.0432795312027325,-0.2569765914556941,18,18,1.0605492231877776,-0.22082343877992727,15,34,17,0.24209089839522477,0.499067489850919,0.5303030303030303,0.46399220432019045
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,1,18,0.832447791540808,1.4844164482823117,-0.23845752301320614,18,18,0.5554610620931573,-0.2769867294476507,4,8,6,-0.40324105657590664,-0.16478353356270048,0.6111111111111112,0.2337377369179279
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,2,17,1.3897785616320968,2.0026858370609006,-0.44102892699345625,17,17,1.175891176650326,-0.21388738498177093,4,8,5,-0.08990730857302955,0.3511216184204268,0.6470588235294118,0.3690983674578237
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,3,16,1.3628251223193728,2.055469895755567,-0.30138886677354715,16,16,1.1088691841257816,-0.2539559381935912,3,9,4,0.4523541036394103,0.7537429704129572,0.375,0.5258486540748343
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,4,15,1.610339862485225,2.5833376231514222,-0.023233732971506393,15,15,1.4843928442432301,-0.12594701824199472,4,9,2,1.1684731266641395,1.1917068596356455,0.4666666666666667,0.5185041180711102
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,all,66,1.2757683245987168,2.022284213399014,-0.22978522865189382,18,18,1.0605492231877776,-0.2152191014109392,13,31,22,0.26928226119902504,0.499067489850919,0.5454545454545454,0.4798184767226155
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,1,18,0.8295617653255728,1.481179804549803,-0.23180181765101654,18,18,0.5554610620931573,-0.27410070323241553,4,8,6,-0.3965853512137171,-0.16478353356270048,0.6111111111111112,0.22944465355307514
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,2,17,1.3757368852649274,1.9901477897698394,-0.42213231930827577,17,17,1.175891176650326,-0.19984570861460166,4,7,6,-0.07101070088784885,0.3511216184204268,0.7058823529411765,0.3694515483880702
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,3,16,1.2980809637778195,2.031091889539379,-0.2691463454225575,16,16,1.1088691841257816,-0.18921177965203792,3,7,6,0.4845966249903998,0.7537429704129572,0.375,0.539138537333731
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,4,15,1.6741183451804083,2.54412622768417,0.032613238779660755,15,15,1.4843928442432301,-0.18972550093717827,2,9,4,1.2243200984153062,1.1917068596356455,0.4666666666666667,0.5380122383497558
within_clock_common,full,cutoff,GAP_CALIBRATION_R23,all,66,1.362032579757544,2.135104639042849,-0.1790935846524046,18,18,1.0605492231877776,-0.3014833565697666,13,34,19,0.31997390519851426,0.499067489850919,0.5303030303030303,0.40267333404504113
within_clock_common,full,cutoff,GAP_CALIBRATION_R23,1,18,0.8386700062324786,1.5003922110363062,-0.2226982456306818,18,18,0.5554610620931573,-0.28320894413932124,4,8,6,-0.3874817791933823,-0.16478353356270048,0.6666666666666666,0.2345050002002573
within_clock_common,full,cutoff,GAP_CALIBRATION_R23,2,17,1.4395861636870786,2.0662425269033853,-0.39154335766842163,17,17,1.175891176650326,-0.2636949870367529,3,7,7,-0.04042173924799489,0.3511216184204268,0.5294117647058824,0.3161796448565905
within_clock_common,full,cutoff,GAP_CALIBRATION_R23,3,16,1.4918216244817288,2.1873690339556195,-0.20361056757612994,16,16,1.1088691841257816,-0.38295244035594733,3,9,4,0.5501324028368274,0.7537429704129572,0.375,0.4263724466027865
within_clock_common,full,cutoff,GAP_CALIBRATION_R23,4,15,1.76373195849502,2.7229730837421493,0.140159866391654,15,15,1.4843928442432301,-0.27933911425179025,3,10,2,1.3318667260272998,1.1917068596356455,0.5333333333333333,0.43393364618090724
within_clock_common,full,cutoff,GAP_DOMESTIC_R23,all,66,1.3699550026609169,2.157012187169027,-0.18748842622180667,18,18,1.0605492231877776,-0.3094057794731391,13,33,20,0.31157906362911225,0.499067489850919,0.5303030303030303,0.38891130274006813
within_clock_common,full,cutoff,GAP_DOMESTIC_R23,1,18,0.8422658287257194,1.5010542151218977,-0.21915827672062496,18,18,0.5554610620931573,-0.2868047666325622,4,7,7,-0.38394181028332547,-0.16478353356270048,0.6666666666666666,0.23126614791595132
within_clock_common,full,cutoff,GAP_DOMESTIC_R23,2,17,1.4556585078554838,2.0805248333013706,-0.3896395316882262,17,17,1.175891176650326,-0.2797673312051583,3,7,7,-0.03851791326779936,0.3511216184204268,0.5882352941176471,0.3048081257724368
within_clock_common,full,cutoff,GAP_DOMESTIC_R23,3,16,1.5055904907345348,2.213893422374365,-0.2126022189823532,16,16,1.1088691841257816,-0.3967213066087532,3,9,4,0.5411407514306041,0.7537429704129572,0.3125,0.40887698934817046
within_clock_common,full,cutoff,GAP_DOMESTIC_R23,4,15,1.761373518217451,2.763020691251279,0.10640802618330038,15,15,1.4843928442432301,-0.27698067397422105,3,10,2,1.2981148858189462,1.1917068596356455,0.5333333333333333,0.40676879151885054
within_clock_common,full,cutoff,GAP_ENET_R23,all,66,1.4990468647404138,2.2915771614979947,0.026403470862414315,18,18,1.0605492231877776,-0.4384976415526359,13,35,18,0.5254709607133332,0.499067489850919,0.5303030303030303,0.32415141772035333
within_clock_common,full,cutoff,GAP_ENET_R23,1,18,0.8277530543496248,1.4792642417293043,-0.15824647719528218,18,18,0.5554610620931573,-0.2722919922564676,4,7,7,-0.32303001075798266,-0.16478353356270048,0.6666666666666666,0.22219148233628241
within_clock_common,full,cutoff,GAP_ENET_R23,2,17,1.4941441283998493,2.09438939090105,-0.22949789724265818,17,17,1.175891176650326,-0.31825295174952367,3,8,6,0.1216237211777685,0.3511216184204268,0.5294117647058824,0.2724369124690184
within_clock_common,full,cutoff,GAP_ENET_R23,3,16,1.6459831042449355,2.383078403502448,0.05684254270915834,16,16,1.1088691841257816,-0.537113920119154,3,10,3,0.8105855131221156,0.7537429704129572,0.375,0.30079967972915317
within_clock_common,full,cutoff,GAP_ENET_R23,4,15,2.153423882923842,3.074243099442298,0.5055366157475388,15,15,1.4843928442432301,-0.6690310386806128,3,10,2,1.6972434753831849,1.1917068596356455,0.5333333333333333,0.2593727875439503
within_clock_common,full,cutoff,GAP_FREE_R23,all,66,1.5047446130748119,2.2868869925162834,0.0639712385479624,18,18,1.0605492231877776,-0.44419538988703433,13,37,16,0.5630387283988812,0.499067489850919,0.5303030303030303,0.32557821458877245
within_clock_common,full,cutoff,GAP_FREE_R23,1,18,0.8277354085864376,1.475348619117553,-0.14683005307209882,18,18,0.5554610620931573,-0.27227434649328036,4,7,7,-0.3116135866347994,-0.16478353356270048,0.6666666666666666,0.21989021446188708
within_clock_common,full,cutoff,GAP_FREE_R23,2,17,1.4973681317349132,2.089472734901873,-0.19934554255920733,17,17,1.175891176650326,-0.3214769550845876,3,8,6,0.1517760758612195,0.3511216184204268,0.5294117647058824,0.2696385757101114
within_clock_common,full,cutoff,GAP_FREE_R23,3,16,1.6364041698265912,2.3738576746004383,0.10633905123772025,16,16,1.1088691841257816,-0.5275349857008098,3,11,2,0.8600820216506775,0.7537429704129572,0.375,0.3042525551551578
within_clock_common,full,cutoff,GAP_FREE_R23,4,15,2.185078810110848,3.0725346150743613,0.5701661402110865,15,15,1.4843928442432301,-0.7006859658676182,3,11,1,1.7618729998467322,1.1917068596356455,0.5333333333333333,0.26115011335518556
within_clock_common,full,cutoff,GAP_HALF_R23,all,66,1.352049148600791,2.142191348251019,-0.21752589440486586,18,18,1.0605492231877776,-0.2914999254130136,13,33,20,0.2815415954460531,0.499067489850919,0.5303030303030303,0.3978504825403025
within_clock_common,full,cutoff,GAP_HALF_R23,1,18,0.8405163604120578,1.5013337631501718,-0.22655102101271563,18,18,0.5554610620931573,-0.2850552983189005,4,8,6,-0.39133455457541616,-0.16478353356270048,0.6666666666666666,0.23258749216018806
within_clock_common,full,cutoff,GAP_HALF_R23,2,17,1.4435623778280093,2.0756550848782847,-0.41076552702411595,17,17,1.175891176650326,-0.26767120117768384,3,7,7,-0.059643908603689275,0.3511216184204268,0.5882352941176471,0.3119124307575889
