origin,model,status,n_train
2019-02,GAP_CALIBRATION_R23,estimated,28
2019-02,GAP_DOMESTIC_R23,estimated,28
2019-02,GAP_IMPORTED_R23,estimated,28
2019-02,GAP_JOINT_R23,estimated,28
2019-02,GAP_FREE_R23,estimated,28
2019-02,GAP_ENET_R23,estimated,28
2019-02,GAP_HALF_R23,estimated,28
2019-03,GAP_CALIBRATION_R23,estimated,28
2019-03,GAP_DOMESTIC_R23,estimated,28
2019-03,GAP_IMPORTED_R23,estimated,28
2019-03,GAP_JOINT_R23,estimated,28
2019-03,GAP_FREE_R23,estimated,28
2019-03,GAP_ENET_R23,estimated,28
2019-03,GAP_HALF_R23,estimated,28
2019-04,GAP_CALIBRATION_R23,estimated,29
2019-04,GAP_DOMESTIC_R23,estimated,29
2019-04,GAP_IMPORTED_R23,estimated,29
2019-04,GAP_JOINT_R23,estimated,29
2019-04,GAP_FREE_R23,estimated,29
2019-04,GAP_ENET_R23,estimated,29
2019-04,GAP_HALF_R23,estimated,29
2019-05,GAP_CALIBRATION_R23,estimated,29
2019-05,GAP_DOMESTIC_R23,estimated,29
2019-05,GAP_IMPORTED_R23,estimated,29
2019-05,GAP_JOINT_R23,estimated,29
2019-05,GAP_FREE_R23,estimated,29
2019-05,GAP_ENET_R23,estimated,29
2019-05,GAP_HALF_R23,estimated,29
2019-06,GAP_CALIBRATION_R23,estimated,29
2019-06,GAP_DOMESTIC_R23,estimated,29
2019-06,GAP_IMPORTED_R23,estimated,29
2019-06,GAP_JOINT_R23,estimated,29
2019-06,GAP_FREE_R23,estimated,29
2019-06,GAP_ENET_R23,estimated,29
2019-06,GAP_HALF_R23,estimated,29
2019-07,GAP_CALIBRATION_R23,estimated,30
2019-07,GAP_DOMESTIC_R23,estimated,30
2019-07,GAP_IMPORTED_R23,estimated,30
2019-07,GAP_JOINT_R23,estimated,30
2019-07,GAP_FREE_R23,estimated,30
2019-07,GAP_ENET_R23,estimated,30
2019-07,GAP_HALF_R23,estimated,30
2019-08,GAP_CALIBRATION_R23,estimated,30
2019-08,GAP_DOMESTIC_R23,estimated,30
2019-08,GAP_IMPORTED_R23,estimated,30
2019-08,GAP_JOINT_R23,estimated,30
2019-08,GAP_FREE_R23,estimated,30
2019-08,GAP_ENET_R23,estimated,30
2019-08,GAP_HALF_R23,estimated,30
2019-09,GAP_CALIBRATION_R23,estimated,30
2019-09,GAP_DOMESTIC_R23,estimated,30
2019-09,GAP_IMPORTED_R23,estimated,30
2019-09,GAP_JOINT_R23,estimated,30
2019-09,GAP_FREE_R23,estimated,30
2019-09,GAP_ENET_R23,estimated,30
2019-09,GAP_HALF_R23,estimated,30
2019-10,GAP_CALIBRATION_R23,estimated,31
2019-10,GAP_DOMESTIC_R23,estimated,31
2019-10,GAP_IMPORTED_R23,estimated,31
2019-10,GAP_JOINT_R23,estimated,31
2019-10,GAP_FREE_R23,estimated,31
2019-10,GAP_ENET_R23,estimated,31
2019-10,GAP_HALF_R23,estimated,31
2019-11,GAP_CALIBRATION_R23,estimated,31
2019-11,GAP_DOMESTIC_R23,estimated,31
2019-11,GAP_IMPORTED_R23,estimated,31
2019-11,GAP_JOINT_R23,estimated,31
2019-11,GAP_FREE_R23,estimated,31
2019-11,GAP_ENET_R23,estimated,31
2019-11,GAP_HALF_R23,estimated,31
2019-12,GAP_CALIBRATION_R23,estimated,31
2019-12,GAP_DOMESTIC_R23,estimated,31
2019-12,GAP_IMPORTED_R23,estimated,31
2019-12,GAP_JOINT_R23,estimated,31
2019-12,GAP_FREE_R23,estimated,31
2019-12,GAP_ENET_R23,estimated,31
2019-12,GAP_HALF_R23,estimated,31
2020-01,GAP_CALIBRATION_R23,estimated,32
2020-01,GAP_DOMESTIC_R23,estimated,32
2020-01,GAP_IMPORTED_R23,estimated,32
2020-01,GAP_JOINT_R23,estimated,32
2020-01,GAP_FREE_R23,estimated,32
2020-01,GAP_ENET_R23,estimated,32
2020-01,GAP_HALF_R23,estimated,32
2020-02,GAP_CALIBRATION_R23,estimated,32
2020-02,GAP_DOMESTIC_R23,estimated,32
2020-02,GAP_IMPORTED_R23,estimated,32
2020-02,GAP_JOINT_R23,estimated,32
2020-02,GAP_FREE_R23,estimated,32
2020-02,GAP_ENET_R23,estimated,32
2020-02,GAP_HALF_R23,estimated,32
2020-03,GAP_CALIBRATION_R23,estimated,32
2020-03,GAP_DOMESTIC_R23,estimated,32
2020-03,GAP_IMPORTED_R23,estimated,32
2020-03,GAP_JOINT_R23,estimated,32
2020-03,GAP_FREE_R23,estimated,32
2020-03,GAP_ENET_R23,estimated,32
2020-03,GAP_HALF_R23,estimated,32
2020-04,GAP_CALIBRATION_R23,estimated,33
2020-04,GAP_DOMESTIC_R23,estimated,33
2020-04,GAP_IMPORTED_R23,estimated,33
2020-04,GAP_JOINT_R23,estimated,33
2020-04,GAP_FREE_R23,estimated,33
2020-04,GAP_ENET_R23,estimated,33
2020-04,GAP_HALF_R23,estimated,33
2020-05,GAP_CALIBRATION_R23,estimated,33
2020-05,GAP_DOMESTIC_R23,estimated,33
2020-05,GAP_IMPORTED_R23,estimated,33
2020-05,GAP_JOINT_R23,estimated,33
2020-05,GAP_FREE_R23,estimated,33
2020-05,GAP_ENET_R23,estimated,33
2020-05,GAP_HALF_R23,estimated,33
2020-06,GAP_CALIBRATION_R23,estimated,33
2020-06,GAP_DOMESTIC_R23,estimated,33
2020-06,GAP_IMPORTED_R23,estimated,33
2020-06,GAP_JOINT_R23,estimated,33
2020-06,GAP_FREE_R23,estimated,33
2020-06,GAP_ENET_R23,estimated,33
2020-06,GAP_HALF_R23,estimated,33
2020-07,GAP_CALIBRATION_R23,estimated,34
2020-07,GAP_DOMESTIC_R23,estimated,34
2020-07,GAP_IMPORTED_R23,estimated,34
2020-07,GAP_JOINT_R23,estimated,34
2020-07,GAP_FREE_R23,estimated,34
2020-07,GAP_ENET_R23,estimated,34
2020-07,GAP_HALF_R23,estimated,34
2020-08,GAP_CALIBRATION_R23,estimated,34
2020-08,GAP_DOMESTIC_R23,estimated,34
2020-08,GAP_IMPORTED_R23,estimated,34
2020-08,GAP_JOINT_R23,estimated,34
2020-08,GAP_FREE_R23,estimated,34
2020-08,GAP_ENET_R23,estimated,34
2020-08,GAP_HALF_R23,estimated,34
2020-09,GAP_CALIBRATION_R23,estimated,34
2020-09,GAP_DOMESTIC_R23,estimated,34
2020-09,GAP_IMPORTED_R23,estimated,34
2020-09,GAP_JOINT_R23,estimated,34
2020-09,GAP_FREE_R23,estimated,34
2020-09,GAP_ENET_R23,estimated,34
2020-09,GAP_HALF_R23,estimated,34
2020-10,GAP_CALIBRATION_R23,estimated,35
2020-10,GAP_DOMESTIC_R23,estimated,35
2020-10,GAP_IMPORTED_R23,estimated,35
2020-10,GAP_JOINT_R23,estimated,35
2020-10,GAP_FREE_R23,estimated,35
2020-10,GAP_ENET_R23,estimated,35
2020-10,GAP_HALF_R23,estimated,35
2020-11,GAP_CALIBRATION_R23,estimated,35
