clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct,threshold,capture_ratio,relative_absolute_error_gain
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,10.79035743221643,11.23658150891361,-0.44622407669717923,1.1537254442610791,1.5999495209582584,1.1537254442610791,2.3607225429903105,True,False,True,0.5,0.721101152972675,0.721101152972675
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,STABLE_LOCAL_CORE_R14B,10.31548462118809,11.23658150891361,-0.9210968877255183,0.67885263323274,1.5999495209582584,0.67885263323274,1.7114189930369244,True,False,True,0.5,0.42429628206404574,0.42429628206404574
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,DAMPED_P95_Q001_R16,10.815482315993968,11.23658150891361,-0.42109919291964104,1.1788503280386173,1.5999495209582584,1.1788503280386173,2.3825139393369876,True,False,True,0.5,0.7368047007711643,0.7368047007711643
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_FEEDBACK_R21,10.901899365574742,11.23658150891361,-0.3346821433388669,1.2652673776193915,1.5999495209582584,1.2652673776193915,2.447826332544663,True,False,True,0.5,0.790817060816759,0.790817060816759
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,PRESS_ULC_R23B,10.787759113398986,11.23658150891361,-0.44882239551462355,1.1511271254436348,1.5999495209582584,1.1511271254436348,2.3583969268990757,True,False,True,0.5,0.7194771524755292,0.7194771524755292
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,PRESS_DOMESTIC_R23B,10.79035743221643,11.23658150891361,-0.44622407669717923,1.1537254442610791,1.5999495209582584,1.1537254442610791,2.3607225429903105,True,False,True,0.5,0.721101152972675,0.721101152972675
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,PRESS_MOMENTUM_R23B,10.847871092274048,11.23658150891361,-0.38871041663956163,1.2112391043186967,1.5999495209582584,1.2112391043186967,2.408742681610459,True,False,True,0.5,0.7570483246204223,0.7570483246204223
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,PRESS_JOINT_R23B,10.873123018532814,11.23658150891361,-0.36345849038079514,1.2364910305774632,1.5999495209582584,1.2364910305774632,2.4277363953846742,True,False,True,0.5,0.7728312764748297,0.7728312764748297
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,PRESS_SIGNED_R23B,10.878120593010188,11.23658150891361,-0.35846091590342155,1.2414886050548368,1.5999495209582584,1.2414886050548368,2.4313442413842408,True,False,True,0.5,0.7759548590703484,0.7759548590703484
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,PRESS_LEVELS_R23B,10.79035743221643,11.23658150891361,-0.44622407669717923,1.1537254442610791,1.5999495209582584,1.1537254442610791,2.3607225429903105,True,False,True,0.5,0.721101152972675,0.721101152972675
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.766130674099614,15.77230851609123,-4.006177841991617,2.2610265140996137,6.267204356091231,2.2610265140996137,23.228389539344292,True,False,True,0.5,0.36077114860664683,0.36077114860664683
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,STABLE_LOCAL_CORE_R14B,10.617180777830512,15.77230851609123,-5.155127738260719,1.1120766178305121,6.267204356091231,1.1120766178305121,12.70250844322383,True,False,True,0.5,0.17744380981444477,0.17744380981444477
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,DAMPED_P95_Q001_R16,11.903237780405385,15.77230851609123,-3.8690707356858454,2.3981336204053854,6.267204356091231,2.3981336204053854,24.308142083268294,True,False,True,0.5,0.3826480650937428,0.3826480650937428
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_FEEDBACK_R21,12.013603124983982,15.77230851609123,-3.7587053911072488,2.508498964983982,6.267204356091231,2.508498964983982,25.149984223870206,True,False,True,0.5,0.40025804528711717,0.40025804528711717
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,PRESS_ULC_R23B,11.798783512178446,15.77230851609123,-3.973525003912785,2.2936793521784455,6.267204356091231,2.2936793521784455,23.488949484288803,True,False,True,0.5,0.3659812608390804,0.3659812608390804
