scope,sample,clock,model,quarters_ahead,n,mae,rmse,bias,report_count,unique_target_quarters,cnb_mae,mean_absolute_error_gain_vs_cnb,material_gains,material_losses,immaterial_pairs,mean_model_cnb_deviation,mean_realised_cnb_error,deviation_direction_correct_rate,deviation_error_correlation
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,all,66,1.2813726619677048,2.0432795312027325,-0.2569765914556941,18,18,1.0605492231877776,-0.22082343877992727,15,34,17,0.24209089839522477,0.499067489850919,0.5303030303030303,0.46399220432019045
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,1,18,0.832447791540808,1.4844164482823117,-0.23845752301320614,18,18,0.5554610620931573,-0.2769867294476507,4,8,6,-0.40324105657590664,-0.16478353356270048,0.6111111111111112,0.2337377369179279
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,2,17,1.3897785616320968,2.0026858370609006,-0.44102892699345625,17,17,1.175891176650326,-0.21388738498177093,4,8,5,-0.08990730857302955,0.3511216184204268,0.6470588235294118,0.3690983674578237
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,3,16,1.3628251223193728,2.055469895755567,-0.30138886677354715,16,16,1.1088691841257816,-0.2539559381935912,3,9,4,0.4523541036394103,0.7537429704129572,0.375,0.5258486540748343
within_clock_common,full,cutoff,CORE_FEEDBACK_R21,4,15,1.610339862485225,2.5833376231514222,-0.023233732971506393,15,15,1.4843928442432301,-0.12594701824199472,4,9,2,1.1684731266641395,1.1917068596356455,0.4666666666666667,0.5185041180711102
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,all,66,1.2757683245987168,2.022284213399014,-0.22978522865189382,18,18,1.0605492231877776,-0.2152191014109392,13,31,22,0.26928226119902504,0.499067489850919,0.5454545454545454,0.4798184767226155
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,1,18,0.8295617653255728,1.481179804549803,-0.23180181765101654,18,18,0.5554610620931573,-0.27410070323241553,4,8,6,-0.3965853512137171,-0.16478353356270048,0.6111111111111112,0.22944465355307514
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,2,17,1.3757368852649274,1.9901477897698394,-0.42213231930827577,17,17,1.175891176650326,-0.19984570861460166,4,7,6,-0.07101070088784885,0.3511216184204268,0.7058823529411765,0.3694515483880702
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,3,16,1.2980809637778195,2.031091889539379,-0.2691463454225575,16,16,1.1088691841257816,-0.18921177965203792,3,7,6,0.4845966249903998,0.7537429704129572,0.375,0.539138537333731
within_clock_common,full,cutoff,DAMPED_P95_Q001_R16,4,15,1.6741183451804083,2.54412622768417,0.032613238779660755,15,15,1.4843928442432301,-0.18972550093717827,2,9,4,1.2243200984153062,1.1917068596356455,0.4666666666666667,0.5380122383497558
within_clock_common,full,cutoff,PRESS_DOMESTIC_R23B,all,66,1.3181317747800536,2.105530837611962,-0.2964844270818825,18,18,1.0605492231877776,-0.25758255159227605,18,38,10,0.20258306276903637,0.499067489850919,0.5151515151515151,0.4228847997978016
within_clock_common,full,cutoff,PRESS_DOMESTIC_R23B,1,18,0.8465307627167453,1.4962229259461866,-0.24537071753040549,18,18,0.5554610620931573,-0.29106970062358806,4,8,6,-0.410154251093106,-0.16478353356270048,0.5555555555555556,0.24057364811365464
within_clock_common,full,cutoff,PRESS_DOMESTIC_R23B,2,17,1.4219089000709833,2.058849362409435,-0.4726348617258921,17,17,1.175891176650326,-0.2460177234206574,5,10,2,-0.12151324330546513,0.3511216184204268,0.6470588235294118,0.3372201929475444
within_clock_common,full,cutoff,PRESS_DOMESTIC_R23B,3,16,1.4711768095688347,2.158363458063746,-0.35356043503625434,16,16,1.1088691841257816,-0.36230762544305306,5,11,0,0.400182535376703,0.7537429704129572,0.375,0.45937028099852606
within_clock_common,full,cutoff,PRESS_DOMESTIC_R23B,4,15,1.6031908768182708,2.6545773727450253,-0.09730264412911455,15,15,1.4843928442432301,-0.11879803257504062,4,9,2,1.0944042155065314,1.1917068596356455,0.4666666666666667,0.47917572861805147
within_clock_common,full,cutoff,PRESS_JOINT_R23B,all,66,1.349775249928998,2.1413342510522604,-0.30754768720795556,18,18,1.0605492231877776,-0.2892260267412204,17,37,12,0.1915198026429634,0.499067489850919,0.5606060606060606,0.4105120927205049
within_clock_common,full,cutoff,PRESS_JOINT_R23B,1,18,0.8278246601518112,1.5271754797062678,-0.24505371493661818,18,18,0.5554610620931573,-0.272363598058654,4,8,6,-0.40983724849931874,-0.16478353356270048,0.6666666666666666,0.21715250432824196
within_clock_common,full,cutoff,PRESS_JOINT_R23B,2,17,1.4969269156150107,2.151800955144461,-0.486205806098622,17,17,1.175891176650326,-0.321035738964685,5,8,4,-0.13508418767819538,0.3511216184204268,0.6470588235294118,0.28969193858376535
within_clock_common,full,cutoff,PRESS_JOINT_R23B,3,16,1.4946975882330902,2.176731049389401,-0.373416793688081,16,16,1.1088691841257816,-0.38582840410730856,3,11,2,0.38032617672487634,0.7537429704129572,0.375,0.45463285526457053
within_clock_common,full,cutoff,PRESS_JOINT_R23B,4,15,1.6547602423597756,2.659888641352191,-0.10980087227867144,15,15,1.4843928442432301,-0.17036739811654578,5,10,0,1.0819059873569745,1.1917068596356455,0.5333333333333333,0.4739713677443177
within_clock_common,full,cutoff,PRESS_LEVELS_R23B,all,66,1.3670508321914439,2.1361752290695017,-0.22122071814149605,18,18,1.0605492231877776,-0.30650160900366624,16,38,12,0.27784677170942296,0.499067489850919,0.48484848484848486,0.40028249091720336
within_clock_common,full,cutoff,PRESS_LEVELS_R23B,1,18,0.8479327676540315,1.5008155374780798,-0.23018502261072657,18,18,0.5554610620931573,-0.2924717055608742,4,8,6,-0.3949685561734271,-0.16478353356270048,0.5555555555555556,0.23806514305937407
within_clock_common,full,cutoff,PRESS_LEVELS_R23B,2,17,1.4737364179246852,2.080764087654313,-0.3933153068622791,17,17,1.175891176650326,-0.2978452412743598,4,11,2,-0.04219368844185238,0.3511216184204268,0.5882352941176471,0.3113545138664625
within_clock_common,full,cutoff,PRESS_LEVELS_R23B,3,16,1.5421675274227404,2.204314903625504,-0.24415119990775824,16,16,1.1088691841257816,-0.4332983432969587,4,11,1,0.509591770505199,0.7537429704129572,0.3125,0.4169929842500657
within_clock_common,full,cutoff,PRESS_LEVELS_R23B,4,15,1.6822910375586153,2.6991749344810003,0.009036161655814452,15,15,1.4843928442432301,-0.19789819331538513,4,8,3,1.20074302129146,1.1917068596356455,0.4666666666666667,0.4476226419294767
within_clock_common,full,cutoff,PRESS_MOMENTUM_R23B,all,66,1.3592519881987475,2.1526758722812147,-0.20675764956153012,18,18,1.0605492231877776,-0.2987027650109701,13,32,21,0.29230984028938883,0.499067489850919,0.5151515151515151,0.39247313556739044
within_clock_common,full,cutoff,PRESS_MOMENTUM_R23B,1,18,0.8262701470936966,1.5259742895247987,-0.21823295771196316,18,18,0.5554610620931573,-0.27080908500053935,4,7,7,-0.3830164912746637,-0.16478353356270048,0.6666666666666666,0.2104899079419867
within_clock_common,full,cutoff,PRESS_MOMENTUM_R23B,2,17,1.4988726381685398,2.143123361557247,-0.38935379985307567,17,17,1.175891176650326,-0.3229814615182141,3,7,7,-0.03823218143264886,0.3511216184204268,0.47058823529411764,0.2620079557251666
within_clock_common,full,cutoff,PRESS_MOMENTUM_R23B,3,16,1.464729330378154,2.173961483815881,-0.23802921784650333,16,16,1.1088691841257816,-0.35586014625237206,3,9,4,0.5157137525664539,0.7537429704129572,0.3125,0.438767400456175
within_clock_common,full,cutoff,PRESS_MOMENTUM_R23B,4,15,1.7280842959010116,2.710864208982663,0.04731136338671242,15,15,1.4843928442432301,-0.24369145165778158,3,9,3,1.2390182230223583,1.1917068596356455,0.6,0.43999113953123314
within_clock_common,full,cutoff,PRESS_SIGNED_R23B,all,66,1.3394353300813955,2.135525806789632,-0.3146659039179205,18,18,1.0605492231877776,-0.27888610689361776,17,36,13,0.18440158593299846,0.499067489850919,0.5454545454545454,0.41544912492801106
within_clock_common,full,cutoff,PRESS_SIGNED_R23B,1,18,0.8410787633697603,1.5338993315369218,-0.2522955275501263,18,18,0.5554610620931573,-0.285617701276603,4,8,6,-0.4170790611128269,-0.16478353356270048,0.6111111111111112,0.21150101750305123
