model,h,omitted_year,n,rmse_delta,mae_delta
PRESS_ULC_R23B,1,2019,78,0.00027786515089600616,-0.0005399462233262042
PRESS_ULC_R23B,1,2020,76,0.0002989193627788156,-0.0005228074715971642
PRESS_ULC_R23B,1,2021,76,0.0003344259656402615,-0.0004338900815199498
PRESS_ULC_R23B,1,2022,76,-0.0018520120251533378,-0.00024971642625426504
PRESS_ULC_R23B,1,2023,76,0.002250141113178894,0.0016466023699995835
PRESS_ULC_R23B,1,2024,76,1.1949136887401401e-05,-0.0008955927875713421
PRESS_ULC_R23B,1,2025,76,-0.00026319143040876014,-0.0020434954297845476
PRESS_ULC_R23B,1,2026,82,5.0032897530361e-05,-0.0008529167564143014
PRESS_DOMESTIC_R23B,1,2019,78,-0.0008329534942062011,-9.212726949092698e-06
PRESS_DOMESTIC_R23B,1,2020,76,-0.0008875180705651964,-9.431892182132362e-05
PRESS_DOMESTIC_R23B,1,2021,76,-0.000885152285526658,-7.634372384768273e-05
PRESS_DOMESTIC_R23B,1,2022,76,-0.001732588308911931,-7.634372384784927e-05
PRESS_DOMESTIC_R23B,1,2023,76,0.0010661332995961503,0.002120065260549142
PRESS_DOMESTIC_R23B,1,2024,76,-0.001136854487837624,-0.000396161149204155
PRESS_DOMESTIC_R23B,1,2025,76,-0.0014145512955385797,-0.0015636253678765755
PRESS_DOMESTIC_R23B,1,2026,82,-0.0010569661610334569,-0.00040615815616207307
PRESS_MOMENTUM_R23B,1,2019,78,8.839922561643121e-05,-0.003122257969476294
PRESS_MOMENTUM_R23B,1,2020,76,4.642704063950731e-05,-0.0032144824006589134
PRESS_MOMENTUM_R23B,1,2021,76,0.0009885610341786588,-0.00309472218001261
PRESS_MOMENTUM_R23B,1,2022,76,0.004379526628803643,0.0008555869132582106
PRESS_MOMENTUM_R23B,1,2023,76,-0.0029493279072524414,-0.00466385202796088
PRESS_MOMENTUM_R23B,1,2024,76,0.00014298121610556436,-0.003250745364359986
PRESS_MOMENTUM_R23B,1,2025,76,0.00032959483059213923,-0.0030355618070356805
PRESS_MOMENTUM_R23B,1,2026,82,-0.00038132022240655594,-0.0027740355519150217
PRESS_JOINT_R23B,1,2019,78,-0.00011040403271189714,-0.002488633944009999
PRESS_JOINT_R23B,1,2020,76,-0.00013299325209081836,-0.0025941335611185945
PRESS_JOINT_R23B,1,2021,76,-0.0011543410325334236,-0.0047899159344210185
PRESS_JOINT_R23B,1,2022,76,0.0030361460258289674,0.00274261608962012
PRESS_JOINT_R23B,1,2023,76,0.0007259507101947671,-0.0008454202340962835
PRESS_JOINT_R23B,1,2024,76,-0.0002661138304802524,-0.0030687582576478523
PRESS_JOINT_R23B,1,2025,76,-0.0004122250215548018,-0.0037103651093238765
PRESS_JOINT_R23B,1,2026,82,-0.0009649834513275612,-0.0030860871930783462
PRESS_SIGNED_R23B,1,2019,78,0.00043716627166290323,-0.0018746592307389287
PRESS_SIGNED_R23B,1,2020,76,0.00043475710025708825,-0.001944942730060184
PRESS_SIGNED_R23B,1,2021,76,-0.0005070562726300354,-0.004193654811364578
PRESS_SIGNED_R23B,1,2022,76,-0.0024383763267852854,0.0018862292688619497
PRESS_SIGNED_R23B,1,2023,76,0.004163315851202443,0.0007333313497114857
PRESS_SIGNED_R23B,1,2024,76,-0.00012105846518617458,-0.003366693809442989
PRESS_SIGNED_R23B,1,2025,76,0.00034900371677570874,-0.0023187092807660514
PRESS_SIGNED_R23B,1,2026,82,-0.0003202997096227733,-0.0022776493919951513
PRESS_LEVELS_R23B,1,2019,78,0.000480574850011517,0.001914907589942727
PRESS_LEVELS_R23B,1,2020,76,0.0004598908660663481,0.0019374739795745555
PRESS_LEVELS_R23B,1,2021,76,0.0004821224722834083,0.0019306688742304345
PRESS_LEVELS_R23B,1,2022,76,0.0009416842205001164,0.00193066887423049
PRESS_LEVELS_R23B,1,2023,76,0.0015639695043194735,0.0030466400083828393
PRESS_LEVELS_R23B,1,2024,76,-6.746497399279239e-05,0.0008797454951062766
PRESS_LEVELS_R23B,1,2025,76,1.316441659016121e-07,0.0005775024204809354
PRESS_LEVELS_R23B,1,2026,82,-1.3804664865446625e-05,0.0011554618966173047
PRESS_ULC_R23B,2,2019,77,0.0025658873303782137,0.0062181441821832495
PRESS_ULC_R23B,2,2020,74,0.0026808648303779936,0.006562309727871307
PRESS_ULC_R23B,2,2021,74,0.0027003921032346945,0.006605440349210623
PRESS_ULC_R23B,2,2022,74,-0.004754475876040609,0.005386459681538447
PRESS_ULC_R23B,2,2023,74,0.007873755521377701,0.010418637348853954
PRESS_ULC_R23B,2,2024,74,0.0018032097206555076,0.0037735629801354253
PRESS_ULC_R23B,2,2025,74,0.0010018001440221802,0.0006921083450855958
PRESS_ULC_R23B,2,2026,81,0.002040162065382045,0.004917682075915142
PRESS_DOMESTIC_R23B,2,2019,77,-0.0020908245221584743,0.0054904173010853485
PRESS_DOMESTIC_R23B,2,2020,74,-0.0022255278145582036,0.005576832073974414
PRESS_DOMESTIC_R23B,2,2021,74,-0.002231375111062306,0.005613749649285071
PRESS_DOMESTIC_R23B,2,2022,74,-0.004616611000345161,0.005613749649285016
PRESS_DOMESTIC_R23B,2,2023,74,0.0029570858496739127,0.009551110901307558
PRESS_DOMESTIC_R23B,2,2024,74,-0.0029982784087752012,0.00293142743621444
PRESS_DOMESTIC_R23B,2,2025,74,-0.003805496976340139,-0.0002083491425440842
PRESS_DOMESTIC_R23B,2,2026,81,-0.002549874886095038,0.004115427952461781
PRESS_MOMENTUM_R23B,2,2019,77,0.0024540951571947467,-0.0026068877607988705
PRESS_MOMENTUM_R23B,2,2020,74,0.002397609417261304,-0.0027022115918764467
PRESS_MOMENTUM_R23B,2,2021,74,0.0056927342794461655,0.0011387895985469632
PRESS_MOMENTUM_R23B,2,2022,74,0.002751013821332693,-0.0036490590243435927
PRESS_MOMENTUM_R23B,2,2023,74,-0.0014911833566022548,-0.0041581791148326275
PRESS_MOMENTUM_R23B,2,2024,74,0.0025611984371953778,-0.0020332334458602608
PRESS_MOMENTUM_R23B,2,2025,74,0.0032356717364183663,5.942341150766417e-05
PRESS_MOMENTUM_R23B,2,2026,81,0.0011669376960885547,-0.0044799338731837945
PRESS_JOINT_R23B,2,2019,77,0.003320341967891771,0.003647388439213417
PRESS_JOINT_R23B,2,2020,74,0.003376142511892999,0.0037924301113034797
PRESS_JOINT_R23B,2,2021,74,0.002412984574525545,0.0015428263711281254
PRESS_JOINT_R23B,2,2022,74,-0.0016861848297370363,0.003322182491628467
PRESS_JOINT_R23B,2,2023,74,0.008650573921153093,0.010221820373341517
PRESS_JOINT_R23B,2,2024,74,0.00294174233478528,0.0032420051777831693
PRESS_JOINT_R23B,2,2025,74,0.0025142613074791154,0.0007512680846473163
PRESS_JOINT_R23B,2,2026,81,0.0014121840337668612,-9.22710396423776e-05
PRESS_SIGNED_R23B,2,2019,77,0.007439930822164209,0.005947136220683769
PRESS_SIGNED_R23B,2,2020,74,0.0076156192167187164,0.006179747504894917
PRESS_SIGNED_R23B,2,2021,74,0.006899673368381265,0.004033306051990038
PRESS_SIGNED_R23B,2,2022,74,-0.00555321322059199,0.0029904804834128274
PRESS_SIGNED_R23B,2,2023,74,0.014567475263331575,0.012081429164204738
