model,clock,threshold,forecast_available,next_report_available,next_forecast_available,target_still_future,revision_eligible,rows,calls
CNB_MOMENTUM,cutoff,0.3,False,False,False,False,False,4,0
CNB_MOMENTUM,cutoff,0.3,False,True,False,False,False,1,0
CNB_MOMENTUM,cutoff,0.3,False,True,True,False,False,1,0
CNB_MOMENTUM,cutoff,0.3,False,True,True,True,False,22,0
CNB_MOMENTUM,cutoff,0.3,True,False,False,False,False,6,2
CNB_MOMENTUM,cutoff,0.3,True,True,False,False,False,17,11
CNB_MOMENTUM,cutoff,0.3,True,True,True,False,False,17,10
CNB_MOMENTUM,cutoff,0.3,True,True,True,True,True,93,34
CNB_MOMENTUM,cutoff,0.5,False,False,False,False,False,4,0
CNB_MOMENTUM,cutoff,0.5,False,True,False,False,False,1,0
CNB_MOMENTUM,cutoff,0.5,False,True,True,False,False,1,0
CNB_MOMENTUM,cutoff,0.5,False,True,True,True,False,22,0
CNB_MOMENTUM,cutoff,0.5,True,False,False,False,False,6,0
CNB_MOMENTUM,cutoff,0.5,True,True,False,False,False,17,8
CNB_MOMENTUM,cutoff,0.5,True,True,True,False,False,17,8
CNB_MOMENTUM,cutoff,0.5,True,True,True,True,True,93,21
CNB_MOMENTUM,report,0.3,False,False,False,False,False,4,0
CNB_MOMENTUM,report,0.3,False,True,False,False,False,1,0
CNB_MOMENTUM,report,0.3,False,True,True,False,False,1,0
CNB_MOMENTUM,report,0.3,False,True,True,True,False,22,0
CNB_MOMENTUM,report,0.3,True,False,False,False,False,6,2
CNB_MOMENTUM,report,0.3,True,True,False,False,False,17,11
CNB_MOMENTUM,report,0.3,True,True,True,False,False,17,10
CNB_MOMENTUM,report,0.3,True,True,True,True,True,93,34
CNB_MOMENTUM,report,0.5,False,False,False,False,False,4,0
CNB_MOMENTUM,report,0.5,False,True,False,False,False,1,0
CNB_MOMENTUM,report,0.5,False,True,True,False,False,1,0
CNB_MOMENTUM,report,0.5,False,True,True,True,False,22,0
CNB_MOMENTUM,report,0.5,True,False,False,False,False,6,0
CNB_MOMENTUM,report,0.5,True,True,False,False,False,17,8
CNB_MOMENTUM,report,0.5,True,True,True,False,False,17,8
CNB_MOMENTUM,report,0.5,True,True,True,True,True,93,21
CONST_2,cutoff,0.3,True,False,False,False,False,10,8
CONST_2,cutoff,0.3,True,True,False,False,False,18,15
CONST_2,cutoff,0.3,True,True,True,False,False,18,15
CONST_2,cutoff,0.3,True,True,True,True,True,115,53
CONST_2,cutoff,0.5,True,False,False,False,False,10,2
CONST_2,cutoff,0.5,True,True,False,False,False,18,12
CONST_2,cutoff,0.5,True,True,True,False,False,18,11
CONST_2,cutoff,0.5,True,True,True,True,True,115,33
CONST_2,report,0.3,True,False,False,False,False,10,8
CONST_2,report,0.3,True,True,False,False,False,18,15
CONST_2,report,0.3,True,True,True,False,False,18,15
CONST_2,report,0.3,True,True,True,True,True,115,53
CONST_2,report,0.5,True,False,False,False,False,10,2
CONST_2,report,0.5,True,True,False,False,False,18,12
CONST_2,report,0.5,True,True,True,False,False,18,11
CONST_2,report,0.5,True,True,True,True,True,115,33
DAMPED_P95_Q001_R16,cutoff,0.3,False,False,False,False,False,6,0
DAMPED_P95_Q001_R16,cutoff,0.3,False,True,True,True,False,79,0
DAMPED_P95_Q001_R16,cutoff,0.3,True,False,False,False,False,4,2
DAMPED_P95_Q001_R16,cutoff,0.3,True,True,False,False,False,18,10
DAMPED_P95_Q001_R16,cutoff,0.3,True,True,True,False,False,18,9
DAMPED_P95_Q001_R16,cutoff,0.3,True,True,True,True,True,36,18
DAMPED_P95_Q001_R16,cutoff,0.5,False,False,False,False,False,6,0
DAMPED_P95_Q001_R16,cutoff,0.5,False,True,True,True,False,79,0
DAMPED_P95_Q001_R16,cutoff,0.5,True,False,False,False,False,4,0
DAMPED_P95_Q001_R16,cutoff,0.5,True,True,False,False,False,18,8
DAMPED_P95_Q001_R16,cutoff,0.5,True,True,True,False,False,18,7
DAMPED_P95_Q001_R16,cutoff,0.5,True,True,True,True,True,36,16
DAMPED_P95_Q001_R16,report,0.3,False,False,False,False,False,6,0
DAMPED_P95_Q001_R16,report,0.3,False,True,True,True,False,79,0
DAMPED_P95_Q001_R16,report,0.3,True,False,False,False,False,4,2
DAMPED_P95_Q001_R16,report,0.3,True,True,False,False,False,18,7
DAMPED_P95_Q001_R16,report,0.3,True,True,True,False,False,18,9
DAMPED_P95_Q001_R16,report,0.3,True,True,True,True,True,36,23
DAMPED_P95_Q001_R16,report,0.5,False,False,False,False,False,6,0
DAMPED_P95_Q001_R16,report,0.5,False,True,True,True,False,79,0
DAMPED_P95_Q001_R16,report,0.5,True,False,False,False,False,4,0
DAMPED_P95_Q001_R16,report,0.5,True,True,False,False,False,18,7
DAMPED_P95_Q001_R16,report,0.5,True,True,True,False,False,18,5
DAMPED_P95_Q001_R16,report,0.5,True,True,True,True,True,36,18
FOOD_NORM_REFIT_R24,cutoff,0.3,False,False,False,False,False,6,0
FOOD_NORM_REFIT_R24,cutoff,0.3,False,True,True,True,False,79,0
FOOD_NORM_REFIT_R24,cutoff,0.3,True,False,False,False,False,4,3
FOOD_NORM_REFIT_R24,cutoff,0.3,True,True,False,False,False,18,10
FOOD_NORM_REFIT_R24,cutoff,0.3,True,True,True,False,False,18,8
FOOD_NORM_REFIT_R24,cutoff,0.3,True,True,True,True,True,36,18
FOOD_NORM_REFIT_R24,cutoff,0.5,False,False,False,False,False,6,0
FOOD_NORM_REFIT_R24,cutoff,0.5,False,True,True,True,False,79,0
FOOD_NORM_REFIT_R24,cutoff,0.5,True,False,False,False,False,4,1
FOOD_NORM_REFIT_R24,cutoff,0.5,True,True,False,False,False,18,9
FOOD_NORM_REFIT_R24,cutoff,0.5,True,True,True,False,False,18,7
FOOD_NORM_REFIT_R24,cutoff,0.5,True,True,True,True,True,36,14
FOOD_NORM_REFIT_R24,report,0.3,False,False,False,False,False,6,0
FOOD_NORM_REFIT_R24,report,0.3,False,True,True,True,False,79,0
FOOD_NORM_REFIT_R24,report,0.3,True,False,False,False,False,4,3
FOOD_NORM_REFIT_R24,report,0.3,True,True,False,False,False,18,7
FOOD_NORM_REFIT_R24,report,0.3,True,True,True,False,False,18,8
FOOD_NORM_REFIT_R24,report,0.3,True,True,True,True,True,36,20
FOOD_NORM_REFIT_R24,report,0.5,False,False,False,False,False,6,0
FOOD_NORM_REFIT_R24,report,0.5,False,True,True,True,False,79,0
FOOD_NORM_REFIT_R24,report,0.5,True,False,False,False,False,4,0
FOOD_NORM_REFIT_R24,report,0.5,True,True,False,False,False,18,7
FOOD_NORM_REFIT_R24,report,0.5,True,True,True,False,False,18,6
FOOD_NORM_REFIT_R24,report,0.5,True,True,True,True,True,36,14
FOOD_NORM_SHIFT_R24,cutoff,0.3,False,False,False,False,False,6,0
FOOD_NORM_SHIFT_R24,cutoff,0.3,False,True,True,True,False,79,0
FOOD_NORM_SHIFT_R24,cutoff,0.3,True,False,False,False,False,4,3
FOOD_NORM_SHIFT_R24,cutoff,0.3,True,True,False,False,False,18,10
FOOD_NORM_SHIFT_R24,cutoff,0.3,True,True,True,False,False,18,8
FOOD_NORM_SHIFT_R24,cutoff,0.3,True,True,True,True,True,36,19
FOOD_NORM_SHIFT_R24,cutoff,0.5,False,False,False,False,False,6,0
FOOD_NORM_SHIFT_R24,cutoff,0.5,False,True,True,True,False,79,0
FOOD_NORM_SHIFT_R24,cutoff,0.5,True,False,False,False,False,4,1
FOOD_NORM_SHIFT_R24,cutoff,0.5,True,True,False,False,False,18,9
FOOD_NORM_SHIFT_R24,cutoff,0.5,True,True,True,False,False,18,7
FOOD_NORM_SHIFT_R24,cutoff,0.5,True,True,True,True,True,36,13
FOOD_NORM_SHIFT_R24,report,0.3,False,False,False,False,False,6,0
FOOD_NORM_SHIFT_R24,report,0.3,False,True,True,True,False,79,0
FOOD_NORM_SHIFT_R24,report,0.3,True,False,False,False,False,4,3
FOOD_NORM_SHIFT_R24,report,0.3,True,True,False,False,False,18,7
FOOD_NORM_SHIFT_R24,report,0.3,True,True,True,False,False,18,8
FOOD_NORM_SHIFT_R24,report,0.3,True,True,True,True,True,36,22
FOOD_NORM_SHIFT_R24,report,0.5,False,False,False,False,False,6,0
FOOD_NORM_SHIFT_R24,report,0.5,False,True,True,True,False,79,0
FOOD_NORM_SHIFT_R24,report,0.5,True,False,False,False,False,4,1
FOOD_NORM_SHIFT_R24,report,0.5,True,True,False,False,False,18,7
FOOD_NORM_SHIFT_R24,report,0.5,True,True,True,False,False,18,6
FOOD_NORM_SHIFT_R24,report,0.5,True,True,True,True,True,36,14
FOOD_ROBUST_WINDOW_R24,cutoff,0.3,False,False,False,False,False,6,0
FOOD_ROBUST_WINDOW_R24,cutoff,0.3,False,True,True,True,False,79,0
FOOD_ROBUST_WINDOW_R24,cutoff,0.3,True,False,False,False,False,4,2
FOOD_ROBUST_WINDOW_R24,cutoff,0.3,True,True,False,False,False,18,10
FOOD_ROBUST_WINDOW_R24,cutoff,0.3,True,True,True,False,False,18,10
FOOD_ROBUST_WINDOW_R24,cutoff,0.3,True,True,True,True,True,36,19
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,False,False,False,False,False,6,0
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,False,True,True,True,False,79,0
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,True,False,False,False,False,4,0
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,True,True,False,False,False,18,9
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,True,True,True,False,False,18,7
FOOD_ROBUST_WINDOW_R24,cutoff,0.5,True,True,True,True,True,36,16
FOOD_ROBUST_WINDOW_R24,report,0.3,False,False,False,False,False,6,0
FOOD_ROBUST_WINDOW_R24,report,0.3,False,True,True,True,False,79,0
FOOD_ROBUST_WINDOW_R24,report,0.3,True,False,False,False,False,4,2
FOOD_ROBUST_WINDOW_R24,report,0.3,True,True,False,False,False,18,7
FOOD_ROBUST_WINDOW_R24,report,0.3,True,True,True,False,False,18,10
FOOD_ROBUST_WINDOW_R24,report,0.3,True,True,True,True,True,36,23
FOOD_ROBUST_WINDOW_R24,report,0.5,False,False,False,False,False,6,0
FOOD_ROBUST_WINDOW_R24,report,0.5,False,True,True,True,False,79,0
FOOD_ROBUST_WINDOW_R24,report,0.5,True,False,False,False,False,4,0
FOOD_ROBUST_WINDOW_R24,report,0.5,True,True,False,False,False,18,7
FOOD_ROBUST_WINDOW_R24,report,0.5,True,True,True,False,False,18,6
FOOD_ROBUST_WINDOW_R24,report,0.5,True,True,True,True,True,36,15
