metric,h,sample,model,n,rmse,mae,bias
headline_yy,1,full,STATE_FAST_R15,88,0.8615359706774576,0.5064345073174391,-0.10641349196496055
headline_yy,1,full,STABLE_LOCAL_CORE_R14B,88,0.8691519032986067,0.508322006501021,-0.10604580144084003
headline_yy,1,full,DAMPED_P95_Q001_R16,88,0.8581019950175653,0.5056151623007832,-0.10475544511473185
headline_yy,1,full,FOOD_ZERO_DRIFT_R24,88,0.868289284427289,0.5096116705920714,-0.16480298310749875
headline_yy,1,full,FOOD_ROBUST_WINDOW_R24,88,0.8616604695518901,0.5062921254025845,-0.11656198412683806
headline_yy,1,full,FOOD_NORM_SHIFT_R24,88,0.8614110525395882,0.5057526547927034,-0.12356086246209307
headline_yy,1,full,FOOD_NORM_REFIT_R24,88,0.8611411157336472,0.5061652706915141,-0.12108495119639423
headline_yy,1,origins_2019_2021,STATE_FAST_R15,34,0.4547077491000673,0.36944339620428684,-0.12759537452366126
headline_yy,1,origins_2019_2021,STABLE_LOCAL_CORE_R14B,34,0.4567959798125192,0.3566243431745048,-0.15896855031658397
headline_yy,1,origins_2019_2021,DAMPED_P95_Q001_R16,34,0.45554483404168833,0.36923438760273114,-0.1265100862935998
headline_yy,1,origins_2019_2021,FOOD_ZERO_DRIFT_R24,34,0.4657200755713219,0.37400086811372446,-0.16360023654323474
headline_yy,1,origins_2019_2021,FOOD_ROBUST_WINDOW_R24,34,0.4537894755885683,0.36944950294596757,-0.1217616797098827
headline_yy,1,origins_2019_2021,FOOD_NORM_SHIFT_R24,34,0.45343610740037454,0.36873676675138944,-0.12382256867208134
headline_yy,1,origins_2019_2021,FOOD_NORM_REFIT_R24,34,0.45342722598666285,0.3687497526271575,-0.12371245043333824
headline_yy,1,origins_2022_2023,STATE_FAST_R15,24,1.5134867436221018,1.0269471260681533,-0.24185296061662945
headline_yy,1,origins_2022_2023,STABLE_LOCAL_CORE_R14B,24,1.5310970125485728,1.0616794529997475,-0.19064791438709827
headline_yy,1,origins_2022_2023,DAMPED_P95_Q001_R16,24,1.5059510371673808,1.0228069099652726,-0.21738184505329708
headline_yy,1,origins_2022_2023,FOOD_ZERO_DRIFT_R24,24,1.5222025457758914,1.0259889180490325,-0.31705572543961
headline_yy,1,origins_2022_2023,FOOD_ROBUST_WINDOW_R24,24,1.51441955833406,1.024910132570058,-0.2628474353018893
headline_yy,1,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,1.5139347385116797,1.0228284889326689,-0.27239409740214715
headline_yy,1,origins_2022_2023,FOOD_NORM_REFIT_R24,24,1.513253919675168,1.0244888983989868,-0.26786359489350303
headline_yy,1,origins_2024plus,STATE_FAST_R15,30,0.3322785235245191,0.2452810049117738,0.025944216522902012
headline_yy,1,origins_2024plus,STABLE_LOCAL_CORE_R14B,30,0.3225255525146353,0.2375600677387582,0.02161500430867642
headline_yy,1,origins_2024plus,DAMPED_P95_Q001_R16,30,0.33230473408366534,0.24642664216031734,0.010000934838837327
headline_yy,1,origins_2024plus,FOOD_ZERO_DRIFT_R24,30,0.3346969863446856,0.2502021154352954,-0.044363902014642215
headline_yy,1,origins_2024plus,FOOD_ROBUST_WINDOW_R24,30,0.331246470982764,0.24648602511943807,0.006359365140653532
headline_yy,1,origins_2024plus,FOOD_NORM_SHIFT_R24,30,0.33166470962604083,0.24737666059422006,-0.0041976741387297865
headline_yy,1,origins_2024plus,FOOD_NORM_REFIT_R24,30,0.33210757199429186,0.24724395566514012,-0.0006842037701706142
core_cumulative_log,1,full,STATE_FAST_R15,88,0.31765657150158044,0.2478805122469705,-0.0025577352976292587
core_cumulative_log,1,full,STABLE_LOCAL_CORE_R14B,88,0.37005849117655404,0.28376826112266057,-0.00292273960327058
