origin,model,h,log_rate
2019-02,FOOD_STABLE_PIPELINE_R14B,1,-0.19135293939376602
2019-02,FOOD_STABLE_PIPELINE_R14B,2,-0.21062137390139696
2019-02,FOOD_STABLE_PIPELINE_R14B,3,0.307435836394298
2019-02,FOOD_STABLE_PIPELINE_R14B,4,0.028712813672691018
2019-02,FOOD_STABLE_PIPELINE_R14B,5,-0.16392093236272198
2019-02,FOOD_STABLE_PIPELINE_R14B,6,-0.5639696921244144
2019-02,FOOD_STABLE_PIPELINE_R14B,7,0.4185190782963961
2019-02,FOOD_STABLE_PIPELINE_R14B,8,0.37399262939376415
2019-02,FOOD_STABLE_PIPELINE_R14B,9,0.09242812087004589
2019-02,FOOD_STABLE_PIPELINE_R14B,10,0.39586906637404873
2019-02,FOOD_STABLE_PIPELINE_R14B,11,1.1006865941487458
2019-02,FOOD_STABLE_PIPELINE_R14B,12,0.30366943792530054
2019-02,FOOD_ZERO_DRIFT_R24,1,-0.3351045795152939
2019-02,FOOD_ZERO_DRIFT_R24,2,-0.3543730140229248
2019-02,FOOD_ZERO_DRIFT_R24,3,0.16368419627277014
2019-02,FOOD_ZERO_DRIFT_R24,4,-0.11503882644883684
2019-02,FOOD_ZERO_DRIFT_R24,5,-0.30767257248424984
2019-02,FOOD_ZERO_DRIFT_R24,6,-0.7077213322459422
2019-02,FOOD_ZERO_DRIFT_R24,7,0.27476743817486826
2019-02,FOOD_ZERO_DRIFT_R24,8,0.2302409892722363
2019-02,FOOD_ZERO_DRIFT_R24,9,-0.05132351925148197
2019-02,FOOD_ZERO_DRIFT_R24,10,0.25211742625252087
2019-02,FOOD_ZERO_DRIFT_R24,11,0.956934954027218
2019-02,FOOD_ZERO_DRIFT_R24,12,0.1599177978037727
2019-02,FOOD_ROBUST_WINDOW_R24,1,-0.13620890112660003
2019-02,FOOD_ROBUST_WINDOW_R24,2,-0.15547733563423097
2019-02,FOOD_ROBUST_WINDOW_R24,3,0.362579874661464
2019-02,FOOD_ROBUST_WINDOW_R24,4,0.08385685193985701
2019-02,FOOD_ROBUST_WINDOW_R24,5,-0.10877689409555599
2019-02,FOOD_ROBUST_WINDOW_R24,6,-0.5088256538572484
2019-02,FOOD_ROBUST_WINDOW_R24,7,0.4736631165635621
2019-02,FOOD_ROBUST_WINDOW_R24,8,0.42913666766093017
2019-02,FOOD_ROBUST_WINDOW_R24,9,0.1475721591372119
2019-02,FOOD_ROBUST_WINDOW_R24,10,0.4510131046412147
2019-02,FOOD_ROBUST_WINDOW_R24,11,1.1558306324159118
2019-02,FOOD_ROBUST_WINDOW_R24,12,0.3588134761924665
2019-02,FOOD_NORM_SHIFT_R24,1,-0.12187618592908286
2019-02,FOOD_NORM_SHIFT_R24,2,-0.1411446204367138
2019-02,FOOD_NORM_SHIFT_R24,3,0.37691258985898113
2019-02,FOOD_NORM_SHIFT_R24,4,0.09818956713737417
2019-02,FOOD_NORM_SHIFT_R24,5,-0.09444417889803883
2019-02,FOOD_NORM_SHIFT_R24,6,-0.4944929386597312
2019-02,FOOD_NORM_SHIFT_R24,7,0.4879958317610793
2019-02,FOOD_NORM_SHIFT_R24,8,0.4434693828584473
2019-02,FOOD_NORM_SHIFT_R24,9,0.16190487433472905
2019-02,FOOD_NORM_SHIFT_R24,10,0.4653458198387319
2019-02,FOOD_NORM_SHIFT_R24,11,1.170163347613429
2019-02,FOOD_NORM_SHIFT_R24,12,0.37314619138998373
2019-02,FOOD_NORM_REFIT_R24,1,-0.11989407113115688
2019-02,FOOD_NORM_REFIT_R24,2,-0.14249494051591588
2019-02,FOOD_NORM_REFIT_R24,3,0.3765627583235097
2019-02,FOOD_NORM_REFIT_R24,4,0.09954662605815678
2019-02,FOOD_NORM_REFIT_R24,5,-0.09370255163190538
2019-02,FOOD_NORM_REFIT_R24,6,-0.494195728037375
2019-02,FOOD_NORM_REFIT_R24,7,0.48822859672432906
2019-02,FOOD_NORM_REFIT_R24,8,0.44364632679993826
2019-02,FOOD_NORM_REFIT_R24,9,0.162008707775251
2019-02,FOOD_NORM_REFIT_R24,10,0.4653974082072973
2019-02,FOOD_NORM_REFIT_R24,11,1.1701973825589445
2019-02,FOOD_NORM_REFIT_R24,12,0.37316747383332693
2019-03,FOOD_STABLE_PIPELINE_R14B,1,-0.16729855320838977
2019-03,FOOD_STABLE_PIPELINE_R14B,2,0.35214977079984755
