origin,model,status
2019-02,FOOD_ZERO_DRIFT_R24,estimated
2019-02,FOOD_ROBUST_WINDOW_R24,estimated
2019-02,FOOD_NORM_SHIFT_R24,estimated
2019-02,FOOD_NORM_REFIT_R24,estimated
2019-03,FOOD_ZERO_DRIFT_R24,estimated
2019-03,FOOD_ROBUST_WINDOW_R24,estimated
2019-03,FOOD_NORM_SHIFT_R24,estimated
2019-03,FOOD_NORM_REFIT_R24,estimated
2019-04,FOOD_ZERO_DRIFT_R24,estimated
2019-04,FOOD_ROBUST_WINDOW_R24,estimated
2019-04,FOOD_NORM_SHIFT_R24,estimated
2019-04,FOOD_NORM_REFIT_R24,estimated
2019-05,FOOD_ZERO_DRIFT_R24,estimated
2019-05,FOOD_ROBUST_WINDOW_R24,estimated
2019-05,FOOD_NORM_SHIFT_R24,estimated
2019-05,FOOD_NORM_REFIT_R24,estimated
2019-06,FOOD_ZERO_DRIFT_R24,estimated
2019-06,FOOD_ROBUST_WINDOW_R24,estimated
2019-06,FOOD_NORM_SHIFT_R24,estimated
2019-06,FOOD_NORM_REFIT_R24,estimated
2019-07,FOOD_ZERO_DRIFT_R24,estimated
2019-07,FOOD_ROBUST_WINDOW_R24,estimated
2019-07,FOOD_NORM_SHIFT_R24,estimated
2019-07,FOOD_NORM_REFIT_R24,estimated
2019-08,FOOD_ZERO_DRIFT_R24,estimated
2019-08,FOOD_ROBUST_WINDOW_R24,estimated
2019-08,FOOD_NORM_SHIFT_R24,estimated
2019-08,FOOD_NORM_REFIT_R24,estimated
2019-09,FOOD_ZERO_DRIFT_R24,estimated
2019-09,FOOD_ROBUST_WINDOW_R24,estimated
2019-09,FOOD_NORM_SHIFT_R24,estimated
2019-09,FOOD_NORM_REFIT_R24,estimated
2019-10,FOOD_ZERO_DRIFT_R24,estimated
2019-10,FOOD_ROBUST_WINDOW_R24,estimated
2019-10,FOOD_NORM_SHIFT_R24,estimated
2019-10,FOOD_NORM_REFIT_R24,estimated
2019-11,FOOD_ZERO_DRIFT_R24,estimated
2019-11,FOOD_ROBUST_WINDOW_R24,estimated
2019-11,FOOD_NORM_SHIFT_R24,estimated
2019-11,FOOD_NORM_REFIT_R24,estimated
2019-12,FOOD_ZERO_DRIFT_R24,estimated
2019-12,FOOD_ROBUST_WINDOW_R24,estimated
2019-12,FOOD_NORM_SHIFT_R24,estimated
2019-12,FOOD_NORM_REFIT_R24,estimated
2020-01,FOOD_ZERO_DRIFT_R24,estimated
2020-01,FOOD_ROBUST_WINDOW_R24,estimated
2020-01,FOOD_NORM_SHIFT_R24,estimated
