geo,origin,band,label_end,f,r,mu
CZ,2010-01,1,2010-04,0.01790120299816288,-0.15107395178453617,
CZ,2010-01,2,2010-07,0.01815541497742365,-0.027567121722065085,
CZ,2010-01,3,2010-10,0.01828557151080516,0.012639820296563275,
CZ,2010-01,4,2011-01,0.018352211655896494,-0.13481785795041665,
CZ,2010-02,1,2010-05,-0.23744028120935654,-0.040025131429154724,
CZ,2010-02,2,2010-08,-0.21834671182610602,-0.08563902177712175,
CZ,2010-02,3,2010-11,-0.20857080430188177,0.02112771996341292,
CZ,2010-02,4,2011-02,-0.20356553964947896,-0.19628267791759102,
CZ,2010-03,1,2010-06,-0.2575464294580732,-0.017186936403166844,
CZ,2010-03,2,2010-09,-0.24042372945197962,-0.0794855794590502,
CZ,2010-03,3,2010-12,-0.2316569070488597,-0.023148769080709133,
CZ,2010-03,4,2011-03,-0.22716829397846228,-0.18099782621752844,
CZ,2010-04,1,2010-07,-0.18930541930488098,-0.05511213457862677,
CZ,2010-04,2,2010-10,-0.18031739932378654,-0.014905192559998434,
CZ,2010-04,3,2011-01,-0.1757155330934662,-0.07990610887577719,
CZ,2010-04,4,2011-04,-0.17335937758354214,-0.1176122641597348,
CZ,2010-05,1,2010-08,-0.12569568888138016,-0.08898468653605075,
CZ,2010-05,2,2010-11,-0.12300476591123011,0.017782055204483935,
CZ,2010-05,3,2011-02,-0.12162701335051329,-0.16868663755915078,
CZ,2010-05,4,2011-05,-0.12092160403942627,-0.060996442402870665,
CZ,2010-06,1,2010-09,-0.09224142114795623,-0.07162772934869009,
CZ,2010-06,2,2010-12,-0.09245663751770113,-0.015290918970349029,
CZ,2010-06,3,2011-03,-0.09256682829901051,-0.17635839172949197,
CZ,2010-06,4,2011-06,-0.09262324597904092,-0.03760867124505723,
CZ,2010-07,1,2010-10,-0.07424053819974603,-0.004499540674194118,
CZ,2010-07,2,2011-01,-0.0756798929266846,-0.06950045698997288,
CZ,2010-07,3,2011-04,-0.07641684254687714,-0.12154724273326012,
CZ,2010-07,4,2011-07,-0.07679416075241574,-0.07208826032531372,
CZ,2010-08,1,2010-11,-0.09403990555265222,0.02496022358353484,
CZ,2010-08,2,2011-02,-0.09368903734214173,-0.1615084691800999,
CZ,2010-08,3,2011-05,-0.09350939281836039,-0.06769062838360694,
CZ,2010-08,4,2011-08,-0.09341741482218431,-0.06339662674256881,
CZ,2010-09,1,2010-12,-0.105391692810186,-0.011002860571142761,
CZ,2010-09,2,2011-03,-0.10419719677245069,-0.17207033333028568,
CZ,2010-09,3,2011-06,-0.1035856148011302,-0.04673023556995131,
CZ,2010-09,4,2011-09,-0.10327248483181412,-0.004314387850736595,
CZ,2010-10,1,2011-01,-0.06823221867252899,-0.06382362705647206,
CZ,2010-10,2,2011-04,-0.06992479658359065,-0.11587041279975929,
CZ,2010-10,3,2011-07,-0.07079139647405423,-0.0678421268241289,
CZ,2010-10,4,2011-10,-0.07123509561797157,0.11336844923346352,
CZ,2010-11,1,2011-02,-0.03511888037349108,-0.15005402754652578,
CZ,2010-11,2,2011-05,-0.03884182468327462,-0.05623618675003284,
CZ,2010-11,3,2011-08,-0.04074797216988379,-0.054254099549403405,
CZ,2010-11,4,2011-11,-0.04172391968302769,0.15976000763538342,
CZ,2010-12,1,2011-03,-0.045255882227103215,-0.1577272909734368,
CZ,2010-12,2,2011-06,-0.04742553868808937,-0.032387193213102426,
CZ,2010-12,3,2011-09,-0.04853640279611431,-0.008936054355166312,
CZ,2010-12,4,2011-12,-0.049105165219423035,0.09826623233112697,
CZ,2011-01,1,2011-04,-0.0601963538982336,-0.10464891126143609,
CZ,2011-01,2,2011-07,-0.06077726159703268,-0.056620625285805685,
CZ,2011-01,3,2011-10,-0.06107468633881782,0.10004880753917761,
CZ,2011-01,4,2012-01,-0.0612269678066118,-0.006246899433063331,
CZ,2011-02,1,2011-05,-0.07061512368062023,-0.050842489166992196,
CZ,2011-02,2,2011-08,-0.0702785994772408,-0.04886040196636276,
CZ,2011-02,3,2011-11,-0.07010629908511054,0.15128738788491627,
CZ,2011-02,4,2012-02,-0.07001808128433985,-0.05238543630378656,
CZ,2011-03,1,2011-06,-0.1416381172805901,-0.034503228812520347,
CZ,2011-03,2,2011-09,-0.13602089671457704,-0.011052089954584251,
CZ,2011-03,3,2011-12,-0.13314487978477832,0.08967165114453317,
CZ,2011-03,4,2012-03,-0.1316723591167214,-0.07830068316597195,
CZ,2011-04,1,2011-07,-0.12006891008807234,-0.060303134013218046,
CZ,2011-04,2,2011-10,-0.11706544767721366,0.09636629881176524,
CZ,2011-04,3,2012-01,-0.11552767492285398,-0.011159335571954504,
CZ,2011-04,4,2012-04,-0.11474033527262185,-0.025837969444288688,
CZ,2011-05,1,2011-08,-0.05618490306509997,-0.04950009033546176,
CZ,2011-05,2,2011-11,-0.05849990906898935,0.15064769951581727,
CZ,2011-05,3,2012-02,-0.0596851921429807,-0.03685250927655916,
CZ,2011-05,4,2012-05,-0.06029205707686428,-0.03187922900204119,
CZ,2011-06,1,2011-09,-0.08496061516647387,-0.008347747682891468,
CZ,2011-06,2,2011-12,-0.08468536606053138,0.09237599341622597,
CZ,2011-06,3,2012-03,-0.08454443851828881,-0.07580899396947734,
CZ,2011-06,4,2012-06,-0.0844722836166606,0.024196619137897987,
CZ,2011-07,1,2011-10,-0.0699409202663888,0.10034488884687352,
CZ,2011-07,2,2012-01,-0.07082170468473697,-0.0071807455368462225,
CZ,2011-07,3,2012-04,-0.07127266630693123,-0.03526058825391263,
CZ,2011-07,4,2012-07,-0.07150355865749469,-0.0920213057115244,
CZ,2011-08,1,2011-11,-0.05186824928140236,0.15301099256610595,
CZ,2011-08,2,2012-02,-0.05393048670964155,-0.034489216226270485,
CZ,2011-08,3,2012-05,-0.05498635227290002,-0.02671944311859328,
CZ,2011-08,4,2012-08,-0.055526955441288356,-0.15927009499610303,
CZ,2011-09,1,2011-12,-0.07351486608373897,0.09503190462811899,
CZ,2011-09,2,2012-03,-0.07356981839651801,-0.07315308275758432,
CZ,2011-09,3,2012-06,-0.07359795398066085,0.021542886220930858,
CZ,2011-09,4,2012-09,-0.07361235939974202,-0.11088946986632635,
CZ,2011-10,1,2012-01,-0.021464415898371846,-0.0022568671564175227,
CZ,2011-10,2,2012-04,-0.02539613833293212,-0.03033670987348394,
CZ,2011-10,3,2012-07,-0.02740918021942697,-0.09403744823654954,
CZ,2011-10,4,2012-10,-0.028439857665312335,0.02587985250527275,
CZ,2011-11,1,2012-02,0.08072531660012516,-0.0235501559568066,
CZ,2011-11,2,2012-05,0.06985405412211694,-0.015780382849129398,
CZ,2011-11,3,2012-08,0.06428796773337674,-0.14670501453989723,
CZ,2011-11,4,2012-11,0.06143813150234171,0.018484091027482025,
CZ,2011-12,1,2012-03,0.05506840270836404,-0.059899845470400316,
