model,clock,threshold,sample,scope,considered_pairs,all_calls,calls_without_eligible_revision,n_pairs,n_reports,n_target_quarters,calls,revision_direction_matches,revision_confirmations,mature_calls,material_gains,material_losses,joint_successes,unconfirmed_calls,mean_abs_error_gain
CNB_MOMENTUM,cutoff,0.3,full,all_pairs,161,57,23,93,17,21,34,12,6,25,7,15,2,28,-0.5994827733614322
CNB_MOMENTUM,cutoff,0.3,full,first_call_episodes,46,46,18,28,10,19,28,9,3,19,6,11,1,25,0.04575877683236961
CNB_MOMENTUM,cutoff,0.3,reports_2024plus,all_pairs,93,26,12,55,10,14,14,2,0,5,1,4,0,14,-0.432637609664019
CNB_MOMENTUM,cutoff,0.3,reports_2024plus,first_call_episodes,25,25,11,14,4,11,14,2,0,5,1,4,0,14,-0.432637609664019
CNB_MOMENTUM,cutoff,0.5,full,all_pairs,161,37,16,93,17,21,21,8,6,17,6,10,2,15,-0.8111610452861728
CNB_MOMENTUM,cutoff,0.5,full,first_call_episodes,28,28,13,15,9,12,15,5,3,11,5,6,1,12,0.18788621127144467
CNB_MOMENTUM,cutoff,0.5,reports_2024plus,all_pairs,93,13,6,55,10,14,7,0,0,3,1,2,0,7,-0.4647459594400316
CNB_MOMENTUM,cutoff,0.5,reports_2024plus,first_call_episodes,13,13,6,7,4,6,7,0,0,3,1,2,0,7,-0.4647459594400316
CNB_MOMENTUM,report,0.3,full,all_pairs,161,57,23,93,17,21,34,12,6,25,7,15,2,28,-0.5994827733614322
CNB_MOMENTUM,report,0.3,full,first_call_episodes,46,46,18,28,10,19,28,9,3,19,6,11,1,25,0.04575877683236961
CNB_MOMENTUM,report,0.3,reports_2024plus,all_pairs,93,26,12,55,10,14,14,2,0,5,1,4,0,14,-0.432637609664019
CNB_MOMENTUM,report,0.3,reports_2024plus,first_call_episodes,25,25,11,14,4,11,14,2,0,5,1,4,0,14,-0.432637609664019
CNB_MOMENTUM,report,0.5,full,all_pairs,161,37,16,93,17,21,21,8,6,17,6,10,2,15,-0.8111610452861728
CNB_MOMENTUM,report,0.5,full,first_call_episodes,28,28,13,15,9,12,15,5,3,11,5,6,1,12,0.18788621127144467
CNB_MOMENTUM,report,0.5,reports_2024plus,all_pairs,93,13,6,55,10,14,7,0,0,3,1,2,0,7,-0.4647459594400316
CNB_MOMENTUM,report,0.5,reports_2024plus,first_call_episodes,13,13,6,7,4,6,7,0,0,3,1,2,0,7,-0.4647459594400316
CONST_2,cutoff,0.3,full,all_pairs,161,91,38,115,18,22,53,28,20,40,9,28,5,33,-2.3236516456297287
CONST_2,cutoff,0.3,full,first_call_episodes,40,40,12,28,12,21,28,16,9,19,6,12,3,19,-0.8762269041605724
CONST_2,cutoff,0.3,reports_2024plus,all_pairs,93,47,22,63,10,14,25,18,14,12,3,6,2,11,-0.11716632468314299
CONST_2,cutoff,0.3,reports_2024plus,first_call_episodes,25,25,10,15,6,12,15,11,7,6,2,3,1,8,-0.03873944557357686
CONST_2,cutoff,0.5,full,all_pairs,161,58,25,115,18,22,33,15,12,28,5,23,2,21,-3.3001628972690384
CONST_2,cutoff,0.5,full,first_call_episodes,24,24,7,17,9,15,17,8,6,13,3,10,1,11,-1.2893918186860227
CONST_2,cutoff,0.5,reports_2024plus,all_pairs,93,19,9,63,10,14,10,9,9,5,1,4,1,1,-0.24612857890832923
CONST_2,cutoff,0.5,reports_2024plus,first_call_episodes,12,12,5,7,4,6,7,6,6,3,1,2,1,1,0.00018105848611800943
CONST_2,report,0.3,full,all_pairs,161,91,38,115,18,22,53,28,20,40,9,28,5,33,-2.3236516456297287
CONST_2,report,0.3,full,first_call_episodes,40,40,12,28,12,21,28,16,9,19,6,12,3,19,-0.8762269041605724
CONST_2,report,0.3,reports_2024plus,all_pairs,93,47,22,63,10,14,25,18,14,12,3,6,2,11,-0.11716632468314299
CONST_2,report,0.3,reports_2024plus,first_call_episodes,25,25,10,15,6,12,15,11,7,6,2,3,1,8,-0.03873944557357686
CONST_2,report,0.5,full,all_pairs,161,58,25,115,18,22,33,15,12,28,5,23,2,21,-3.3001628972690384
CONST_2,report,0.5,full,first_call_episodes,24,24,7,17,9,15,17,8,6,13,3,10,1,11,-1.2893918186860227
CONST_2,report,0.5,reports_2024plus,all_pairs,93,19,9,63,10,14,10,9,9,5,1,4,1,1,-0.24612857890832923
CONST_2,report,0.5,reports_2024plus,first_call_episodes,12,12,5,7,4,6,7,6,6,3,1,2,1,1,0.00018105848611800943
CORE_OWN_SHRINK_R25,cutoff,0.3,full,all_pairs,161,45,23,36,18,19,22,13,7,21,7,13,2,15,-0.3042886323336834
CORE_OWN_SHRINK_R25,cutoff,0.3,full,first_call_episodes,37,37,17,20,14,17,20,12,7,19,7,11,2,13,-0.2487268904228559
CORE_OWN_SHRINK_R25,cutoff,0.3,reports_2024plus,all_pairs,93,17,8,20,10,11,9,3,2,8,3,5,0,7,-0.20286484400627727
CORE_OWN_SHRINK_R25,cutoff,0.3,reports_2024plus,first_call_episodes,15,15,7,8,6,8,8,3,2,7,3,4,0,6,-0.1381591076929886
CORE_OWN_SHRINK_R25,cutoff,0.5,full,all_pairs,161,33,15,36,18,19,18,11,7,17,5,11,2,11,-0.3750223159188303
CORE_OWN_SHRINK_R25,cutoff,0.5,full,first_call_episodes,27,27,10,17,11,14,17,10,7,16,5,10,2,10,-0.3354333754903952
CORE_OWN_SHRINK_R25,cutoff,0.5,reports_2024plus,all_pairs,93,8,2,20,10,11,6,2,2,5,2,3,0,4,-0.2584691257879704
CORE_OWN_SHRINK_R25,cutoff,0.5,reports_2024plus,first_call_episodes,8,8,2,6,3,6,6,2,2,5,2,3,0,4,-0.2584691257879704
CORE_OWN_SHRINK_R25,report,0.3,full,all_pairs,161,41,18,36,18,19,23,17,10,23,8,15,3,13,-0.2162000834214574
CORE_OWN_SHRINK_R25,report,0.3,full,first_call_episodes,32,32,13,19,13,15,19,13,8,19,6,13,2,11,-0.22782085741341646
CORE_OWN_SHRINK_R25,report,0.3,reports_2024plus,all_pairs,93,13,5,20,10,11,8,5,3,8,3,5,0,5,-0.22556015052447675
CORE_OWN_SHRINK_R25,report,0.3,reports_2024plus,first_call_episodes,12,12,4,8,5,7,8,5,3,8,3,5,0,5,-0.22556015052447675
CORE_OWN_SHRINK_R25,report,0.5,full,all_pairs,161,30,13,36,18,19,17,12,7,17,6,11,3,10,-0.23001145022454897
CORE_OWN_SHRINK_R25,report,0.5,full,first_call_episodes,26,26,12,14,10,11,14,9,5,14,5,9,2,9,-0.20075604331186464
CORE_OWN_SHRINK_R25,report,0.5,reports_2024plus,all_pairs,93,5,2,20,10,11,3,1,0,3,2,1,0,3,-0.09548983990233546
