origin,model,band,target,predicted_sa_annualized,actual_sa_annualized
2019-02,CORE_OWN_SHRINK_R25,1,2019-05,3.4935863355825774,1.362999937586649
2019-02,CORE_OWN_SHRINK_R25,2,2019-08,3.50662375970948,4.845287260371656
2019-02,CORE_OWN_SHRINK_R25,3,2019-11,3.5665721728480495,0.9977971120537532
2019-02,CORE_OWN_SHRINK_R25,4,2020-02,3.543656159795683,5.52170549349239
2019-02,CORE_PANEL_SHRINK_FOODNORM_R25,1,2019-05,2.0879083074109506,1.362999937586649
2019-02,CORE_PANEL_SHRINK_FOODNORM_R25,2,2019-08,2.0505050296317773,4.845287260371656
2019-02,CORE_PANEL_SHRINK_FOODNORM_R25,3,2019-11,2.472257340153198,0.9977971120537532
2019-02,CORE_PANEL_SHRINK_FOODNORM_R25,4,2020-02,2.58537969966258,5.52170549349239
2019-02,CORE_PANEL_SHRINK_R25,1,2019-05,2.0879083074109506,1.362999937586649
2019-02,CORE_PANEL_SHRINK_R25,2,2019-08,2.0505050296317773,4.845287260371656
2019-02,CORE_PANEL_SHRINK_R25,3,2019-11,2.472257340153198,0.9977971120537532
2019-02,CORE_PANEL_SHRINK_R25,4,2020-02,2.58537969966258,5.52170549349239
2019-02,CORE_PANEL_STATE_R25,1,2019-05,2.093544281910166,1.362999937586649
2019-02,CORE_PANEL_STATE_R25,2,2019-08,2.0643212749769226,4.845287260371656
2019-02,CORE_PANEL_STATE_R25,3,2019-11,2.4803394774424676,0.9977971120537532
2019-02,CORE_PANEL_STATE_R25,4,2020-02,2.6080006099572204,5.52170549349239
2019-02,DAMPED_P95_Q001_R16,1,2019-05,3.673850610050466,1.362999937586649
2019-02,DAMPED_P95_Q001_R16,2,2019-08,3.6962434160775652,4.845287260371656
2019-02,DAMPED_P95_Q001_R16,3,2019-11,3.7460352597468285,0.9977971120537532
2019-02,DAMPED_P95_Q001_R16,4,2020-02,3.804389061252874,5.52170549349239
2019-02,STABLE_LOCAL_CORE_R14B,1,2019-05,3.186740087263646,1.362999937586649
2019-02,STABLE_LOCAL_CORE_R14B,2,2019-08,3.1867400872636464,4.845287260371656
2019-02,STABLE_LOCAL_CORE_R14B,3,2019-11,3.1867400872636455,0.9977971120537532
2019-02,STABLE_LOCAL_CORE_R14B,4,2020-02,3.1867400872636447,5.52170549349239
2019-02,STATE_FAST_R15,1,2019-05,3.69874766317084,1.362999937586649
2019-02,STATE_FAST_R15,2,2019-08,3.611330010840952,4.845287260371656
2019-02,STATE_FAST_R15,3,2019-11,3.5665721728480486,0.9977971120537532
2019-02,STATE_FAST_R15,4,2020-02,3.543656159795683,5.52170549349239
2019-03,CORE_OWN_SHRINK_R25,1,2019-06,2.895193744868818,2.3747809566404987
2019-03,CORE_OWN_SHRINK_R25,2,2019-09,2.9487052487173067,2.3657706382498187
2019-03,CORE_OWN_SHRINK_R25,3,2019-12,3.020078013226092,2.7693409942751335
2019-03,CORE_OWN_SHRINK_R25,4,2020-03,3.014058774430704,4.416293739652922
2019-03,CORE_PANEL_SHRINK_FOODNORM_R25,1,2019-06,1.8016676729345797,2.3747809566404987
2019-03,CORE_PANEL_SHRINK_FOODNORM_R25,2,2019-09,1.7926536847993488,2.3657706382498187
2019-03,CORE_PANEL_SHRINK_FOODNORM_R25,3,2019-12,2.1418849709373693,2.7693409942751335
2019-03,CORE_PANEL_SHRINK_FOODNORM_R25,4,2020-03,2.240724795443058,4.416293739652922
2019-03,CORE_PANEL_SHRINK_R25,1,2019-06,1.8016676729345797,2.3747809566404987
2019-03,CORE_PANEL_SHRINK_R25,2,2019-09,1.7926536847993488,2.3657706382498187
2019-03,CORE_PANEL_SHRINK_R25,3,2019-12,2.1418849709373693,2.7693409942751335
2019-03,CORE_PANEL_SHRINK_R25,4,2020-03,2.240724795443058,4.416293739652922
2019-03,CORE_PANEL_STATE_R25,1,2019-06,1.8060520944963687,2.3747809566404987
2019-03,CORE_PANEL_STATE_R25,2,2019-09,1.8036227711168338,2.3657706382498187
2019-03,CORE_PANEL_STATE_R25,3,2019-12,2.1483709259132144,2.7693409942751335
2019-03,CORE_PANEL_STATE_R25,4,2020-03,2.258979985144835,4.416293739652922
2019-03,DAMPED_P95_Q001_R16,1,2019-06,3.159163884819205,2.3747809566404987
2019-03,DAMPED_P95_Q001_R16,2,2019-09,3.200213017644323,2.3657706382498187
2019-03,DAMPED_P95_Q001_R16,3,2019-12,3.2425813537944643,2.7693409942751335
2019-03,DAMPED_P95_Q001_R16,4,2020-03,3.2825799099790274,4.416293739652922
2019-03,STABLE_LOCAL_CORE_R14B,1,2019-06,3.0870888582897487,2.3747809566404987
2019-03,STABLE_LOCAL_CORE_R14B,2,2019-09,3.087088858289748,2.3657706382498187
2019-03,STABLE_LOCAL_CORE_R14B,3,2019-12,3.087088858289748,2.7693409942751335
2019-03,STABLE_LOCAL_CORE_R14B,4,2020-03,3.087088858289748,4.416293739652922
2019-03,STATE_FAST_R15,1,2019-06,3.054795912772244,2.3747809566404987
2019-03,STATE_FAST_R15,2,2019-09,3.031834338998334,2.3657706382498187
2019-03,STATE_FAST_R15,3,2019-12,3.020078013226092,2.7693409942751335
2019-03,STATE_FAST_R15,4,2020-03,3.014058774430704,4.416293739652922
2019-04,CORE_OWN_SHRINK_R25,1,2019-07,1.9920083664793715,4.510457180348661
2019-04,CORE_OWN_SHRINK_R25,2,2019-10,2.032826131862807,1.16768885630117
2019-04,CORE_OWN_SHRINK_R25,3,2020-01,2.157836718688772,3.8415986968166242
2019-04,CORE_OWN_SHRINK_R25,4,2020-04,2.172405283345654,1.6088341526061583
2019-04,CORE_PANEL_SHRINK_FOODNORM_R25,1,2019-07,1.35434114048177,4.510457180348661
2019-04,CORE_PANEL_SHRINK_FOODNORM_R25,2,2019-10,1.384631085345256,1.16768885630117
2019-04,CORE_PANEL_SHRINK_FOODNORM_R25,3,2020-01,1.617518559154072,3.8415986968166242
2019-04,CORE_PANEL_SHRINK_FOODNORM_R25,4,2020-04,1.6881849085820781,1.6088341526061583
2019-04,CORE_PANEL_SHRINK_R25,1,2019-07,1.35434114048177,4.510457180348661
2019-04,CORE_PANEL_SHRINK_R25,2,2019-10,1.384631085345256,1.16768885630117
2019-04,CORE_PANEL_SHRINK_R25,3,2020-01,1.617518559154072,3.8415986968166242
2019-04,CORE_PANEL_SHRINK_R25,4,2020-04,1.6881849085820781,1.6088341526061583
2019-04,CORE_PANEL_STATE_R25,1,2019-07,1.3562806999244574,4.510457180348661
2019-04,CORE_PANEL_STATE_R25,2,2019-10,1.3912018987533128,1.16768885630117
2019-04,CORE_PANEL_STATE_R25,3,2020-01,1.621278371306468,3.8415986968166242
2019-04,CORE_PANEL_STATE_R25,4,2020-04,1.7000213577430645,1.6088341526061583
2019-04,DAMPED_P95_Q001_R16,1,2019-07,2.2603259790211947,4.510457180348661
2019-04,DAMPED_P95_Q001_R16,2,2019-10,2.3126929490712307,1.16768885630117
2019-04,DAMPED_P95_Q001_R16,3,2020-01,2.33336603661448,3.8415986968166242
2019-04,DAMPED_P95_Q001_R16,4,2020-04,2.3386874028243314,1.6088341526061583
2019-04,STABLE_LOCAL_CORE_R14B,1,2019-07,2.887088791623041,4.510457180348661
2019-04,STABLE_LOCAL_CORE_R14B,2,2019-10,2.887088791623041,1.16768885630117
2019-04,STABLE_LOCAL_CORE_R14B,3,2020-01,2.8870887916230417,3.8415986968166242
2019-04,STABLE_LOCAL_CORE_R14B,4,2020-04,2.887088791623041,1.6088341526061583
2019-04,STATE_FAST_R15,1,2019-07,2.0738078270826152,4.510457180348661
2019-04,STATE_FAST_R15,2,2019-10,2.1293824908433012,1.16768885630117
2019-04,STATE_FAST_R15,3,2020-01,2.157836718688772,3.8415986968166242
2019-04,STATE_FAST_R15,4,2020-04,2.1724052833456526,1.6088341526061583
