scope,benchmark,model,metric,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,1,full,89,12,2000,1509,78,89,-0.00036774126076882796,-0.007067875006887779,0.008653232339008702,0.523,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,1,origins_2019_2021,35,12,2000,1509,24,35,-0.0012597330185274852,-0.0042317867616458405,0.0014788302216810856,0.7415,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,1,origins_2022_2023,24,12,2000,1509,13,24,0.0013578041081281887,-0.004683295722822049,0.02898693215177765,0.0855,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,1,origins_2024plus,30,12,2000,1509,19,30,-0.0007075205051680063,-0.005688646516348851,0.0022951307286904602,0.7955,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,1,recent_targets,31,12,2000,1509,20,31,-0.0001270403307298346,-0.005428632517114403,0.0031554480026899172,0.7395,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,2,full,88,12,2000,1509,77,88,-0.002135089832779645,-0.021828588085984143,0.02558369864939951,0.562,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,2,origins_2019_2021,35,12,2000,1509,24,35,-0.006581301604272932,-0.01399590912027966,0.0015035583897152155,0.9105,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,2,origins_2022_2023,24,12,2000,1509,13,24,0.005836224768582791,-0.021027957190226498,0.0967127186017279,0.104,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,2,origins_2024plus,29,12,2000,1509,18,29,-0.0033659221924497566,-0.019448320011410024,0.00668922462196358,0.8235,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,2,recent_targets,31,12,2000,1509,20,31,-0.0010108733333581367,-0.019512603737611055,0.011205770359216494,0.7115,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,3,full,87,12,2000,1509,76,87,-0.011911554284523113,-0.050340599067396505,0.03825010308795829,0.697,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,3,origins_2019_2021,35,12,2000,1509,24,35,-0.024660445526646764,-0.036724206482154,-0.002798594352029348,0.9965,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,3,origins_2022_2023,24,12,2000,1509,13,24,0.00047444787335645017,-0.0622254665660223,0.16417150855740917,0.1865,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,3,origins_2024plus,28,12,2000,1509,17,28,-0.006592013510051034,-0.03879224875317231,0.011250264257437614,0.8355,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,3,recent_targets,31,12,2000,1509,20,31,-0.002668761368722694,-0.03688516296977946,0.024639719629068548,0.674,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,4,full,86,12,2000,1509,75,86,-0.0266781874178041,-0.09200793056665342,0.046813315963542254,0.799,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,4,origins_2019_2021,35,12,2000,1509,24,35,-0.046722153604868664,-0.06932779840901558,-0.006283211874304584,0.9995,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,4,origins_2022_2023,24,12,2000,1509,13,24,-0.008527324864325078,-0.15992811381861735,0.2346735332868747,0.268,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,4,origins_2024plus,27,12,2000,1509,16,27,-0.016829368333960974,-0.0676514712912754,0.011148358995321484,0.8735,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,4,recent_targets,31,12,2000,1509,20,31,-0.015065534428359447,-0.06285565917420366,0.03529107377185006,0.6945,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,5,full,85,12,2000,1509,74,85,-0.05387616694360833,-0.1510464554963511,0.04434709682159714,0.8795,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,5,origins_2019_2021,35,12,2000,1509,24,35,-0.08368230305626448,-0.12460388272231061,-0.01420501251672997,1.0,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,5,origins_2022_2023,24,12,2000,1509,13,24,-0.036759244060681685,-0.3020147968874112,0.30286543284793627,0.424,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,5,origins_2024plus,26,12,2000,1509,15,26,-0.029552758683888077,-0.10926686663907563,0.010084725760637077,0.896,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,5,recent_targets,31,12,2000,1509,20,31,-0.042834115066666185,-0.09374987810238794,0.04242183637800761,0.7425,ok
paired_fast_FOOD_ECM_A002_R27,STATE_FAST_R15,FOOD_ECM_A002_R27,headline_yy,6,full,84,12,2000,1509,73,84,-0.10255450038298014,-0.246154603705024,0.02870151336117384,0.9445,ok
