scope,model,h,metric,sample,n_intended,n_missing_forecasts,n,mae,rmse,bias
original_R16_calendar,FOOD_ECM_A002_R27,1,headline_yy,full,88,0,88,0.5050275915883841,0.8613108713474613,-0.12458452996828631
original_R16_calendar,FOOD_ECM_A002_R27,1,headline_yy,origins_2019_2021,34,0,34,0.3683324448519362,0.4532341801765768,-0.1250261137829668
original_R16_calendar,FOOD_ECM_A002_R27,1,headline_yy,origins_2022_2023,24,0,24,1.0213290561392714,1.5139352453879793,-0.2757713033253089
original_R16_calendar,FOOD_ECM_A002_R27,1,headline_yy,origins_2024plus,30,0,30,0.24690758624898176,0.33121216265479503,-0.0031346496260303393
original_R16_calendar,FOOD_ECM_A002_R27,1,headline_yy,recent_targets,31,0,31,0.2471444320928798,0.3290106315216206,-0.011235138586797777
original_R16_calendar,FOOD_ECM_A002_R27,2,headline_yy,full,86,0,86,0.7641421646172174,1.229705419158751,-0.2323505874311057
original_R16_calendar,FOOD_ECM_A002_R27,2,headline_yy,origins_2019_2021,33,0,33,0.5236246926246709,0.6452890962718457,-0.23366958580204464
original_R16_calendar,FOOD_ECM_A002_R27,2,headline_yy,origins_2022_2023,24,0,24,1.6041030441558908,2.1481001483411455,-0.5052215770808438
original_R16_calendar,FOOD_ECM_A002_R27,2,headline_yy,origins_2024plus,29,0,29,0.3426944220939714,0.43793911632122545,-0.005025390954047201
original_R16_calendar,FOOD_ECM_A002_R27,2,headline_yy,recent_targets,31,0,31,0.3375470569769293,0.4288301103627274,-0.0216631246202261
original_R16_calendar,FOOD_ECM_A002_R27,3,headline_yy,full,84,0,84,0.9595910339279451,1.4551538208279218,-0.3866144413915823
original_R16_calendar,FOOD_ECM_A002_R27,3,headline_yy,origins_2019_2021,32,0,32,0.8017726222109034,1.063166372572333,-0.49542560106473055
original_R16_calendar,FOOD_ECM_A002_R27,3,headline_yy,origins_2022_2023,24,0,24,1.8117882340186613,2.366214777318699,-0.6732663391132941
original_R16_calendar,FOOD_ECM_A002_R27,3,headline_yy,origins_2024plus,28,0,28,0.40950019009823546,0.5113720154244585,-0.016557203717945453
original_R16_calendar,FOOD_ECM_A002_R27,3,headline_yy,recent_targets,31,0,31,0.3970012057894683,0.49528341040288293,-0.034750228650702944
original_R16_calendar,FOOD_ECM_A002_R27,4,headline_yy,full,83,0,83,1.126240528275488,1.7049374522319531,-0.5432982761031663
original_R16_calendar,FOOD_ECM_A002_R27,4,headline_yy,origins_2019_2021,32,0,32,1.0842476264516083,1.5154559276528252,-0.8088319559944881
original_R16_calendar,FOOD_ECM_A002_R27,4,headline_yy,origins_2022_2023,24,0,24,2.071415217555756,2.6003300863132397,-0.7909251892630799
original_R16_calendar,FOOD_ECM_A002_R27,4,headline_yy,origins_2024plus,27,0,27,0.33585461403984807,0.45103837588251056,-0.008478880830565427
original_R16_calendar,FOOD_ECM_A002_R27,4,headline_yy,recent_targets,31,0,31,0.37020414973127735,0.4882435744948583,-0.016998885210243175
original_R16_calendar,FOOD_ECM_A002_R27,5,headline_yy,full,82,0,82,1.3085183325247587,1.979300900021797,-0.7079902972324401
original_R16_calendar,FOOD_ECM_A002_R27,5,headline_yy,origins_2019_2021,32,0,32,1.4624919146737865,2.0856298362034704,-1.1885636786874125
original_R16_calendar,FOOD_ECM_A002_R27,5,headline_yy,origins_2022_2023,24,0,24,2.1518621197578325,2.7132901068063777,-0.8283642405538295
original_R16_calendar,FOOD_ECM_A002_R27,5,headline_yy,origins_2024plus,26,0,26,0.3405411970492714,0.4542082462921044,-0.005400956991191346
original_R16_calendar,FOOD_ECM_A002_R27,5,headline_yy,recent_targets,31,0,31,0.411533804580991,0.5547247551059828,0.023904620739784797
original_R16_calendar,FOOD_ECM_A002_R27,6,headline_yy,full,81,0,81,1.4624951521113612,2.267035244965561,-0.8608492097192748
original_R16_calendar,FOOD_ECM_A002_R27,6,headline_yy,origins_2019_2021,32,0,32,1.9192162008607783,2.7530135315148674,-1.614947677977122
original_R16_calendar,FOOD_ECM_A002_R27,6,headline_yy,origins_2022_2023,24,0,24,2.0237283029664854,2.6450386709332854,-0.777056026401192
original_R16_calendar,FOOD_ECM_A002_R27,6,headline_yy,origins_2024plus,25,0,25,0.3391083848911889,0.48394921663718843,0.023955373665409577
original_R16_calendar,FOOD_ECM_A002_R27,6,headline_yy,recent_targets,31,0,31,0.4131381485735842,0.5731746112265621,0.08750711029101708
original_R16_calendar,FOOD_ECM_A002_R27,7,headline_yy,full,80,0,80,1.6745682101234916,2.616491108150185,-1.0176020824805234
original_R16_calendar,FOOD_ECM_A002_R27,7,headline_yy,origins_2019_2021,32,0,32,2.4010494808782523,3.4730870682495594,-2.0668333432692636
original_R16_calendar,FOOD_ECM_A002_R27,7,headline_yy,origins_2022_2023,24,0,24,1.9372498985205582,2.5362018730285913,-0.6892338577132602
original_R16_calendar,FOOD_ECM_A002_R27,7,headline_yy,origins_2024plus,24,0,24,0.44324482738674503,0.5519547787815421,0.053004707137199604
original_R16_calendar,FOOD_ECM_A002_R27,7,headline_yy,recent_targets,31,0,31,0.45878029638429757,0.5852489195207408,0.12563929828824383
original_R16_calendar,FOOD_ECM_A002_R27,8,headline_yy,full,79,0,79,1.9239389126968598,3.026359696005117,-1.1744777671296591
original_R16_calendar,FOOD_ECM_A002_R27,8,headline_yy,origins_2019_2021,32,0,32,2.92696556471095,4.180368574245615,-2.532201529022517
original_R16_calendar,FOOD_ECM_A002_R27,8,headline_yy,origins_2022_2023,24,0,24,1.980666046838652,2.5537625696253996,-0.5962254817631806
original_R16_calendar,FOOD_ECM_A002_R27,8,headline_yy,origins_2024plus,23,0,23,0.46923003948582126,0.5828380392888248,0.11113551686060141
original_R16_calendar,FOOD_ECM_A002_R27,8,headline_yy,recent_targets,31,0,31,0.5240038413902922,0.6257818372853311,0.19933682654537374
original_R16_calendar,FOOD_ECM_A002_R27,9,headline_yy,full,78,0,78,2.164568464320384,3.497821477473732,-1.336365608501742
original_R16_calendar,FOOD_ECM_A002_R27,9,headline_yy,origins_2019_2021,32,0,32,3.42230048633719,4.907020218632101,-3.012051614087735
original_R16_calendar,FOOD_ECM_A002_R27,9,headline_yy,origins_2022_2023,24,0,24,2.014645961595186,2.708432296345656,-0.45081143965793546
original_R16_calendar,FOOD_ECM_A002_R27,9,headline_yy,origins_2024plus,22,0,22,0.49869188981433604,0.5928838288092184,0.13493676088464038
original_R16_calendar,FOOD_ECM_A002_R27,9,headline_yy,recent_targets,31,0,31,0.6462890615776923,0.8683402432286698,0.3184415426922966
original_R16_calendar,FOOD_ECM_A002_R27,10,headline_yy,full,77,0,77,2.3871610174469398,3.9747562082491146,-1.5015564646359325
original_R16_calendar,FOOD_ECM_A002_R27,10,headline_yy,origins_2019_2021,32,0,32,3.781477612345717,5.510887047166435,-3.426051641993526
original_R16_calendar,FOOD_ECM_A002_R27,10,headline_yy,origins_2022_2023,24,0,24,2.1827609900453164,3.135001986277239,-0.3964196820768306
original_R16_calendar,FOOD_ECM_A002_R27,10,headline_yy,origins_2024plus,21,0,21,0.49608814225065856,0.6467928228315782,0.16799414936523588
original_R16_calendar,FOOD_ECM_A002_R27,10,headline_yy,recent_targets,31,0,31,0.7705614597567475,1.155083590952404,0.47260688209086327
original_R16_calendar,FOOD_ECM_A002_R27,11,headline_yy,full,76,0,76,2.643242032039489,4.429818700791968,-1.6802139152828584
original_R16_calendar,FOOD_ECM_A002_R27,11,headline_yy,origins_2019_2021,32,0,32,4.172959247924596,6.122216644287477,-3.880877017137813
original_R16_calendar,FOOD_ECM_A002_R27,11,headline_yy,origins_2022_2023,24,0,24,2.368640251044187,3.4349763007679073,-0.28679768293976377
original_R16_calendar,FOOD_ECM_A002_R27,11,headline_yy,origins_2024plus,20,0,20,0.5252166238176795,0.6627087562557944,0.16874756887335535
original_R16_calendar,FOOD_ECM_A002_R27,11,headline_yy,recent_targets,31,0,31,0.9020139886829566,1.3549052320610007,0.6136330719613391
original_R16_calendar,FOOD_ECM_A002_R27,12,headline_yy,full,75,0,75,2.8642202471979927,4.794701543659383,-1.8372320770415809
original_R16_calendar,FOOD_ECM_A002_R27,12,headline_yy,origins_2019_2021,32,0,32,4.52202362022545,6.630629950922084,-4.283453653013592
original_R16_calendar,FOOD_ECM_A002_R27,12,headline_yy,origins_2022_2023,24,0,24,2.48577272456908,3.588076646497676,-0.18384215128553047
original_R16_calendar,FOOD_ECM_A002_R27,12,headline_yy,origins_2024plus,19,0,19,0.5501693317356398,0.6615789317684441,0.19422751311416386
original_R16_calendar,FOOD_ECM_A002_R27,12,headline_yy,recent_targets,31,0,31,1.0234687158769629,1.5004620270537912,0.7542889006879201
original_R16_calendar,FOOD_ECM_A005_R27,1,headline_yy,full,88,0,88,0.503995543772639,0.8612048441886245,-0.12603999939699567
original_R16_calendar,FOOD_ECM_A005_R27,1,headline_yy,origins_2019_2021,34,0,34,0.36775692376667785,0.45300698315956095,-0.1267378180629376
original_R16_calendar,FOOD_ECM_A005_R27,1,headline_yy,origins_2022_2023,24,0,24,1.0191949672546496,1.5139673784537648,-0.28057621271518474
original_R16_calendar,FOOD_ECM_A005_R27,1,headline_yy,origins_2024plus,30,0,30,0.24623977432711958,0.3306376918476778,-0.0016201675877102713
original_R16_calendar,FOOD_ECM_A005_R27,1,headline_yy,recent_targets,31,0,31,0.24667549738207326,0.32858970888407424,-0.009946845698773939
original_R16_calendar,FOOD_ECM_A005_R27,2,headline_yy,full,86,0,86,0.7617940232393124,1.2292913276736024,-0.23538298916335562
original_R16_calendar,FOOD_ECM_A005_R27,2,headline_yy,origins_2019_2021,33,0,33,0.5221998280793749,0.6437901533424689,-0.2372900341567682
original_R16_calendar,FOOD_ECM_A005_R27,2,headline_yy,origins_2022_2023,24,0,24,1.6008988385085499,2.148133071856068,-0.5143752244004908
original_R16_calendar,FOOD_ECM_A005_R27,2,headline_yy,origins_2024plus,29,0,29,0.340004122336424,0.43686696770798805,-0.002322777767705493
original_R16_calendar,FOOD_ECM_A005_R27,2,headline_yy,recent_targets,31,0,31,0.33583421201897884,0.42830659007237526,-0.01993876064824216
original_R16_calendar,FOOD_ECM_A005_R27,3,headline_yy,full,84,0,84,0.9568798541633043,1.4533566646765184,-0.3913088163984638
original_R16_calendar,FOOD_ECM_A005_R27,3,headline_yy,origins_2019_2021,32,0,32,0.7991571020755881,1.0588721733941846,-0.5010490716371717
original_R16_calendar,FOOD_ECM_A005_R27,3,headline_yy,origins_2022_2023,24,0,24,1.8083893789219028,2.3653414421905117,-0.6863748304572992
original_R16_calendar,FOOD_ECM_A005_R27,3,headline_yy,origins_2024plus,28,0,28,0.40726912104189567,0.5096825937190439,-0.01297765550379641
original_R16_calendar,FOOD_ECM_A005_R27,3,headline_yy,recent_targets,31,0,31,0.39566549353450226,0.49446075068163764,-0.03315345339495902
original_R16_calendar,FOOD_ECM_A005_R27,4,headline_yy,full,83,0,83,1.1226301181087948,1.702359233897011,-0.549531157854112
original_R16_calendar,FOOD_ECM_A005_R27,4,headline_yy,origins_2019_2021,32,0,32,1.0825593650472798,1.5103185523466125,-0.8160436699062216
original_R16_calendar,FOOD_ECM_A005_R27,4,headline_yy,origins_2022_2023,24,0,24,2.063133788479943,2.599136821793405,-0.8076176391854636
original_R16_calendar,FOOD_ECM_A005_R27,4,headline_yy,origins_2024plus,27,0,27,0.3341181184443841,0.44762568666594166,-0.00425427127559521
original_R16_calendar,FOOD_ECM_A005_R27,4,headline_yy,recent_targets,31,0,31,0.36892427037417863,0.4861557706410839,-0.01606508828620993
original_R16_calendar,FOOD_ECM_A005_R27,5,headline_yy,full,82,0,82,1.3042806950352919,1.9751595812276417,-0.7155060370614227
original_R16_calendar,FOOD_ECM_A005_R27,5,headline_yy,origins_2019_2021,32,0,32,1.4604458201057908,2.0787928230152306,-1.1972462484181798
original_R16_calendar,FOOD_ECM_A005_R27,5,headline_yy,origins_2022_2023,24,0,24,2.146856181987403,2.7108697089672646,-0.848295390501924
original_R16_calendar,FOOD_ECM_A005_R27,5,headline_yy,origins_2024plus,26,0,26,0.3343154762234971,0.44924052660361763,-2.0219908028533512e-05
original_R16_calendar,FOOD_ECM_A005_R27,5,headline_yy,recent_targets,31,0,31,0.407142692676307,0.5502366205266164,0.02417310601561492
original_R16_calendar,FOOD_ECM_A005_R27,6,headline_yy,full,81,0,81,1.4550815213930428,2.2602839671491197,-0.8694038479841374
original_R16_calendar,FOOD_ECM_A005_R27,6,headline_yy,origins_2019_2021,32,0,32,1.9132903097186418,2.743875509821542,-1.6249842281068747
original_R16_calendar,FOOD_ECM_A005_R27,6,headline_yy,origins_2022_2023,24,0,24,2.016414412171295,2.6396731852126223,-0.7999852041405022
original_R16_calendar,FOOD_ECM_A005_R27,6,headline_yy,origins_2024plus,25,0,25,0.3296946971891546,0.4761215795142066,0.031097140483076144
original_R16_calendar,FOOD_ECM_A005_R27,6,headline_yy,recent_targets,31,0,31,0.4042655654745916,0.5641663645390195,0.08718661197900715
original_R16_calendar,FOOD_ECM_A005_R27,7,headline_yy,full,80,0,80,1.6677564431876242,2.6079432156841924,-1.0263915884314743
original_R16_calendar,FOOD_ECM_A005_R27,7,headline_yy,origins_2019_2021,32,0,32,2.39370888545936,3.463689491948017,-2.0768752384792393
original_R16_calendar,FOOD_ECM_A005_R27,7,headline_yy,origins_2022_2023,24,0,24,1.9277007136884865,2.525636780879887,-0.7120412752716435
original_R16_calendar,FOOD_ECM_A005_R27,7,headline_yy,origins_2024plus,24,0,24,0.43987558299111384,0.5442349765213792,0.05990296513904772
original_R16_calendar,FOOD_ECM_A005_R27,7,headline_yy,recent_targets,31,0,31,0.4547312464423527,0.5748301013156024,0.12366039863889754
original_R16_calendar,FOOD_ECM_A005_R27,8,headline_yy,full,79,0,79,1.9162546038019619,3.0171982979204524,-1.1832122475865383
original_R16_calendar,FOOD_ECM_A005_R27,8,headline_yy,origins_2019_2021,32,0,32,2.9207730740190527,4.171692617116518,-2.5422453601733928
original_R16_calendar,FOOD_ECM_A005_R27,8,headline_yy,origins_2022_2023,24,0,24,1.9672901045772837,2.5381686972564936,-0.6189958586689515
original_R16_calendar,FOOD_ECM_A005_R27,8,headline_yy,origins_2024plus,23,0,23,0.4654092531256732,0.5772323229380995,0.11886889453334298
original_R16_calendar,FOOD_ECM_A005_R27,8,headline_yy,recent_targets,31,0,31,0.5172184782315838,0.616424032325485,0.19696632783468535
original_R16_calendar,FOOD_ECM_A005_R27,9,headline_yy,full,78,0,78,2.156437320279886,3.4886570943942004,-1.3449086229453184
original_R16_calendar,FOOD_ECM_A005_R27,9,headline_yy,origins_2019_2021,32,0,32,3.4163545359729093,4.8989017105678085,-3.0221035171664163
original_R16_calendar,FOOD_ECM_A005_R27,9,headline_yy,origins_2022_2023,24,0,24,1.9995921990812973,2.6907148893393975,-0.4735225082292569
original_R16_calendar,FOOD_ECM_A005_R27,9,headline_yy,origins_2024plus,22,0,22,0.49493422967031003,0.5870757782117688,0.14404455259512086
original_R16_calendar,FOOD_ECM_A005_R27,9,headline_yy,recent_targets,31,0,31,0.6379279446129084,0.8554203407679619,0.31504992714704483
original_R16_calendar,FOOD_ECM_A005_R27,10,headline_yy,full,77,0,77,2.381281973727246,3.9662195841796537,-1.5100669981101413
original_R16_calendar,FOOD_ECM_A005_R27,10,headline_yy,origins_2019_2021,32,0,32,3.7780652594063833,5.504083291784177,-3.436112310865178
original_R16_calendar,FOOD_ECM_A005_R27,10,headline_yy,origins_2022_2023,24,0,24,2.1712228200555055,3.117189165339813,-0.4190948909076395
original_R16_calendar,FOOD_ECM_A005_R27,10,headline_yy,origins_2024plus,21,0,21,0.49291790450769307,0.6412947673638703,0.17803392738038898
original_R16_calendar,FOOD_ECM_A005_R27,10,headline_yy,recent_targets,31,0,31,0.7636196320328859,1.1396881632998137,0.4679558836611328
original_R16_calendar,FOOD_ECM_A005_R27,11,headline_yy,full,76,0,76,2.6357660886758425,4.422255013556163,-1.6885321707299894
original_R16_calendar,FOOD_ECM_A005_R27,11,headline_yy,origins_2019_2021,32,0,32,4.169567885553523,6.1168331445881945,-3.890935753315171
original_R16_calendar,FOOD_ECM_A005_R27,11,headline_yy,origins_2022_2023,24,0,24,2.34913038118907,3.4177991170605506,-0.3094214864930948
original_R16_calendar,FOOD_ECM_A005_R27,11,headline_yy,origins_2024plus,20,0,20,0.5256460626556794,0.6568351568223151,0.18038074032202528
original_R16_calendar,FOOD_ECM_A005_R27,11,headline_yy,recent_targets,31,0,31,0.8929926314897889,1.335267735772264,0.6076563981574523
original_R16_calendar,FOOD_ECM_A005_R27,12,headline_yy,full,75,0,75,2.8535781322861697,4.787302813265887,-1.8455046649039677
original_R16_calendar,FOOD_ECM_A005_R27,12,headline_yy,origins_2019_2021,32,0,32,4.515327423913742,6.625890138786351,-4.2935368926984445
original_R16_calendar,FOOD_ECM_A005_R27,12,headline_yy,origins_2022_2023,24,0,24,2.46352964528903,3.5691988586008767,-0.20646244889321488
original_R16_calendar,FOOD_ECM_A005_R27,12,headline_yy,origins_2024plus,19,0,19,0.5475353089098035,0.6590400087102185,0.20712786694682986
original_R16_calendar,FOOD_ECM_A005_R27,12,headline_yy,recent_targets,31,0,31,1.0127038294562474,1.4796300895134873,0.7471348766238609
original_R16_calendar,FOOD_ECM_A010_R27,1,headline_yy,full,88,0,88,0.5025887917620255,0.8611259088602391,-0.12825329748968217
original_R16_calendar,FOOD_ECM_A010_R27,1,headline_yy,origins_2019_2021,34,0,34,0.3671465428027954,0.452797005990828,-0.12934185512273724
original_R16_calendar,FOOD_ECM_A010_R27,1,headline_yy,origins_2022_2023,24,0,24,1.0159448090951464,1.514087138228274,-0.28789001323638047
