sample,model,n,actual_events,calls,hits,misses,false_calls,recall,precision
full,ADMIN_F000_R28,81,37,8,1,36,7,0.02702702702702703,0.125
full,ADMIN_F025_R28,81,37,8,1,36,7,0.02702702702702703,0.125
full,ADMIN_F050_R28,81,37,8,1,36,7,0.02702702702702703,0.125
full,ADMIN_F075_R28,81,37,8,1,36,7,0.02702702702702703,0.125
full,ADMIN_HALF_R28,81,37,8,1,36,7,0.02702702702702703,0.125
full,ADMIN_JAN_ONLY_R28,81,37,8,1,36,7,0.02702702702702703,0.125
full,ADMIN_RECENT_R28,81,37,8,1,36,7,0.02702702702702703,0.125
full,ADMIN_ZERO_R28,81,37,8,1,36,7,0.02702702702702703,0.125
full,FOOD_ECM_R27,81,37,8,1,36,7,0.02702702702702703,0.125
full,STATE_FAST_R15,81,37,8,1,36,7,0.02702702702702703,0.125
origins_2019_2021,ADMIN_F000_R28,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,ADMIN_F025_R28,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,ADMIN_F050_R28,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,ADMIN_F075_R28,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,ADMIN_HALF_R28,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,ADMIN_JAN_ONLY_R28,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,ADMIN_RECENT_R28,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,ADMIN_ZERO_R28,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,FOOD_ECM_R27,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,STATE_FAST_R15,35,13,5,0,13,5,0.0,0.0
origins_2022_2023,ADMIN_F000_R28,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,ADMIN_F025_R28,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,ADMIN_F050_R28,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,ADMIN_F075_R28,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,ADMIN_HALF_R28,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,ADMIN_JAN_ONLY_R28,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,ADMIN_RECENT_R28,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,ADMIN_ZERO_R28,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,FOOD_ECM_R27,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,STATE_FAST_R15,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2024plus,ADMIN_F000_R28,22,9,0,0,9,0,0.0,
origins_2024plus,ADMIN_F025_R28,22,9,0,0,9,0,0.0,
origins_2024plus,ADMIN_F050_R28,22,9,0,0,9,0,0.0,
origins_2024plus,ADMIN_F075_R28,22,9,0,0,9,0,0.0,
origins_2024plus,ADMIN_HALF_R28,22,9,0,0,9,0,0.0,
origins_2024plus,ADMIN_JAN_ONLY_R28,22,9,0,0,9,0,0.0,
origins_2024plus,ADMIN_RECENT_R28,22,9,0,0,9,0,0.0,
origins_2024plus,ADMIN_ZERO_R28,22,9,0,0,9,0,0.0,
origins_2024plus,FOOD_ECM_R27,22,9,0,0,9,0,0.0,
origins_2024plus,STATE_FAST_R15,22,9,0,0,9,0,0.0,
recent_targets,ADMIN_F000_R28,31,14,2,0,14,2,0.0,0.0
recent_targets,ADMIN_F025_R28,31,14,2,0,14,2,0.0,0.0
recent_targets,ADMIN_F050_R28,31,14,2,0,14,2,0.0,0.0
recent_targets,ADMIN_F075_R28,31,14,2,0,14,2,0.0,0.0
recent_targets,ADMIN_HALF_R28,31,14,2,0,14,2,0.0,0.0
recent_targets,ADMIN_JAN_ONLY_R28,31,14,2,0,14,2,0.0,0.0
recent_targets,ADMIN_RECENT_R28,31,14,2,0,14,2,0.0,0.0
recent_targets,ADMIN_ZERO_R28,31,14,2,0,14,2,0.0,0.0
recent_targets,FOOD_ECM_R27,31,14,2,0,14,2,0.0,0.0
recent_targets,STATE_FAST_R15,31,14,2,0,14,2,0.0,0.0
