scope,sample,metric,h,model,n,mae,rmse,bias
all_models_common,full,headline_yy,1,STATE_FAST_R15,89,0.5011490271524494,0.8566907198286517,-0.10481303955374352
all_models_common,full,headline_yy,1,FOOD_ECM_R27,89,0.49675020879758863,0.8565102446542125,-0.1309219798852195
all_models_common,full,headline_yy,1,CORE_PHASE_TARGET_R29,89,0.5150249977084389,0.8927598492348219,-0.2132914053891729
all_models_common,full,headline_yy,1,CORE_PHASE_OWN_R29,89,0.519529981784866,0.8986099313116448,-0.2300425017126815
all_models_common,full,headline_yy,1,CORE_SINGLE_TARGET_R29,89,0.514692452535772,0.8924967911808703,-0.21182732208955163
all_models_common,full,headline_yy,1,CORE_PHASE_FIXED040_R29,89,0.5064172300872023,0.8809020704504505,-0.1725130786288911
all_models_common,full,headline_yy,1,CORE_PHASE_FIXED060_R29,89,0.5032012884841964,0.8717097900407615,-0.1586653835788238
all_models_common,full,headline_yy,1,CORE_PHASE_FIXED080_R29,89,0.4999789516130355,0.8635675153946242,-0.14480169162818882
all_models_common,origins_2019_2021,headline_yy,1,STATE_FAST_R15,35,0.3599172069594031,0.4482062213331993,-0.12292045603346083
all_models_common,origins_2019_2021,headline_yy,1,FOOD_ECM_R27,35,0.3586028401300084,0.4466211420824185,-0.12916235822292269
all_models_common,origins_2019_2021,headline_yy,1,CORE_PHASE_TARGET_R29,35,0.34929484534414446,0.454393418358307,-0.19021806792503876
all_models_common,origins_2019_2021,headline_yy,1,CORE_PHASE_OWN_R29,35,0.3545561876402867,0.46558448958618837,-0.215991714466252
all_models_common,origins_2019_2021,headline_yy,1,CORE_SINGLE_TARGET_R29,35,0.34812218907647435,0.4518356945061198,-0.18781767658099277
all_models_common,origins_2019_2021,headline_yy,1,CORE_PHASE_FIXED040_R29,35,0.35034503137217193,0.4404682380433862,-0.14382198609676514
all_models_common,origins_2019_2021,headline_yy,1,CORE_PHASE_FIXED060_R29,35,0.35309622683625547,0.4422395909314825,-0.13893777921077008
all_models_common,origins_2019_2021,headline_yy,1,CORE_PHASE_FIXED080_R29,35,0.3558488294666263,0.4442916924794325,-0.1340512370182983
all_models_common,origins_2022_2023,headline_yy,1,STATE_FAST_R15,24,1.026947126068153,1.5134867436221016,-0.24185296061662945
all_models_common,origins_2022_2023,headline_yy,1,FOOD_ECM_R27,24,1.0130593612833232,1.5146839570802892,-0.3046436348514457
all_models_common,origins_2022_2023,headline_yy,1,CORE_PHASE_TARGET_R29,24,1.099251883158865,1.5883885994542024,-0.5041215533586042
all_models_common,origins_2022_2023,headline_yy,1,CORE_PHASE_OWN_R29,24,1.1070250629307747,1.5955678695895399,-0.5228084548615695
all_models_common,origins_2022_2023,headline_yy,1,CORE_SINGLE_TARGET_R29,24,1.0999731465415967,1.5889543521452867,-0.5020334144807512
all_models_common,origins_2022_2023,headline_yy,1,CORE_PHASE_FIXED040_R29,24,1.0597375124909947,1.5680657966014269,-0.42936504978218465
all_models_common,origins_2022_2023,headline_yy,1,CORE_PHASE_FIXED060_R29,24,1.0442037626664045,1.5482344839595856,-0.38784682571911305
all_models_common,origins_2022_2023,headline_yy,1,CORE_PHASE_FIXED080_R29,24,1.0286443925366948,1.530413422913235,-0.34627304838927264
all_models_common,origins_2024plus,headline_yy,1,STATE_FAST_R15,30,0.24528100491177385,0.3322785235245191,0.025944216522902026
all_models_common,origins_2024plus,headline_yy,1,FOOD_ECM_R27,30,0.24487481692117782,0.32900794382959225,0.006002452148415179
all_models_common,origins_2024plus,headline_yy,1,CORE_PHASE_TARGET_R29,30,0.24099533377310803,0.324383760713112,-0.007546180721784487
all_models_common,origins_2024plus,headline_yy,1,CORE_PHASE_OWN_R29,30,0.2420033433701476,0.3256013432513047,-0.012222324314405656
all_models_common,origins_2024plus,headline_yy,1,CORE_SINGLE_TARGET_R29,30,0.2407998713669598,0.32418779362105515,-0.007673701269910597
all_models_common,origins_2024plus,headline_yy,1,CORE_PHASE_FIXED040_R29,30,0.24584523599837033,0.32967737323729357,-0.0005044429937364573
all_models_common,origins_2024plus,headline_yy,1,CORE_PHASE_FIXED060_R29,30,0.2455218810610279,0.3294066837227587,0.0016642317040115836
all_models_common,origins_2024plus,headline_yy,1,CORE_PHASE_FIXED080_R29,30,0.24519840804491883,0.3291835006689884,0.00383319673580594
all_models_common,recent_targets,headline_yy,1,STATE_FAST_R15,31,0.24438850210608357,0.32920363908223343,0.01808751863715119
all_models_common,recent_targets,headline_yy,1,FOOD_ECM_R27,31,0.24624362059174154,0.32774560085206134,-0.003459166653425727
all_models_common,recent_targets,headline_yy,1,CORE_PHASE_TARGET_R29,31,0.2433144460133278,0.3240192900516577,-0.01739591080236954
all_models_common,recent_targets,headline_yy,1,CORE_PHASE_OWN_R29,31,0.2446738200930739,0.3255751420061248,-0.022305091974613944
all_models_common,recent_targets,headline_yy,1,CORE_SINGLE_TARGET_R29,31,0.24315468309317007,0.3238578740583754,-0.01754871203150953
all_models_common,recent_targets,headline_yy,1,CORE_PHASE_FIXED040_R29,31,0.24718273582773428,0.3283959473279567,-0.009756161952282148
all_models_common,recent_targets,headline_yy,1,CORE_PHASE_FIXED060_R29,31,0.24686981169482228,0.3281329702226712,-0.007657444502848561
all_models_common,recent_targets,headline_yy,1,CORE_PHASE_FIXED080_R29,31,0.24655677329213604,0.32791615005657204,-0.005558446084983054
all_models_common,full,headline_yy,2,STATE_FAST_R15,88,0.7603368917752686,1.217187021366621,-0.19103602987015345
all_models_common,full,headline_yy,2,FOOD_ECM_R27,88,0.7433520335480197,1.2154798390623895,-0.2412222739026755
all_models_common,full,headline_yy,2,CORE_PHASE_TARGET_R29,88,0.7888135215420923,1.3151418276391604,-0.4071598919079717
all_models_common,full,headline_yy,2,CORE_PHASE_OWN_R29,88,0.8022882831940418,1.3299097962771094,-0.44099176184640093
all_models_common,full,headline_yy,2,CORE_SINGLE_TARGET_R29,88,0.7869905834674966,1.3139964488480411,-0.40418507299486256
all_models_common,full,headline_yy,2,CORE_PHASE_FIXED040_R29,88,0.7545475668459385,1.2948124983037306,-0.32487280402038743
all_models_common,full,headline_yy,2,CORE_PHASE_FIXED060_R29,88,0.7508311830972858,1.2658266366367352,-0.2970393289569269
all_models_common,full,headline_yy,2,CORE_PHASE_FIXED080_R29,88,0.7470993551382915,1.239320976815409,-0.269155859912492
all_models_common,origins_2019_2021,headline_yy,2,STATE_FAST_R15,35,0.5130075810160615,0.6349893104971854,-0.22450237893312971
all_models_common,origins_2019_2021,headline_yy,2,FOOD_ECM_R27,35,0.5078659979723038,0.6244178104936545,-0.23428084994017065
all_models_common,origins_2019_2021,headline_yy,2,CORE_PHASE_TARGET_R29,35,0.5484281244466473,0.6720315426143335,-0.3571704023421576
all_models_common,origins_2019_2021,headline_yy,2,CORE_PHASE_OWN_R29,35,0.5738898373296564,0.7003207080983922,-0.40874369568851454
all_models_common,origins_2019_2021,headline_yy,2,CORE_SINGLE_TARGET_R29,35,0.5422251601010651,0.6634066508550173,-0.3523072251904849
all_models_common,origins_2019_2021,headline_yy,2,CORE_PHASE_FIXED040_R29,35,0.49479753449426167,0.6094047617450855,-0.2635710738136994
all_models_common,origins_2019_2021,headline_yy,2,CORE_PHASE_FIXED060_R29,35,0.4991497529389403,0.6136172240861835,-0.2538147925037542
all_models_common,origins_2019_2021,headline_yy,2,CORE_PHASE_FIXED080_R29,35,0.5035059060100022,0.6186272931507935,-0.24405138675576513
all_models_common,origins_2022_2023,headline_yy,2,STATE_FAST_R15,24,1.6097408718252677,2.146741256540869,-0.43800256403830556
all_models_common,origins_2022_2023,headline_yy,2,FOOD_ECM_R27,24,1.5868775982028198,2.1493926102861107,-0.5543561857965374
all_models_common,origins_2022_2023,headline_yy,2,CORE_PHASE_TARGET_R29,24,1.7082079801311403,2.338949505922549,-0.9516834975495435
all_models_common,origins_2022_2023,headline_yy,2,CORE_PHASE_OWN_R29,24,1.7167951574328175,2.3568290410561445,-0.9888081870692854
all_models_common,origins_2022_2023,headline_yy,2,CORE_SINGLE_TARGET_R29,24,1.7109283163121798,2.340309494327463,-0.9476214702193467
all_models_common,origins_2022_2023,headline_yy,2,CORE_PHASE_FIXED040_R29,24,1.647486149848893,2.3187511774413796,-0.8021085878209014
all_models_common,origins_2022_2023,headline_yy,2,CORE_PHASE_FIXED060_R29,24,1.6273457688997224,2.257713563767928,-0.7196964137409813
all_models_common,origins_2022_2023,headline_yy,2,CORE_PHASE_FIXED080_R29,24,1.6071429808348723,2.2011285332268136,-0.6371124267238202
all_models_common,origins_2024plus,headline_yy,2,STATE_FAST_R15,29,0.3558827660984506,0.44176531303019445,0.053740488655357584
all_models_common,origins_2024plus,headline_yy,2,FOOD_ECM_R27,29,0.32946919539060104,0.4349667739545149,0.009545451847842397
all_models_common,origins_2024plus,headline_yy,2,CORE_PHASE_TARGET_R29,29,0.3180556557560035,0.41941122809880654,-0.016851809128860244
all_models_common,origins_2024plus,headline_yy,2,CORE_PHASE_OWN_R29,29,0.32110830469483,0.42202028229986155,-0.026546524266290363
all_models_common,origins_2024plus,headline_yy,2,CORE_SINGLE_TARGET_R29,29,0.3177590051762107,0.41881065558881525,-0.017055801952296726
all_models_common,origins_2024plus,headline_yy,2,CORE_PHASE_FIXED040_R29,29,0.3290553303024134,0.43544679514335627,-0.0039038987107923116
all_models_common,origins_2024plus,headline_yy,2,CORE_PHASE_FIXED060_R29,29,0.3291932519346521,0.43513756167464884,0.0005783006622545395
all_models_common,origins_2024plus,headline_yy,2,CORE_PHASE_FIXED080_R29,29,0.32933120695802226,0.4349774629770463,0.005061417431867698
all_models_common,recent_targets,headline_yy,2,STATE_FAST_R15,31,0.34515682036874784,0.4300071358559845,0.03803912762675011
all_models_common,recent_targets,headline_yy,2,FOOD_ECM_R27,31,0.32949227952154947,0.4289652297863559,-0.012349545008166884
all_models_common,recent_targets,headline_yy,2,CORE_PHASE_TARGET_R29,31,0.3213238832728922,0.41635421014347584,-0.03955254287975817
all_models_common,recent_targets,headline_yy,2,CORE_PHASE_OWN_R29,31,0.325716446167727,0.4202074817956858,-0.050158651573286646
all_models_common,recent_targets,headline_yy,2,CORE_SINGLE_TARGET_R29,31,0.3211312265048387,0.415865148811646,-0.039828229940532145
all_models_common,recent_targets,headline_yy,2,CORE_PHASE_FIXED040_R29,31,0.3291051154067933,0.42942057401715594,-0.024931195530760644
all_models_common,recent_targets,headline_yy,2,CORE_PHASE_FIXED060_R29,31,0.32923413886921016,0.4291272354469482,-0.02073817031081359
all_models_common,recent_targets,headline_yy,2,CORE_PHASE_FIXED080_R29,31,0.3293631935684919,0.42897536909847783,-0.016544286881175475
all_models_common,full,headline_yy,3,STATE_FAST_R15,87,0.9460631777789728,1.4345232040002716,-0.3274110406694574
all_models_common,full,headline_yy,3,FOOD_ECM_R27,87,0.9195635583478471,1.4234715406994227,-0.40009048949875314
all_models_common,full,headline_yy,3,CORE_PHASE_TARGET_R29,87,1.00469341090819,1.63644580491994,-0.6531695949908584
all_models_common,full,headline_yy,3,CORE_PHASE_OWN_R29,87,1.02959897562526,1.6654453157963218,-0.7050163668584399
all_models_common,full,headline_yy,3,CORE_SINGLE_TARGET_R29,87,0.9991756641787701,1.630781101964294,-0.648431382574218
all_models_common,full,headline_yy,3,CORE_PHASE_FIXED040_R29,87,0.9633050992680807,1.5878636597558309,-0.526259266498558
all_models_common,full,headline_yy,3,CORE_PHASE_FIXED060_R29,87,0.9484646841350947,1.529375583588836,-0.4843051187163051
all_models_common,full,headline_yy,3,CORE_PHASE_FIXED080_R29,87,0.9335611421833175,1.474422807769945,-0.4422489740093242
all_models_common,origins_2019_2021,headline_yy,3,STATE_FAST_R15,35,0.7621998352212583,1.030436517064619,-0.4787306001310118
all_models_common,origins_2019_2021,headline_yy,3,FOOD_ECM_R27,35,0.7339041790068578,0.9999854208586545,-0.49012998352691567
all_models_common,origins_2019_2021,headline_yy,3,CORE_PHASE_TARGET_R29,35,0.84150168294332,1.1729079284806778,-0.6746050336215997
all_models_common,origins_2019_2021,headline_yy,3,CORE_PHASE_OWN_R29,35,0.8901119964508251,1.2188199733025702,-0.752626657300833
all_models_common,origins_2019_2021,headline_yy,3,CORE_SINGLE_TARGET_R29,35,0.8308477311375994,1.1572684143231042,-0.668354815444764
all_models_common,origins_2019_2021,headline_yy,3,CORE_PHASE_FIXED040_R29,35,0.7227158614524454,0.9877868094835353,-0.5338776389299325
all_models_common,origins_2019_2021,headline_yy,3,CORE_PHASE_FIXED060_R29,35,0.7264391875704151,0.9907287636176582,-0.5193092563818662
all_models_common,origins_2019_2021,headline_yy,3,CORE_PHASE_FIXED080_R29,35,0.730168623362303,0.9947983031994121,-0.5047267104850659
all_models_common,origins_2022_2023,headline_yy,3,STATE_FAST_R15,24,1.820949214884264,2.366114520586023,-0.5732818758347794
all_models_common,origins_2022_2023,headline_yy,3,FOOD_ECM_R27,24,1.795376111138822,2.363650951412313,-0.7364673421675749
all_models_common,origins_2022_2023,headline_yy,3,CORE_PHASE_TARGET_R29,24,1.9688858702584717,2.7244189455245786,-1.340189654911982
all_models_common,origins_2022_2023,headline_yy,3,CORE_PHASE_OWN_R29,24,1.984946399645186,2.7576611093578824,-1.3965321352996753
all_models_common,origins_2022_2023,headline_yy,3,CORE_SINGLE_TARGET_R29,24,1.9646555826878849,2.722033474790207,-1.3317883822755505
