model,clock,report_date,threshold,quarter,origin,deviation,model_error,approx_error,dominant_block,h0,core,food,fuel,administered,alcohol_tobacco,wedge,outcome
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2022-02-10,0.3,2022Q3,2021-12,3.51631881689568,-5.891304365176945,-5.196566991673469,food,0.3500635465416196,-0.9512003573354635,-2.5930783448840917,-0.7734503649143951,-0.8600181805013446,-0.06491116595634547,-0.30397212462344964,gain
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2022-02-10,0.3,2022Q4,2021-12,4.803412248806921,-4.268166863343287,-3.8282262547282704,food,0.23337569769441305,-0.7321498776013137,-3.3213637319578395,-0.5765163258534753,0.538515440851096,-0.12535407988910804,0.15526662202795732,gain
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2022-05-12,0.3,2022Q4,2022-03,-0.5572690359135279,-3.506418958063737,-3.142724796274502,food,-0.6899535791872943,-0.7806165375666868,-2.5452035343495667,0.30325098850772825,0.2299926915355274,-0.01064722683610949,0.3504524016218989,loss
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2022-05-12,0.3,2023Q1,2022-03,0.6153670255341179,-7.920905525187456,-7.272008510629898,administered,-0.4599690527915296,-0.107417331456802,-3.021371542768739,0.5924818769108037,-4.222665816592288,-0.11646911796329189,0.06340247403194996,gain
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2022-08-11,0.3,2023Q1,2022-06,-1.7695189546866565,-1.994702215408232,-1.8990078811212836,administered,-0.1868747469821359,1.8146282987688556,-0.7620832506725469,0.768750947574147,-3.5954051936986047,-0.17110531134067342,0.23308137522967465,loss
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2022-11-10,0.3,2023Q3,2022-09,1.7082829722257742,0.6124564410492699,0.4036758793911378,core,-0.42565986465828143,3.9266461240086508,-0.6737648916807707,0.11385079407255118,-2.7744532440892438,-0.158216645094423,0.39527360683265494,gain
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2023-02-09,0.3,2023Q3,2022-12,-4.026901726934706,-4.29980403811121,-4.228447345922852,administered,0.0474750657227316,0.38793770607906053,0.05260972176355392,-0.11152421658387761,-4.725684036276577,-0.1654277910999381,0.2861662044721939,loss
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2023-02-09,0.3,2023Q4,2022-12,-3.2866975837311667,-3.2274627857178393,-3.2155296788572114,administered,0.0316500438151544,0.8730309727128432,0.374359354204392,-0.1266012718100268,-4.518075731552731,-0.11221993261880535,0.26232688639196194,loss
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2023-05-11,0.3,2023Q4,2023-03,1.0498654469193163,1.8188434849326427,1.676357858718615,food,0.15685653142796782,0.7038378867360512,0.7598958956648804,-0.16539462036844862,0.14878396987306222,0.032418118356993146,0.039960077028108915,loss
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2023-05-11,0.3,2024Q1,2023-03,1.2600721592090807,1.676361155306727,1.6216659963873659,food,0.10457102095197855,1.0440447895242577,1.4379229423787627,-0.12193920205538233,-0.7086151785479743,0.04234764302554541,-0.17666601888982178,loss
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2023-08-10,0.3,2024Q1,2023-06,-0.864705362640551,-0.4016836265429047,-0.4045311768772024,administered,-0.30370930849314093,0.18010103787007734,0.6337085041076933,-0.17585997905717177,-0.595170583636667,-0.00026027772750809863,-0.14334056994048536,immaterial
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2023-08-10,0.3,2024Q2,2023-06,-0.368922273753431,-0.4828450301370468,-0.4834891712540963,administered,-0.20247287232876063,0.33995928047273166,0.5467949081950382,-0.2647055509899643,-0.6481306779433195,-0.0758331437098302,-0.17910111494999162,loss
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2024-02-15,0.3,2024Q3,2023-12,-0.7268338587777687,-0.7854737454592831,-0.7822451331795204,administered,0.2717880584943021,0.08366893250024936,-0.056431044505159504,-0.06197790275411089,-0.754472883247146,-0.0618271542334329,-0.2029931394342226,loss
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2024-02-15,0.3,2024Q4,2023-12,-0.6625681496362348,-0.8302121336390194,-0.821871335842911,administered,0.1811920389962014,0.20408570246489224,-0.17135578825927889,0.05384700629937953,-0.7746594486851969,-0.03020754933116085,-0.28477329732774764,loss
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2024-05-09,0.3,2024Q4,2024-03,0.4675567676630821,0.09908043366029728,0.09268695980100805,fuel,0.04512442935453201,0.19132001958181188,-0.3494596423658311,0.3273555908840744,0.04290052716925064,-0.026204538916516768,-0.13834942590631302,gain
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2024-05-09,0.3,2025Q1,2024-03,0.3216875037485041,-0.058056682091448764,-0.06384900280806605,food,0.030082952903021338,0.12134795130801697,-0.43201857551673256,0.2699407454025231,0.10851309813398695,-0.0424173023953689,-0.11929787264351292,gain
CORE_LEVELPHASE_FIXED040_R29B,cutoff,2025-08-14,0.3,2026Q1,2025-06,-0.37471906766454,0.5623347558960214,0.5499730229046584,administered,-0.04402554669333,-0.16495976331230996,0.4345826560489026,-0.09058592462305981,0.49132427278624347,-0.006757696641926159,-0.06960497465986165,gain
CORE_LEVELPHASE_FIXED040_R29B,report,2022-02-10,0.3,2022Q3,2021-12,3.51631881689568,-5.891304365176945,-5.196566991673469,food,0.3500635465416196,-0.9512003573354635,-2.5930783448840917,-0.7734503649143951,-0.8600181805013446,-0.06491116595634547,-0.30397212462344964,gain
CORE_LEVELPHASE_FIXED040_R29B,report,2022-02-10,0.3,2022Q4,2021-12,4.803412248806921,-4.268166863343287,-3.8282262547282704,food,0.23337569769441305,-0.7321498776013137,-3.3213637319578395,-0.5765163258534753,0.538515440851096,-0.12535407988910804,0.15526662202795732,gain
CORE_LEVELPHASE_FIXED040_R29B,report,2022-05-12,0.3,2023Q1,2022-04,1.4768807005333802,-7.059391850188193,-6.47453560026443,administered,-1.050814865754615,0.18557009294068616,-2.192375488186304,0.46844203373235443,-3.7810798488440747,-0.23426814087111691,0.12999061671864062,gain
CORE_LEVELPHASE_FIXED040_R29B,report,2022-08-11,0.3,2023Q1,2022-07,-1.5194499596110287,-1.744633220332604,-1.6761378949226773,administered,0.06850695694892073,2.0437237158062422,-0.9857148978136413,0.5719116211314016,-3.4587465126455954,-0.21866181747198943,0.3028430391219845,loss
CORE_LEVELPHASE_FIXED040_R29B,report,2022-11-10,0.3,2023Q2,2022-10,1.1776531568909956,0.2113608233616553,0.030662051594496503,h0,2.6169909326268606,2.5495856167735886,-0.396455959816107,0.6481812861393051,-5.244644390647905,-0.044061714829021735,-0.09893371865222439,gain
CORE_LEVELPHASE_FIXED040_R29B,report,2022-11-10,0.3,2023Q3,2022-10,2.684226446414497,1.5883999152379928,1.303772571759111,core,2.6169909326268606,3.73182094929286,-0.15103882001976654,0.42995221782241533,-5.211009474720709,-0.12393363990953425,0.010990406666984568,loss
CORE_LEVELPHASE_FIXED040_R29B,report,2023-02-09,0.3,2023Q3,2022-12,-4.026901726934706,-4.29980403811121,-4.228447345922852,administered,0.0474750657227316,0.38793770607906053,0.05260972176355392,-0.11152421658387761,-4.725684036276577,-0.1654277910999381,0.2861662044721939,loss
CORE_LEVELPHASE_FIXED040_R29B,report,2023-02-09,0.3,2023Q4,2022-12,-3.2866975837311667,-3.2274627857178393,-3.2155296788572114,administered,0.0316500438151544,0.8730309727128432,0.374359354204392,-0.1266012718100268,-4.518075731552731,-0.11221993261880535,0.26232688639196194,loss
CORE_LEVELPHASE_FIXED040_R29B,report,2023-05-11,0.3,2023Q4,2023-04,0.6713030922911312,1.4402811303044576,1.3293580607493236,h0,0.7674826193987975,0.45770495774898984,0.11536102833335764,-0.21308327010203643,0.20930974498096902,-0.04875073700316812,0.04133371739241402,loss
CORE_LEVELPHASE_FIXED040_R29B,report,2023-05-11,0.3,2024Q1,2023-04,0.8908224643823779,1.3071114604800242,1.2648519587130393,core,0.7674826193987975,0.7678113743007957,0.7629500680996172,-0.1696278517889702,-0.6481036681940847,-0.04004472565110552,-0.17561585745201017,loss
CORE_LEVELPHASE_FIXED040_R29B,report,2023-08-10,0.3,2024Q1,2023-07,-0.3083551593992322,0.1546665766984141,0.14211227977231575,food,-0.08647846901393552,0.38520196401793,0.7022732817361866,-0.11408525020683369,-0.6178981195487093,0.018523925042241443,-0.14542505225456373,gain
CORE_LEVELPHASE_FIXED040_R29B,report,2024-02-15,0.3,2024Q3,2024-01,-0.9237871629023515,-0.9824270495838658,-0.9752120765669078,h0,-0.5585983674972084,-0.15482031999182022,-0.28431766752001225,0.03567804642634361,-0.012617802108603143,0.03632620740048354,-0.036862173276091,loss
CORE_LEVELPHASE_FIXED040_R29B,report,2024-02-15,0.3,2024Q4,2024-01,-0.8177375361003465,-0.9853815201031311,-0.9732328734391424,h0,-0.5585983674972084,-0.07288396283352788,-0.40833381325646734,0.15150295547983403,-0.032806285482368164,0.06484499478963858,-0.11695839463904335,loss
CORE_LEVELPHASE_FIXED040_R29B,report,2024-05-09,0.3,2024Q4,2024-03,0.4675567676630821,0.09908043366029728,0.09268695980100805,fuel,0.04512442935453201,0.19132001958181188,-0.3494596423658311,0.3273555908840744,0.04290052716925064,-0.026204538916516768,-0.13834942590631302,gain
CORE_LEVELPHASE_FIXED040_R29B,report,2024-05-09,0.3,2025Q1,2024-03,0.3216875037485041,-0.058056682091448764,-0.06384900280806605,food,0.030082952903021338,0.12134795130801697,-0.43201857551673256,0.2699407454025231,0.10851309813398695,-0.0424173023953689,-0.11929787264351292,gain
CORE_LEVELPHASE_FIXED040_R29B,report,2024-11-14,0.3,2025Q2,2024-10,-0.3536550966219121,-0.16707268875732906,-0.16802903364599145,food,-0.1075402830554989,-0.1610132045737074,-0.17667793135719864,0.14568574439274865,0.0886542398398031,0.1034400741901668,-0.060577673082305016,immaterial
CORE_LEVELPHASE_FIXED040_R29B,report,2024-11-14,0.3,2025Q3,2024-10,-0.4736444144373495,-0.3384068045727555,-0.33691480961349685,core,-0.1075402830554989,-0.27505969061230245,-0.19250081117573903,0.11246348993124128,0.13002621843171122,0.13774203004887253,-0.1420457631817815,loss
CORE_LEVELPHASE_FIXED060_R29B,cutoff,2022-02-10,0.3,2022Q3,2021-12,3.51631881689568,-5.891304365176945,-5.196566991673469,food,0.3500635465416196,-0.9512003573354635,-2.5930783448840917,-0.7734503649143951,-0.8600181805013446,-0.06491116595634547,-0.30397212462344964,gain
CORE_LEVELPHASE_FIXED060_R29B,cutoff,2022-02-10,0.3,2022Q4,2021-12,4.803412248806921,-4.268166863343287,-3.8282262547282704,food,0.23337569769441305,-0.7321498776013137,-3.3213637319578395,-0.5765163258534753,0.538515440851096,-0.12535407988910804,0.15526662202795732,gain
CORE_LEVELPHASE_FIXED060_R29B,cutoff,2022-05-12,0.3,2022Q4,2022-03,-0.5572690359135279,-3.506418958063737,-3.142724796274502,food,-0.6899535791872943,-0.7806165375666868,-2.5452035343495667,0.30325098850772825,0.2299926915355274,-0.01064722683610949,0.3504524016218989,loss
CORE_LEVELPHASE_FIXED060_R29B,cutoff,2022-05-12,0.3,2023Q1,2022-03,0.6153670255341179,-7.920905525187456,-7.272008510629898,administered,-0.4599690527915296,-0.107417331456802,-3.021371542768739,0.5924818769108037,-4.222665816592288,-0.11646911796329189,0.06340247403194996,gain
CORE_LEVELPHASE_FIXED060_R29B,cutoff,2022-08-11,0.3,2023Q1,2022-06,-1.7695189546866565,-1.994702215408232,-1.8990078811212836,administered,-0.1868747469821359,1.8146282987688556,-0.7620832506725469,0.768750947574147,-3.5954051936986047,-0.17110531134067342,0.23308137522967465,loss
