sample,model,n,actual_events,calls,hits,misses,false_calls,recall,precision
full,CORE_LEVELPHASE_FIXED040_R29B,81,37,6,1,36,5,0.02702702702702703,0.16666666666666666
full,CORE_LEVELPHASE_FIXED060_R29B,81,37,6,1,36,5,0.02702702702702703,0.16666666666666666
full,CORE_LEVELPHASE_FIXED080_R29B,81,37,6,1,36,5,0.02702702702702703,0.16666666666666666
full,CORE_LEVELPHASE_PANEL_R29B,81,37,18,1,36,17,0.02702702702702703,0.05555555555555555
full,FOOD_ECM_R27,81,37,8,1,36,7,0.02702702702702703,0.125
full,STATE_FAST_R15,81,37,8,1,36,7,0.02702702702702703,0.125
origins_2019_2021,CORE_LEVELPHASE_FIXED040_R29B,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,CORE_LEVELPHASE_FIXED060_R29B,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,CORE_LEVELPHASE_FIXED080_R29B,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,CORE_LEVELPHASE_PANEL_R29B,35,13,6,1,12,5,0.07692307692307693,0.16666666666666666
origins_2019_2021,FOOD_ECM_R27,35,13,5,0,13,5,0.0,0.0
origins_2019_2021,STATE_FAST_R15,35,13,5,0,13,5,0.0,0.0
origins_2022_2023,CORE_LEVELPHASE_FIXED040_R29B,24,15,1,1,14,0,0.06666666666666667,1.0
origins_2022_2023,CORE_LEVELPHASE_FIXED060_R29B,24,15,1,1,14,0,0.06666666666666667,1.0
origins_2022_2023,CORE_LEVELPHASE_FIXED080_R29B,24,15,1,1,14,0,0.06666666666666667,1.0
origins_2022_2023,CORE_LEVELPHASE_PANEL_R29B,24,15,12,0,15,12,0.0,0.0
origins_2022_2023,FOOD_ECM_R27,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2022_2023,STATE_FAST_R15,24,15,3,1,14,2,0.06666666666666667,0.3333333333333333
origins_2024plus,CORE_LEVELPHASE_FIXED040_R29B,22,9,0,0,9,0,0.0,
origins_2024plus,CORE_LEVELPHASE_FIXED060_R29B,22,9,0,0,9,0,0.0,
origins_2024plus,CORE_LEVELPHASE_FIXED080_R29B,22,9,0,0,9,0,0.0,
origins_2024plus,CORE_LEVELPHASE_PANEL_R29B,22,9,0,0,9,0,0.0,
origins_2024plus,FOOD_ECM_R27,22,9,0,0,9,0,0.0,
origins_2024plus,STATE_FAST_R15,22,9,0,0,9,0,0.0,
recent_targets,CORE_LEVELPHASE_FIXED040_R29B,31,14,0,0,14,0,0.0,
recent_targets,CORE_LEVELPHASE_FIXED060_R29B,31,14,0,0,14,0,0.0,
recent_targets,CORE_LEVELPHASE_FIXED080_R29B,31,14,0,0,14,0,0.0,
recent_targets,CORE_LEVELPHASE_PANEL_R29B,31,14,3,0,14,3,0.0,0.0
recent_targets,FOOD_ECM_R27,31,14,2,0,14,2,0.0,0.0
recent_targets,STATE_FAST_R15,31,14,2,0,14,2,0.0,0.0
