scope,sample,model,n,actual_turns,predicted_turns,exact_band_hits,missed_turns,false_turns,exact_turn_recall,exact_turn_precision
all_models_common,full,CORE_LEVELPHASE_FIXED040_R29B,159,77,0,0,77,0,0.0,
all_models_common,full,CORE_LEVELPHASE_FIXED060_R29B,159,77,0,0,77,0,0.0,
all_models_common,full,CORE_LEVELPHASE_FIXED080_R29B,159,77,0,0,77,0,0.0,
all_models_common,full,CORE_LEVELPHASE_PANEL_R29B,159,77,14,1,76,13,0.012987012987012988,0.07142857142857142
all_models_common,full,FOOD_ECM_R27,159,77,0,0,77,0,0.0,
all_models_common,full,STATE_FAST_R15,159,77,0,0,77,0,0.0,
all_models_common,origins_2019_2021,CORE_LEVELPHASE_FIXED040_R29B,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,CORE_LEVELPHASE_FIXED060_R29B,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,CORE_LEVELPHASE_FIXED080_R29B,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,CORE_LEVELPHASE_PANEL_R29B,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,FOOD_ECM_R27,70,38,0,0,38,0,0.0,
all_models_common,origins_2019_2021,STATE_FAST_R15,70,38,0,0,38,0,0.0,
all_models_common,origins_2022_2023,CORE_LEVELPHASE_FIXED040_R29B,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,CORE_LEVELPHASE_FIXED060_R29B,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,CORE_LEVELPHASE_FIXED080_R29B,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,CORE_LEVELPHASE_PANEL_R29B,48,17,14,1,16,13,0.058823529411764705,0.07142857142857142
all_models_common,origins_2022_2023,FOOD_ECM_R27,48,17,0,0,17,0,0.0,
all_models_common,origins_2022_2023,STATE_FAST_R15,48,17,0,0,17,0,0.0,
all_models_common,origins_2024plus,CORE_LEVELPHASE_FIXED040_R29B,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,CORE_LEVELPHASE_FIXED060_R29B,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,CORE_LEVELPHASE_FIXED080_R29B,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,CORE_LEVELPHASE_PANEL_R29B,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,FOOD_ECM_R27,41,22,0,0,22,0,0.0,
all_models_common,origins_2024plus,STATE_FAST_R15,41,22,0,0,22,0,0.0,
all_models_common,recent_targets,CORE_LEVELPHASE_FIXED040_R29B,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,CORE_LEVELPHASE_FIXED060_R29B,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,CORE_LEVELPHASE_FIXED080_R29B,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,CORE_LEVELPHASE_PANEL_R29B,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,FOOD_ECM_R27,56,28,0,0,28,0,0.0,
all_models_common,recent_targets,STATE_FAST_R15,56,28,0,0,28,0,0.0,
