threshold,clock,report_date,origin,as_of_utc,model,quarter,actual_turn,model_turn,cnb_turn,model_hit,cnb_hit,model_false_call,fully_future,actual_before,actual_centre,actual_after,model_before,model_centre,model_after,cnb_before,cnb_centre,cnb_after
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,COMBO_ALL_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.74644289814857,11.845538154800018,11.58976753348322,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,COMBO_ALL_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.845538154800018,11.58976753348322,11.635211840466148,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,COMBO_CORE_R17,2022Q2,0,0,0,False,False,False,True,11.23658150891361,15.77230851609123,17.578003612072624,10.926872552143513,12.158164874026696,12.085893082453822,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,COMBO_CORE_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,12.158164874026696,12.085893082453822,12.127769256431565,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,COMBO_FOOD_FUEL_R17,2022Q2,0,1,0,False,False,True,True,11.23658150891361,15.77230851609123,17.578003612072624,10.610086517920438,11.454403539102971,11.013688242929476,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,COMBO_FOOD_FUEL_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.454403539102971,11.013688242929476,10.750246971783044,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,CORE_FAST_H0_R17,2022Q2,0,0,0,False,False,False,True,11.23658150891361,15.77230851609123,17.578003612072624,10.978862337385358,12.223612057964894,12.213994598478717,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,CORE_FAST_H0_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,12.223612057964894,12.213994598478717,12.185045335111328,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,CORE_NEWS_H0_R17,2022Q2,0,0,0,False,False,False,True,11.23658150891361,15.77230851609123,17.578003612072624,11.06891511117565,12.602965676868235,13.051120938545935,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,CORE_NEWS_H0_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,12.602965676868235,13.051120938545935,13.625745504037823,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,CORE_NEWS_R17,2022Q2,0,0,0,False,False,False,True,11.23658150891361,15.77230851609123,17.578003612072624,10.893923496322254,12.143245105785953,12.284599718657764,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,CORE_NEWS_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,12.143245105785953,12.284599718657764,12.525212933232105,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,CORE_ROBUST_R17,2022Q2,0,0,0,False,False,False,True,11.23658150891361,15.77230851609123,17.578003612072624,10.807536668462175,11.881992080013177,11.808699309457957,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,CORE_ROBUST_R17,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.881992080013177,11.808699309457957,11.803378202317736,9.50510416,8.17038043,6.62746481
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,DAMPED_P95_Q001_R16,2022Q2,0,0,0,False,False,False,True,11.23658150891361,15.77230851609123,17.578003612072624,10.815482315993968,11.903237780405384,11.843816503523634,9.63663198795535,9.50510416,8.17038043
0.25,cutoff,2022-02-10,2021-12,2022-01-11 22:59:00+00:00,DAMPED_P95_Q001_R16,2022Q3,1,0,0,False,False,False,True,15.77230851609123,17.578003612072624,15.699043922150208,11.903237780405384,11.843816503523634,11.852632817135264,9.50510416,8.17038043,6.62746481
