sample,clock,model,n,mae,rmse,material_gains,material_losses,report_count
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,66,1.4352457351233003,2.3294804664190685,13,34,18
full,cutoff,DAMPED_ADAPT_R16,66,1.4399550954791511,2.2964867078201165,13,39,18
full,cutoff,DAMPED_P80_Q001_R16,66,1.4726961827793354,2.3156048629314374,13,40,18
full,cutoff,DAMPED_P80_Q010_R16,66,1.29400534862836,2.0624782332362637,16,35,18
full,cutoff,DAMPED_P95_Q001_R16,66,1.2757683245987168,2.022284213399014,13,31,18
full,cutoff,DAMPED_P95_Q010_R16,66,1.2233761707686437,1.764907859593615,11,35,18
full,cutoff,INDEPENDENT_BRIDGE,66,1.5927894127721447,2.454660358717828,13,39,18
full,cutoff,RF_RESIDUAL_R15,66,1.5257525050550507,2.2585129928293166,14,40,18
full,cutoff,STABLE_LOCAL_CORE_R14B,66,1.5398259358158655,2.544963785079963,17,31,18
full,cutoff,STABLE_PIPELINE_R14B,66,1.550443649260808,2.484292377082147,17,42,18
full,cutoff,STATE_FAST_R15,66,1.3350176986691555,2.129456611256195,13,31,18
full,cutoff,TRANSMISSION_BOTH_R16,66,1.4381343023166482,2.377846037099304,14,31,18
full,cutoff,TRANSMISSION_GOODS_R16,66,1.3623715857963994,2.214192822452455,15,32,18
full,cutoff,TRANSMISSION_OWN_R16,66,1.437392707358062,2.3415535803378638,13,32,18
full,cutoff,TRANSMISSION_SERVICES_R16,66,1.5274806184295378,2.5323663191962096,13,36,18
full,cutoff,cnb,66,1.0605492231877776,2.2954532595060186,0,0,18
full,report,BLEND_DAMPED_TRANSMISSION_R16,66,1.3265845611848122,2.128569509093307,14,33,18
full,report,DAMPED_ADAPT_R16,66,1.3523387377531972,2.1358542581915394,16,36,18
full,report,DAMPED_P80_Q001_R16,66,1.3470655911546427,2.1475097515748702,16,36,18
full,report,DAMPED_P80_Q010_R16,66,1.2307336789253411,1.9335832927817527,18,32,18
full,report,DAMPED_P95_Q001_R16,66,1.2462110358644405,1.907148054082442,13,29,18
full,report,DAMPED_P95_Q010_R16,66,1.1146586385752812,1.6786243977794821,13,29,18
full,report,INDEPENDENT_BRIDGE,66,1.52802874926222,2.362396701541737,12,35,18
full,report,RF_RESIDUAL_R15,66,1.4435945158281382,2.1138360476509273,14,40,18
full,report,STABLE_LOCAL_CORE_R14B,66,1.4316516765930367,2.3392987814941666,17,29,18
full,report,STABLE_PIPELINE_R14B,66,1.4875992282913069,2.3609208168930946,14,34,18
full,report,STATE_FAST_R15,66,1.2596945994215731,1.9867044520755985,15,32,18
full,report,TRANSMISSION_BOTH_R16,66,1.3079399423708005,2.152424452714946,16,31,18
full,report,TRANSMISSION_GOODS_R16,66,1.2621997450098994,2.048079032561357,16,31,18
full,report,TRANSMISSION_OWN_R16,66,1.3440016148308676,2.1840170650265893,15,33,18
full,report,TRANSMISSION_SERVICES_R16,66,1.3886425360346264,2.3064679297464363,13,33,18
full,report,cnb,66,1.0605492231877776,2.2954532595060186,0,0,18
reports_2024plus,cutoff,BLEND_DAMPED_TRANSMISSION_R16,34,0.4046846426333911,0.5290984183629781,5,14,10
reports_2024plus,cutoff,DAMPED_ADAPT_R16,34,0.4262078835796155,0.54239691910219,5,18,10
reports_2024plus,cutoff,DAMPED_P80_Q001_R16,34,0.4385806463500261,0.5620025993822438,5,19,10
