origin,h,target,model,ttf_eur_mwh,status,mapping
2019-02,0,2019-02,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,1,2019-03,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,2,2019-04,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,3,2019-05,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,4,2019-06,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,5,2019-07,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,6,2019-08,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,7,2019-09,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,8,2019-10,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,9,2019-11,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,10,2019-12,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,11,2020-01,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,12,2020-02,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,0,2019-02,GAS_ANNUAL,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,1,2019-03,GAS_ANNUAL,17.015465623557724,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,2,2019-04,GAS_ANNUAL,17.233694665861584,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,3,2019-05,GAS_ANNUAL,17.454722568682012,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
