event_id,policy_id,action,item_or_population,effective_from,effective_to_exclusive_if_known,source_pub_date,conservative_cpi_treatment_date,kind,value,unit,source_ids,status,national_point_candidate_closed,eligibility_reason,policy_available_from,cpi_application_available_from,mapping_basis
VAT21_START,vat_waiver_2021,start,electricity;gas,2021-11,2022-01,2021-10-20,2021-12-10,vat_rate,0,fraction,S01;S02;S03,policy_factor_closed_from_treatment_gate,false,Total forecast needs pre-tax path and basket; before treatment date scenario-only,2021-10-20T23:59:59Z,2021-12-10T23:59:59Z,explicit_sourced_treatment
VAT21_EXPIRY,vat_waiver_2021,expiry,electricity;gas,2022-01,,2021-10-20,2021-12-10,vat_rate,,,S01;S02;S03,policy_factor_closed_from_treatment_gate,false,Restore standard21%; do not add17.3554 as inverse; do not double count baseline,2021-10-20T23:59:59Z,2021-12-10T23:59:59Z,explicit_sourced_treatment
POZE22_ANNOUNCE,poze_waiver_2022_2023,announcement,electricity,2022-10,2024-01,2022-06-23,2022-11-10,levy_waiver,1,fraction,S04;S07,announced_policy_known,false,Economic plan visibleJun23; not proof CPI treatment then,2022-06-23T23:59:59Z,2022-11-10T23:59:59Z,explicit_sourced_treatment
POZE23_ADOPT,poze_waiver_2022_2023,confirmation,electricity,2023-01,2024-01,2022-11-14,2022-11-10,levy_capacity_rate,0,CZK/A/month_ex_VAT,S08,adopted_policy_known,false,Confirms continuation; do not stack with start or expireJan2023,2022-11-14T23:59:59Z,2022-11-14T23:59:59Z,explicit_sourced_treatment
POZE24_EXPIRY,poze_waiver_2022_2023,expiry,electricity,2024-01,,2022-08-25,2022-11-10,levy_waiver,,,S05;S07,scheduled_expiry_known,false,Effective end was announced; actual2024 tariff needs S09; no realised January treatment date needed,2022-08-25T23:59:59Z,2022-11-10T23:59:59Z,declared_continuity_inference_from_prior_treatment
SAVING22_LOW,saving_credit_2022,start,electricity_D01d_D02d_D25d,2022-10,2023-01,2022-08-25,2022-11-10,fixed_credit_total,3500,CZK/eligible_connection_total,S05;S07,legal_amount_known_mapping_open,false,CPI subtracts aggregate subsidy once; per-tariff eligibility snapshotAug23; not complete population,2022-08-25T23:59:59Z,2022-11-10T23:59:59Z,explicit_sourced_treatment
SAVING22_HIGH,saving_credit_2022,start,electricity_D26d_D35d_D45d_D56d_D57d,2022-10,2023-01,2022-08-25,2022-11-10,fixed_credit_total,2000,CZK/eligible_connection_total,S05;S07,legal_amount_known_mapping_open,false,Quarterly national allocation denominator missing; do not treat as price per MWh,2022-08-25T23:59:59Z,2022-11-10T23:59:59Z,explicit_sourced_treatment
SAVING22_EXPIRY,saving_credit_2022,expiry,electricity,2023-01,,2022-10-05,2022-11-10,fixed_credit_total,,,S06;S07,scheduled_expiry_known_mapping_open,false,Conservative cancellation gate for net government support; POZE remains waived,2022-10-05T23:59:59Z,2022-11-10T23:59:59Z,explicit_sourced_treatment
SAVING23_CANCEL,saving_credit_planned_2023,cancellation,electricity;gas;heat,2023-01,,2022-10-05,,cancel_planned_policy,,,S06,legal_cancellation_known,false,Do not rewrite Aug-Sep origins using this subsequent cancellation,2022-10-05T23:59:59Z,,mapping_unavailable_or_summary_only
CAP23_ELECTRICITY,cap_2023_electricity,start,electricity,2023-01,2024-01,2022-10-05,2023-02-10,commodity_cap,5000,CZK/MWh_ex_VAT,S06;S23,legal_amount_known_treatment_gate_retained,false,Specific Jan2023 CZSO treatment gate inherited existing ledger; earlier generic contractual-price treatment is explicit inference only; cheaper contracts remain cheaper,2022-10-05T23:59:59Z,2023-02-10T23:59:59Z,explicit_sourced_treatment
CAP24_EXPIRY_ELECTRICITY,cap_2023_electricity,expiry,electricity,2024-01,,2022-10-05,2023-02-10,commodity_cap,,,S06;S23,scheduled_expiry_known_mapping_open,false,Expiry horizon visible with original whole2023 cap; nonbinding share needs contracts,2022-10-05T23:59:59Z,2023-02-10T23:59:59Z,explicit_sourced_treatment
