"scenario_id","dimension","value","unit","rule","interpretation","guard"
"ENERGY_SPOT_FROZEN","wholesale_price_path","latest_eligible_spot","level","Freeze each as-of spot and same-date FX","control scenario not guaranteed future spot","Quote_date<origin under existing nextday assumption; staleness recorded"
"ENERGY_ANNUAL_LINEAR_LOG","wholesale_price_path","12","months","logP_h=logP_spot+h/12*(logP_annual-logP_spot), h0..12","Interpolation is analyst assumption; annual quote is not provenh12point","Use eligible same-origin annual quote; preserve exact ticker; no future strip"
"ENERGY_ANNUAL_LOW","annual_endpoint","0.8","multiplier","Multiply same-origin annual-index conditioning endpoint by0.8","20percent lower assumption not market-implied quantile","Common eligible origins; same interpolation and past-fitted pass-through"
"ENERGY_ANNUAL_HIGH","annual_endpoint","1.2","multiplier","Multiply same-origin annual-index conditioning endpoint by1.2","20percent higher assumption not market-implied quantile","Common eligible origins; same interpolation and past-fitted pass-through"
"BILL_RESET_0","commodity_reset_exposure","0","fraction","No household commodity reset in forecast month","Exposure assumption; POZE/network changes still apply","Never use observed CPI to choose exposure"
"BILL_RESET_50","commodity_reset_exposure","0.5","fraction","Half of otherwise identical representative exposures reprice","Not measured supplier share","Never use observed CPI to choose exposure"
"BILL_RESET_100","commodity_reset_exposure","1","fraction","All representative exposures reprice","Not measured supplier share","Never use observed CPI to choose exposure"
"BILL_Q_LOW","fixed_reference_quantity","1","MWh/year","Divide annual quantity equally over12months for index comparison","Illustrative quantity not realised consumption","Same comparison quantity in previous/currentmonth"
"BILL_Q_MID","fixed_reference_quantity","3.5","MWh/year","Divide annual quantity equally over12months","Representative scenario; CEZ has3.5example but not national mix","No household population inference from example"
"BILL_Q_HIGH","fixed_reference_quantity","10","MWh/year","Divide annual quantity equally over12months","Heating-type illustration not national mix","No outcome tuning"
"BILL_FIXED_LOW","supplier_fixed_fee","0","CZK/month_ex_VAT","Zero supplier fixed fee for isolated sensitivity","Unverified scenario fee","Keep distribution fixed separate"
"BILL_FIXED_MID","supplier_fixed_fee","100","CZK/month_ex_VAT","100 supplier fixed fee for isolated sensitivity","Unverified scenario fee","Keep distribution fixed separate"
"BILL_FIXED_HIGH","supplier_fixed_fee","200","CZK/month_ex_VAT","200 supplier fixed fee for isolated sensitivity","Unverified scenario fee; cap period needs fee provision","Do not load uncapped200inside2023if legally capped"
"POZE_VOLUME_CAP_BINDS","poze_mapping","495","CZK/MWh_ex_VAT","Assume volume ceiling binds all represented billed quantities","Legal ceiling known but universal exposure assumption","Only years with applicable sourced ceiling; zero during waiver; avoid total-regulateddoublecount"
"POST2026_POLICY_UNCHANGED","unknown_future_policy","0","new_policy_change","Hold final known policy configuration beyond sourced horizon","Explicit persistence assumption; not evidence of enacted2027rates","Alternative unavailable output allowed; never automatic495return"

